Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
JIR-AGI-00001,Jira,agile,Approve Jira agile,Jira test data ready,Create record > route approval > verify status,Success,High
JIR-AGI-00002,Jira,agile,Delete Jira agile,Jira test data ready,Create record > route approval > verify status,Success,Low
JIR-AGI-00003,Jira,agile,Route Jira agile,Jira test data ready,Initiate integration > check queue > confirm completion,Success,Medium
JIR-AGI-00004,Jira,agile,Escalate Jira agile,Jira test data ready,Submit transaction > sync system > reconcile report,Success,Low
JIR-AGI-00005,Jira,agile,Delete Jira agile,Jira test data ready,Create record > route approval > verify status,Success,Medium
JIR-AGI-00006,Jira,agile,Create Jira agile,Jira test data ready,Initiate integration > check queue > confirm completion,Success,High
JIR-AGI-00007,Jira,agile,Reject Jira agile,Jira test data ready,Open module > perform action > validate result,Success,High
JIR-AGI-00008,Jira,agile,Archive Jira agile,Jira test data ready,Submit transaction > sync system > reconcile report,Success,Medium
JIR-AGI-00009,Jira,agile,Delete Jira agile,Jira test data ready,Create record > route approval > verify status,Success,Low
JIR-AGI-00010,Jira,agile,Edit Jira agile,Jira test data ready,Initiate integration > check queue > confirm completion,Success,Low
JIR-AGI-00011,Jira,agile,Reject Jira agile,Jira test data ready,Create record > route approval > verify status,Success,Medium
JIR-AGI-00012,Jira,agile,Update Jira agile,Jira test data ready,Open module > perform action > validate result,Success,High
JIR-AGI-00013,Jira,agile,Approve Jira agile,Jira test data ready,Create record > route approval > verify status,Success,Medium
JIR-AGI-00014,Jira,agile,Route Jira agile,Jira test data ready,Submit transaction > sync system > reconcile report,Success,High
JIR-AGI-00015,Jira,agile,Delete Jira agile,Jira test data ready,Submit transaction > sync system > reconcile report,Success,Medium
JIR-AGI-00016,Jira,agile,Search Jira agile,Jira test data ready,Create record > route approval > verify status,Success,Medium
JIR-AGI-00017,Jira,agile,Clone Jira agile,Jira test data ready,Initiate integration > check queue > confirm completion,Success,Low
JIR-AGI-00018,Jira,agile,Edit Jira agile,Jira test data ready,Open module > perform action > validate result,Success,High
JIR-AGI-00019,Jira,agile,Escalate Jira agile,Jira test data ready,Submit transaction > sync system > reconcile report,Success,High
JIR-AGI-00020,Jira,agile,Restore Jira agile,Jira test data ready,Create record > route approval > verify status,Success,Low
JIR-AGI-00021,Jira,agile,Delete Jira agile,Jira test data ready,Open module > perform action > validate result,Success,Low
JIR-AGI-00022,Jira,agile,Search Jira agile,Jira test data ready,Open module > perform action > validate result,Success,High
JIR-AGI-00023,Jira,agile,Restore Jira agile,Jira test data ready,Create record > route approval > verify status,Success,Medium
JIR-AGI-00024,Jira,agile,Route Jira agile,Jira test data ready,Open module > perform action > validate result,Success,Low
JIR-AGI-00025,Jira,agile,Archive Jira agile,Jira test data ready,Submit transaction > sync system > reconcile report,Success,High
JIR-AGI-00026,Jira,agile,Clone Jira agile,Jira test data ready,Create record > route approval > verify status,Success,Medium
JIR-AGI-00027,Jira,agile,Restore Jira agile,Jira test data ready,Submit transaction > sync system > reconcile report,Success,High
JIR-AGI-00028,Jira,agile,Escalate Jira agile,Jira test data ready,Create record > route approval > verify status,Success,Medium
JIR-AGI-00029,Jira,agile,Create Jira agile,Jira test data ready,Initiate integration > check queue > confirm completion,Success,Low
JIR-AGI-00030,Jira,agile,Create Jira agile,Jira test data ready,Initiate integration > check queue > confirm completion,Success,Low
JIR-AGI-00031,Jira,agile,Archive Jira agile,Jira test data ready,Open module > perform action > validate result,Success,High
JIR-AGI-00032,Jira,agile,Update Jira agile,Jira test data ready,Initiate integration > check queue > confirm completion,Success,High
JIR-AGI-00033,Jira,agile,Archive Jira agile,Jira test data ready,Open module > perform action > validate result,Success,High
JIR-AGI-00034,Jira,agile,Archive Jira agile,Jira test data ready,Open module > perform action > validate result,Success,Low
JIR-AGI-00035,Jira,agile,Clone Jira agile,Jira test data ready,Create record > route approval > verify status,Success,Medium
JIR-AGI-00036,Jira,agile,Escalate Jira agile,Jira test data ready,Submit transaction > sync system > reconcile report,Success,Medium
JIR-AGI-00037,Jira,agile,Route Jira agile,Jira test data ready,Open module > perform action > validate result,Success,Low
JIR-AGI-00038,Jira,agile,Escalate Jira agile,Jira test data ready,Submit transaction > sync system > reconcile report,Success,High
JIR-AGI-00039,Jira,agile,Validate Jira agile,Jira test data ready,Create record > route approval > verify status,Success,High
JIR-AGI-00040,Jira,agile,Submit Jira agile,Jira test data ready,Submit transaction > sync system > reconcile report,Success,High
JIR-AGI-00041,Jira,agile,Create Jira agile,Jira test data ready,Submit transaction > sync system > reconcile report,Success,Medium
JIR-AGI-00042,Jira,agile,Escalate Jira agile,Jira test data ready,Create record > route approval > verify status,Success,High
JIR-AGI-00043,Jira,agile,Restore Jira agile,Jira test data ready,Open module > perform action > validate result,Success,High
JIR-AGI-00044,Jira,agile,Restore Jira agile,Jira test data ready,Submit transaction > sync system > reconcile report,Success,Low
JIR-AGI-00045,Jira,agile,Reject Jira agile,Jira test data ready,Open module > perform action > validate result,Success,Low
JIR-AGI-00046,Jira,agile,Reject Jira agile,Jira test data ready,Create record > route approval > verify status,Success,High
JIR-AGI-00047,Jira,agile,Edit Jira agile,Jira test data ready,Open module > perform action > validate result,Success,Low
JIR-AGI-00048,Jira,agile,Archive Jira agile,Jira test data ready,Open module > perform action > validate result,Success,Medium
JIR-AGI-00049,Jira,agile,Validate Jira agile,Jira test data ready,Submit transaction > sync system > reconcile report,Success,Medium
JIR-AGI-00050,Jira,agile,Reject Jira agile,Jira test data ready,Submit transaction > sync system > reconcile report,Success,High
JIR-AGI-00051,Jira,agile,Approve Jira agile,Jira test data ready,Open module > perform action > validate result,Success,Low
JIR-AGI-00052,Jira,agile,Route Jira agile,Jira test data ready,Open module > perform action > validate result,Success,Low
JIR-AGI-00053,Jira,agile,Restore Jira agile,Jira test data ready,Initiate integration > check queue > confirm completion,Success,Medium
JIR-AGI-00054,Jira,agile,Create Jira agile,Jira test data ready,Create record > route approval > verify status,Success,Low
JIR-AGI-00055,Jira,agile,Submit Jira agile,Jira test data ready,Submit transaction > sync system > reconcile report,Success,Medium
JIR-AGI-00056,Jira,agile,Delete Jira agile,Jira test data ready,Open module > perform action > validate result,Success,Medium
JIR-AGI-00057,Jira,agile,Reject Jira agile,Jira test data ready,Submit transaction > sync system > reconcile report,Success,High
JIR-AGI-00058,Jira,agile,Restore Jira agile,Jira test data ready,Open module > perform action > validate result,Success,Medium
JIR-AGI-00059,Jira,agile,Update Jira agile,Jira test data ready,Create record > route approval > verify status,Success,High
JIR-AGI-00060,Jira,agile,Escalate Jira agile,Jira test data ready,Create record > route approval > verify status,Success,High
JIR-AGI-00061,Jira,agile,Delete Jira agile,Jira test data ready,Create record > route approval > verify status,Success,Medium
JIR-AGI-00062,Jira,agile,Search Jira agile,Jira test data ready,Create record > route approval > verify status,Success,High
JIR-AGI-00063,Jira,agile,Escalate Jira agile,Jira test data ready,Open module > perform action > validate result,Success,High
JIR-AGI-00064,Jira,agile,Clone Jira agile,Jira test data ready,Create record > route approval > verify status,Success,Medium
JIR-AGI-00065,Jira,agile,Create Jira agile,Jira test data ready,Submit transaction > sync system > reconcile report,Success,Low
JIR-AGI-00066,Jira,agile,Approve Jira agile,Jira test data ready,Open module > perform action > validate result,Success,Low
JIR-AGI-00067,Jira,agile,Create Jira agile,Jira test data ready,Open module > perform action > validate result,Success,Low
JIR-AGI-00068,Jira,agile,Edit Jira agile,Jira test data ready,Open module > perform action > validate result,Success,Medium
JIR-AGI-00069,Jira,agile,Edit Jira agile,Jira test data ready,Open module > perform action > validate result,Success,High
JIR-AGI-00070,Jira,agile,Edit Jira agile,Jira test data ready,Open module > perform action > validate result,Success,Medium
JIR-AGI-00071,Jira,agile,Archive Jira agile,Jira test data ready,Initiate integration > check queue > confirm completion,Success,Low
JIR-AGI-00072,Jira,agile,Create Jira agile,Jira test data ready,Submit transaction > sync system > reconcile report,Success,Low
JIR-AGI-00073,Jira,agile,Route Jira agile,Jira test data ready,Submit transaction > sync system > reconcile report,Success,Medium
JIR-AGI-00074,Jira,agile,Search Jira agile,Jira test data ready,Open module > perform action > validate result,Success,Medium
JIR-AGI-00075,Jira,agile,Restore Jira agile,Jira test data ready,Open module > perform action > validate result,Success,Medium
JIR-AGI-00076,Jira,agile,Edit Jira agile,Jira test data ready,Initiate integration > check queue > confirm completion,Success,Medium
JIR-AGI-00077,Jira,agile,Create Jira agile,Jira test data ready,Submit transaction > sync system > reconcile report,Success,Medium
JIR-AGI-00078,Jira,agile,Restore Jira agile,Jira test data ready,Submit transaction > sync system > reconcile report,Success,Low
JIR-AGI-00079,Jira,agile,Validate Jira agile,Jira test data ready,Open module > perform action > validate result,Success,High
JIR-AGI-00080,Jira,agile,Reject Jira agile,Jira test data ready,Initiate integration > check queue > confirm completion,Success,High
JIR-AGI-00081,Jira,agile,Search Jira agile,Jira test data ready,Initiate integration > check queue > confirm completion,Success,Low
JIR-AGI-00082,Jira,agile,Edit Jira agile,Jira test data ready,Create record > route approval > verify status,Success,Medium
JIR-AGI-00083,Jira,agile,Reject Jira agile,Jira test data ready,Submit transaction > sync system > reconcile report,Success,Low
JIR-AGI-00084,Jira,agile,Archive Jira agile,Jira test data ready,Open module > perform action > validate result,Success,High
JIR-AGI-00085,Jira,agile,Delete Jira agile,Jira test data ready,Submit transaction > sync system > reconcile report,Success,Low
JIR-AGI-00086,Jira,agile,Restore Jira agile,Jira test data ready,Initiate integration > check queue > confirm completion,Success,Low
JIR-AGI-00087,Jira,agile,Approve Jira agile,Jira test data ready,Create record > route approval > verify status,Success,Low
JIR-AGI-00088,Jira,agile,Route Jira agile,Jira test data ready,Create record > route approval > verify status,Success,High
JIR-AGI-00089,Jira,agile,Approve Jira agile,Jira test data ready,Create record > route approval > verify status,Success,High
JIR-AGI-00090,Jira,agile,Reject Jira agile,Jira test data ready,Submit transaction > sync system > reconcile report,Success,High
JIR-AGI-00091,Jira,agile,Validate Jira agile,Jira test data ready,Initiate integration > check queue > confirm completion,Success,Low
JIR-AGI-00092,Jira,agile,Validate Jira agile,Jira test data ready,Initiate integration > check queue > confirm completion,Success,Medium
JIR-AGI-00093,Jira,agile,Submit Jira agile,Jira test data ready,Create record > route approval > verify status,Success,Low
JIR-AGI-00094,Jira,agile,Route Jira agile,Jira test data ready,Create record > route approval > verify status,Success,Low
JIR-AGI-00095,Jira,agile,Reject Jira agile,Jira test data ready,Create record > route approval > verify status,Success,Medium
JIR-AGI-00096,Jira,agile,Update Jira agile,Jira test data ready,Submit transaction > sync system > reconcile report,Success,Medium
JIR-AGI-00097,Jira,agile,Escalate Jira agile,Jira test data ready,Initiate integration > check queue > confirm completion,Success,Low
JIR-AGI-00098,Jira,agile,Validate Jira agile,Jira test data ready,Create record > route approval > verify status,Success,Low
JIR-AGI-00099,Jira,agile,Create Jira agile,Jira test data ready,Initiate integration > check queue > confirm completion,Success,Medium
JIR-AGI-00100,Jira,agile,Validate Jira agile,Jira test data ready,Open module > perform action > validate result,Success,Low
JIR-AGI-00101,Jira,agile,Delete Jira agile,Jira test data ready,Create record > route approval > verify status,Success,Medium
JIR-AGI-00102,Jira,agile,Submit Jira agile,Jira test data ready,Submit transaction > sync system > reconcile report,Success,High
JIR-AGI-00103,Jira,agile,Route Jira agile,Jira test data ready,Create record > route approval > verify status,Success,Medium
JIR-AGI-00104,Jira,agile,Clone Jira agile,Jira test data ready,Initiate integration > check queue > confirm completion,Success,High
JIR-AGI-00105,Jira,agile,Validate Jira agile,Jira test data ready,Open module > perform action > validate result,Success,Low
JIR-AGI-00106,Jira,agile,Restore Jira agile,Jira test data ready,Open module > perform action > validate result,Success,Low
JIR-AGI-00107,Jira,agile,Archive Jira agile,Jira test data ready,Create record > route approval > verify status,Success,Low
JIR-AGI-00108,Jira,agile,Search Jira agile,Jira test data ready,Open module > perform action > validate result,Success,Medium
JIR-AGI-00109,Jira,agile,Restore Jira agile,Jira test data ready,Submit transaction > sync system > reconcile report,Success,High
JIR-AGI-00110,Jira,agile,Search Jira agile,Jira test data ready,Submit transaction > sync system > reconcile report,Success,High
JIR-AGI-00111,Jira,agile,Restore Jira agile,Jira test data ready,Submit transaction > sync system > reconcile report,Success,High
JIR-AGI-00112,Jira,agile,Delete Jira agile,Jira test data ready,Create record > route approval > verify status,Success,Low
JIR-AGI-00113,Jira,agile,Archive Jira agile,Jira test data ready,Initiate integration > check queue > confirm completion,Success,Low
JIR-AGI-00114,Jira,agile,Edit Jira agile,Jira test data ready,Open module > perform action > validate result,Success,Low
JIR-AGI-00115,Jira,agile,Restore Jira agile,Jira test data ready,Create record > route approval > verify status,Success,Low
JIR-AGI-00116,Jira,agile,Archive Jira agile,Jira test data ready,Initiate integration > check queue > confirm completion,Success,Medium
JIR-AGI-00117,Jira,agile,Edit Jira agile,Jira test data ready,Submit transaction > sync system > reconcile report,Success,High
JIR-AGI-00118,Jira,agile,Route Jira agile,Jira test data ready,Submit transaction > sync system > reconcile report,Success,High
