Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
JIR-AUT-00001,Jira,automation,Validate Jira automation,Jira test data ready,Create record > route approval > verify status,Success,High
JIR-AUT-00002,Jira,automation,Validate Jira automation,Jira test data ready,Open module > perform action > validate result,Success,Low
JIR-AUT-00003,Jira,automation,Search Jira automation,Jira test data ready,Open module > perform action > validate result,Success,Low
JIR-AUT-00004,Jira,automation,Validate Jira automation,Jira test data ready,Create record > route approval > verify status,Success,Low
JIR-AUT-00005,Jira,automation,Update Jira automation,Jira test data ready,Create record > route approval > verify status,Success,Low
JIR-AUT-00006,Jira,automation,Search Jira automation,Jira test data ready,Submit transaction > sync system > reconcile report,Success,Low
JIR-AUT-00007,Jira,automation,Update Jira automation,Jira test data ready,Open module > perform action > validate result,Success,Medium
JIR-AUT-00008,Jira,automation,Delete Jira automation,Jira test data ready,Initiate integration > check queue > confirm completion,Success,Low
JIR-AUT-00009,Jira,automation,Escalate Jira automation,Jira test data ready,Create record > route approval > verify status,Success,High
JIR-AUT-00010,Jira,automation,Reject Jira automation,Jira test data ready,Initiate integration > check queue > confirm completion,Success,Medium
JIR-AUT-00011,Jira,automation,Approve Jira automation,Jira test data ready,Create record > route approval > verify status,Success,Medium
JIR-AUT-00012,Jira,automation,Update Jira automation,Jira test data ready,Open module > perform action > validate result,Success,Low
JIR-AUT-00013,Jira,automation,Edit Jira automation,Jira test data ready,Initiate integration > check queue > confirm completion,Success,High
JIR-AUT-00014,Jira,automation,Submit Jira automation,Jira test data ready,Open module > perform action > validate result,Success,Medium
JIR-AUT-00015,Jira,automation,Delete Jira automation,Jira test data ready,Create record > route approval > verify status,Success,High
JIR-AUT-00016,Jira,automation,Submit Jira automation,Jira test data ready,Open module > perform action > validate result,Success,Medium
JIR-AUT-00017,Jira,automation,Escalate Jira automation,Jira test data ready,Initiate integration > check queue > confirm completion,Success,Medium
JIR-AUT-00018,Jira,automation,Clone Jira automation,Jira test data ready,Open module > perform action > validate result,Success,Medium
JIR-AUT-00019,Jira,automation,Edit Jira automation,Jira test data ready,Open module > perform action > validate result,Success,High
JIR-AUT-00020,Jira,automation,Create Jira automation,Jira test data ready,Initiate integration > check queue > confirm completion,Success,Medium
JIR-AUT-00021,Jira,automation,Reject Jira automation,Jira test data ready,Create record > route approval > verify status,Success,High
JIR-AUT-00022,Jira,automation,Submit Jira automation,Jira test data ready,Open module > perform action > validate result,Success,High
JIR-AUT-00023,Jira,automation,Edit Jira automation,Jira test data ready,Create record > route approval > verify status,Success,Medium
JIR-AUT-00024,Jira,automation,Validate Jira automation,Jira test data ready,Submit transaction > sync system > reconcile report,Success,Low
JIR-AUT-00025,Jira,automation,Route Jira automation,Jira test data ready,Initiate integration > check queue > confirm completion,Success,Low
JIR-AUT-00026,Jira,automation,Archive Jira automation,Jira test data ready,Submit transaction > sync system > reconcile report,Success,Low
