Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
JIR-ISS-00001,Jira,issues,Route Jira issues,Jira test data ready,Submit transaction > sync system > reconcile report,Success,Medium
JIR-ISS-00002,Jira,issues,Reject Jira issues,Jira test data ready,Open module > perform action > validate result,Success,Low
JIR-ISS-00003,Jira,issues,Update Jira issues,Jira test data ready,Create record > route approval > verify status,Success,Low
JIR-ISS-00004,Jira,issues,Validate Jira issues,Jira test data ready,Initiate integration > check queue > confirm completion,Success,High
JIR-ISS-00005,Jira,issues,Approve Jira issues,Jira test data ready,Initiate integration > check queue > confirm completion,Success,Low
JIR-ISS-00006,Jira,issues,Search Jira issues,Jira test data ready,Initiate integration > check queue > confirm completion,Success,High
JIR-ISS-00007,Jira,issues,Escalate Jira issues,Jira test data ready,Create record > route approval > verify status,Success,High
JIR-ISS-00008,Jira,issues,Approve Jira issues,Jira test data ready,Create record > route approval > verify status,Success,Medium
JIR-ISS-00009,Jira,issues,Escalate Jira issues,Jira test data ready,Initiate integration > check queue > confirm completion,Success,Medium
JIR-ISS-00010,Jira,issues,Edit Jira issues,Jira test data ready,Open module > perform action > validate result,Success,Low
JIR-ISS-00011,Jira,issues,Submit Jira issues,Jira test data ready,Submit transaction > sync system > reconcile report,Success,High
JIR-ISS-00012,Jira,issues,Archive Jira issues,Jira test data ready,Create record > route approval > verify status,Success,Medium
JIR-ISS-00013,Jira,issues,Create Jira issues,Jira test data ready,Open module > perform action > validate result,Success,High
JIR-ISS-00014,Jira,issues,Escalate Jira issues,Jira test data ready,Open module > perform action > validate result,Success,Low
JIR-ISS-00015,Jira,issues,Create Jira issues,Jira test data ready,Create record > route approval > verify status,Success,Low
JIR-ISS-00016,Jira,issues,Clone Jira issues,Jira test data ready,Initiate integration > check queue > confirm completion,Success,Low
JIR-ISS-00017,Jira,issues,Submit Jira issues,Jira test data ready,Initiate integration > check queue > confirm completion,Success,High
JIR-ISS-00018,Jira,issues,Escalate Jira issues,Jira test data ready,Create record > route approval > verify status,Success,Medium
JIR-ISS-00019,Jira,issues,Validate Jira issues,Jira test data ready,Create record > route approval > verify status,Success,High
JIR-ISS-00020,Jira,issues,Route Jira issues,Jira test data ready,Submit transaction > sync system > reconcile report,Success,Medium
JIR-ISS-00021,Jira,issues,Edit Jira issues,Jira test data ready,Open module > perform action > validate result,Success,Medium
JIR-ISS-00022,Jira,issues,Escalate Jira issues,Jira test data ready,Submit transaction > sync system > reconcile report,Success,Medium
JIR-ISS-00023,Jira,issues,Escalate Jira issues,Jira test data ready,Submit transaction > sync system > reconcile report,Success,High
JIR-ISS-00024,Jira,issues,Delete Jira issues,Jira test data ready,Open module > perform action > validate result,Success,Medium
JIR-ISS-00025,Jira,issues,Escalate Jira issues,Jira test data ready,Submit transaction > sync system > reconcile report,Success,High
JIR-ISS-00026,Jira,issues,Delete Jira issues,Jira test data ready,Initiate integration > check queue > confirm completion,Success,Medium
JIR-ISS-00027,Jira,issues,Edit Jira issues,Jira test data ready,Open module > perform action > validate result,Success,Low
JIR-ISS-00028,Jira,issues,Approve Jira issues,Jira test data ready,Open module > perform action > validate result,Success,Low
JIR-ISS-00029,Jira,issues,Approve Jira issues,Jira test data ready,Create record > route approval > verify status,Success,Low
JIR-ISS-00030,Jira,issues,Restore Jira issues,Jira test data ready,Submit transaction > sync system > reconcile report,Success,High
JIR-ISS-00031,Jira,issues,Create Jira issues,Jira test data ready,Submit transaction > sync system > reconcile report,Success,Medium
JIR-ISS-00032,Jira,issues,Approve Jira issues,Jira test data ready,Submit transaction > sync system > reconcile report,Success,High
JIR-ISS-00033,Jira,issues,Validate Jira issues,Jira test data ready,Submit transaction > sync system > reconcile report,Success,High
JIR-ISS-00034,Jira,issues,Update Jira issues,Jira test data ready,Open module > perform action > validate result,Success,High
JIR-ISS-00035,Jira,issues,Escalate Jira issues,Jira test data ready,Submit transaction > sync system > reconcile report,Success,Low
JIR-ISS-00036,Jira,issues,Approve Jira issues,Jira test data ready,Create record > route approval > verify status,Success,High
JIR-ISS-00037,Jira,issues,Approve Jira issues,Jira test data ready,Submit transaction > sync system > reconcile report,Success,Low
JIR-ISS-00038,Jira,issues,Edit Jira issues,Jira test data ready,Submit transaction > sync system > reconcile report,Success,Medium
JIR-ISS-00039,Jira,issues,Approve Jira issues,Jira test data ready,Submit transaction > sync system > reconcile report,Success,Low
JIR-ISS-00040,Jira,issues,Clone Jira issues,Jira test data ready,Submit transaction > sync system > reconcile report,Success,Medium
JIR-ISS-00041,Jira,issues,Create Jira issues,Jira test data ready,Open module > perform action > validate result,Success,Medium
JIR-ISS-00042,Jira,issues,Create Jira issues,Jira test data ready,Submit transaction > sync system > reconcile report,Success,Medium
JIR-ISS-00043,Jira,issues,Reject Jira issues,Jira test data ready,Submit transaction > sync system > reconcile report,Success,Medium
JIR-ISS-00044,Jira,issues,Approve Jira issues,Jira test data ready,Create record > route approval > verify status,Success,High
JIR-ISS-00045,Jira,issues,Reject Jira issues,Jira test data ready,Create record > route approval > verify status,Success,Low
JIR-ISS-00046,Jira,issues,Approve Jira issues,Jira test data ready,Submit transaction > sync system > reconcile report,Success,Medium
JIR-ISS-00047,Jira,issues,Route Jira issues,Jira test data ready,Submit transaction > sync system > reconcile report,Success,Low
JIR-ISS-00048,Jira,issues,Route Jira issues,Jira test data ready,Create record > route approval > verify status,Success,Low
JIR-ISS-00049,Jira,issues,Clone Jira issues,Jira test data ready,Submit transaction > sync system > reconcile report,Success,Low
JIR-ISS-00050,Jira,issues,Submit Jira issues,Jira test data ready,Open module > perform action > validate result,Success,Medium
JIR-ISS-00051,Jira,issues,Submit Jira issues,Jira test data ready,Open module > perform action > validate result,Success,High
JIR-ISS-00052,Jira,issues,Submit Jira issues,Jira test data ready,Initiate integration > check queue > confirm completion,Success,Low
JIR-ISS-00053,Jira,issues,Reject Jira issues,Jira test data ready,Initiate integration > check queue > confirm completion,Success,High
JIR-ISS-00054,Jira,issues,Archive Jira issues,Jira test data ready,Create record > route approval > verify status,Success,Medium
JIR-ISS-00055,Jira,issues,Reject Jira issues,Jira test data ready,Create record > route approval > verify status,Success,Low
JIR-ISS-00056,Jira,issues,Create Jira issues,Jira test data ready,Create record > route approval > verify status,Success,High
JIR-ISS-00057,Jira,issues,Reject Jira issues,Jira test data ready,Initiate integration > check queue > confirm completion,Success,Low
JIR-ISS-00058,Jira,issues,Update Jira issues,Jira test data ready,Open module > perform action > validate result,Success,Low
JIR-ISS-00059,Jira,issues,Update Jira issues,Jira test data ready,Initiate integration > check queue > confirm completion,Success,Low
JIR-ISS-00060,Jira,issues,Archive Jira issues,Jira test data ready,Initiate integration > check queue > confirm completion,Success,Medium
JIR-ISS-00061,Jira,issues,Create Jira issues,Jira test data ready,Create record > route approval > verify status,Success,Medium
JIR-ISS-00062,Jira,issues,Create Jira issues,Jira test data ready,Initiate integration > check queue > confirm completion,Success,Medium
JIR-ISS-00063,Jira,issues,Clone Jira issues,Jira test data ready,Initiate integration > check queue > confirm completion,Success,Low
JIR-ISS-00064,Jira,issues,Route Jira issues,Jira test data ready,Submit transaction > sync system > reconcile report,Success,Low
JIR-ISS-00065,Jira,issues,Escalate Jira issues,Jira test data ready,Initiate integration > check queue > confirm completion,Success,High
JIR-ISS-00066,Jira,issues,Archive Jira issues,Jira test data ready,Submit transaction > sync system > reconcile report,Success,Medium
JIR-ISS-00067,Jira,issues,Reject Jira issues,Jira test data ready,Open module > perform action > validate result,Success,High
JIR-ISS-00068,Jira,issues,Escalate Jira issues,Jira test data ready,Open module > perform action > validate result,Success,Medium
JIR-ISS-00069,Jira,issues,Validate Jira issues,Jira test data ready,Create record > route approval > verify status,Success,Low
JIR-ISS-00070,Jira,issues,Create Jira issues,Jira test data ready,Submit transaction > sync system > reconcile report,Success,High
JIR-ISS-00071,Jira,issues,Archive Jira issues,Jira test data ready,Create record > route approval > verify status,Success,Low
JIR-ISS-00072,Jira,issues,Route Jira issues,Jira test data ready,Initiate integration > check queue > confirm completion,Success,High
JIR-ISS-00073,Jira,issues,Submit Jira issues,Jira test data ready,Create record > route approval > verify status,Success,Medium
JIR-ISS-00074,Jira,issues,Reject Jira issues,Jira test data ready,Create record > route approval > verify status,Success,Medium
JIR-ISS-00075,Jira,issues,Route Jira issues,Jira test data ready,Initiate integration > check queue > confirm completion,Success,Low
JIR-ISS-00076,Jira,issues,Clone Jira issues,Jira test data ready,Open module > perform action > validate result,Success,High
JIR-ISS-00077,Jira,issues,Restore Jira issues,Jira test data ready,Open module > perform action > validate result,Success,Low
JIR-ISS-00078,Jira,issues,Escalate Jira issues,Jira test data ready,Initiate integration > check queue > confirm completion,Success,Medium
JIR-ISS-00079,Jira,issues,Clone Jira issues,Jira test data ready,Submit transaction > sync system > reconcile report,Success,High
JIR-ISS-00080,Jira,issues,Delete Jira issues,Jira test data ready,Open module > perform action > validate result,Success,High
JIR-ISS-00081,Jira,issues,Search Jira issues,Jira test data ready,Submit transaction > sync system > reconcile report,Success,High
JIR-ISS-00082,Jira,issues,Update Jira issues,Jira test data ready,Initiate integration > check queue > confirm completion,Success,High
JIR-ISS-00083,Jira,issues,Reject Jira issues,Jira test data ready,Open module > perform action > validate result,Success,Low
JIR-ISS-00084,Jira,issues,Archive Jira issues,Jira test data ready,Initiate integration > check queue > confirm completion,Success,Medium
JIR-ISS-00085,Jira,issues,Create Jira issues,Jira test data ready,Submit transaction > sync system > reconcile report,Success,High
JIR-ISS-00086,Jira,issues,Validate Jira issues,Jira test data ready,Open module > perform action > validate result,Success,Low
JIR-ISS-00087,Jira,issues,Archive Jira issues,Jira test data ready,Initiate integration > check queue > confirm completion,Success,Low
JIR-ISS-00088,Jira,issues,Approve Jira issues,Jira test data ready,Submit transaction > sync system > reconcile report,Success,Low
JIR-ISS-00089,Jira,issues,Search Jira issues,Jira test data ready,Create record > route approval > verify status,Success,Low
JIR-ISS-00090,Jira,issues,Create Jira issues,Jira test data ready,Open module > perform action > validate result,Success,High
