Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
JIR-PRO-00001,Jira,projects,Search Jira projects,Jira test data ready,Create record > route approval > verify status,Success,High
JIR-PRO-00002,Jira,projects,Route Jira projects,Jira test data ready,Initiate integration > check queue > confirm completion,Success,High
JIR-PRO-00003,Jira,projects,Route Jira projects,Jira test data ready,Initiate integration > check queue > confirm completion,Success,High
JIR-PRO-00004,Jira,projects,Create Jira projects,Jira test data ready,Open module > perform action > validate result,Success,High
JIR-PRO-00005,Jira,projects,Delete Jira projects,Jira test data ready,Open module > perform action > validate result,Success,Medium
JIR-PRO-00006,Jira,projects,Approve Jira projects,Jira test data ready,Initiate integration > check queue > confirm completion,Success,High
JIR-PRO-00007,Jira,projects,Search Jira projects,Jira test data ready,Initiate integration > check queue > confirm completion,Success,High
JIR-PRO-00008,Jira,projects,Clone Jira projects,Jira test data ready,Initiate integration > check queue > confirm completion,Success,High
JIR-PRO-00009,Jira,projects,Submit Jira projects,Jira test data ready,Initiate integration > check queue > confirm completion,Success,Medium
JIR-PRO-00010,Jira,projects,Route Jira projects,Jira test data ready,Create record > route approval > verify status,Success,Low
JIR-PRO-00011,Jira,projects,Edit Jira projects,Jira test data ready,Create record > route approval > verify status,Success,Low
JIR-PRO-00012,Jira,projects,Restore Jira projects,Jira test data ready,Submit transaction > sync system > reconcile report,Success,High
JIR-PRO-00013,Jira,projects,Approve Jira projects,Jira test data ready,Initiate integration > check queue > confirm completion,Success,High
JIR-PRO-00014,Jira,projects,Create Jira projects,Jira test data ready,Create record > route approval > verify status,Success,High
JIR-PRO-00015,Jira,projects,Submit Jira projects,Jira test data ready,Initiate integration > check queue > confirm completion,Success,Low
JIR-PRO-00016,Jira,projects,Restore Jira projects,Jira test data ready,Open module > perform action > validate result,Success,High
JIR-PRO-00017,Jira,projects,Escalate Jira projects,Jira test data ready,Open module > perform action > validate result,Success,High
JIR-PRO-00018,Jira,projects,Route Jira projects,Jira test data ready,Open module > perform action > validate result,Success,High
JIR-PRO-00019,Jira,projects,Validate Jira projects,Jira test data ready,Open module > perform action > validate result,Success,High
JIR-PRO-00020,Jira,projects,Edit Jira projects,Jira test data ready,Submit transaction > sync system > reconcile report,Success,Medium
JIR-PRO-00021,Jira,projects,Submit Jira projects,Jira test data ready,Initiate integration > check queue > confirm completion,Success,Low
JIR-PRO-00022,Jira,projects,Restore Jira projects,Jira test data ready,Initiate integration > check queue > confirm completion,Success,Medium
JIR-PRO-00023,Jira,projects,Update Jira projects,Jira test data ready,Initiate integration > check queue > confirm completion,Success,High
