Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
JIR-SER-00001,Jira,service_management,Approve Jira service_management,Jira test data ready,Create record > route approval > verify status,Success,Low
JIR-SER-00002,Jira,service_management,Edit Jira service_management,Jira test data ready,Create record > route approval > verify status,Success,Low
JIR-SER-00003,Jira,service_management,Archive Jira service_management,Jira test data ready,Submit transaction > sync system > reconcile report,Success,Low
JIR-SER-00004,Jira,service_management,Approve Jira service_management,Jira test data ready,Initiate integration > check queue > confirm completion,Success,Medium
JIR-SER-00005,Jira,service_management,Reject Jira service_management,Jira test data ready,Create record > route approval > verify status,Success,High
JIR-SER-00006,Jira,service_management,Archive Jira service_management,Jira test data ready,Submit transaction > sync system > reconcile report,Success,Medium
JIR-SER-00007,Jira,service_management,Archive Jira service_management,Jira test data ready,Submit transaction > sync system > reconcile report,Success,Low
JIR-SER-00008,Jira,service_management,Edit Jira service_management,Jira test data ready,Create record > route approval > verify status,Success,Low
JIR-SER-00009,Jira,service_management,Route Jira service_management,Jira test data ready,Initiate integration > check queue > confirm completion,Success,High
JIR-SER-00010,Jira,service_management,Create Jira service_management,Jira test data ready,Create record > route approval > verify status,Success,Medium
JIR-SER-00011,Jira,service_management,Search Jira service_management,Jira test data ready,Initiate integration > check queue > confirm completion,Success,Low
JIR-SER-00012,Jira,service_management,Clone Jira service_management,Jira test data ready,Open module > perform action > validate result,Success,Low
JIR-SER-00013,Jira,service_management,Clone Jira service_management,Jira test data ready,Open module > perform action > validate result,Success,Medium
JIR-SER-00014,Jira,service_management,Edit Jira service_management,Jira test data ready,Open module > perform action > validate result,Success,Low
JIR-SER-00015,Jira,service_management,Restore Jira service_management,Jira test data ready,Open module > perform action > validate result,Success,High
JIR-SER-00016,Jira,service_management,Delete Jira service_management,Jira test data ready,Create record > route approval > verify status,Success,Medium
JIR-SER-00017,Jira,service_management,Submit Jira service_management,Jira test data ready,Create record > route approval > verify status,Success,Low
JIR-SER-00018,Jira,service_management,Escalate Jira service_management,Jira test data ready,Initiate integration > check queue > confirm completion,Success,Low
JIR-SER-00019,Jira,service_management,Search Jira service_management,Jira test data ready,Submit transaction > sync system > reconcile report,Success,Low
JIR-SER-00020,Jira,service_management,Restore Jira service_management,Jira test data ready,Initiate integration > check queue > confirm completion,Success,Low
JIR-SER-00021,Jira,service_management,Edit Jira service_management,Jira test data ready,Open module > perform action > validate result,Success,Medium
JIR-SER-00022,Jira,service_management,Restore Jira service_management,Jira test data ready,Submit transaction > sync system > reconcile report,Success,High
JIR-SER-00023,Jira,service_management,Search Jira service_management,Jira test data ready,Create record > route approval > verify status,Success,Low
JIR-SER-00024,Jira,service_management,Escalate Jira service_management,Jira test data ready,Initiate integration > check queue > confirm completion,Success,Medium
JIR-SER-00025,Jira,service_management,Delete Jira service_management,Jira test data ready,Create record > route approval > verify status,Success,High
JIR-SER-00026,Jira,service_management,Approve Jira service_management,Jira test data ready,Open module > perform action > validate result,Success,Low
JIR-SER-00027,Jira,service_management,Validate Jira service_management,Jira test data ready,Submit transaction > sync system > reconcile report,Success,High
JIR-SER-00028,Jira,service_management,Update Jira service_management,Jira test data ready,Create record > route approval > verify status,Success,High
JIR-SER-00029,Jira,service_management,Edit Jira service_management,Jira test data ready,Open module > perform action > validate result,Success,Low
JIR-SER-00030,Jira,service_management,Update Jira service_management,Jira test data ready,Open module > perform action > validate result,Success,Low
JIR-SER-00031,Jira,service_management,Search Jira service_management,Jira test data ready,Open module > perform action > validate result,Success,Medium
JIR-SER-00032,Jira,service_management,Escalate Jira service_management,Jira test data ready,Submit transaction > sync system > reconcile report,Success,High
JIR-SER-00033,Jira,service_management,Escalate Jira service_management,Jira test data ready,Open module > perform action > validate result,Success,High
JIR-SER-00034,Jira,service_management,Create Jira service_management,Jira test data ready,Initiate integration > check queue > confirm completion,Success,High
JIR-SER-00035,Jira,service_management,Clone Jira service_management,Jira test data ready,Create record > route approval > verify status,Success,Low
JIR-SER-00036,Jira,service_management,Route Jira service_management,Jira test data ready,Submit transaction > sync system > reconcile report,Success,Medium
JIR-SER-00037,Jira,service_management,Reject Jira service_management,Jira test data ready,Create record > route approval > verify status,Success,Low
JIR-SER-00038,Jira,service_management,Clone Jira service_management,Jira test data ready,Submit transaction > sync system > reconcile report,Success,Low
JIR-SER-00039,Jira,service_management,Submit Jira service_management,Jira test data ready,Initiate integration > check queue > confirm completion,Success,Medium
JIR-SER-00040,Jira,service_management,Route Jira service_management,Jira test data ready,Open module > perform action > validate result,Success,Low
JIR-SER-00041,Jira,service_management,Escalate Jira service_management,Jira test data ready,Submit transaction > sync system > reconcile report,Success,High
JIR-SER-00042,Jira,service_management,Route Jira service_management,Jira test data ready,Open module > perform action > validate result,Success,High
JIR-SER-00043,Jira,service_management,Approve Jira service_management,Jira test data ready,Open module > perform action > validate result,Success,Low
JIR-SER-00044,Jira,service_management,Update Jira service_management,Jira test data ready,Initiate integration > check queue > confirm completion,Success,High
JIR-SER-00045,Jira,service_management,Search Jira service_management,Jira test data ready,Create record > route approval > verify status,Success,Medium
JIR-SER-00046,Jira,service_management,Delete Jira service_management,Jira test data ready,Initiate integration > check queue > confirm completion,Success,Medium
JIR-SER-00047,Jira,service_management,Validate Jira service_management,Jira test data ready,Create record > route approval > verify status,Success,High
