Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
MED-CAS-00001,Medallia,cases,Update Medallia cases,Medallia test data ready,Open module > perform action > validate result,Success,High
MED-CAS-00002,Medallia,cases,Submit Medallia cases,Medallia test data ready,Initiate integration > check queue > confirm completion,Success,Medium
MED-CAS-00003,Medallia,cases,Delete Medallia cases,Medallia test data ready,Create record > route approval > verify status,Success,High
MED-CAS-00004,Medallia,cases,Search Medallia cases,Medallia test data ready,Open module > perform action > validate result,Success,Medium
MED-CAS-00005,Medallia,cases,Clone Medallia cases,Medallia test data ready,Create record > route approval > verify status,Success,High
MED-CAS-00006,Medallia,cases,Approve Medallia cases,Medallia test data ready,Open module > perform action > validate result,Success,Medium
MED-CAS-00007,Medallia,cases,Route Medallia cases,Medallia test data ready,Open module > perform action > validate result,Success,Low
MED-CAS-00008,Medallia,cases,Clone Medallia cases,Medallia test data ready,Open module > perform action > validate result,Success,High
MED-CAS-00009,Medallia,cases,Escalate Medallia cases,Medallia test data ready,Submit transaction > sync system > reconcile report,Success,Low
MED-CAS-00010,Medallia,cases,Search Medallia cases,Medallia test data ready,Open module > perform action > validate result,Success,High
MED-CAS-00011,Medallia,cases,Delete Medallia cases,Medallia test data ready,Initiate integration > check queue > confirm completion,Success,Low
MED-CAS-00012,Medallia,cases,Search Medallia cases,Medallia test data ready,Initiate integration > check queue > confirm completion,Success,Medium
MED-CAS-00013,Medallia,cases,Reject Medallia cases,Medallia test data ready,Submit transaction > sync system > reconcile report,Success,Low
MED-CAS-00014,Medallia,cases,Create Medallia cases,Medallia test data ready,Open module > perform action > validate result,Success,Low
MED-CAS-00015,Medallia,cases,Escalate Medallia cases,Medallia test data ready,Create record > route approval > verify status,Success,High
MED-CAS-00016,Medallia,cases,Search Medallia cases,Medallia test data ready,Create record > route approval > verify status,Success,High
MED-CAS-00017,Medallia,cases,Reject Medallia cases,Medallia test data ready,Create record > route approval > verify status,Success,Medium
MED-CAS-00018,Medallia,cases,Validate Medallia cases,Medallia test data ready,Create record > route approval > verify status,Success,Low
MED-CAS-00019,Medallia,cases,Reject Medallia cases,Medallia test data ready,Open module > perform action > validate result,Success,High
MED-CAS-00020,Medallia,cases,Clone Medallia cases,Medallia test data ready,Create record > route approval > verify status,Success,Low
MED-CAS-00021,Medallia,cases,Edit Medallia cases,Medallia test data ready,Submit transaction > sync system > reconcile report,Success,High
MED-CAS-00022,Medallia,cases,Route Medallia cases,Medallia test data ready,Open module > perform action > validate result,Success,Low
MED-CAS-00023,Medallia,cases,Route Medallia cases,Medallia test data ready,Submit transaction > sync system > reconcile report,Success,Medium
MED-CAS-00024,Medallia,cases,Restore Medallia cases,Medallia test data ready,Open module > perform action > validate result,Success,Low
MED-CAS-00025,Medallia,cases,Create Medallia cases,Medallia test data ready,Create record > route approval > verify status,Success,Low
MED-CAS-00026,Medallia,cases,Edit Medallia cases,Medallia test data ready,Create record > route approval > verify status,Success,Medium
MED-CAS-00027,Medallia,cases,Escalate Medallia cases,Medallia test data ready,Create record > route approval > verify status,Success,High
MED-CAS-00028,Medallia,cases,Update Medallia cases,Medallia test data ready,Create record > route approval > verify status,Success,Medium
MED-CAS-00029,Medallia,cases,Create Medallia cases,Medallia test data ready,Open module > perform action > validate result,Success,Medium
MED-CAS-00030,Medallia,cases,Edit Medallia cases,Medallia test data ready,Submit transaction > sync system > reconcile report,Success,Low
MED-CAS-00031,Medallia,cases,Restore Medallia cases,Medallia test data ready,Create record > route approval > verify status,Success,High
MED-CAS-00032,Medallia,cases,Search Medallia cases,Medallia test data ready,Create record > route approval > verify status,Success,High
MED-CAS-00033,Medallia,cases,Restore Medallia cases,Medallia test data ready,Initiate integration > check queue > confirm completion,Success,High
MED-CAS-00034,Medallia,cases,Approve Medallia cases,Medallia test data ready,Create record > route approval > verify status,Success,Medium
MED-CAS-00035,Medallia,cases,Delete Medallia cases,Medallia test data ready,Open module > perform action > validate result,Success,High
MED-CAS-00036,Medallia,cases,Delete Medallia cases,Medallia test data ready,Initiate integration > check queue > confirm completion,Success,High
MED-CAS-00037,Medallia,cases,Create Medallia cases,Medallia test data ready,Initiate integration > check queue > confirm completion,Success,High
MED-CAS-00038,Medallia,cases,Restore Medallia cases,Medallia test data ready,Initiate integration > check queue > confirm completion,Success,Medium
MED-CAS-00039,Medallia,cases,Route Medallia cases,Medallia test data ready,Open module > perform action > validate result,Success,High
MED-CAS-00040,Medallia,cases,Validate Medallia cases,Medallia test data ready,Open module > perform action > validate result,Success,Low
MED-CAS-00041,Medallia,cases,Update Medallia cases,Medallia test data ready,Submit transaction > sync system > reconcile report,Success,High
MED-CAS-00042,Medallia,cases,Validate Medallia cases,Medallia test data ready,Submit transaction > sync system > reconcile report,Success,Medium
MED-CAS-00043,Medallia,cases,Delete Medallia cases,Medallia test data ready,Open module > perform action > validate result,Success,Medium
MED-CAS-00044,Medallia,cases,Edit Medallia cases,Medallia test data ready,Submit transaction > sync system > reconcile report,Success,High
MED-CAS-00045,Medallia,cases,Route Medallia cases,Medallia test data ready,Create record > route approval > verify status,Success,Medium
MED-CAS-00046,Medallia,cases,Approve Medallia cases,Medallia test data ready,Create record > route approval > verify status,Success,Low
MED-CAS-00047,Medallia,cases,Update Medallia cases,Medallia test data ready,Create record > route approval > verify status,Success,Low
MED-CAS-00048,Medallia,cases,Update Medallia cases,Medallia test data ready,Initiate integration > check queue > confirm completion,Success,Low
MED-CAS-00049,Medallia,cases,Edit Medallia cases,Medallia test data ready,Submit transaction > sync system > reconcile report,Success,High
MED-CAS-00050,Medallia,cases,Submit Medallia cases,Medallia test data ready,Open module > perform action > validate result,Success,High
MED-CAS-00051,Medallia,cases,Reject Medallia cases,Medallia test data ready,Initiate integration > check queue > confirm completion,Success,Medium
MED-CAS-00052,Medallia,cases,Approve Medallia cases,Medallia test data ready,Create record > route approval > verify status,Success,High
MED-CAS-00053,Medallia,cases,Submit Medallia cases,Medallia test data ready,Initiate integration > check queue > confirm completion,Success,Medium
MED-CAS-00054,Medallia,cases,Create Medallia cases,Medallia test data ready,Create record > route approval > verify status,Success,Medium
MED-CAS-00055,Medallia,cases,Update Medallia cases,Medallia test data ready,Open module > perform action > validate result,Success,Low
MED-CAS-00056,Medallia,cases,Clone Medallia cases,Medallia test data ready,Submit transaction > sync system > reconcile report,Success,Low
MED-CAS-00057,Medallia,cases,Submit Medallia cases,Medallia test data ready,Submit transaction > sync system > reconcile report,Success,High
MED-CAS-00058,Medallia,cases,Clone Medallia cases,Medallia test data ready,Open module > perform action > validate result,Success,Medium
MED-CAS-00059,Medallia,cases,Clone Medallia cases,Medallia test data ready,Submit transaction > sync system > reconcile report,Success,High
MED-CAS-00060,Medallia,cases,Submit Medallia cases,Medallia test data ready,Submit transaction > sync system > reconcile report,Success,High
MED-CAS-00061,Medallia,cases,Submit Medallia cases,Medallia test data ready,Submit transaction > sync system > reconcile report,Success,High
MED-CAS-00062,Medallia,cases,Search Medallia cases,Medallia test data ready,Open module > perform action > validate result,Success,Low
MED-CAS-00063,Medallia,cases,Create Medallia cases,Medallia test data ready,Submit transaction > sync system > reconcile report,Success,Low
MED-CAS-00064,Medallia,cases,Reject Medallia cases,Medallia test data ready,Create record > route approval > verify status,Success,High
MED-CAS-00065,Medallia,cases,Archive Medallia cases,Medallia test data ready,Open module > perform action > validate result,Success,Medium
MED-CAS-00066,Medallia,cases,Restore Medallia cases,Medallia test data ready,Open module > perform action > validate result,Success,High
MED-CAS-00067,Medallia,cases,Clone Medallia cases,Medallia test data ready,Initiate integration > check queue > confirm completion,Success,Medium
MED-CAS-00068,Medallia,cases,Validate Medallia cases,Medallia test data ready,Submit transaction > sync system > reconcile report,Success,High
MED-CAS-00069,Medallia,cases,Reject Medallia cases,Medallia test data ready,Create record > route approval > verify status,Success,High
MED-CAS-00070,Medallia,cases,Restore Medallia cases,Medallia test data ready,Open module > perform action > validate result,Success,Medium
MED-CAS-00071,Medallia,cases,Archive Medallia cases,Medallia test data ready,Initiate integration > check queue > confirm completion,Success,Low
MED-CAS-00072,Medallia,cases,Update Medallia cases,Medallia test data ready,Open module > perform action > validate result,Success,High
MED-CAS-00073,Medallia,cases,Escalate Medallia cases,Medallia test data ready,Initiate integration > check queue > confirm completion,Success,Medium
MED-CAS-00074,Medallia,cases,Route Medallia cases,Medallia test data ready,Submit transaction > sync system > reconcile report,Success,Medium
MED-CAS-00075,Medallia,cases,Search Medallia cases,Medallia test data ready,Create record > route approval > verify status,Success,High
MED-CAS-00076,Medallia,cases,Delete Medallia cases,Medallia test data ready,Open module > perform action > validate result,Success,Medium
MED-CAS-00077,Medallia,cases,Validate Medallia cases,Medallia test data ready,Submit transaction > sync system > reconcile report,Success,Medium
MED-CAS-00078,Medallia,cases,Update Medallia cases,Medallia test data ready,Submit transaction > sync system > reconcile report,Success,High
MED-CAS-00079,Medallia,cases,Validate Medallia cases,Medallia test data ready,Open module > perform action > validate result,Success,Low
MED-CAS-00080,Medallia,cases,Archive Medallia cases,Medallia test data ready,Submit transaction > sync system > reconcile report,Success,Medium
MED-CAS-00081,Medallia,cases,Edit Medallia cases,Medallia test data ready,Create record > route approval > verify status,Success,High
MED-CAS-00082,Medallia,cases,Restore Medallia cases,Medallia test data ready,Initiate integration > check queue > confirm completion,Success,Medium
MED-CAS-00083,Medallia,cases,Search Medallia cases,Medallia test data ready,Initiate integration > check queue > confirm completion,Success,Low
MED-CAS-00084,Medallia,cases,Route Medallia cases,Medallia test data ready,Create record > route approval > verify status,Success,Medium
MED-CAS-00085,Medallia,cases,Escalate Medallia cases,Medallia test data ready,Create record > route approval > verify status,Success,Low
MED-CAS-00086,Medallia,cases,Clone Medallia cases,Medallia test data ready,Submit transaction > sync system > reconcile report,Success,Medium
MED-CAS-00087,Medallia,cases,Create Medallia cases,Medallia test data ready,Create record > route approval > verify status,Success,Medium
MED-CAS-00088,Medallia,cases,Route Medallia cases,Medallia test data ready,Create record > route approval > verify status,Success,High
MED-CAS-00089,Medallia,cases,Escalate Medallia cases,Medallia test data ready,Open module > perform action > validate result,Success,Low
MED-CAS-00090,Medallia,cases,Clone Medallia cases,Medallia test data ready,Open module > perform action > validate result,Success,Low
MED-CAS-00091,Medallia,cases,Clone Medallia cases,Medallia test data ready,Open module > perform action > validate result,Success,Low
