Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
MED-LIS-00001,Medallia,listening,Archive Medallia listening,Medallia test data ready,Create record > route approval > verify status,Success,Low
MED-LIS-00002,Medallia,listening,Edit Medallia listening,Medallia test data ready,Open module > perform action > validate result,Success,Medium
MED-LIS-00003,Medallia,listening,Escalate Medallia listening,Medallia test data ready,Open module > perform action > validate result,Success,Low
MED-LIS-00004,Medallia,listening,Approve Medallia listening,Medallia test data ready,Create record > route approval > verify status,Success,High
MED-LIS-00005,Medallia,listening,Delete Medallia listening,Medallia test data ready,Initiate integration > check queue > confirm completion,Success,Low
MED-LIS-00006,Medallia,listening,Restore Medallia listening,Medallia test data ready,Create record > route approval > verify status,Success,Medium
MED-LIS-00007,Medallia,listening,Route Medallia listening,Medallia test data ready,Submit transaction > sync system > reconcile report,Success,High
MED-LIS-00008,Medallia,listening,Validate Medallia listening,Medallia test data ready,Submit transaction > sync system > reconcile report,Success,Low
MED-LIS-00009,Medallia,listening,Submit Medallia listening,Medallia test data ready,Initiate integration > check queue > confirm completion,Success,Low
MED-LIS-00010,Medallia,listening,Escalate Medallia listening,Medallia test data ready,Open module > perform action > validate result,Success,Low
MED-LIS-00011,Medallia,listening,Update Medallia listening,Medallia test data ready,Create record > route approval > verify status,Success,Low
MED-LIS-00012,Medallia,listening,Route Medallia listening,Medallia test data ready,Create record > route approval > verify status,Success,High
MED-LIS-00013,Medallia,listening,Restore Medallia listening,Medallia test data ready,Open module > perform action > validate result,Success,Low
MED-LIS-00014,Medallia,listening,Escalate Medallia listening,Medallia test data ready,Submit transaction > sync system > reconcile report,Success,High
MED-LIS-00015,Medallia,listening,Approve Medallia listening,Medallia test data ready,Create record > route approval > verify status,Success,Medium
MED-LIS-00016,Medallia,listening,Escalate Medallia listening,Medallia test data ready,Create record > route approval > verify status,Success,Low
MED-LIS-00017,Medallia,listening,Submit Medallia listening,Medallia test data ready,Create record > route approval > verify status,Success,Low
MED-LIS-00018,Medallia,listening,Route Medallia listening,Medallia test data ready,Initiate integration > check queue > confirm completion,Success,Low
MED-LIS-00019,Medallia,listening,Reject Medallia listening,Medallia test data ready,Open module > perform action > validate result,Success,Low
MED-LIS-00020,Medallia,listening,Escalate Medallia listening,Medallia test data ready,Create record > route approval > verify status,Success,High
MED-LIS-00021,Medallia,listening,Restore Medallia listening,Medallia test data ready,Create record > route approval > verify status,Success,Medium
MED-LIS-00022,Medallia,listening,Archive Medallia listening,Medallia test data ready,Open module > perform action > validate result,Success,Low
MED-LIS-00023,Medallia,listening,Search Medallia listening,Medallia test data ready,Submit transaction > sync system > reconcile report,Success,High
MED-LIS-00024,Medallia,listening,Search Medallia listening,Medallia test data ready,Submit transaction > sync system > reconcile report,Success,High
MED-LIS-00025,Medallia,listening,Route Medallia listening,Medallia test data ready,Open module > perform action > validate result,Success,Medium
MED-LIS-00026,Medallia,listening,Edit Medallia listening,Medallia test data ready,Open module > perform action > validate result,Success,High
MED-LIS-00027,Medallia,listening,Approve Medallia listening,Medallia test data ready,Initiate integration > check queue > confirm completion,Success,Medium
MED-LIS-00028,Medallia,listening,Escalate Medallia listening,Medallia test data ready,Initiate integration > check queue > confirm completion,Success,Low
MED-LIS-00029,Medallia,listening,Approve Medallia listening,Medallia test data ready,Create record > route approval > verify status,Success,High
MED-LIS-00030,Medallia,listening,Submit Medallia listening,Medallia test data ready,Create record > route approval > verify status,Success,Low
MED-LIS-00031,Medallia,listening,Route Medallia listening,Medallia test data ready,Initiate integration > check queue > confirm completion,Success,Low
MED-LIS-00032,Medallia,listening,Create Medallia listening,Medallia test data ready,Create record > route approval > verify status,Success,Low
MED-LIS-00033,Medallia,listening,Validate Medallia listening,Medallia test data ready,Open module > perform action > validate result,Success,High
MED-LIS-00034,Medallia,listening,Delete Medallia listening,Medallia test data ready,Create record > route approval > verify status,Success,Medium
MED-LIS-00035,Medallia,listening,Update Medallia listening,Medallia test data ready,Submit transaction > sync system > reconcile report,Success,Low
MED-LIS-00036,Medallia,listening,Route Medallia listening,Medallia test data ready,Create record > route approval > verify status,Success,Low
MED-LIS-00037,Medallia,listening,Reject Medallia listening,Medallia test data ready,Submit transaction > sync system > reconcile report,Success,Low
MED-LIS-00038,Medallia,listening,Reject Medallia listening,Medallia test data ready,Create record > route approval > verify status,Success,Medium
MED-LIS-00039,Medallia,listening,Escalate Medallia listening,Medallia test data ready,Initiate integration > check queue > confirm completion,Success,High
MED-LIS-00040,Medallia,listening,Escalate Medallia listening,Medallia test data ready,Open module > perform action > validate result,Success,Medium
MED-LIS-00041,Medallia,listening,Clone Medallia listening,Medallia test data ready,Open module > perform action > validate result,Success,Medium
MED-LIS-00042,Medallia,listening,Clone Medallia listening,Medallia test data ready,Create record > route approval > verify status,Success,Low
MED-LIS-00043,Medallia,listening,Restore Medallia listening,Medallia test data ready,Submit transaction > sync system > reconcile report,Success,Low
MED-LIS-00044,Medallia,listening,Delete Medallia listening,Medallia test data ready,Open module > perform action > validate result,Success,Low
MED-LIS-00045,Medallia,listening,Approve Medallia listening,Medallia test data ready,Open module > perform action > validate result,Success,High
MED-LIS-00046,Medallia,listening,Restore Medallia listening,Medallia test data ready,Submit transaction > sync system > reconcile report,Success,Low
MED-LIS-00047,Medallia,listening,Reject Medallia listening,Medallia test data ready,Open module > perform action > validate result,Success,Medium
MED-LIS-00048,Medallia,listening,Submit Medallia listening,Medallia test data ready,Submit transaction > sync system > reconcile report,Success,Medium
MED-LIS-00049,Medallia,listening,Update Medallia listening,Medallia test data ready,Submit transaction > sync system > reconcile report,Success,High
MED-LIS-00050,Medallia,listening,Update Medallia listening,Medallia test data ready,Submit transaction > sync system > reconcile report,Success,Medium
MED-LIS-00051,Medallia,listening,Submit Medallia listening,Medallia test data ready,Initiate integration > check queue > confirm completion,Success,High
MED-LIS-00052,Medallia,listening,Submit Medallia listening,Medallia test data ready,Create record > route approval > verify status,Success,Medium
MED-LIS-00053,Medallia,listening,Submit Medallia listening,Medallia test data ready,Submit transaction > sync system > reconcile report,Success,Medium
MED-LIS-00054,Medallia,listening,Create Medallia listening,Medallia test data ready,Submit transaction > sync system > reconcile report,Success,Low
MED-LIS-00055,Medallia,listening,Route Medallia listening,Medallia test data ready,Initiate integration > check queue > confirm completion,Success,Medium
MED-LIS-00056,Medallia,listening,Create Medallia listening,Medallia test data ready,Initiate integration > check queue > confirm completion,Success,Low
