Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
MED-PRO-00001,Medallia,programs,Submit Medallia programs,Medallia test data ready,Initiate integration > check queue > confirm completion,Success,Low
MED-PRO-00002,Medallia,programs,Clone Medallia programs,Medallia test data ready,Open module > perform action > validate result,Success,High
MED-PRO-00003,Medallia,programs,Approve Medallia programs,Medallia test data ready,Create record > route approval > verify status,Success,Low
MED-PRO-00004,Medallia,programs,Restore Medallia programs,Medallia test data ready,Open module > perform action > validate result,Success,Medium
MED-PRO-00005,Medallia,programs,Delete Medallia programs,Medallia test data ready,Initiate integration > check queue > confirm completion,Success,Medium
MED-PRO-00006,Medallia,programs,Escalate Medallia programs,Medallia test data ready,Create record > route approval > verify status,Success,Low
MED-PRO-00007,Medallia,programs,Archive Medallia programs,Medallia test data ready,Open module > perform action > validate result,Success,Medium
MED-PRO-00008,Medallia,programs,Update Medallia programs,Medallia test data ready,Create record > route approval > verify status,Success,Low
MED-PRO-00009,Medallia,programs,Create Medallia programs,Medallia test data ready,Submit transaction > sync system > reconcile report,Success,Medium
MED-PRO-00010,Medallia,programs,Update Medallia programs,Medallia test data ready,Initiate integration > check queue > confirm completion,Success,Low
MED-PRO-00011,Medallia,programs,Reject Medallia programs,Medallia test data ready,Create record > route approval > verify status,Success,Medium
MED-PRO-00012,Medallia,programs,Clone Medallia programs,Medallia test data ready,Create record > route approval > verify status,Success,High
MED-PRO-00013,Medallia,programs,Route Medallia programs,Medallia test data ready,Open module > perform action > validate result,Success,High
MED-PRO-00014,Medallia,programs,Submit Medallia programs,Medallia test data ready,Initiate integration > check queue > confirm completion,Success,Medium
MED-PRO-00015,Medallia,programs,Approve Medallia programs,Medallia test data ready,Create record > route approval > verify status,Success,Medium
MED-PRO-00016,Medallia,programs,Route Medallia programs,Medallia test data ready,Create record > route approval > verify status,Success,High
MED-PRO-00017,Medallia,programs,Archive Medallia programs,Medallia test data ready,Open module > perform action > validate result,Success,Low
MED-PRO-00018,Medallia,programs,Update Medallia programs,Medallia test data ready,Create record > route approval > verify status,Success,Low
MED-PRO-00019,Medallia,programs,Restore Medallia programs,Medallia test data ready,Open module > perform action > validate result,Success,High
MED-PRO-00020,Medallia,programs,Escalate Medallia programs,Medallia test data ready,Initiate integration > check queue > confirm completion,Success,Low
MED-PRO-00021,Medallia,programs,Search Medallia programs,Medallia test data ready,Initiate integration > check queue > confirm completion,Success,High
MED-PRO-00022,Medallia,programs,Archive Medallia programs,Medallia test data ready,Open module > perform action > validate result,Success,Medium
MED-PRO-00023,Medallia,programs,Update Medallia programs,Medallia test data ready,Initiate integration > check queue > confirm completion,Success,Low
MED-PRO-00024,Medallia,programs,Route Medallia programs,Medallia test data ready,Initiate integration > check queue > confirm completion,Success,High
MED-PRO-00025,Medallia,programs,Search Medallia programs,Medallia test data ready,Submit transaction > sync system > reconcile report,Success,High
MED-PRO-00026,Medallia,programs,Restore Medallia programs,Medallia test data ready,Create record > route approval > verify status,Success,Low
MED-PRO-00027,Medallia,programs,Archive Medallia programs,Medallia test data ready,Initiate integration > check queue > confirm completion,Success,Low
MED-PRO-00028,Medallia,programs,Escalate Medallia programs,Medallia test data ready,Create record > route approval > verify status,Success,High
MED-PRO-00029,Medallia,programs,Archive Medallia programs,Medallia test data ready,Initiate integration > check queue > confirm completion,Success,Low
MED-PRO-00030,Medallia,programs,Approve Medallia programs,Medallia test data ready,Submit transaction > sync system > reconcile report,Success,Medium
MED-PRO-00031,Medallia,programs,Route Medallia programs,Medallia test data ready,Open module > perform action > validate result,Success,Low
MED-PRO-00032,Medallia,programs,Update Medallia programs,Medallia test data ready,Submit transaction > sync system > reconcile report,Success,Medium
MED-PRO-00033,Medallia,programs,Search Medallia programs,Medallia test data ready,Open module > perform action > validate result,Success,Low
MED-PRO-00034,Medallia,programs,Submit Medallia programs,Medallia test data ready,Create record > route approval > verify status,Success,Medium
MED-PRO-00035,Medallia,programs,Create Medallia programs,Medallia test data ready,Initiate integration > check queue > confirm completion,Success,High
MED-PRO-00036,Medallia,programs,Search Medallia programs,Medallia test data ready,Create record > route approval > verify status,Success,Medium
MED-PRO-00037,Medallia,programs,Update Medallia programs,Medallia test data ready,Initiate integration > check queue > confirm completion,Success,High
MED-PRO-00038,Medallia,programs,Validate Medallia programs,Medallia test data ready,Initiate integration > check queue > confirm completion,Success,Medium
MED-PRO-00039,Medallia,programs,Create Medallia programs,Medallia test data ready,Initiate integration > check queue > confirm completion,Success,Medium
MED-PRO-00040,Medallia,programs,Escalate Medallia programs,Medallia test data ready,Create record > route approval > verify status,Success,Medium
MED-PRO-00041,Medallia,programs,Submit Medallia programs,Medallia test data ready,Create record > route approval > verify status,Success,Low
MED-PRO-00042,Medallia,programs,Delete Medallia programs,Medallia test data ready,Create record > route approval > verify status,Success,High
MED-PRO-00043,Medallia,programs,Approve Medallia programs,Medallia test data ready,Submit transaction > sync system > reconcile report,Success,Low
MED-PRO-00044,Medallia,programs,Create Medallia programs,Medallia test data ready,Initiate integration > check queue > confirm completion,Success,Medium
MED-PRO-00045,Medallia,programs,Approve Medallia programs,Medallia test data ready,Open module > perform action > validate result,Success,Low
