Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
MUL-API-00001,MuleSoft,api_manager,Approve MuleSoft api_manager,MuleSoft test data ready,Submit transaction > sync system > reconcile report,Success,Medium
MUL-API-00002,MuleSoft,api_manager,Search MuleSoft api_manager,MuleSoft test data ready,Initiate integration > check queue > confirm completion,Success,Low
MUL-API-00003,MuleSoft,api_manager,Create MuleSoft api_manager,MuleSoft test data ready,Open module > perform action > validate result,Success,High
MUL-API-00004,MuleSoft,api_manager,Delete MuleSoft api_manager,MuleSoft test data ready,Initiate integration > check queue > confirm completion,Success,High
MUL-API-00005,MuleSoft,api_manager,Search MuleSoft api_manager,MuleSoft test data ready,Initiate integration > check queue > confirm completion,Success,High
MUL-API-00006,MuleSoft,api_manager,Archive MuleSoft api_manager,MuleSoft test data ready,Create record > route approval > verify status,Success,High
MUL-API-00007,MuleSoft,api_manager,Archive MuleSoft api_manager,MuleSoft test data ready,Create record > route approval > verify status,Success,Low
MUL-API-00008,MuleSoft,api_manager,Restore MuleSoft api_manager,MuleSoft test data ready,Create record > route approval > verify status,Success,High
MUL-API-00009,MuleSoft,api_manager,Clone MuleSoft api_manager,MuleSoft test data ready,Create record > route approval > verify status,Success,High
MUL-API-00010,MuleSoft,api_manager,Escalate MuleSoft api_manager,MuleSoft test data ready,Submit transaction > sync system > reconcile report,Success,High
MUL-API-00011,MuleSoft,api_manager,Update MuleSoft api_manager,MuleSoft test data ready,Initiate integration > check queue > confirm completion,Success,Low
MUL-API-00012,MuleSoft,api_manager,Edit MuleSoft api_manager,MuleSoft test data ready,Open module > perform action > validate result,Success,Low
MUL-API-00013,MuleSoft,api_manager,Validate MuleSoft api_manager,MuleSoft test data ready,Initiate integration > check queue > confirm completion,Success,High
MUL-API-00014,MuleSoft,api_manager,Edit MuleSoft api_manager,MuleSoft test data ready,Create record > route approval > verify status,Success,High
MUL-API-00015,MuleSoft,api_manager,Reject MuleSoft api_manager,MuleSoft test data ready,Open module > perform action > validate result,Success,Medium
MUL-API-00016,MuleSoft,api_manager,Validate MuleSoft api_manager,MuleSoft test data ready,Open module > perform action > validate result,Success,High
