Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
MUL-DES-00001,MuleSoft,design_center,Approve MuleSoft design_center,MuleSoft test data ready,Create record > route approval > verify status,Success,Low
MUL-DES-00002,MuleSoft,design_center,Escalate MuleSoft design_center,MuleSoft test data ready,Open module > perform action > validate result,Success,Low
MUL-DES-00003,MuleSoft,design_center,Reject MuleSoft design_center,MuleSoft test data ready,Open module > perform action > validate result,Success,High
MUL-DES-00004,MuleSoft,design_center,Search MuleSoft design_center,MuleSoft test data ready,Initiate integration > check queue > confirm completion,Success,Low
MUL-DES-00005,MuleSoft,design_center,Escalate MuleSoft design_center,MuleSoft test data ready,Initiate integration > check queue > confirm completion,Success,High
MUL-DES-00006,MuleSoft,design_center,Delete MuleSoft design_center,MuleSoft test data ready,Create record > route approval > verify status,Success,High
MUL-DES-00007,MuleSoft,design_center,Route MuleSoft design_center,MuleSoft test data ready,Submit transaction > sync system > reconcile report,Success,High
MUL-DES-00008,MuleSoft,design_center,Validate MuleSoft design_center,MuleSoft test data ready,Create record > route approval > verify status,Success,Medium
MUL-DES-00009,MuleSoft,design_center,Route MuleSoft design_center,MuleSoft test data ready,Submit transaction > sync system > reconcile report,Success,High
MUL-DES-00010,MuleSoft,design_center,Route MuleSoft design_center,MuleSoft test data ready,Submit transaction > sync system > reconcile report,Success,Medium
MUL-DES-00011,MuleSoft,design_center,Route MuleSoft design_center,MuleSoft test data ready,Submit transaction > sync system > reconcile report,Success,High
MUL-DES-00012,MuleSoft,design_center,Validate MuleSoft design_center,MuleSoft test data ready,Open module > perform action > validate result,Success,High
MUL-DES-00013,MuleSoft,design_center,Approve MuleSoft design_center,MuleSoft test data ready,Initiate integration > check queue > confirm completion,Success,Low
MUL-DES-00014,MuleSoft,design_center,Edit MuleSoft design_center,MuleSoft test data ready,Initiate integration > check queue > confirm completion,Success,High
MUL-DES-00015,MuleSoft,design_center,Validate MuleSoft design_center,MuleSoft test data ready,Initiate integration > check queue > confirm completion,Success,Low
MUL-DES-00016,MuleSoft,design_center,Edit MuleSoft design_center,MuleSoft test data ready,Open module > perform action > validate result,Success,Low
MUL-DES-00017,MuleSoft,design_center,Approve MuleSoft design_center,MuleSoft test data ready,Open module > perform action > validate result,Success,Low
MUL-DES-00018,MuleSoft,design_center,Submit MuleSoft design_center,MuleSoft test data ready,Submit transaction > sync system > reconcile report,Success,High
MUL-DES-00019,MuleSoft,design_center,Reject MuleSoft design_center,MuleSoft test data ready,Submit transaction > sync system > reconcile report,Success,High
MUL-DES-00020,MuleSoft,design_center,Reject MuleSoft design_center,MuleSoft test data ready,Submit transaction > sync system > reconcile report,Success,High
MUL-DES-00021,MuleSoft,design_center,Search MuleSoft design_center,MuleSoft test data ready,Submit transaction > sync system > reconcile report,Success,High
MUL-DES-00022,MuleSoft,design_center,Create MuleSoft design_center,MuleSoft test data ready,Open module > perform action > validate result,Success,Medium
MUL-DES-00023,MuleSoft,design_center,Archive MuleSoft design_center,MuleSoft test data ready,Submit transaction > sync system > reconcile report,Success,Low
