Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
MUL-EXC-00001,MuleSoft,exchange,Approve MuleSoft exchange,MuleSoft test data ready,Open module > perform action > validate result,Success,Low
MUL-EXC-00002,MuleSoft,exchange,Submit MuleSoft exchange,MuleSoft test data ready,Initiate integration > check queue > confirm completion,Success,Low
MUL-EXC-00003,MuleSoft,exchange,Approve MuleSoft exchange,MuleSoft test data ready,Open module > perform action > validate result,Success,High
MUL-EXC-00004,MuleSoft,exchange,Delete MuleSoft exchange,MuleSoft test data ready,Open module > perform action > validate result,Success,Medium
MUL-EXC-00005,MuleSoft,exchange,Update MuleSoft exchange,MuleSoft test data ready,Initiate integration > check queue > confirm completion,Success,Low
MUL-EXC-00006,MuleSoft,exchange,Update MuleSoft exchange,MuleSoft test data ready,Create record > route approval > verify status,Success,High
MUL-EXC-00007,MuleSoft,exchange,Submit MuleSoft exchange,MuleSoft test data ready,Create record > route approval > verify status,Success,Low
MUL-EXC-00008,MuleSoft,exchange,Create MuleSoft exchange,MuleSoft test data ready,Open module > perform action > validate result,Success,High
MUL-EXC-00009,MuleSoft,exchange,Delete MuleSoft exchange,MuleSoft test data ready,Create record > route approval > verify status,Success,Medium
MUL-EXC-00010,MuleSoft,exchange,Restore MuleSoft exchange,MuleSoft test data ready,Submit transaction > sync system > reconcile report,Success,Medium
MUL-EXC-00011,MuleSoft,exchange,Edit MuleSoft exchange,MuleSoft test data ready,Open module > perform action > validate result,Success,Medium
MUL-EXC-00012,MuleSoft,exchange,Edit MuleSoft exchange,MuleSoft test data ready,Open module > perform action > validate result,Success,Medium
MUL-EXC-00013,MuleSoft,exchange,Create MuleSoft exchange,MuleSoft test data ready,Open module > perform action > validate result,Success,Medium
MUL-EXC-00014,MuleSoft,exchange,Create MuleSoft exchange,MuleSoft test data ready,Open module > perform action > validate result,Success,Medium
MUL-EXC-00015,MuleSoft,exchange,Approve MuleSoft exchange,MuleSoft test data ready,Initiate integration > check queue > confirm completion,Success,Medium
MUL-EXC-00016,MuleSoft,exchange,Archive MuleSoft exchange,MuleSoft test data ready,Open module > perform action > validate result,Success,Medium
MUL-EXC-00017,MuleSoft,exchange,Archive MuleSoft exchange,MuleSoft test data ready,Create record > route approval > verify status,Success,Medium
MUL-EXC-00018,MuleSoft,exchange,Reject MuleSoft exchange,MuleSoft test data ready,Create record > route approval > verify status,Success,Low
MUL-EXC-00019,MuleSoft,exchange,Validate MuleSoft exchange,MuleSoft test data ready,Create record > route approval > verify status,Success,Low
MUL-EXC-00020,MuleSoft,exchange,Search MuleSoft exchange,MuleSoft test data ready,Open module > perform action > validate result,Success,Low
MUL-EXC-00021,MuleSoft,exchange,Route MuleSoft exchange,MuleSoft test data ready,Submit transaction > sync system > reconcile report,Success,Low
MUL-EXC-00022,MuleSoft,exchange,Approve MuleSoft exchange,MuleSoft test data ready,Open module > perform action > validate result,Success,High
MUL-EXC-00023,MuleSoft,exchange,Submit MuleSoft exchange,MuleSoft test data ready,Initiate integration > check queue > confirm completion,Success,Low
MUL-EXC-00024,MuleSoft,exchange,Update MuleSoft exchange,MuleSoft test data ready,Open module > perform action > validate result,Success,Low
MUL-EXC-00025,MuleSoft,exchange,Route MuleSoft exchange,MuleSoft test data ready,Open module > perform action > validate result,Success,Medium
MUL-EXC-00026,MuleSoft,exchange,Delete MuleSoft exchange,MuleSoft test data ready,Open module > perform action > validate result,Success,Medium
MUL-EXC-00027,MuleSoft,exchange,Escalate MuleSoft exchange,MuleSoft test data ready,Submit transaction > sync system > reconcile report,Success,Low
MUL-EXC-00028,MuleSoft,exchange,Delete MuleSoft exchange,MuleSoft test data ready,Initiate integration > check queue > confirm completion,Success,Low
MUL-EXC-00029,MuleSoft,exchange,Update MuleSoft exchange,MuleSoft test data ready,Open module > perform action > validate result,Success,High
MUL-EXC-00030,MuleSoft,exchange,Search MuleSoft exchange,MuleSoft test data ready,Submit transaction > sync system > reconcile report,Success,Medium
MUL-EXC-00031,MuleSoft,exchange,Submit MuleSoft exchange,MuleSoft test data ready,Submit transaction > sync system > reconcile report,Success,Low
MUL-EXC-00032,MuleSoft,exchange,Edit MuleSoft exchange,MuleSoft test data ready,Initiate integration > check queue > confirm completion,Success,Medium
MUL-EXC-00033,MuleSoft,exchange,Restore MuleSoft exchange,MuleSoft test data ready,Open module > perform action > validate result,Success,Medium
MUL-EXC-00034,MuleSoft,exchange,Route MuleSoft exchange,MuleSoft test data ready,Create record > route approval > verify status,Success,Medium
MUL-EXC-00035,MuleSoft,exchange,Reject MuleSoft exchange,MuleSoft test data ready,Initiate integration > check queue > confirm completion,Success,Medium
MUL-EXC-00036,MuleSoft,exchange,Submit MuleSoft exchange,MuleSoft test data ready,Initiate integration > check queue > confirm completion,Success,High
MUL-EXC-00037,MuleSoft,exchange,Route MuleSoft exchange,MuleSoft test data ready,Submit transaction > sync system > reconcile report,Success,High
MUL-EXC-00038,MuleSoft,exchange,Delete MuleSoft exchange,MuleSoft test data ready,Initiate integration > check queue > confirm completion,Success,High
MUL-EXC-00039,MuleSoft,exchange,Search MuleSoft exchange,MuleSoft test data ready,Initiate integration > check queue > confirm completion,Success,High
MUL-EXC-00040,MuleSoft,exchange,Submit MuleSoft exchange,MuleSoft test data ready,Create record > route approval > verify status,Success,High
MUL-EXC-00041,MuleSoft,exchange,Edit MuleSoft exchange,MuleSoft test data ready,Initiate integration > check queue > confirm completion,Success,Medium
MUL-EXC-00042,MuleSoft,exchange,Delete MuleSoft exchange,MuleSoft test data ready,Submit transaction > sync system > reconcile report,Success,High
MUL-EXC-00043,MuleSoft,exchange,Clone MuleSoft exchange,MuleSoft test data ready,Initiate integration > check queue > confirm completion,Success,Medium
MUL-EXC-00044,MuleSoft,exchange,Update MuleSoft exchange,MuleSoft test data ready,Submit transaction > sync system > reconcile report,Success,Low
MUL-EXC-00045,MuleSoft,exchange,Search MuleSoft exchange,MuleSoft test data ready,Open module > perform action > validate result,Success,Medium
MUL-EXC-00046,MuleSoft,exchange,Escalate MuleSoft exchange,MuleSoft test data ready,Create record > route approval > verify status,Success,High
MUL-EXC-00047,MuleSoft,exchange,Edit MuleSoft exchange,MuleSoft test data ready,Open module > perform action > validate result,Success,Low
MUL-EXC-00048,MuleSoft,exchange,Restore MuleSoft exchange,MuleSoft test data ready,Initiate integration > check queue > confirm completion,Success,High
MUL-EXC-00049,MuleSoft,exchange,Archive MuleSoft exchange,MuleSoft test data ready,Open module > perform action > validate result,Success,Medium
MUL-EXC-00050,MuleSoft,exchange,Route MuleSoft exchange,MuleSoft test data ready,Open module > perform action > validate result,Success,High
MUL-EXC-00051,MuleSoft,exchange,Reject MuleSoft exchange,MuleSoft test data ready,Initiate integration > check queue > confirm completion,Success,Medium
MUL-EXC-00052,MuleSoft,exchange,Validate MuleSoft exchange,MuleSoft test data ready,Open module > perform action > validate result,Success,High
MUL-EXC-00053,MuleSoft,exchange,Restore MuleSoft exchange,MuleSoft test data ready,Initiate integration > check queue > confirm completion,Success,Medium
MUL-EXC-00054,MuleSoft,exchange,Create MuleSoft exchange,MuleSoft test data ready,Initiate integration > check queue > confirm completion,Success,Medium
MUL-EXC-00055,MuleSoft,exchange,Restore MuleSoft exchange,MuleSoft test data ready,Open module > perform action > validate result,Success,Medium
MUL-EXC-00056,MuleSoft,exchange,Submit MuleSoft exchange,MuleSoft test data ready,Open module > perform action > validate result,Success,Medium
MUL-EXC-00057,MuleSoft,exchange,Reject MuleSoft exchange,MuleSoft test data ready,Open module > perform action > validate result,Success,High
MUL-EXC-00058,MuleSoft,exchange,Reject MuleSoft exchange,MuleSoft test data ready,Initiate integration > check queue > confirm completion,Success,Low
MUL-EXC-00059,MuleSoft,exchange,Create MuleSoft exchange,MuleSoft test data ready,Initiate integration > check queue > confirm completion,Success,High
MUL-EXC-00060,MuleSoft,exchange,Edit MuleSoft exchange,MuleSoft test data ready,Create record > route approval > verify status,Success,Medium
MUL-EXC-00061,MuleSoft,exchange,Edit MuleSoft exchange,MuleSoft test data ready,Submit transaction > sync system > reconcile report,Success,Medium
MUL-EXC-00062,MuleSoft,exchange,Clone MuleSoft exchange,MuleSoft test data ready,Open module > perform action > validate result,Success,Medium
MUL-EXC-00063,MuleSoft,exchange,Submit MuleSoft exchange,MuleSoft test data ready,Submit transaction > sync system > reconcile report,Success,Medium
MUL-EXC-00064,MuleSoft,exchange,Create MuleSoft exchange,MuleSoft test data ready,Create record > route approval > verify status,Success,Medium
MUL-EXC-00065,MuleSoft,exchange,Submit MuleSoft exchange,MuleSoft test data ready,Create record > route approval > verify status,Success,Medium
MUL-EXC-00066,MuleSoft,exchange,Validate MuleSoft exchange,MuleSoft test data ready,Initiate integration > check queue > confirm completion,Success,Low
MUL-EXC-00067,MuleSoft,exchange,Submit MuleSoft exchange,MuleSoft test data ready,Submit transaction > sync system > reconcile report,Success,High
MUL-EXC-00068,MuleSoft,exchange,Search MuleSoft exchange,MuleSoft test data ready,Initiate integration > check queue > confirm completion,Success,Medium
MUL-EXC-00069,MuleSoft,exchange,Edit MuleSoft exchange,MuleSoft test data ready,Open module > perform action > validate result,Success,High
MUL-EXC-00070,MuleSoft,exchange,Approve MuleSoft exchange,MuleSoft test data ready,Create record > route approval > verify status,Success,Medium
MUL-EXC-00071,MuleSoft,exchange,Reject MuleSoft exchange,MuleSoft test data ready,Submit transaction > sync system > reconcile report,Success,High
MUL-EXC-00072,MuleSoft,exchange,Delete MuleSoft exchange,MuleSoft test data ready,Initiate integration > check queue > confirm completion,Success,Medium
MUL-EXC-00073,MuleSoft,exchange,Search MuleSoft exchange,MuleSoft test data ready,Create record > route approval > verify status,Success,Low
MUL-EXC-00074,MuleSoft,exchange,Validate MuleSoft exchange,MuleSoft test data ready,Initiate integration > check queue > confirm completion,Success,High
MUL-EXC-00075,MuleSoft,exchange,Update MuleSoft exchange,MuleSoft test data ready,Open module > perform action > validate result,Success,Low
MUL-EXC-00076,MuleSoft,exchange,Update MuleSoft exchange,MuleSoft test data ready,Submit transaction > sync system > reconcile report,Success,Low
MUL-EXC-00077,MuleSoft,exchange,Route MuleSoft exchange,MuleSoft test data ready,Open module > perform action > validate result,Success,High
MUL-EXC-00078,MuleSoft,exchange,Update MuleSoft exchange,MuleSoft test data ready,Submit transaction > sync system > reconcile report,Success,Medium
MUL-EXC-00079,MuleSoft,exchange,Validate MuleSoft exchange,MuleSoft test data ready,Submit transaction > sync system > reconcile report,Success,Low
MUL-EXC-00080,MuleSoft,exchange,Edit MuleSoft exchange,MuleSoft test data ready,Initiate integration > check queue > confirm completion,Success,Medium
MUL-EXC-00081,MuleSoft,exchange,Submit MuleSoft exchange,MuleSoft test data ready,Initiate integration > check queue > confirm completion,Success,High
MUL-EXC-00082,MuleSoft,exchange,Route MuleSoft exchange,MuleSoft test data ready,Initiate integration > check queue > confirm completion,Success,Medium
MUL-EXC-00083,MuleSoft,exchange,Delete MuleSoft exchange,MuleSoft test data ready,Open module > perform action > validate result,Success,High
MUL-EXC-00084,MuleSoft,exchange,Route MuleSoft exchange,MuleSoft test data ready,Submit transaction > sync system > reconcile report,Success,High
MUL-EXC-00085,MuleSoft,exchange,Update MuleSoft exchange,MuleSoft test data ready,Create record > route approval > verify status,Success,High
MUL-EXC-00086,MuleSoft,exchange,Approve MuleSoft exchange,MuleSoft test data ready,Submit transaction > sync system > reconcile report,Success,Low
MUL-EXC-00087,MuleSoft,exchange,Create MuleSoft exchange,MuleSoft test data ready,Initiate integration > check queue > confirm completion,Success,High
MUL-EXC-00088,MuleSoft,exchange,Validate MuleSoft exchange,MuleSoft test data ready,Initiate integration > check queue > confirm completion,Success,Medium
MUL-EXC-00089,MuleSoft,exchange,Escalate MuleSoft exchange,MuleSoft test data ready,Create record > route approval > verify status,Success,Low
MUL-EXC-00090,MuleSoft,exchange,Update MuleSoft exchange,MuleSoft test data ready,Open module > perform action > validate result,Success,High
MUL-EXC-00091,MuleSoft,exchange,Validate MuleSoft exchange,MuleSoft test data ready,Initiate integration > check queue > confirm completion,Success,Medium
MUL-EXC-00092,MuleSoft,exchange,Route MuleSoft exchange,MuleSoft test data ready,Open module > perform action > validate result,Success,Medium
MUL-EXC-00093,MuleSoft,exchange,Search MuleSoft exchange,MuleSoft test data ready,Submit transaction > sync system > reconcile report,Success,Low
MUL-EXC-00094,MuleSoft,exchange,Approve MuleSoft exchange,MuleSoft test data ready,Open module > perform action > validate result,Success,Low
MUL-EXC-00095,MuleSoft,exchange,Clone MuleSoft exchange,MuleSoft test data ready,Submit transaction > sync system > reconcile report,Success,High
MUL-EXC-00096,MuleSoft,exchange,Restore MuleSoft exchange,MuleSoft test data ready,Create record > route approval > verify status,Success,High
MUL-EXC-00097,MuleSoft,exchange,Delete MuleSoft exchange,MuleSoft test data ready,Create record > route approval > verify status,Success,Low
MUL-EXC-00098,MuleSoft,exchange,Update MuleSoft exchange,MuleSoft test data ready,Open module > perform action > validate result,Success,Low
MUL-EXC-00099,MuleSoft,exchange,Submit MuleSoft exchange,MuleSoft test data ready,Initiate integration > check queue > confirm completion,Success,Medium
MUL-EXC-00100,MuleSoft,exchange,Approve MuleSoft exchange,MuleSoft test data ready,Initiate integration > check queue > confirm completion,Success,High
MUL-EXC-00101,MuleSoft,exchange,Restore MuleSoft exchange,MuleSoft test data ready,Submit transaction > sync system > reconcile report,Success,Low
MUL-EXC-00102,MuleSoft,exchange,Restore MuleSoft exchange,MuleSoft test data ready,Open module > perform action > validate result,Success,High
