Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
MUL-RAM-00001,MuleSoft,raml,Edit MuleSoft raml,MuleSoft test data ready,Initiate integration > check queue > confirm completion,Success,Medium
MUL-RAM-00002,MuleSoft,raml,Search MuleSoft raml,MuleSoft test data ready,Initiate integration > check queue > confirm completion,Success,Low
MUL-RAM-00003,MuleSoft,raml,Escalate MuleSoft raml,MuleSoft test data ready,Initiate integration > check queue > confirm completion,Success,Low
MUL-RAM-00004,MuleSoft,raml,Clone MuleSoft raml,MuleSoft test data ready,Initiate integration > check queue > confirm completion,Success,Medium
MUL-RAM-00005,MuleSoft,raml,Delete MuleSoft raml,MuleSoft test data ready,Submit transaction > sync system > reconcile report,Success,Low
MUL-RAM-00006,MuleSoft,raml,Clone MuleSoft raml,MuleSoft test data ready,Open module > perform action > validate result,Success,Medium
MUL-RAM-00007,MuleSoft,raml,Submit MuleSoft raml,MuleSoft test data ready,Initiate integration > check queue > confirm completion,Success,Low
MUL-RAM-00008,MuleSoft,raml,Update MuleSoft raml,MuleSoft test data ready,Create record > route approval > verify status,Success,Medium
MUL-RAM-00009,MuleSoft,raml,Route MuleSoft raml,MuleSoft test data ready,Initiate integration > check queue > confirm completion,Success,High
MUL-RAM-00010,MuleSoft,raml,Update MuleSoft raml,MuleSoft test data ready,Submit transaction > sync system > reconcile report,Success,High
MUL-RAM-00011,MuleSoft,raml,Delete MuleSoft raml,MuleSoft test data ready,Initiate integration > check queue > confirm completion,Success,High
MUL-RAM-00012,MuleSoft,raml,Delete MuleSoft raml,MuleSoft test data ready,Initiate integration > check queue > confirm completion,Success,High
MUL-RAM-00013,MuleSoft,raml,Create MuleSoft raml,MuleSoft test data ready,Create record > route approval > verify status,Success,Low
MUL-RAM-00014,MuleSoft,raml,Submit MuleSoft raml,MuleSoft test data ready,Initiate integration > check queue > confirm completion,Success,High
MUL-RAM-00015,MuleSoft,raml,Approve MuleSoft raml,MuleSoft test data ready,Initiate integration > check queue > confirm completion,Success,Medium
MUL-RAM-00016,MuleSoft,raml,Search MuleSoft raml,MuleSoft test data ready,Initiate integration > check queue > confirm completion,Success,Medium
MUL-RAM-00017,MuleSoft,raml,Approve MuleSoft raml,MuleSoft test data ready,Initiate integration > check queue > confirm completion,Success,High
MUL-RAM-00018,MuleSoft,raml,Escalate MuleSoft raml,MuleSoft test data ready,Initiate integration > check queue > confirm completion,Success,Medium
MUL-RAM-00019,MuleSoft,raml,Archive MuleSoft raml,MuleSoft test data ready,Open module > perform action > validate result,Success,Medium
MUL-RAM-00020,MuleSoft,raml,Validate MuleSoft raml,MuleSoft test data ready,Submit transaction > sync system > reconcile report,Success,Medium
MUL-RAM-00021,MuleSoft,raml,Archive MuleSoft raml,MuleSoft test data ready,Open module > perform action > validate result,Success,Medium
MUL-RAM-00022,MuleSoft,raml,Search MuleSoft raml,MuleSoft test data ready,Open module > perform action > validate result,Success,Low
MUL-RAM-00023,MuleSoft,raml,Reject MuleSoft raml,MuleSoft test data ready,Create record > route approval > verify status,Success,Low
MUL-RAM-00024,MuleSoft,raml,Search MuleSoft raml,MuleSoft test data ready,Submit transaction > sync system > reconcile report,Success,Low
MUL-RAM-00025,MuleSoft,raml,Archive MuleSoft raml,MuleSoft test data ready,Create record > route approval > verify status,Success,Medium
MUL-RAM-00026,MuleSoft,raml,Edit MuleSoft raml,MuleSoft test data ready,Initiate integration > check queue > confirm completion,Success,High
MUL-RAM-00027,MuleSoft,raml,Delete MuleSoft raml,MuleSoft test data ready,Submit transaction > sync system > reconcile report,Success,Low
MUL-RAM-00028,MuleSoft,raml,Edit MuleSoft raml,MuleSoft test data ready,Open module > perform action > validate result,Success,High
MUL-RAM-00029,MuleSoft,raml,Route MuleSoft raml,MuleSoft test data ready,Open module > perform action > validate result,Success,Medium
MUL-RAM-00030,MuleSoft,raml,Escalate MuleSoft raml,MuleSoft test data ready,Submit transaction > sync system > reconcile report,Success,Low
MUL-RAM-00031,MuleSoft,raml,Route MuleSoft raml,MuleSoft test data ready,Initiate integration > check queue > confirm completion,Success,Medium
MUL-RAM-00032,MuleSoft,raml,Validate MuleSoft raml,MuleSoft test data ready,Open module > perform action > validate result,Success,High
MUL-RAM-00033,MuleSoft,raml,Delete MuleSoft raml,MuleSoft test data ready,Create record > route approval > verify status,Success,Low
MUL-RAM-00034,MuleSoft,raml,Reject MuleSoft raml,MuleSoft test data ready,Create record > route approval > verify status,Success,Medium
MUL-RAM-00035,MuleSoft,raml,Delete MuleSoft raml,MuleSoft test data ready,Initiate integration > check queue > confirm completion,Success,Medium
MUL-RAM-00036,MuleSoft,raml,Update MuleSoft raml,MuleSoft test data ready,Open module > perform action > validate result,Success,Medium
MUL-RAM-00037,MuleSoft,raml,Edit MuleSoft raml,MuleSoft test data ready,Create record > route approval > verify status,Success,High
MUL-RAM-00038,MuleSoft,raml,Clone MuleSoft raml,MuleSoft test data ready,Create record > route approval > verify status,Success,Low
MUL-RAM-00039,MuleSoft,raml,Restore MuleSoft raml,MuleSoft test data ready,Initiate integration > check queue > confirm completion,Success,High
MUL-RAM-00040,MuleSoft,raml,Archive MuleSoft raml,MuleSoft test data ready,Initiate integration > check queue > confirm completion,Success,Medium
MUL-RAM-00041,MuleSoft,raml,Submit MuleSoft raml,MuleSoft test data ready,Submit transaction > sync system > reconcile report,Success,Medium
MUL-RAM-00042,MuleSoft,raml,Reject MuleSoft raml,MuleSoft test data ready,Initiate integration > check queue > confirm completion,Success,Medium
MUL-RAM-00043,MuleSoft,raml,Approve MuleSoft raml,MuleSoft test data ready,Create record > route approval > verify status,Success,High
MUL-RAM-00044,MuleSoft,raml,Create MuleSoft raml,MuleSoft test data ready,Submit transaction > sync system > reconcile report,Success,Medium
MUL-RAM-00045,MuleSoft,raml,Submit MuleSoft raml,MuleSoft test data ready,Create record > route approval > verify status,Success,Medium
MUL-RAM-00046,MuleSoft,raml,Create MuleSoft raml,MuleSoft test data ready,Submit transaction > sync system > reconcile report,Success,Medium
MUL-RAM-00047,MuleSoft,raml,Clone MuleSoft raml,MuleSoft test data ready,Submit transaction > sync system > reconcile report,Success,Low
MUL-RAM-00048,MuleSoft,raml,Escalate MuleSoft raml,MuleSoft test data ready,Open module > perform action > validate result,Success,High
MUL-RAM-00049,MuleSoft,raml,Edit MuleSoft raml,MuleSoft test data ready,Create record > route approval > verify status,Success,High
MUL-RAM-00050,MuleSoft,raml,Route MuleSoft raml,MuleSoft test data ready,Open module > perform action > validate result,Success,High
MUL-RAM-00051,MuleSoft,raml,Validate MuleSoft raml,MuleSoft test data ready,Create record > route approval > verify status,Success,High
MUL-RAM-00052,MuleSoft,raml,Validate MuleSoft raml,MuleSoft test data ready,Submit transaction > sync system > reconcile report,Success,Medium
MUL-RAM-00053,MuleSoft,raml,Escalate MuleSoft raml,MuleSoft test data ready,Initiate integration > check queue > confirm completion,Success,High
MUL-RAM-00054,MuleSoft,raml,Validate MuleSoft raml,MuleSoft test data ready,Submit transaction > sync system > reconcile report,Success,Medium
MUL-RAM-00055,MuleSoft,raml,Approve MuleSoft raml,MuleSoft test data ready,Initiate integration > check queue > confirm completion,Success,Medium
MUL-RAM-00056,MuleSoft,raml,Edit MuleSoft raml,MuleSoft test data ready,Submit transaction > sync system > reconcile report,Success,High
MUL-RAM-00057,MuleSoft,raml,Search MuleSoft raml,MuleSoft test data ready,Open module > perform action > validate result,Success,High
MUL-RAM-00058,MuleSoft,raml,Update MuleSoft raml,MuleSoft test data ready,Initiate integration > check queue > confirm completion,Success,Low
MUL-RAM-00059,MuleSoft,raml,Route MuleSoft raml,MuleSoft test data ready,Submit transaction > sync system > reconcile report,Success,Medium
MUL-RAM-00060,MuleSoft,raml,Validate MuleSoft raml,MuleSoft test data ready,Open module > perform action > validate result,Success,Low
MUL-RAM-00061,MuleSoft,raml,Reject MuleSoft raml,MuleSoft test data ready,Create record > route approval > verify status,Success,High
MUL-RAM-00062,MuleSoft,raml,Edit MuleSoft raml,MuleSoft test data ready,Submit transaction > sync system > reconcile report,Success,Medium
MUL-RAM-00063,MuleSoft,raml,Create MuleSoft raml,MuleSoft test data ready,Create record > route approval > verify status,Success,Low
MUL-RAM-00064,MuleSoft,raml,Escalate MuleSoft raml,MuleSoft test data ready,Initiate integration > check queue > confirm completion,Success,Medium
MUL-RAM-00065,MuleSoft,raml,Delete MuleSoft raml,MuleSoft test data ready,Create record > route approval > verify status,Success,Medium
MUL-RAM-00066,MuleSoft,raml,Submit MuleSoft raml,MuleSoft test data ready,Initiate integration > check queue > confirm completion,Success,High
