Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
MUL-RUN-00001,MuleSoft,runtime_manager,Edit MuleSoft runtime_manager,MuleSoft test data ready,Initiate integration > check queue > confirm completion,Success,Medium
MUL-RUN-00002,MuleSoft,runtime_manager,Update MuleSoft runtime_manager,MuleSoft test data ready,Initiate integration > check queue > confirm completion,Success,Low
MUL-RUN-00003,MuleSoft,runtime_manager,Clone MuleSoft runtime_manager,MuleSoft test data ready,Open module > perform action > validate result,Success,Low
MUL-RUN-00004,MuleSoft,runtime_manager,Escalate MuleSoft runtime_manager,MuleSoft test data ready,Create record > route approval > verify status,Success,Medium
MUL-RUN-00005,MuleSoft,runtime_manager,Archive MuleSoft runtime_manager,MuleSoft test data ready,Initiate integration > check queue > confirm completion,Success,Low
MUL-RUN-00006,MuleSoft,runtime_manager,Delete MuleSoft runtime_manager,MuleSoft test data ready,Open module > perform action > validate result,Success,High
MUL-RUN-00007,MuleSoft,runtime_manager,Submit MuleSoft runtime_manager,MuleSoft test data ready,Create record > route approval > verify status,Success,Medium
MUL-RUN-00008,MuleSoft,runtime_manager,Create MuleSoft runtime_manager,MuleSoft test data ready,Submit transaction > sync system > reconcile report,Success,Medium
MUL-RUN-00009,MuleSoft,runtime_manager,Submit MuleSoft runtime_manager,MuleSoft test data ready,Create record > route approval > verify status,Success,High
MUL-RUN-00010,MuleSoft,runtime_manager,Validate MuleSoft runtime_manager,MuleSoft test data ready,Create record > route approval > verify status,Success,High
MUL-RUN-00011,MuleSoft,runtime_manager,Clone MuleSoft runtime_manager,MuleSoft test data ready,Initiate integration > check queue > confirm completion,Success,Medium
MUL-RUN-00012,MuleSoft,runtime_manager,Restore MuleSoft runtime_manager,MuleSoft test data ready,Open module > perform action > validate result,Success,Low
MUL-RUN-00013,MuleSoft,runtime_manager,Archive MuleSoft runtime_manager,MuleSoft test data ready,Submit transaction > sync system > reconcile report,Success,High
MUL-RUN-00014,MuleSoft,runtime_manager,Archive MuleSoft runtime_manager,MuleSoft test data ready,Create record > route approval > verify status,Success,Medium
MUL-RUN-00015,MuleSoft,runtime_manager,Delete MuleSoft runtime_manager,MuleSoft test data ready,Create record > route approval > verify status,Success,Low
MUL-RUN-00016,MuleSoft,runtime_manager,Restore MuleSoft runtime_manager,MuleSoft test data ready,Open module > perform action > validate result,Success,Medium
MUL-RUN-00017,MuleSoft,runtime_manager,Approve MuleSoft runtime_manager,MuleSoft test data ready,Initiate integration > check queue > confirm completion,Success,Low
MUL-RUN-00018,MuleSoft,runtime_manager,Approve MuleSoft runtime_manager,MuleSoft test data ready,Open module > perform action > validate result,Success,Medium
MUL-RUN-00019,MuleSoft,runtime_manager,Update MuleSoft runtime_manager,MuleSoft test data ready,Create record > route approval > verify status,Success,Low
MUL-RUN-00020,MuleSoft,runtime_manager,Approve MuleSoft runtime_manager,MuleSoft test data ready,Open module > perform action > validate result,Success,High
MUL-RUN-00021,MuleSoft,runtime_manager,Search MuleSoft runtime_manager,MuleSoft test data ready,Open module > perform action > validate result,Success,Medium
MUL-RUN-00022,MuleSoft,runtime_manager,Route MuleSoft runtime_manager,MuleSoft test data ready,Initiate integration > check queue > confirm completion,Success,Medium
MUL-RUN-00023,MuleSoft,runtime_manager,Create MuleSoft runtime_manager,MuleSoft test data ready,Open module > perform action > validate result,Success,Medium
MUL-RUN-00024,MuleSoft,runtime_manager,Restore MuleSoft runtime_manager,MuleSoft test data ready,Initiate integration > check queue > confirm completion,Success,Medium
MUL-RUN-00025,MuleSoft,runtime_manager,Approve MuleSoft runtime_manager,MuleSoft test data ready,Initiate integration > check queue > confirm completion,Success,Low
MUL-RUN-00026,MuleSoft,runtime_manager,Delete MuleSoft runtime_manager,MuleSoft test data ready,Initiate integration > check queue > confirm completion,Success,Low
MUL-RUN-00027,MuleSoft,runtime_manager,Delete MuleSoft runtime_manager,MuleSoft test data ready,Create record > route approval > verify status,Success,High
MUL-RUN-00028,MuleSoft,runtime_manager,Create MuleSoft runtime_manager,MuleSoft test data ready,Create record > route approval > verify status,Success,Low
MUL-RUN-00029,MuleSoft,runtime_manager,Approve MuleSoft runtime_manager,MuleSoft test data ready,Submit transaction > sync system > reconcile report,Success,Low
MUL-RUN-00030,MuleSoft,runtime_manager,Update MuleSoft runtime_manager,MuleSoft test data ready,Open module > perform action > validate result,Success,Medium
MUL-RUN-00031,MuleSoft,runtime_manager,Archive MuleSoft runtime_manager,MuleSoft test data ready,Initiate integration > check queue > confirm completion,Success,Low
MUL-RUN-00032,MuleSoft,runtime_manager,Update MuleSoft runtime_manager,MuleSoft test data ready,Open module > perform action > validate result,Success,Low
MUL-RUN-00033,MuleSoft,runtime_manager,Search MuleSoft runtime_manager,MuleSoft test data ready,Open module > perform action > validate result,Success,Low
MUL-RUN-00034,MuleSoft,runtime_manager,Clone MuleSoft runtime_manager,MuleSoft test data ready,Initiate integration > check queue > confirm completion,Success,Low
MUL-RUN-00035,MuleSoft,runtime_manager,Clone MuleSoft runtime_manager,MuleSoft test data ready,Open module > perform action > validate result,Success,Low
MUL-RUN-00036,MuleSoft,runtime_manager,Reject MuleSoft runtime_manager,MuleSoft test data ready,Open module > perform action > validate result,Success,Medium
MUL-RUN-00037,MuleSoft,runtime_manager,Create MuleSoft runtime_manager,MuleSoft test data ready,Initiate integration > check queue > confirm completion,Success,Medium
MUL-RUN-00038,MuleSoft,runtime_manager,Restore MuleSoft runtime_manager,MuleSoft test data ready,Open module > perform action > validate result,Success,High
MUL-RUN-00039,MuleSoft,runtime_manager,Archive MuleSoft runtime_manager,MuleSoft test data ready,Open module > perform action > validate result,Success,Low
MUL-RUN-00040,MuleSoft,runtime_manager,Validate MuleSoft runtime_manager,MuleSoft test data ready,Initiate integration > check queue > confirm completion,Success,High
MUL-RUN-00041,MuleSoft,runtime_manager,Edit MuleSoft runtime_manager,MuleSoft test data ready,Submit transaction > sync system > reconcile report,Success,Medium
MUL-RUN-00042,MuleSoft,runtime_manager,Delete MuleSoft runtime_manager,MuleSoft test data ready,Open module > perform action > validate result,Success,High
MUL-RUN-00043,MuleSoft,runtime_manager,Search MuleSoft runtime_manager,MuleSoft test data ready,Initiate integration > check queue > confirm completion,Success,Low
MUL-RUN-00044,MuleSoft,runtime_manager,Delete MuleSoft runtime_manager,MuleSoft test data ready,Open module > perform action > validate result,Success,High
MUL-RUN-00045,MuleSoft,runtime_manager,Approve MuleSoft runtime_manager,MuleSoft test data ready,Create record > route approval > verify status,Success,High
MUL-RUN-00046,MuleSoft,runtime_manager,Update MuleSoft runtime_manager,MuleSoft test data ready,Open module > perform action > validate result,Success,Low
MUL-RUN-00047,MuleSoft,runtime_manager,Edit MuleSoft runtime_manager,MuleSoft test data ready,Open module > perform action > validate result,Success,Low
MUL-RUN-00048,MuleSoft,runtime_manager,Restore MuleSoft runtime_manager,MuleSoft test data ready,Submit transaction > sync system > reconcile report,Success,Low
