Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
NET-CRM-00001,NetSuite,crm,Approve NetSuite crm,NetSuite test data ready,Initiate integration > check queue > confirm completion,Success,Low
NET-CRM-00002,NetSuite,crm,Update NetSuite crm,NetSuite test data ready,Submit transaction > sync system > reconcile report,Success,Medium
NET-CRM-00003,NetSuite,crm,Archive NetSuite crm,NetSuite test data ready,Create record > route approval > verify status,Success,Low
NET-CRM-00004,NetSuite,crm,Edit NetSuite crm,NetSuite test data ready,Create record > route approval > verify status,Success,High
NET-CRM-00005,NetSuite,crm,Delete NetSuite crm,NetSuite test data ready,Create record > route approval > verify status,Success,High
NET-CRM-00006,NetSuite,crm,Edit NetSuite crm,NetSuite test data ready,Initiate integration > check queue > confirm completion,Success,High
NET-CRM-00007,NetSuite,crm,Route NetSuite crm,NetSuite test data ready,Create record > route approval > verify status,Success,High
NET-CRM-00008,NetSuite,crm,Submit NetSuite crm,NetSuite test data ready,Initiate integration > check queue > confirm completion,Success,Medium
NET-CRM-00009,NetSuite,crm,Edit NetSuite crm,NetSuite test data ready,Open module > perform action > validate result,Success,High
NET-CRM-00010,NetSuite,crm,Archive NetSuite crm,NetSuite test data ready,Submit transaction > sync system > reconcile report,Success,Medium
NET-CRM-00011,NetSuite,crm,Validate NetSuite crm,NetSuite test data ready,Open module > perform action > validate result,Success,High
NET-CRM-00012,NetSuite,crm,Clone NetSuite crm,NetSuite test data ready,Initiate integration > check queue > confirm completion,Success,Low
NET-CRM-00013,NetSuite,crm,Submit NetSuite crm,NetSuite test data ready,Open module > perform action > validate result,Success,Medium
NET-CRM-00014,NetSuite,crm,Approve NetSuite crm,NetSuite test data ready,Open module > perform action > validate result,Success,High
NET-CRM-00015,NetSuite,crm,Edit NetSuite crm,NetSuite test data ready,Initiate integration > check queue > confirm completion,Success,High
NET-CRM-00016,NetSuite,crm,Archive NetSuite crm,NetSuite test data ready,Initiate integration > check queue > confirm completion,Success,Low
NET-CRM-00017,NetSuite,crm,Route NetSuite crm,NetSuite test data ready,Initiate integration > check queue > confirm completion,Success,Low
NET-CRM-00018,NetSuite,crm,Restore NetSuite crm,NetSuite test data ready,Open module > perform action > validate result,Success,Low
NET-CRM-00019,NetSuite,crm,Restore NetSuite crm,NetSuite test data ready,Create record > route approval > verify status,Success,Medium
NET-CRM-00020,NetSuite,crm,Reject NetSuite crm,NetSuite test data ready,Submit transaction > sync system > reconcile report,Success,Medium
NET-CRM-00021,NetSuite,crm,Update NetSuite crm,NetSuite test data ready,Open module > perform action > validate result,Success,Low
NET-CRM-00022,NetSuite,crm,Restore NetSuite crm,NetSuite test data ready,Open module > perform action > validate result,Success,Medium
NET-CRM-00023,NetSuite,crm,Delete NetSuite crm,NetSuite test data ready,Open module > perform action > validate result,Success,Medium
NET-CRM-00024,NetSuite,crm,Validate NetSuite crm,NetSuite test data ready,Open module > perform action > validate result,Success,High
NET-CRM-00025,NetSuite,crm,Clone NetSuite crm,NetSuite test data ready,Submit transaction > sync system > reconcile report,Success,Low
NET-CRM-00026,NetSuite,crm,Submit NetSuite crm,NetSuite test data ready,Create record > route approval > verify status,Success,High
NET-CRM-00027,NetSuite,crm,Restore NetSuite crm,NetSuite test data ready,Submit transaction > sync system > reconcile report,Success,High
NET-CRM-00028,NetSuite,crm,Validate NetSuite crm,NetSuite test data ready,Open module > perform action > validate result,Success,High
NET-CRM-00029,NetSuite,crm,Approve NetSuite crm,NetSuite test data ready,Initiate integration > check queue > confirm completion,Success,Medium
NET-CRM-00030,NetSuite,crm,Route NetSuite crm,NetSuite test data ready,Open module > perform action > validate result,Success,High
NET-CRM-00031,NetSuite,crm,Update NetSuite crm,NetSuite test data ready,Open module > perform action > validate result,Success,High
NET-CRM-00032,NetSuite,crm,Delete NetSuite crm,NetSuite test data ready,Initiate integration > check queue > confirm completion,Success,Low
NET-CRM-00033,NetSuite,crm,Route NetSuite crm,NetSuite test data ready,Submit transaction > sync system > reconcile report,Success,Low
NET-CRM-00034,NetSuite,crm,Reject NetSuite crm,NetSuite test data ready,Submit transaction > sync system > reconcile report,Success,Low
NET-CRM-00035,NetSuite,crm,Archive NetSuite crm,NetSuite test data ready,Create record > route approval > verify status,Success,Medium
NET-CRM-00036,NetSuite,crm,Edit NetSuite crm,NetSuite test data ready,Submit transaction > sync system > reconcile report,Success,Medium
