Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
NET-FIN-00001,NetSuite,financials,Validate NetSuite financials,NetSuite test data ready,Initiate integration > check queue > confirm completion,Success,Medium
NET-FIN-00002,NetSuite,financials,Archive NetSuite financials,NetSuite test data ready,Submit transaction > sync system > reconcile report,Success,Low
NET-FIN-00003,NetSuite,financials,Escalate NetSuite financials,NetSuite test data ready,Submit transaction > sync system > reconcile report,Success,High
NET-FIN-00004,NetSuite,financials,Route NetSuite financials,NetSuite test data ready,Submit transaction > sync system > reconcile report,Success,Low
NET-FIN-00005,NetSuite,financials,Delete NetSuite financials,NetSuite test data ready,Submit transaction > sync system > reconcile report,Success,Low
NET-FIN-00006,NetSuite,financials,Create NetSuite financials,NetSuite test data ready,Initiate integration > check queue > confirm completion,Success,High
NET-FIN-00007,NetSuite,financials,Restore NetSuite financials,NetSuite test data ready,Initiate integration > check queue > confirm completion,Success,Low
NET-FIN-00008,NetSuite,financials,Delete NetSuite financials,NetSuite test data ready,Create record > route approval > verify status,Success,High
NET-FIN-00009,NetSuite,financials,Route NetSuite financials,NetSuite test data ready,Create record > route approval > verify status,Success,High
NET-FIN-00010,NetSuite,financials,Approve NetSuite financials,NetSuite test data ready,Open module > perform action > validate result,Success,Low
NET-FIN-00011,NetSuite,financials,Approve NetSuite financials,NetSuite test data ready,Create record > route approval > verify status,Success,Low
NET-FIN-00012,NetSuite,financials,Delete NetSuite financials,NetSuite test data ready,Open module > perform action > validate result,Success,Low
NET-FIN-00013,NetSuite,financials,Archive NetSuite financials,NetSuite test data ready,Open module > perform action > validate result,Success,Low
NET-FIN-00014,NetSuite,financials,Escalate NetSuite financials,NetSuite test data ready,Initiate integration > check queue > confirm completion,Success,Low
NET-FIN-00015,NetSuite,financials,Search NetSuite financials,NetSuite test data ready,Open module > perform action > validate result,Success,High
NET-FIN-00016,NetSuite,financials,Validate NetSuite financials,NetSuite test data ready,Submit transaction > sync system > reconcile report,Success,High
NET-FIN-00017,NetSuite,financials,Delete NetSuite financials,NetSuite test data ready,Submit transaction > sync system > reconcile report,Success,Medium
NET-FIN-00018,NetSuite,financials,Approve NetSuite financials,NetSuite test data ready,Submit transaction > sync system > reconcile report,Success,Medium
NET-FIN-00019,NetSuite,financials,Route NetSuite financials,NetSuite test data ready,Open module > perform action > validate result,Success,Low
NET-FIN-00020,NetSuite,financials,Archive NetSuite financials,NetSuite test data ready,Initiate integration > check queue > confirm completion,Success,Low
NET-FIN-00021,NetSuite,financials,Archive NetSuite financials,NetSuite test data ready,Open module > perform action > validate result,Success,Medium
NET-FIN-00022,NetSuite,financials,Update NetSuite financials,NetSuite test data ready,Initiate integration > check queue > confirm completion,Success,Low
NET-FIN-00023,NetSuite,financials,Search NetSuite financials,NetSuite test data ready,Create record > route approval > verify status,Success,Medium
NET-FIN-00024,NetSuite,financials,Clone NetSuite financials,NetSuite test data ready,Create record > route approval > verify status,Success,High
NET-FIN-00025,NetSuite,financials,Submit NetSuite financials,NetSuite test data ready,Submit transaction > sync system > reconcile report,Success,High
NET-FIN-00026,NetSuite,financials,Restore NetSuite financials,NetSuite test data ready,Submit transaction > sync system > reconcile report,Success,High
NET-FIN-00027,NetSuite,financials,Reject NetSuite financials,NetSuite test data ready,Create record > route approval > verify status,Success,High
NET-FIN-00028,NetSuite,financials,Approve NetSuite financials,NetSuite test data ready,Submit transaction > sync system > reconcile report,Success,Medium
NET-FIN-00029,NetSuite,financials,Escalate NetSuite financials,NetSuite test data ready,Submit transaction > sync system > reconcile report,Success,High
NET-FIN-00030,NetSuite,financials,Clone NetSuite financials,NetSuite test data ready,Create record > route approval > verify status,Success,Low
NET-FIN-00031,NetSuite,financials,Restore NetSuite financials,NetSuite test data ready,Submit transaction > sync system > reconcile report,Success,Low
NET-FIN-00032,NetSuite,financials,Create NetSuite financials,NetSuite test data ready,Create record > route approval > verify status,Success,High
NET-FIN-00033,NetSuite,financials,Escalate NetSuite financials,NetSuite test data ready,Open module > perform action > validate result,Success,High
NET-FIN-00034,NetSuite,financials,Approve NetSuite financials,NetSuite test data ready,Open module > perform action > validate result,Success,Medium
NET-FIN-00035,NetSuite,financials,Archive NetSuite financials,NetSuite test data ready,Open module > perform action > validate result,Success,Medium
NET-FIN-00036,NetSuite,financials,Search NetSuite financials,NetSuite test data ready,Submit transaction > sync system > reconcile report,Success,Low
NET-FIN-00037,NetSuite,financials,Reject NetSuite financials,NetSuite test data ready,Initiate integration > check queue > confirm completion,Success,Low
NET-FIN-00038,NetSuite,financials,Create NetSuite financials,NetSuite test data ready,Submit transaction > sync system > reconcile report,Success,Medium
NET-FIN-00039,NetSuite,financials,Submit NetSuite financials,NetSuite test data ready,Initiate integration > check queue > confirm completion,Success,Low
NET-FIN-00040,NetSuite,financials,Update NetSuite financials,NetSuite test data ready,Initiate integration > check queue > confirm completion,Success,Medium
NET-FIN-00041,NetSuite,financials,Create NetSuite financials,NetSuite test data ready,Open module > perform action > validate result,Success,Low
NET-FIN-00042,NetSuite,financials,Archive NetSuite financials,NetSuite test data ready,Initiate integration > check queue > confirm completion,Success,Low
NET-FIN-00043,NetSuite,financials,Reject NetSuite financials,NetSuite test data ready,Initiate integration > check queue > confirm completion,Success,Low
NET-FIN-00044,NetSuite,financials,Search NetSuite financials,NetSuite test data ready,Submit transaction > sync system > reconcile report,Success,High
NET-FIN-00045,NetSuite,financials,Validate NetSuite financials,NetSuite test data ready,Open module > perform action > validate result,Success,Low
NET-FIN-00046,NetSuite,financials,Delete NetSuite financials,NetSuite test data ready,Initiate integration > check queue > confirm completion,Success,Low
