Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
NET-INV-00001,NetSuite,inventory,Restore NetSuite inventory,NetSuite test data ready,Submit transaction > sync system > reconcile report,Success,High
NET-INV-00002,NetSuite,inventory,Clone NetSuite inventory,NetSuite test data ready,Initiate integration > check queue > confirm completion,Success,Low
NET-INV-00003,NetSuite,inventory,Approve NetSuite inventory,NetSuite test data ready,Submit transaction > sync system > reconcile report,Success,High
NET-INV-00004,NetSuite,inventory,Search NetSuite inventory,NetSuite test data ready,Initiate integration > check queue > confirm completion,Success,Medium
NET-INV-00005,NetSuite,inventory,Delete NetSuite inventory,NetSuite test data ready,Create record > route approval > verify status,Success,Medium
NET-INV-00006,NetSuite,inventory,Clone NetSuite inventory,NetSuite test data ready,Initiate integration > check queue > confirm completion,Success,High
NET-INV-00007,NetSuite,inventory,Route NetSuite inventory,NetSuite test data ready,Open module > perform action > validate result,Success,Low
NET-INV-00008,NetSuite,inventory,Submit NetSuite inventory,NetSuite test data ready,Open module > perform action > validate result,Success,High
NET-INV-00009,NetSuite,inventory,Restore NetSuite inventory,NetSuite test data ready,Create record > route approval > verify status,Success,Low
NET-INV-00010,NetSuite,inventory,Reject NetSuite inventory,NetSuite test data ready,Initiate integration > check queue > confirm completion,Success,Low
NET-INV-00011,NetSuite,inventory,Delete NetSuite inventory,NetSuite test data ready,Submit transaction > sync system > reconcile report,Success,High
NET-INV-00012,NetSuite,inventory,Submit NetSuite inventory,NetSuite test data ready,Open module > perform action > validate result,Success,Low
NET-INV-00013,NetSuite,inventory,Create NetSuite inventory,NetSuite test data ready,Create record > route approval > verify status,Success,Medium
NET-INV-00014,NetSuite,inventory,Restore NetSuite inventory,NetSuite test data ready,Submit transaction > sync system > reconcile report,Success,High
NET-INV-00015,NetSuite,inventory,Restore NetSuite inventory,NetSuite test data ready,Create record > route approval > verify status,Success,High
NET-INV-00016,NetSuite,inventory,Escalate NetSuite inventory,NetSuite test data ready,Initiate integration > check queue > confirm completion,Success,Low
NET-INV-00017,NetSuite,inventory,Escalate NetSuite inventory,NetSuite test data ready,Initiate integration > check queue > confirm completion,Success,High
