Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
NET-ORD-00001,NetSuite,order_management,Escalate NetSuite order_management,NetSuite test data ready,Initiate integration > check queue > confirm completion,Success,High
NET-ORD-00002,NetSuite,order_management,Update NetSuite order_management,NetSuite test data ready,Initiate integration > check queue > confirm completion,Success,Medium
NET-ORD-00003,NetSuite,order_management,Approve NetSuite order_management,NetSuite test data ready,Initiate integration > check queue > confirm completion,Success,Low
NET-ORD-00004,NetSuite,order_management,Delete NetSuite order_management,NetSuite test data ready,Open module > perform action > validate result,Success,Medium
NET-ORD-00005,NetSuite,order_management,Submit NetSuite order_management,NetSuite test data ready,Create record > route approval > verify status,Success,Low
NET-ORD-00006,NetSuite,order_management,Validate NetSuite order_management,NetSuite test data ready,Submit transaction > sync system > reconcile report,Success,Low
NET-ORD-00007,NetSuite,order_management,Validate NetSuite order_management,NetSuite test data ready,Create record > route approval > verify status,Success,Low
NET-ORD-00008,NetSuite,order_management,Update NetSuite order_management,NetSuite test data ready,Initiate integration > check queue > confirm completion,Success,Low
NET-ORD-00009,NetSuite,order_management,Clone NetSuite order_management,NetSuite test data ready,Create record > route approval > verify status,Success,Medium
NET-ORD-00010,NetSuite,order_management,Submit NetSuite order_management,NetSuite test data ready,Open module > perform action > validate result,Success,Medium
NET-ORD-00011,NetSuite,order_management,Escalate NetSuite order_management,NetSuite test data ready,Create record > route approval > verify status,Success,Medium
NET-ORD-00012,NetSuite,order_management,Edit NetSuite order_management,NetSuite test data ready,Submit transaction > sync system > reconcile report,Success,High
NET-ORD-00013,NetSuite,order_management,Edit NetSuite order_management,NetSuite test data ready,Submit transaction > sync system > reconcile report,Success,Medium
NET-ORD-00014,NetSuite,order_management,Search NetSuite order_management,NetSuite test data ready,Submit transaction > sync system > reconcile report,Success,Medium
NET-ORD-00015,NetSuite,order_management,Route NetSuite order_management,NetSuite test data ready,Open module > perform action > validate result,Success,Medium
NET-ORD-00016,NetSuite,order_management,Create NetSuite order_management,NetSuite test data ready,Open module > perform action > validate result,Success,High
NET-ORD-00017,NetSuite,order_management,Validate NetSuite order_management,NetSuite test data ready,Submit transaction > sync system > reconcile report,Success,Low
NET-ORD-00018,NetSuite,order_management,Validate NetSuite order_management,NetSuite test data ready,Open module > perform action > validate result,Success,Medium
NET-ORD-00019,NetSuite,order_management,Route NetSuite order_management,NetSuite test data ready,Submit transaction > sync system > reconcile report,Success,Medium
NET-ORD-00020,NetSuite,order_management,Delete NetSuite order_management,NetSuite test data ready,Create record > route approval > verify status,Success,Low
NET-ORD-00021,NetSuite,order_management,Search NetSuite order_management,NetSuite test data ready,Initiate integration > check queue > confirm completion,Success,High
NET-ORD-00022,NetSuite,order_management,Reject NetSuite order_management,NetSuite test data ready,Submit transaction > sync system > reconcile report,Success,Low
NET-ORD-00023,NetSuite,order_management,Escalate NetSuite order_management,NetSuite test data ready,Create record > route approval > verify status,Success,Medium
NET-ORD-00024,NetSuite,order_management,Route NetSuite order_management,NetSuite test data ready,Submit transaction > sync system > reconcile report,Success,High
NET-ORD-00025,NetSuite,order_management,Escalate NetSuite order_management,NetSuite test data ready,Create record > route approval > verify status,Success,Low
NET-ORD-00026,NetSuite,order_management,Route NetSuite order_management,NetSuite test data ready,Open module > perform action > validate result,Success,High
NET-ORD-00027,NetSuite,order_management,Route NetSuite order_management,NetSuite test data ready,Submit transaction > sync system > reconcile report,Success,Medium
NET-ORD-00028,NetSuite,order_management,Reject NetSuite order_management,NetSuite test data ready,Initiate integration > check queue > confirm completion,Success,Low
NET-ORD-00029,NetSuite,order_management,Edit NetSuite order_management,NetSuite test data ready,Create record > route approval > verify status,Success,Medium
NET-ORD-00030,NetSuite,order_management,Reject NetSuite order_management,NetSuite test data ready,Submit transaction > sync system > reconcile report,Success,High
NET-ORD-00031,NetSuite,order_management,Validate NetSuite order_management,NetSuite test data ready,Initiate integration > check queue > confirm completion,Success,Low
NET-ORD-00032,NetSuite,order_management,Submit NetSuite order_management,NetSuite test data ready,Open module > perform action > validate result,Success,Medium
NET-ORD-00033,NetSuite,order_management,Route NetSuite order_management,NetSuite test data ready,Create record > route approval > verify status,Success,High
NET-ORD-00034,NetSuite,order_management,Submit NetSuite order_management,NetSuite test data ready,Open module > perform action > validate result,Success,Medium
NET-ORD-00035,NetSuite,order_management,Delete NetSuite order_management,NetSuite test data ready,Create record > route approval > verify status,Success,High
NET-ORD-00036,NetSuite,order_management,Approve NetSuite order_management,NetSuite test data ready,Initiate integration > check queue > confirm completion,Success,Medium
NET-ORD-00037,NetSuite,order_management,Search NetSuite order_management,NetSuite test data ready,Initiate integration > check queue > confirm completion,Success,Medium
NET-ORD-00038,NetSuite,order_management,Approve NetSuite order_management,NetSuite test data ready,Create record > route approval > verify status,Success,Medium
NET-ORD-00039,NetSuite,order_management,Search NetSuite order_management,NetSuite test data ready,Submit transaction > sync system > reconcile report,Success,Medium
NET-ORD-00040,NetSuite,order_management,Clone NetSuite order_management,NetSuite test data ready,Create record > route approval > verify status,Success,Medium
NET-ORD-00041,NetSuite,order_management,Delete NetSuite order_management,NetSuite test data ready,Create record > route approval > verify status,Success,Low
NET-ORD-00042,NetSuite,order_management,Clone NetSuite order_management,NetSuite test data ready,Create record > route approval > verify status,Success,High
NET-ORD-00043,NetSuite,order_management,Clone NetSuite order_management,NetSuite test data ready,Create record > route approval > verify status,Success,High
NET-ORD-00044,NetSuite,order_management,Restore NetSuite order_management,NetSuite test data ready,Initiate integration > check queue > confirm completion,Success,Low
NET-ORD-00045,NetSuite,order_management,Reject NetSuite order_management,NetSuite test data ready,Initiate integration > check queue > confirm completion,Success,Low
NET-ORD-00046,NetSuite,order_management,Edit NetSuite order_management,NetSuite test data ready,Submit transaction > sync system > reconcile report,Success,Low
NET-ORD-00047,NetSuite,order_management,Approve NetSuite order_management,NetSuite test data ready,Initiate integration > check queue > confirm completion,Success,Medium
NET-ORD-00048,NetSuite,order_management,Edit NetSuite order_management,NetSuite test data ready,Open module > perform action > validate result,Success,High
NET-ORD-00049,NetSuite,order_management,Update NetSuite order_management,NetSuite test data ready,Submit transaction > sync system > reconcile report,Success,Medium
NET-ORD-00050,NetSuite,order_management,Search NetSuite order_management,NetSuite test data ready,Create record > route approval > verify status,Success,Medium
NET-ORD-00051,NetSuite,order_management,Archive NetSuite order_management,NetSuite test data ready,Open module > perform action > validate result,Success,Low
NET-ORD-00052,NetSuite,order_management,Clone NetSuite order_management,NetSuite test data ready,Open module > perform action > validate result,Success,High
NET-ORD-00053,NetSuite,order_management,Restore NetSuite order_management,NetSuite test data ready,Create record > route approval > verify status,Success,High
NET-ORD-00054,NetSuite,order_management,Clone NetSuite order_management,NetSuite test data ready,Create record > route approval > verify status,Success,Medium
NET-ORD-00055,NetSuite,order_management,Route NetSuite order_management,NetSuite test data ready,Initiate integration > check queue > confirm completion,Success,Low
NET-ORD-00056,NetSuite,order_management,Submit NetSuite order_management,NetSuite test data ready,Open module > perform action > validate result,Success,Low
NET-ORD-00057,NetSuite,order_management,Approve NetSuite order_management,NetSuite test data ready,Initiate integration > check queue > confirm completion,Success,Medium
NET-ORD-00058,NetSuite,order_management,Validate NetSuite order_management,NetSuite test data ready,Initiate integration > check queue > confirm completion,Success,Medium
NET-ORD-00059,NetSuite,order_management,Route NetSuite order_management,NetSuite test data ready,Submit transaction > sync system > reconcile report,Success,Low
NET-ORD-00060,NetSuite,order_management,Clone NetSuite order_management,NetSuite test data ready,Initiate integration > check queue > confirm completion,Success,Low
NET-ORD-00061,NetSuite,order_management,Archive NetSuite order_management,NetSuite test data ready,Submit transaction > sync system > reconcile report,Success,Low
NET-ORD-00062,NetSuite,order_management,Approve NetSuite order_management,NetSuite test data ready,Submit transaction > sync system > reconcile report,Success,Low
NET-ORD-00063,NetSuite,order_management,Delete NetSuite order_management,NetSuite test data ready,Create record > route approval > verify status,Success,High
NET-ORD-00064,NetSuite,order_management,Validate NetSuite order_management,NetSuite test data ready,Initiate integration > check queue > confirm completion,Success,High
NET-ORD-00065,NetSuite,order_management,Submit NetSuite order_management,NetSuite test data ready,Initiate integration > check queue > confirm completion,Success,High
