Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
NET-PRO-00001,NetSuite,procurement,Edit NetSuite procurement,NetSuite test data ready,Open module > perform action > validate result,Success,Low
NET-PRO-00002,NetSuite,procurement,Reject NetSuite procurement,NetSuite test data ready,Submit transaction > sync system > reconcile report,Success,Low
NET-PRO-00003,NetSuite,procurement,Route NetSuite procurement,NetSuite test data ready,Open module > perform action > validate result,Success,Low
NET-PRO-00004,NetSuite,procurement,Escalate NetSuite procurement,NetSuite test data ready,Create record > route approval > verify status,Success,Low
NET-PRO-00005,NetSuite,procurement,Approve NetSuite procurement,NetSuite test data ready,Open module > perform action > validate result,Success,Medium
NET-PRO-00006,NetSuite,procurement,Escalate NetSuite procurement,NetSuite test data ready,Create record > route approval > verify status,Success,Low
NET-PRO-00007,NetSuite,procurement,Reject NetSuite procurement,NetSuite test data ready,Submit transaction > sync system > reconcile report,Success,High
NET-PRO-00008,NetSuite,procurement,Delete NetSuite procurement,NetSuite test data ready,Create record > route approval > verify status,Success,High
NET-PRO-00009,NetSuite,procurement,Create NetSuite procurement,NetSuite test data ready,Initiate integration > check queue > confirm completion,Success,Low
NET-PRO-00010,NetSuite,procurement,Delete NetSuite procurement,NetSuite test data ready,Open module > perform action > validate result,Success,Low
NET-PRO-00011,NetSuite,procurement,Delete NetSuite procurement,NetSuite test data ready,Initiate integration > check queue > confirm completion,Success,High
NET-PRO-00012,NetSuite,procurement,Archive NetSuite procurement,NetSuite test data ready,Submit transaction > sync system > reconcile report,Success,Low
NET-PRO-00013,NetSuite,procurement,Create NetSuite procurement,NetSuite test data ready,Create record > route approval > verify status,Success,High
NET-PRO-00014,NetSuite,procurement,Archive NetSuite procurement,NetSuite test data ready,Submit transaction > sync system > reconcile report,Success,Medium
NET-PRO-00015,NetSuite,procurement,Clone NetSuite procurement,NetSuite test data ready,Submit transaction > sync system > reconcile report,Success,High
NET-PRO-00016,NetSuite,procurement,Route NetSuite procurement,NetSuite test data ready,Submit transaction > sync system > reconcile report,Success,Medium
NET-PRO-00017,NetSuite,procurement,Create NetSuite procurement,NetSuite test data ready,Initiate integration > check queue > confirm completion,Success,Medium
NET-PRO-00018,NetSuite,procurement,Restore NetSuite procurement,NetSuite test data ready,Create record > route approval > verify status,Success,Low
NET-PRO-00019,NetSuite,procurement,Validate NetSuite procurement,NetSuite test data ready,Create record > route approval > verify status,Success,Low
NET-PRO-00020,NetSuite,procurement,Restore NetSuite procurement,NetSuite test data ready,Open module > perform action > validate result,Success,Medium
NET-PRO-00021,NetSuite,procurement,Route NetSuite procurement,NetSuite test data ready,Submit transaction > sync system > reconcile report,Success,High
NET-PRO-00022,NetSuite,procurement,Restore NetSuite procurement,NetSuite test data ready,Open module > perform action > validate result,Success,High
NET-PRO-00023,NetSuite,procurement,Route NetSuite procurement,NetSuite test data ready,Create record > route approval > verify status,Success,High
NET-PRO-00024,NetSuite,procurement,Create NetSuite procurement,NetSuite test data ready,Create record > route approval > verify status,Success,Low
NET-PRO-00025,NetSuite,procurement,Update NetSuite procurement,NetSuite test data ready,Create record > route approval > verify status,Success,Low
NET-PRO-00026,NetSuite,procurement,Reject NetSuite procurement,NetSuite test data ready,Create record > route approval > verify status,Success,Low
NET-PRO-00027,NetSuite,procurement,Archive NetSuite procurement,NetSuite test data ready,Open module > perform action > validate result,Success,Medium
NET-PRO-00028,NetSuite,procurement,Edit NetSuite procurement,NetSuite test data ready,Open module > perform action > validate result,Success,High
NET-PRO-00029,NetSuite,procurement,Restore NetSuite procurement,NetSuite test data ready,Submit transaction > sync system > reconcile report,Success,Medium
NET-PRO-00030,NetSuite,procurement,Route NetSuite procurement,NetSuite test data ready,Open module > perform action > validate result,Success,High
NET-PRO-00031,NetSuite,procurement,Search NetSuite procurement,NetSuite test data ready,Create record > route approval > verify status,Success,Low
NET-PRO-00032,NetSuite,procurement,Delete NetSuite procurement,NetSuite test data ready,Open module > perform action > validate result,Success,High
NET-PRO-00033,NetSuite,procurement,Archive NetSuite procurement,NetSuite test data ready,Create record > route approval > verify status,Success,Low
NET-PRO-00034,NetSuite,procurement,Submit NetSuite procurement,NetSuite test data ready,Open module > perform action > validate result,Success,Low
NET-PRO-00035,NetSuite,procurement,Update NetSuite procurement,NetSuite test data ready,Open module > perform action > validate result,Success,Medium
NET-PRO-00036,NetSuite,procurement,Search NetSuite procurement,NetSuite test data ready,Submit transaction > sync system > reconcile report,Success,Low
NET-PRO-00037,NetSuite,procurement,Approve NetSuite procurement,NetSuite test data ready,Initiate integration > check queue > confirm completion,Success,Medium
NET-PRO-00038,NetSuite,procurement,Clone NetSuite procurement,NetSuite test data ready,Create record > route approval > verify status,Success,High
NET-PRO-00039,NetSuite,procurement,Delete NetSuite procurement,NetSuite test data ready,Open module > perform action > validate result,Success,Medium
NET-PRO-00040,NetSuite,procurement,Route NetSuite procurement,NetSuite test data ready,Initiate integration > check queue > confirm completion,Success,High
NET-PRO-00041,NetSuite,procurement,Route NetSuite procurement,NetSuite test data ready,Submit transaction > sync system > reconcile report,Success,High
NET-PRO-00042,NetSuite,procurement,Search NetSuite procurement,NetSuite test data ready,Open module > perform action > validate result,Success,Medium
NET-PRO-00043,NetSuite,procurement,Delete NetSuite procurement,NetSuite test data ready,Open module > perform action > validate result,Success,Medium
NET-PRO-00044,NetSuite,procurement,Clone NetSuite procurement,NetSuite test data ready,Create record > route approval > verify status,Success,High
NET-PRO-00045,NetSuite,procurement,Validate NetSuite procurement,NetSuite test data ready,Create record > route approval > verify status,Success,Medium
NET-PRO-00046,NetSuite,procurement,Route NetSuite procurement,NetSuite test data ready,Submit transaction > sync system > reconcile report,Success,High
NET-PRO-00047,NetSuite,procurement,Update NetSuite procurement,NetSuite test data ready,Submit transaction > sync system > reconcile report,Success,Medium
NET-PRO-00048,NetSuite,procurement,Restore NetSuite procurement,NetSuite test data ready,Open module > perform action > validate result,Success,Medium
NET-PRO-00049,NetSuite,procurement,Create NetSuite procurement,NetSuite test data ready,Submit transaction > sync system > reconcile report,Success,Low
NET-PRO-00050,NetSuite,procurement,Escalate NetSuite procurement,NetSuite test data ready,Open module > perform action > validate result,Success,Low
NET-PRO-00051,NetSuite,procurement,Search NetSuite procurement,NetSuite test data ready,Submit transaction > sync system > reconcile report,Success,High
NET-PRO-00052,NetSuite,procurement,Create NetSuite procurement,NetSuite test data ready,Create record > route approval > verify status,Success,Medium
NET-PRO-00053,NetSuite,procurement,Archive NetSuite procurement,NetSuite test data ready,Open module > perform action > validate result,Success,Medium
NET-PRO-00054,NetSuite,procurement,Update NetSuite procurement,NetSuite test data ready,Open module > perform action > validate result,Success,High
NET-PRO-00055,NetSuite,procurement,Escalate NetSuite procurement,NetSuite test data ready,Create record > route approval > verify status,Success,Medium
NET-PRO-00056,NetSuite,procurement,Create NetSuite procurement,NetSuite test data ready,Open module > perform action > validate result,Success,High
NET-PRO-00057,NetSuite,procurement,Validate NetSuite procurement,NetSuite test data ready,Create record > route approval > verify status,Success,Low
NET-PRO-00058,NetSuite,procurement,Archive NetSuite procurement,NetSuite test data ready,Create record > route approval > verify status,Success,Medium
NET-PRO-00059,NetSuite,procurement,Clone NetSuite procurement,NetSuite test data ready,Open module > perform action > validate result,Success,High
NET-PRO-00060,NetSuite,procurement,Escalate NetSuite procurement,NetSuite test data ready,Open module > perform action > validate result,Success,Low
NET-PRO-00061,NetSuite,procurement,Update NetSuite procurement,NetSuite test data ready,Initiate integration > check queue > confirm completion,Success,Medium
NET-PRO-00062,NetSuite,procurement,Delete NetSuite procurement,NetSuite test data ready,Submit transaction > sync system > reconcile report,Success,Low
NET-PRO-00063,NetSuite,procurement,Edit NetSuite procurement,NetSuite test data ready,Create record > route approval > verify status,Success,Low
NET-PRO-00064,NetSuite,procurement,Validate NetSuite procurement,NetSuite test data ready,Initiate integration > check queue > confirm completion,Success,High
NET-PRO-00065,NetSuite,procurement,Search NetSuite procurement,NetSuite test data ready,Submit transaction > sync system > reconcile report,Success,Medium
NET-PRO-00066,NetSuite,procurement,Update NetSuite procurement,NetSuite test data ready,Initiate integration > check queue > confirm completion,Success,Low
NET-PRO-00067,NetSuite,procurement,Reject NetSuite procurement,NetSuite test data ready,Create record > route approval > verify status,Success,Medium
