Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
NET-PRO-00001,NetSuite,projects,Search NetSuite projects,NetSuite test data ready,Initiate integration > check queue > confirm completion,Success,High
NET-PRO-00002,NetSuite,projects,Edit NetSuite projects,NetSuite test data ready,Initiate integration > check queue > confirm completion,Success,Medium
NET-PRO-00003,NetSuite,projects,Restore NetSuite projects,NetSuite test data ready,Submit transaction > sync system > reconcile report,Success,High
NET-PRO-00004,NetSuite,projects,Validate NetSuite projects,NetSuite test data ready,Open module > perform action > validate result,Success,High
NET-PRO-00005,NetSuite,projects,Create NetSuite projects,NetSuite test data ready,Submit transaction > sync system > reconcile report,Success,Low
NET-PRO-00006,NetSuite,projects,Approve NetSuite projects,NetSuite test data ready,Create record > route approval > verify status,Success,Medium
NET-PRO-00007,NetSuite,projects,Reject NetSuite projects,NetSuite test data ready,Open module > perform action > validate result,Success,Low
NET-PRO-00008,NetSuite,projects,Approve NetSuite projects,NetSuite test data ready,Open module > perform action > validate result,Success,High
NET-PRO-00009,NetSuite,projects,Approve NetSuite projects,NetSuite test data ready,Submit transaction > sync system > reconcile report,Success,Low
NET-PRO-00010,NetSuite,projects,Submit NetSuite projects,NetSuite test data ready,Create record > route approval > verify status,Success,Low
NET-PRO-00011,NetSuite,projects,Restore NetSuite projects,NetSuite test data ready,Open module > perform action > validate result,Success,Low
NET-PRO-00012,NetSuite,projects,Clone NetSuite projects,NetSuite test data ready,Create record > route approval > verify status,Success,Medium
NET-PRO-00013,NetSuite,projects,Archive NetSuite projects,NetSuite test data ready,Initiate integration > check queue > confirm completion,Success,Medium
NET-PRO-00014,NetSuite,projects,Approve NetSuite projects,NetSuite test data ready,Open module > perform action > validate result,Success,Low
NET-PRO-00015,NetSuite,projects,Reject NetSuite projects,NetSuite test data ready,Initiate integration > check queue > confirm completion,Success,High
NET-PRO-00016,NetSuite,projects,Escalate NetSuite projects,NetSuite test data ready,Initiate integration > check queue > confirm completion,Success,Low
NET-PRO-00017,NetSuite,projects,Restore NetSuite projects,NetSuite test data ready,Create record > route approval > verify status,Success,High
NET-PRO-00018,NetSuite,projects,Search NetSuite projects,NetSuite test data ready,Open module > perform action > validate result,Success,High
NET-PRO-00019,NetSuite,projects,Route NetSuite projects,NetSuite test data ready,Initiate integration > check queue > confirm completion,Success,Low
NET-PRO-00020,NetSuite,projects,Restore NetSuite projects,NetSuite test data ready,Submit transaction > sync system > reconcile report,Success,Low
NET-PRO-00021,NetSuite,projects,Edit NetSuite projects,NetSuite test data ready,Submit transaction > sync system > reconcile report,Success,High
NET-PRO-00022,NetSuite,projects,Route NetSuite projects,NetSuite test data ready,Open module > perform action > validate result,Success,Medium
NET-PRO-00023,NetSuite,projects,Restore NetSuite projects,NetSuite test data ready,Initiate integration > check queue > confirm completion,Success,High
NET-PRO-00024,NetSuite,projects,Clone NetSuite projects,NetSuite test data ready,Open module > perform action > validate result,Success,High
NET-PRO-00025,NetSuite,projects,Create NetSuite projects,NetSuite test data ready,Initiate integration > check queue > confirm completion,Success,Low
NET-PRO-00026,NetSuite,projects,Create NetSuite projects,NetSuite test data ready,Initiate integration > check queue > confirm completion,Success,Medium
NET-PRO-00027,NetSuite,projects,Create NetSuite projects,NetSuite test data ready,Submit transaction > sync system > reconcile report,Success,Medium
NET-PRO-00028,NetSuite,projects,Archive NetSuite projects,NetSuite test data ready,Open module > perform action > validate result,Success,Low
NET-PRO-00029,NetSuite,projects,Restore NetSuite projects,NetSuite test data ready,Create record > route approval > verify status,Success,Medium
NET-PRO-00030,NetSuite,projects,Delete NetSuite projects,NetSuite test data ready,Initiate integration > check queue > confirm completion,Success,High
NET-PRO-00031,NetSuite,projects,Edit NetSuite projects,NetSuite test data ready,Open module > perform action > validate result,Success,Low
NET-PRO-00032,NetSuite,projects,Update NetSuite projects,NetSuite test data ready,Initiate integration > check queue > confirm completion,Success,Medium
NET-PRO-00033,NetSuite,projects,Search NetSuite projects,NetSuite test data ready,Initiate integration > check queue > confirm completion,Success,High
NET-PRO-00034,NetSuite,projects,Reject NetSuite projects,NetSuite test data ready,Initiate integration > check queue > confirm completion,Success,High
NET-PRO-00035,NetSuite,projects,Delete NetSuite projects,NetSuite test data ready,Submit transaction > sync system > reconcile report,Success,Medium
NET-PRO-00036,NetSuite,projects,Reject NetSuite projects,NetSuite test data ready,Open module > perform action > validate result,Success,High
NET-PRO-00037,NetSuite,projects,Submit NetSuite projects,NetSuite test data ready,Submit transaction > sync system > reconcile report,Success,Low
NET-PRO-00038,NetSuite,projects,Escalate NetSuite projects,NetSuite test data ready,Submit transaction > sync system > reconcile report,Success,Medium
NET-PRO-00039,NetSuite,projects,Submit NetSuite projects,NetSuite test data ready,Initiate integration > check queue > confirm completion,Success,Low
NET-PRO-00040,NetSuite,projects,Edit NetSuite projects,NetSuite test data ready,Create record > route approval > verify status,Success,Medium
NET-PRO-00041,NetSuite,projects,Restore NetSuite projects,NetSuite test data ready,Submit transaction > sync system > reconcile report,Success,Medium
NET-PRO-00042,NetSuite,projects,Delete NetSuite projects,NetSuite test data ready,Initiate integration > check queue > confirm completion,Success,Medium
NET-PRO-00043,NetSuite,projects,Create NetSuite projects,NetSuite test data ready,Initiate integration > check queue > confirm completion,Success,Low
NET-PRO-00044,NetSuite,projects,Delete NetSuite projects,NetSuite test data ready,Initiate integration > check queue > confirm completion,Success,Medium
NET-PRO-00045,NetSuite,projects,Approve NetSuite projects,NetSuite test data ready,Submit transaction > sync system > reconcile report,Success,High
NET-PRO-00046,NetSuite,projects,Clone NetSuite projects,NetSuite test data ready,Create record > route approval > verify status,Success,Medium
NET-PRO-00047,NetSuite,projects,Archive NetSuite projects,NetSuite test data ready,Create record > route approval > verify status,Success,High
NET-PRO-00048,NetSuite,projects,Archive NetSuite projects,NetSuite test data ready,Create record > route approval > verify status,Success,High
NET-PRO-00049,NetSuite,projects,Archive NetSuite projects,NetSuite test data ready,Create record > route approval > verify status,Success,Medium
NET-PRO-00050,NetSuite,projects,Delete NetSuite projects,NetSuite test data ready,Submit transaction > sync system > reconcile report,Success,Low
NET-PRO-00051,NetSuite,projects,Create NetSuite projects,NetSuite test data ready,Initiate integration > check queue > confirm completion,Success,Medium
NET-PRO-00052,NetSuite,projects,Submit NetSuite projects,NetSuite test data ready,Initiate integration > check queue > confirm completion,Success,Medium
NET-PRO-00053,NetSuite,projects,Validate NetSuite projects,NetSuite test data ready,Open module > perform action > validate result,Success,Low
NET-PRO-00054,NetSuite,projects,Approve NetSuite projects,NetSuite test data ready,Submit transaction > sync system > reconcile report,Success,Low
NET-PRO-00055,NetSuite,projects,Submit NetSuite projects,NetSuite test data ready,Open module > perform action > validate result,Success,High
NET-PRO-00056,NetSuite,projects,Edit NetSuite projects,NetSuite test data ready,Initiate integration > check queue > confirm completion,Success,Medium
NET-PRO-00057,NetSuite,projects,Restore NetSuite projects,NetSuite test data ready,Submit transaction > sync system > reconcile report,Success,Medium
NET-PRO-00058,NetSuite,projects,Search NetSuite projects,NetSuite test data ready,Open module > perform action > validate result,Success,Low
NET-PRO-00059,NetSuite,projects,Route NetSuite projects,NetSuite test data ready,Initiate integration > check queue > confirm completion,Success,High
NET-PRO-00060,NetSuite,projects,Submit NetSuite projects,NetSuite test data ready,Create record > route approval > verify status,Success,Medium
NET-PRO-00061,NetSuite,projects,Edit NetSuite projects,NetSuite test data ready,Submit transaction > sync system > reconcile report,Success,Low
NET-PRO-00062,NetSuite,projects,Update NetSuite projects,NetSuite test data ready,Create record > route approval > verify status,Success,Medium
NET-PRO-00063,NetSuite,projects,Create NetSuite projects,NetSuite test data ready,Open module > perform action > validate result,Success,High
NET-PRO-00064,NetSuite,projects,Update NetSuite projects,NetSuite test data ready,Initiate integration > check queue > confirm completion,Success,Low
NET-PRO-00065,NetSuite,projects,Edit NetSuite projects,NetSuite test data ready,Open module > perform action > validate result,Success,Low
NET-PRO-00066,NetSuite,projects,Reject NetSuite projects,NetSuite test data ready,Create record > route approval > verify status,Success,Low
NET-PRO-00067,NetSuite,projects,Reject NetSuite projects,NetSuite test data ready,Open module > perform action > validate result,Success,Low
NET-PRO-00068,NetSuite,projects,Approve NetSuite projects,NetSuite test data ready,Submit transaction > sync system > reconcile report,Success,Low
NET-PRO-00069,NetSuite,projects,Create NetSuite projects,NetSuite test data ready,Initiate integration > check queue > confirm completion,Success,High
NET-PRO-00070,NetSuite,projects,Escalate NetSuite projects,NetSuite test data ready,Create record > route approval > verify status,Success,Medium
NET-PRO-00071,NetSuite,projects,Reject NetSuite projects,NetSuite test data ready,Open module > perform action > validate result,Success,Low
NET-PRO-00072,NetSuite,projects,Escalate NetSuite projects,NetSuite test data ready,Open module > perform action > validate result,Success,Low
NET-PRO-00073,NetSuite,projects,Edit NetSuite projects,NetSuite test data ready,Create record > route approval > verify status,Success,High
NET-PRO-00074,NetSuite,projects,Edit NetSuite projects,NetSuite test data ready,Submit transaction > sync system > reconcile report,Success,High
NET-PRO-00075,NetSuite,projects,Clone NetSuite projects,NetSuite test data ready,Initiate integration > check queue > confirm completion,Success,Medium
NET-PRO-00076,NetSuite,projects,Escalate NetSuite projects,NetSuite test data ready,Open module > perform action > validate result,Success,Low
NET-PRO-00077,NetSuite,projects,Submit NetSuite projects,NetSuite test data ready,Create record > route approval > verify status,Success,Low
NET-PRO-00078,NetSuite,projects,Reject NetSuite projects,NetSuite test data ready,Initiate integration > check queue > confirm completion,Success,High
NET-PRO-00079,NetSuite,projects,Approve NetSuite projects,NetSuite test data ready,Initiate integration > check queue > confirm completion,Success,Medium
NET-PRO-00080,NetSuite,projects,Escalate NetSuite projects,NetSuite test data ready,Create record > route approval > verify status,Success,Medium
NET-PRO-00081,NetSuite,projects,Escalate NetSuite projects,NetSuite test data ready,Initiate integration > check queue > confirm completion,Success,Medium
NET-PRO-00082,NetSuite,projects,Update NetSuite projects,NetSuite test data ready,Submit transaction > sync system > reconcile report,Success,High
NET-PRO-00083,NetSuite,projects,Validate NetSuite projects,NetSuite test data ready,Open module > perform action > validate result,Success,High
NET-PRO-00084,NetSuite,projects,Reject NetSuite projects,NetSuite test data ready,Create record > route approval > verify status,Success,Low
NET-PRO-00085,NetSuite,projects,Update NetSuite projects,NetSuite test data ready,Initiate integration > check queue > confirm completion,Success,Medium
NET-PRO-00086,NetSuite,projects,Submit NetSuite projects,NetSuite test data ready,Create record > route approval > verify status,Success,Medium
NET-PRO-00087,NetSuite,projects,Route NetSuite projects,NetSuite test data ready,Submit transaction > sync system > reconcile report,Success,High
NET-PRO-00088,NetSuite,projects,Reject NetSuite projects,NetSuite test data ready,Create record > route approval > verify status,Success,Low
NET-PRO-00089,NetSuite,projects,Approve NetSuite projects,NetSuite test data ready,Open module > perform action > validate result,Success,High
NET-PRO-00090,NetSuite,projects,Validate NetSuite projects,NetSuite test data ready,Open module > perform action > validate result,Success,Medium
NET-PRO-00091,NetSuite,projects,Edit NetSuite projects,NetSuite test data ready,Create record > route approval > verify status,Success,High
NET-PRO-00092,NetSuite,projects,Reject NetSuite projects,NetSuite test data ready,Open module > perform action > validate result,Success,High
NET-PRO-00093,NetSuite,projects,Submit NetSuite projects,NetSuite test data ready,Submit transaction > sync system > reconcile report,Success,High
NET-PRO-00094,NetSuite,projects,Escalate NetSuite projects,NetSuite test data ready,Initiate integration > check queue > confirm completion,Success,Medium
NET-PRO-00095,NetSuite,projects,Update NetSuite projects,NetSuite test data ready,Open module > perform action > validate result,Success,Low
NET-PRO-00096,NetSuite,projects,Update NetSuite projects,NetSuite test data ready,Open module > perform action > validate result,Success,High
NET-PRO-00097,NetSuite,projects,Search NetSuite projects,NetSuite test data ready,Initiate integration > check queue > confirm completion,Success,Low
NET-PRO-00098,NetSuite,projects,Update NetSuite projects,NetSuite test data ready,Open module > perform action > validate result,Success,High
NET-PRO-00099,NetSuite,projects,Clone NetSuite projects,NetSuite test data ready,Open module > perform action > validate result,Success,High
