Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
ODO-HR-00001,Odoo,hr,Escalate Odoo hr,Odoo test data ready,Create record > route approval > verify status,Success,Low
ODO-HR-00002,Odoo,hr,Archive Odoo hr,Odoo test data ready,Create record > route approval > verify status,Success,High
ODO-HR-00003,Odoo,hr,Search Odoo hr,Odoo test data ready,Submit transaction > sync system > reconcile report,Success,High
ODO-HR-00004,Odoo,hr,Create Odoo hr,Odoo test data ready,Create record > route approval > verify status,Success,Low
ODO-HR-00005,Odoo,hr,Approve Odoo hr,Odoo test data ready,Create record > route approval > verify status,Success,Low
ODO-HR-00006,Odoo,hr,Edit Odoo hr,Odoo test data ready,Initiate integration > check queue > confirm completion,Success,Low
ODO-HR-00007,Odoo,hr,Archive Odoo hr,Odoo test data ready,Initiate integration > check queue > confirm completion,Success,Medium
ODO-HR-00008,Odoo,hr,Reject Odoo hr,Odoo test data ready,Open module > perform action > validate result,Success,High
ODO-HR-00009,Odoo,hr,Submit Odoo hr,Odoo test data ready,Create record > route approval > verify status,Success,Medium
ODO-HR-00010,Odoo,hr,Approve Odoo hr,Odoo test data ready,Create record > route approval > verify status,Success,High
ODO-HR-00011,Odoo,hr,Escalate Odoo hr,Odoo test data ready,Submit transaction > sync system > reconcile report,Success,Low
ODO-HR-00012,Odoo,hr,Edit Odoo hr,Odoo test data ready,Initiate integration > check queue > confirm completion,Success,High
ODO-HR-00013,Odoo,hr,Search Odoo hr,Odoo test data ready,Submit transaction > sync system > reconcile report,Success,Medium
ODO-HR-00014,Odoo,hr,Submit Odoo hr,Odoo test data ready,Open module > perform action > validate result,Success,Low
ODO-HR-00015,Odoo,hr,Delete Odoo hr,Odoo test data ready,Submit transaction > sync system > reconcile report,Success,Low
ODO-HR-00016,Odoo,hr,Search Odoo hr,Odoo test data ready,Open module > perform action > validate result,Success,Medium
ODO-HR-00017,Odoo,hr,Create Odoo hr,Odoo test data ready,Submit transaction > sync system > reconcile report,Success,High
ODO-HR-00018,Odoo,hr,Submit Odoo hr,Odoo test data ready,Create record > route approval > verify status,Success,Medium
ODO-HR-00019,Odoo,hr,Clone Odoo hr,Odoo test data ready,Submit transaction > sync system > reconcile report,Success,Medium
ODO-HR-00020,Odoo,hr,Archive Odoo hr,Odoo test data ready,Create record > route approval > verify status,Success,High
ODO-HR-00021,Odoo,hr,Restore Odoo hr,Odoo test data ready,Submit transaction > sync system > reconcile report,Success,Medium
ODO-HR-00022,Odoo,hr,Edit Odoo hr,Odoo test data ready,Open module > perform action > validate result,Success,Low
ODO-HR-00023,Odoo,hr,Delete Odoo hr,Odoo test data ready,Open module > perform action > validate result,Success,High
ODO-HR-00024,Odoo,hr,Archive Odoo hr,Odoo test data ready,Create record > route approval > verify status,Success,High
ODO-HR-00025,Odoo,hr,Archive Odoo hr,Odoo test data ready,Open module > perform action > validate result,Success,High
ODO-HR-00026,Odoo,hr,Clone Odoo hr,Odoo test data ready,Initiate integration > check queue > confirm completion,Success,High
ODO-HR-00027,Odoo,hr,Search Odoo hr,Odoo test data ready,Submit transaction > sync system > reconcile report,Success,Low
ODO-HR-00028,Odoo,hr,Clone Odoo hr,Odoo test data ready,Submit transaction > sync system > reconcile report,Success,Medium
ODO-HR-00029,Odoo,hr,Submit Odoo hr,Odoo test data ready,Submit transaction > sync system > reconcile report,Success,High
ODO-HR-00030,Odoo,hr,Clone Odoo hr,Odoo test data ready,Open module > perform action > validate result,Success,Low
ODO-HR-00031,Odoo,hr,Delete Odoo hr,Odoo test data ready,Initiate integration > check queue > confirm completion,Success,High
ODO-HR-00032,Odoo,hr,Edit Odoo hr,Odoo test data ready,Submit transaction > sync system > reconcile report,Success,Medium
ODO-HR-00033,Odoo,hr,Archive Odoo hr,Odoo test data ready,Initiate integration > check queue > confirm completion,Success,High
ODO-HR-00034,Odoo,hr,Create Odoo hr,Odoo test data ready,Submit transaction > sync system > reconcile report,Success,Medium
ODO-HR-00035,Odoo,hr,Archive Odoo hr,Odoo test data ready,Create record > route approval > verify status,Success,Medium
ODO-HR-00036,Odoo,hr,Archive Odoo hr,Odoo test data ready,Initiate integration > check queue > confirm completion,Success,Medium
ODO-HR-00037,Odoo,hr,Delete Odoo hr,Odoo test data ready,Submit transaction > sync system > reconcile report,Success,Medium
ODO-HR-00038,Odoo,hr,Escalate Odoo hr,Odoo test data ready,Open module > perform action > validate result,Success,Low
ODO-HR-00039,Odoo,hr,Create Odoo hr,Odoo test data ready,Open module > perform action > validate result,Success,Low
ODO-HR-00040,Odoo,hr,Validate Odoo hr,Odoo test data ready,Submit transaction > sync system > reconcile report,Success,High
ODO-HR-00041,Odoo,hr,Search Odoo hr,Odoo test data ready,Open module > perform action > validate result,Success,Medium
ODO-HR-00042,Odoo,hr,Route Odoo hr,Odoo test data ready,Open module > perform action > validate result,Success,Medium
