Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
ODO-INV-00001,Odoo,inventory,Edit Odoo inventory,Odoo test data ready,Initiate integration > check queue > confirm completion,Success,Medium
ODO-INV-00002,Odoo,inventory,Create Odoo inventory,Odoo test data ready,Create record > route approval > verify status,Success,High
ODO-INV-00003,Odoo,inventory,Archive Odoo inventory,Odoo test data ready,Initiate integration > check queue > confirm completion,Success,High
ODO-INV-00004,Odoo,inventory,Escalate Odoo inventory,Odoo test data ready,Submit transaction > sync system > reconcile report,Success,Medium
ODO-INV-00005,Odoo,inventory,Approve Odoo inventory,Odoo test data ready,Submit transaction > sync system > reconcile report,Success,Medium
ODO-INV-00006,Odoo,inventory,Route Odoo inventory,Odoo test data ready,Create record > route approval > verify status,Success,Low
ODO-INV-00007,Odoo,inventory,Edit Odoo inventory,Odoo test data ready,Submit transaction > sync system > reconcile report,Success,Medium
ODO-INV-00008,Odoo,inventory,Approve Odoo inventory,Odoo test data ready,Initiate integration > check queue > confirm completion,Success,Low
ODO-INV-00009,Odoo,inventory,Validate Odoo inventory,Odoo test data ready,Open module > perform action > validate result,Success,Medium
ODO-INV-00010,Odoo,inventory,Approve Odoo inventory,Odoo test data ready,Open module > perform action > validate result,Success,Low
ODO-INV-00011,Odoo,inventory,Edit Odoo inventory,Odoo test data ready,Open module > perform action > validate result,Success,High
ODO-INV-00012,Odoo,inventory,Clone Odoo inventory,Odoo test data ready,Create record > route approval > verify status,Success,High
ODO-INV-00013,Odoo,inventory,Clone Odoo inventory,Odoo test data ready,Submit transaction > sync system > reconcile report,Success,High
ODO-INV-00014,Odoo,inventory,Archive Odoo inventory,Odoo test data ready,Submit transaction > sync system > reconcile report,Success,Low
ODO-INV-00015,Odoo,inventory,Delete Odoo inventory,Odoo test data ready,Open module > perform action > validate result,Success,High
ODO-INV-00016,Odoo,inventory,Update Odoo inventory,Odoo test data ready,Initiate integration > check queue > confirm completion,Success,Low
ODO-INV-00017,Odoo,inventory,Search Odoo inventory,Odoo test data ready,Create record > route approval > verify status,Success,Low
ODO-INV-00018,Odoo,inventory,Delete Odoo inventory,Odoo test data ready,Create record > route approval > verify status,Success,Medium
ODO-INV-00019,Odoo,inventory,Edit Odoo inventory,Odoo test data ready,Create record > route approval > verify status,Success,High
