Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
ODO-MAN-00001,Odoo,manufacturing,Search Odoo manufacturing,Odoo test data ready,Open module > perform action > validate result,Success,Low
ODO-MAN-00002,Odoo,manufacturing,Validate Odoo manufacturing,Odoo test data ready,Create record > route approval > verify status,Success,High
ODO-MAN-00003,Odoo,manufacturing,Create Odoo manufacturing,Odoo test data ready,Create record > route approval > verify status,Success,High
ODO-MAN-00004,Odoo,manufacturing,Validate Odoo manufacturing,Odoo test data ready,Submit transaction > sync system > reconcile report,Success,Medium
ODO-MAN-00005,Odoo,manufacturing,Validate Odoo manufacturing,Odoo test data ready,Initiate integration > check queue > confirm completion,Success,Medium
ODO-MAN-00006,Odoo,manufacturing,Create Odoo manufacturing,Odoo test data ready,Submit transaction > sync system > reconcile report,Success,Medium
ODO-MAN-00007,Odoo,manufacturing,Escalate Odoo manufacturing,Odoo test data ready,Create record > route approval > verify status,Success,High
ODO-MAN-00008,Odoo,manufacturing,Escalate Odoo manufacturing,Odoo test data ready,Submit transaction > sync system > reconcile report,Success,High
ODO-MAN-00009,Odoo,manufacturing,Validate Odoo manufacturing,Odoo test data ready,Submit transaction > sync system > reconcile report,Success,Medium
ODO-MAN-00010,Odoo,manufacturing,Reject Odoo manufacturing,Odoo test data ready,Open module > perform action > validate result,Success,Low
ODO-MAN-00011,Odoo,manufacturing,Validate Odoo manufacturing,Odoo test data ready,Open module > perform action > validate result,Success,High
ODO-MAN-00012,Odoo,manufacturing,Reject Odoo manufacturing,Odoo test data ready,Submit transaction > sync system > reconcile report,Success,High
ODO-MAN-00013,Odoo,manufacturing,Submit Odoo manufacturing,Odoo test data ready,Open module > perform action > validate result,Success,Medium
ODO-MAN-00014,Odoo,manufacturing,Archive Odoo manufacturing,Odoo test data ready,Open module > perform action > validate result,Success,Medium
ODO-MAN-00015,Odoo,manufacturing,Validate Odoo manufacturing,Odoo test data ready,Create record > route approval > verify status,Success,High
ODO-MAN-00016,Odoo,manufacturing,Restore Odoo manufacturing,Odoo test data ready,Submit transaction > sync system > reconcile report,Success,Medium
ODO-MAN-00017,Odoo,manufacturing,Approve Odoo manufacturing,Odoo test data ready,Submit transaction > sync system > reconcile report,Success,Medium
ODO-MAN-00018,Odoo,manufacturing,Reject Odoo manufacturing,Odoo test data ready,Submit transaction > sync system > reconcile report,Success,Medium
ODO-MAN-00019,Odoo,manufacturing,Approve Odoo manufacturing,Odoo test data ready,Submit transaction > sync system > reconcile report,Success,Low
ODO-MAN-00020,Odoo,manufacturing,Edit Odoo manufacturing,Odoo test data ready,Create record > route approval > verify status,Success,Medium
ODO-MAN-00021,Odoo,manufacturing,Clone Odoo manufacturing,Odoo test data ready,Create record > route approval > verify status,Success,Low
ODO-MAN-00022,Odoo,manufacturing,Restore Odoo manufacturing,Odoo test data ready,Submit transaction > sync system > reconcile report,Success,Low
ODO-MAN-00023,Odoo,manufacturing,Validate Odoo manufacturing,Odoo test data ready,Initiate integration > check queue > confirm completion,Success,Medium
