Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
ODO-SAL-00001,Odoo,sales,Update Odoo sales,Odoo test data ready,Create record > route approval > verify status,Success,High
ODO-SAL-00002,Odoo,sales,Search Odoo sales,Odoo test data ready,Create record > route approval > verify status,Success,Medium
ODO-SAL-00003,Odoo,sales,Submit Odoo sales,Odoo test data ready,Open module > perform action > validate result,Success,Medium
ODO-SAL-00004,Odoo,sales,Archive Odoo sales,Odoo test data ready,Submit transaction > sync system > reconcile report,Success,High
ODO-SAL-00005,Odoo,sales,Escalate Odoo sales,Odoo test data ready,Open module > perform action > validate result,Success,High
ODO-SAL-00006,Odoo,sales,Edit Odoo sales,Odoo test data ready,Submit transaction > sync system > reconcile report,Success,High
ODO-SAL-00007,Odoo,sales,Archive Odoo sales,Odoo test data ready,Initiate integration > check queue > confirm completion,Success,Medium
ODO-SAL-00008,Odoo,sales,Update Odoo sales,Odoo test data ready,Initiate integration > check queue > confirm completion,Success,Medium
ODO-SAL-00009,Odoo,sales,Update Odoo sales,Odoo test data ready,Initiate integration > check queue > confirm completion,Success,Medium
ODO-SAL-00010,Odoo,sales,Delete Odoo sales,Odoo test data ready,Create record > route approval > verify status,Success,Medium
ODO-SAL-00011,Odoo,sales,Reject Odoo sales,Odoo test data ready,Submit transaction > sync system > reconcile report,Success,Medium
ODO-SAL-00012,Odoo,sales,Reject Odoo sales,Odoo test data ready,Initiate integration > check queue > confirm completion,Success,Low
ODO-SAL-00013,Odoo,sales,Restore Odoo sales,Odoo test data ready,Initiate integration > check queue > confirm completion,Success,Medium
ODO-SAL-00014,Odoo,sales,Clone Odoo sales,Odoo test data ready,Initiate integration > check queue > confirm completion,Success,Low
ODO-SAL-00015,Odoo,sales,Reject Odoo sales,Odoo test data ready,Submit transaction > sync system > reconcile report,Success,Medium
ODO-SAL-00016,Odoo,sales,Update Odoo sales,Odoo test data ready,Submit transaction > sync system > reconcile report,Success,High
ODO-SAL-00017,Odoo,sales,Route Odoo sales,Odoo test data ready,Create record > route approval > verify status,Success,Low
ODO-SAL-00018,Odoo,sales,Delete Odoo sales,Odoo test data ready,Open module > perform action > validate result,Success,High
ODO-SAL-00019,Odoo,sales,Validate Odoo sales,Odoo test data ready,Submit transaction > sync system > reconcile report,Success,High
ODO-SAL-00020,Odoo,sales,Archive Odoo sales,Odoo test data ready,Submit transaction > sync system > reconcile report,Success,High
ODO-SAL-00021,Odoo,sales,Escalate Odoo sales,Odoo test data ready,Submit transaction > sync system > reconcile report,Success,Low
ODO-SAL-00022,Odoo,sales,Create Odoo sales,Odoo test data ready,Initiate integration > check queue > confirm completion,Success,High
