Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
ODO-WEB-00001,Odoo,website,Update Odoo website,Odoo test data ready,Create record > route approval > verify status,Success,High
ODO-WEB-00002,Odoo,website,Approve Odoo website,Odoo test data ready,Initiate integration > check queue > confirm completion,Success,Low
ODO-WEB-00003,Odoo,website,Submit Odoo website,Odoo test data ready,Initiate integration > check queue > confirm completion,Success,Medium
ODO-WEB-00004,Odoo,website,Edit Odoo website,Odoo test data ready,Create record > route approval > verify status,Success,High
ODO-WEB-00005,Odoo,website,Clone Odoo website,Odoo test data ready,Create record > route approval > verify status,Success,High
ODO-WEB-00006,Odoo,website,Update Odoo website,Odoo test data ready,Submit transaction > sync system > reconcile report,Success,High
ODO-WEB-00007,Odoo,website,Reject Odoo website,Odoo test data ready,Create record > route approval > verify status,Success,Medium
ODO-WEB-00008,Odoo,website,Create Odoo website,Odoo test data ready,Open module > perform action > validate result,Success,High
ODO-WEB-00009,Odoo,website,Escalate Odoo website,Odoo test data ready,Open module > perform action > validate result,Success,High
ODO-WEB-00010,Odoo,website,Route Odoo website,Odoo test data ready,Open module > perform action > validate result,Success,Low
ODO-WEB-00011,Odoo,website,Delete Odoo website,Odoo test data ready,Submit transaction > sync system > reconcile report,Success,Medium
ODO-WEB-00012,Odoo,website,Delete Odoo website,Odoo test data ready,Create record > route approval > verify status,Success,High
ODO-WEB-00013,Odoo,website,Delete Odoo website,Odoo test data ready,Open module > perform action > validate result,Success,Low
ODO-WEB-00014,Odoo,website,Edit Odoo website,Odoo test data ready,Submit transaction > sync system > reconcile report,Success,High
ODO-WEB-00015,Odoo,website,Search Odoo website,Odoo test data ready,Open module > perform action > validate result,Success,Medium
ODO-WEB-00016,Odoo,website,Create Odoo website,Odoo test data ready,Submit transaction > sync system > reconcile report,Success,Low
ODO-WEB-00017,Odoo,website,Approve Odoo website,Odoo test data ready,Submit transaction > sync system > reconcile report,Success,Low
ODO-WEB-00018,Odoo,website,Archive Odoo website,Odoo test data ready,Initiate integration > check queue > confirm completion,Success,Medium
ODO-WEB-00019,Odoo,website,Restore Odoo website,Odoo test data ready,Open module > perform action > validate result,Success,High
ODO-WEB-00020,Odoo,website,Archive Odoo website,Odoo test data ready,Submit transaction > sync system > reconcile report,Success,High
ODO-WEB-00021,Odoo,website,Clone Odoo website,Odoo test data ready,Submit transaction > sync system > reconcile report,Success,High
ODO-WEB-00022,Odoo,website,Delete Odoo website,Odoo test data ready,Create record > route approval > verify status,Success,High
ODO-WEB-00023,Odoo,website,Escalate Odoo website,Odoo test data ready,Create record > route approval > verify status,Success,Medium
ODO-WEB-00024,Odoo,website,Escalate Odoo website,Odoo test data ready,Initiate integration > check queue > confirm completion,Success,High
