Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
OKT-ACC-00001,Okta,access,Reject Okta access,Okta test data ready,Create record > route approval > verify status,Success,Low
OKT-ACC-00002,Okta,access,Validate Okta access,Okta test data ready,Create record > route approval > verify status,Success,High
OKT-ACC-00003,Okta,access,Validate Okta access,Okta test data ready,Create record > route approval > verify status,Success,Medium
OKT-ACC-00004,Okta,access,Approve Okta access,Okta test data ready,Open module > perform action > validate result,Success,Medium
OKT-ACC-00005,Okta,access,Submit Okta access,Okta test data ready,Initiate integration > check queue > confirm completion,Success,High
OKT-ACC-00006,Okta,access,Clone Okta access,Okta test data ready,Initiate integration > check queue > confirm completion,Success,Medium
OKT-ACC-00007,Okta,access,Submit Okta access,Okta test data ready,Submit transaction > sync system > reconcile report,Success,High
OKT-ACC-00008,Okta,access,Search Okta access,Okta test data ready,Open module > perform action > validate result,Success,Medium
OKT-ACC-00009,Okta,access,Restore Okta access,Okta test data ready,Create record > route approval > verify status,Success,Low
OKT-ACC-00010,Okta,access,Archive Okta access,Okta test data ready,Submit transaction > sync system > reconcile report,Success,Medium
OKT-ACC-00011,Okta,access,Route Okta access,Okta test data ready,Submit transaction > sync system > reconcile report,Success,High
OKT-ACC-00012,Okta,access,Validate Okta access,Okta test data ready,Create record > route approval > verify status,Success,Low
OKT-ACC-00013,Okta,access,Update Okta access,Okta test data ready,Initiate integration > check queue > confirm completion,Success,Medium
OKT-ACC-00014,Okta,access,Clone Okta access,Okta test data ready,Initiate integration > check queue > confirm completion,Success,Medium
OKT-ACC-00015,Okta,access,Create Okta access,Okta test data ready,Create record > route approval > verify status,Success,Medium
OKT-ACC-00016,Okta,access,Route Okta access,Okta test data ready,Submit transaction > sync system > reconcile report,Success,Low
OKT-ACC-00017,Okta,access,Edit Okta access,Okta test data ready,Submit transaction > sync system > reconcile report,Success,Medium
OKT-ACC-00018,Okta,access,Route Okta access,Okta test data ready,Create record > route approval > verify status,Success,High
OKT-ACC-00019,Okta,access,Approve Okta access,Okta test data ready,Open module > perform action > validate result,Success,High
OKT-ACC-00020,Okta,access,Edit Okta access,Okta test data ready,Open module > perform action > validate result,Success,Low
OKT-ACC-00021,Okta,access,Restore Okta access,Okta test data ready,Submit transaction > sync system > reconcile report,Success,High
OKT-ACC-00022,Okta,access,Restore Okta access,Okta test data ready,Create record > route approval > verify status,Success,Low
OKT-ACC-00023,Okta,access,Archive Okta access,Okta test data ready,Open module > perform action > validate result,Success,Low
OKT-ACC-00024,Okta,access,Clone Okta access,Okta test data ready,Open module > perform action > validate result,Success,High
OKT-ACC-00025,Okta,access,Validate Okta access,Okta test data ready,Initiate integration > check queue > confirm completion,Success,High
OKT-ACC-00026,Okta,access,Archive Okta access,Okta test data ready,Initiate integration > check queue > confirm completion,Success,Medium
OKT-ACC-00027,Okta,access,Submit Okta access,Okta test data ready,Submit transaction > sync system > reconcile report,Success,Medium
OKT-ACC-00028,Okta,access,Validate Okta access,Okta test data ready,Submit transaction > sync system > reconcile report,Success,Low
OKT-ACC-00029,Okta,access,Delete Okta access,Okta test data ready,Submit transaction > sync system > reconcile report,Success,High
OKT-ACC-00030,Okta,access,Approve Okta access,Okta test data ready,Open module > perform action > validate result,Success,Low
OKT-ACC-00031,Okta,access,Archive Okta access,Okta test data ready,Submit transaction > sync system > reconcile report,Success,Medium
OKT-ACC-00032,Okta,access,Archive Okta access,Okta test data ready,Initiate integration > check queue > confirm completion,Success,Low
OKT-ACC-00033,Okta,access,Search Okta access,Okta test data ready,Initiate integration > check queue > confirm completion,Success,Medium
OKT-ACC-00034,Okta,access,Route Okta access,Okta test data ready,Create record > route approval > verify status,Success,Medium
OKT-ACC-00035,Okta,access,Reject Okta access,Okta test data ready,Submit transaction > sync system > reconcile report,Success,Low
OKT-ACC-00036,Okta,access,Validate Okta access,Okta test data ready,Submit transaction > sync system > reconcile report,Success,Low
OKT-ACC-00037,Okta,access,Archive Okta access,Okta test data ready,Initiate integration > check queue > confirm completion,Success,Medium
OKT-ACC-00038,Okta,access,Edit Okta access,Okta test data ready,Initiate integration > check queue > confirm completion,Success,Low
OKT-ACC-00039,Okta,access,Clone Okta access,Okta test data ready,Submit transaction > sync system > reconcile report,Success,Low
OKT-ACC-00040,Okta,access,Restore Okta access,Okta test data ready,Open module > perform action > validate result,Success,Medium
OKT-ACC-00041,Okta,access,Search Okta access,Okta test data ready,Create record > route approval > verify status,Success,Low
OKT-ACC-00042,Okta,access,Search Okta access,Okta test data ready,Initiate integration > check queue > confirm completion,Success,High
OKT-ACC-00043,Okta,access,Escalate Okta access,Okta test data ready,Submit transaction > sync system > reconcile report,Success,Medium
OKT-ACC-00044,Okta,access,Escalate Okta access,Okta test data ready,Create record > route approval > verify status,Success,Medium
OKT-ACC-00045,Okta,access,Create Okta access,Okta test data ready,Initiate integration > check queue > confirm completion,Success,Medium
OKT-ACC-00046,Okta,access,Update Okta access,Okta test data ready,Initiate integration > check queue > confirm completion,Success,Medium
