Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
OKT-LIF-00001,Okta,lifecycle,Archive Okta lifecycle,Okta test data ready,Create record > route approval > verify status,Success,Medium
OKT-LIF-00002,Okta,lifecycle,Search Okta lifecycle,Okta test data ready,Submit transaction > sync system > reconcile report,Success,High
OKT-LIF-00003,Okta,lifecycle,Restore Okta lifecycle,Okta test data ready,Initiate integration > check queue > confirm completion,Success,Low
OKT-LIF-00004,Okta,lifecycle,Clone Okta lifecycle,Okta test data ready,Open module > perform action > validate result,Success,Medium
OKT-LIF-00005,Okta,lifecycle,Clone Okta lifecycle,Okta test data ready,Open module > perform action > validate result,Success,Low
OKT-LIF-00006,Okta,lifecycle,Escalate Okta lifecycle,Okta test data ready,Initiate integration > check queue > confirm completion,Success,Medium
OKT-LIF-00007,Okta,lifecycle,Update Okta lifecycle,Okta test data ready,Initiate integration > check queue > confirm completion,Success,Medium
OKT-LIF-00008,Okta,lifecycle,Clone Okta lifecycle,Okta test data ready,Submit transaction > sync system > reconcile report,Success,Low
OKT-LIF-00009,Okta,lifecycle,Edit Okta lifecycle,Okta test data ready,Submit transaction > sync system > reconcile report,Success,High
OKT-LIF-00010,Okta,lifecycle,Edit Okta lifecycle,Okta test data ready,Open module > perform action > validate result,Success,Medium
OKT-LIF-00011,Okta,lifecycle,Delete Okta lifecycle,Okta test data ready,Initiate integration > check queue > confirm completion,Success,Medium
OKT-LIF-00012,Okta,lifecycle,Route Okta lifecycle,Okta test data ready,Submit transaction > sync system > reconcile report,Success,Low
OKT-LIF-00013,Okta,lifecycle,Route Okta lifecycle,Okta test data ready,Create record > route approval > verify status,Success,Medium
OKT-LIF-00014,Okta,lifecycle,Update Okta lifecycle,Okta test data ready,Create record > route approval > verify status,Success,Low
OKT-LIF-00015,Okta,lifecycle,Archive Okta lifecycle,Okta test data ready,Initiate integration > check queue > confirm completion,Success,High
OKT-LIF-00016,Okta,lifecycle,Clone Okta lifecycle,Okta test data ready,Initiate integration > check queue > confirm completion,Success,Medium
OKT-LIF-00017,Okta,lifecycle,Delete Okta lifecycle,Okta test data ready,Create record > route approval > verify status,Success,High
OKT-LIF-00018,Okta,lifecycle,Route Okta lifecycle,Okta test data ready,Initiate integration > check queue > confirm completion,Success,Low
OKT-LIF-00019,Okta,lifecycle,Reject Okta lifecycle,Okta test data ready,Initiate integration > check queue > confirm completion,Success,High
OKT-LIF-00020,Okta,lifecycle,Route Okta lifecycle,Okta test data ready,Submit transaction > sync system > reconcile report,Success,High
OKT-LIF-00021,Okta,lifecycle,Search Okta lifecycle,Okta test data ready,Create record > route approval > verify status,Success,High
OKT-LIF-00022,Okta,lifecycle,Restore Okta lifecycle,Okta test data ready,Initiate integration > check queue > confirm completion,Success,Medium
OKT-LIF-00023,Okta,lifecycle,Archive Okta lifecycle,Okta test data ready,Open module > perform action > validate result,Success,High
OKT-LIF-00024,Okta,lifecycle,Restore Okta lifecycle,Okta test data ready,Open module > perform action > validate result,Success,Medium
OKT-LIF-00025,Okta,lifecycle,Submit Okta lifecycle,Okta test data ready,Open module > perform action > validate result,Success,Medium
OKT-LIF-00026,Okta,lifecycle,Submit Okta lifecycle,Okta test data ready,Create record > route approval > verify status,Success,Medium
OKT-LIF-00027,Okta,lifecycle,Escalate Okta lifecycle,Okta test data ready,Create record > route approval > verify status,Success,Low
OKT-LIF-00028,Okta,lifecycle,Create Okta lifecycle,Okta test data ready,Initiate integration > check queue > confirm completion,Success,Low
OKT-LIF-00029,Okta,lifecycle,Delete Okta lifecycle,Okta test data ready,Submit transaction > sync system > reconcile report,Success,Low
OKT-LIF-00030,Okta,lifecycle,Search Okta lifecycle,Okta test data ready,Open module > perform action > validate result,Success,Low
OKT-LIF-00031,Okta,lifecycle,Restore Okta lifecycle,Okta test data ready,Open module > perform action > validate result,Success,High
