Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
OKT-MFA-00001,Okta,mfa,Restore Okta mfa,Okta test data ready,Initiate integration > check queue > confirm completion,Success,Medium
OKT-MFA-00002,Okta,mfa,Validate Okta mfa,Okta test data ready,Create record > route approval > verify status,Success,Low
OKT-MFA-00003,Okta,mfa,Reject Okta mfa,Okta test data ready,Submit transaction > sync system > reconcile report,Success,Medium
OKT-MFA-00004,Okta,mfa,Create Okta mfa,Okta test data ready,Initiate integration > check queue > confirm completion,Success,High
OKT-MFA-00005,Okta,mfa,Restore Okta mfa,Okta test data ready,Submit transaction > sync system > reconcile report,Success,High
OKT-MFA-00006,Okta,mfa,Route Okta mfa,Okta test data ready,Open module > perform action > validate result,Success,High
OKT-MFA-00007,Okta,mfa,Route Okta mfa,Okta test data ready,Submit transaction > sync system > reconcile report,Success,Low
OKT-MFA-00008,Okta,mfa,Validate Okta mfa,Okta test data ready,Submit transaction > sync system > reconcile report,Success,Low
OKT-MFA-00009,Okta,mfa,Approve Okta mfa,Okta test data ready,Create record > route approval > verify status,Success,High
OKT-MFA-00010,Okta,mfa,Clone Okta mfa,Okta test data ready,Initiate integration > check queue > confirm completion,Success,High
OKT-MFA-00011,Okta,mfa,Edit Okta mfa,Okta test data ready,Create record > route approval > verify status,Success,High
OKT-MFA-00012,Okta,mfa,Validate Okta mfa,Okta test data ready,Open module > perform action > validate result,Success,High
OKT-MFA-00013,Okta,mfa,Escalate Okta mfa,Okta test data ready,Create record > route approval > verify status,Success,Medium
OKT-MFA-00014,Okta,mfa,Submit Okta mfa,Okta test data ready,Create record > route approval > verify status,Success,High
OKT-MFA-00015,Okta,mfa,Clone Okta mfa,Okta test data ready,Submit transaction > sync system > reconcile report,Success,High
OKT-MFA-00016,Okta,mfa,Escalate Okta mfa,Okta test data ready,Open module > perform action > validate result,Success,Low
OKT-MFA-00017,Okta,mfa,Edit Okta mfa,Okta test data ready,Open module > perform action > validate result,Success,High
OKT-MFA-00018,Okta,mfa,Update Okta mfa,Okta test data ready,Submit transaction > sync system > reconcile report,Success,Low
OKT-MFA-00019,Okta,mfa,Restore Okta mfa,Okta test data ready,Submit transaction > sync system > reconcile report,Success,High
OKT-MFA-00020,Okta,mfa,Restore Okta mfa,Okta test data ready,Initiate integration > check queue > confirm completion,Success,Low
OKT-MFA-00021,Okta,mfa,Clone Okta mfa,Okta test data ready,Create record > route approval > verify status,Success,Medium
OKT-MFA-00022,Okta,mfa,Approve Okta mfa,Okta test data ready,Create record > route approval > verify status,Success,High
OKT-MFA-00023,Okta,mfa,Clone Okta mfa,Okta test data ready,Open module > perform action > validate result,Success,High
