Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
OKT-SIG-00001,Okta,signin,Approve Okta signin,Okta test data ready,Initiate integration > check queue > confirm completion,Success,Low
OKT-SIG-00002,Okta,signin,Archive Okta signin,Okta test data ready,Initiate integration > check queue > confirm completion,Success,Low
OKT-SIG-00003,Okta,signin,Archive Okta signin,Okta test data ready,Open module > perform action > validate result,Success,Medium
OKT-SIG-00004,Okta,signin,Clone Okta signin,Okta test data ready,Submit transaction > sync system > reconcile report,Success,Low
OKT-SIG-00005,Okta,signin,Escalate Okta signin,Okta test data ready,Create record > route approval > verify status,Success,Low
OKT-SIG-00006,Okta,signin,Search Okta signin,Okta test data ready,Create record > route approval > verify status,Success,High
OKT-SIG-00007,Okta,signin,Validate Okta signin,Okta test data ready,Initiate integration > check queue > confirm completion,Success,Medium
OKT-SIG-00008,Okta,signin,Restore Okta signin,Okta test data ready,Create record > route approval > verify status,Success,Low
OKT-SIG-00009,Okta,signin,Clone Okta signin,Okta test data ready,Initiate integration > check queue > confirm completion,Success,Medium
OKT-SIG-00010,Okta,signin,Reject Okta signin,Okta test data ready,Initiate integration > check queue > confirm completion,Success,Low
OKT-SIG-00011,Okta,signin,Restore Okta signin,Okta test data ready,Open module > perform action > validate result,Success,Medium
OKT-SIG-00012,Okta,signin,Create Okta signin,Okta test data ready,Submit transaction > sync system > reconcile report,Success,Medium
OKT-SIG-00013,Okta,signin,Submit Okta signin,Okta test data ready,Initiate integration > check queue > confirm completion,Success,Medium
OKT-SIG-00014,Okta,signin,Update Okta signin,Okta test data ready,Create record > route approval > verify status,Success,High
OKT-SIG-00015,Okta,signin,Route Okta signin,Okta test data ready,Create record > route approval > verify status,Success,Medium
OKT-SIG-00016,Okta,signin,Search Okta signin,Okta test data ready,Create record > route approval > verify status,Success,Low
OKT-SIG-00017,Okta,signin,Search Okta signin,Okta test data ready,Submit transaction > sync system > reconcile report,Success,Low
OKT-SIG-00018,Okta,signin,Route Okta signin,Okta test data ready,Initiate integration > check queue > confirm completion,Success,Medium
OKT-SIG-00019,Okta,signin,Escalate Okta signin,Okta test data ready,Initiate integration > check queue > confirm completion,Success,High
OKT-SIG-00020,Okta,signin,Restore Okta signin,Okta test data ready,Initiate integration > check queue > confirm completion,Success,Medium
OKT-SIG-00021,Okta,signin,Submit Okta signin,Okta test data ready,Open module > perform action > validate result,Success,Medium
OKT-SIG-00022,Okta,signin,Validate Okta signin,Okta test data ready,Submit transaction > sync system > reconcile report,Success,Medium
OKT-SIG-00023,Okta,signin,Restore Okta signin,Okta test data ready,Initiate integration > check queue > confirm completion,Success,Low
OKT-SIG-00024,Okta,signin,Escalate Okta signin,Okta test data ready,Submit transaction > sync system > reconcile report,Success,Medium
OKT-SIG-00025,Okta,signin,Approve Okta signin,Okta test data ready,Create record > route approval > verify status,Success,High
OKT-SIG-00026,Okta,signin,Restore Okta signin,Okta test data ready,Create record > route approval > verify status,Success,Medium
OKT-SIG-00027,Okta,signin,Edit Okta signin,Okta test data ready,Submit transaction > sync system > reconcile report,Success,Medium
OKT-SIG-00028,Okta,signin,Clone Okta signin,Okta test data ready,Open module > perform action > validate result,Success,High
OKT-SIG-00029,Okta,signin,Delete Okta signin,Okta test data ready,Create record > route approval > verify status,Success,Low
OKT-SIG-00030,Okta,signin,Approve Okta signin,Okta test data ready,Create record > route approval > verify status,Success,Medium
OKT-SIG-00031,Okta,signin,Update Okta signin,Okta test data ready,Submit transaction > sync system > reconcile report,Success,High
OKT-SIG-00032,Okta,signin,Escalate Okta signin,Okta test data ready,Initiate integration > check queue > confirm completion,Success,High
OKT-SIG-00033,Okta,signin,Search Okta signin,Okta test data ready,Submit transaction > sync system > reconcile report,Success,High
OKT-SIG-00034,Okta,signin,Create Okta signin,Okta test data ready,Submit transaction > sync system > reconcile report,Success,Low
OKT-SIG-00035,Okta,signin,Edit Okta signin,Okta test data ready,Open module > perform action > validate result,Success,Low
OKT-SIG-00036,Okta,signin,Approve Okta signin,Okta test data ready,Submit transaction > sync system > reconcile report,Success,Low
OKT-SIG-00037,Okta,signin,Restore Okta signin,Okta test data ready,Create record > route approval > verify status,Success,Medium
OKT-SIG-00038,Okta,signin,Edit Okta signin,Okta test data ready,Open module > perform action > validate result,Success,High
OKT-SIG-00039,Okta,signin,Escalate Okta signin,Okta test data ready,Submit transaction > sync system > reconcile report,Success,High
OKT-SIG-00040,Okta,signin,Validate Okta signin,Okta test data ready,Create record > route approval > verify status,Success,Low
OKT-SIG-00041,Okta,signin,Clone Okta signin,Okta test data ready,Submit transaction > sync system > reconcile report,Success,High
OKT-SIG-00042,Okta,signin,Restore Okta signin,Okta test data ready,Open module > perform action > validate result,Success,Low
OKT-SIG-00043,Okta,signin,Search Okta signin,Okta test data ready,Initiate integration > check queue > confirm completion,Success,High
OKT-SIG-00044,Okta,signin,Create Okta signin,Okta test data ready,Create record > route approval > verify status,Success,Low
