Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
ORA-EPM-00001,OracleApps,epm,Search OracleApps epm,OracleApps test data ready,Initiate integration > check queue > confirm completion,Success,Medium
ORA-EPM-00002,OracleApps,epm,Approve OracleApps epm,OracleApps test data ready,Initiate integration > check queue > confirm completion,Success,Low
ORA-EPM-00003,OracleApps,epm,Create OracleApps epm,OracleApps test data ready,Initiate integration > check queue > confirm completion,Success,High
ORA-EPM-00004,OracleApps,epm,Reject OracleApps epm,OracleApps test data ready,Submit transaction > sync system > reconcile report,Success,Low
ORA-EPM-00005,OracleApps,epm,Search OracleApps epm,OracleApps test data ready,Initiate integration > check queue > confirm completion,Success,Low
ORA-EPM-00006,OracleApps,epm,Approve OracleApps epm,OracleApps test data ready,Open module > perform action > validate result,Success,Low
ORA-EPM-00007,OracleApps,epm,Escalate OracleApps epm,OracleApps test data ready,Open module > perform action > validate result,Success,High
ORA-EPM-00008,OracleApps,epm,Create OracleApps epm,OracleApps test data ready,Submit transaction > sync system > reconcile report,Success,Medium
ORA-EPM-00009,OracleApps,epm,Route OracleApps epm,OracleApps test data ready,Create record > route approval > verify status,Success,Medium
ORA-EPM-00010,OracleApps,epm,Validate OracleApps epm,OracleApps test data ready,Create record > route approval > verify status,Success,Medium
ORA-EPM-00011,OracleApps,epm,Reject OracleApps epm,OracleApps test data ready,Initiate integration > check queue > confirm completion,Success,High
ORA-EPM-00012,OracleApps,epm,Archive OracleApps epm,OracleApps test data ready,Create record > route approval > verify status,Success,High
ORA-EPM-00013,OracleApps,epm,Reject OracleApps epm,OracleApps test data ready,Open module > perform action > validate result,Success,Low
ORA-EPM-00014,OracleApps,epm,Submit OracleApps epm,OracleApps test data ready,Submit transaction > sync system > reconcile report,Success,Medium
ORA-EPM-00015,OracleApps,epm,Archive OracleApps epm,OracleApps test data ready,Initiate integration > check queue > confirm completion,Success,Low
ORA-EPM-00016,OracleApps,epm,Route OracleApps epm,OracleApps test data ready,Submit transaction > sync system > reconcile report,Success,Low
ORA-EPM-00017,OracleApps,epm,Update OracleApps epm,OracleApps test data ready,Open module > perform action > validate result,Success,High
ORA-EPM-00018,OracleApps,epm,Approve OracleApps epm,OracleApps test data ready,Initiate integration > check queue > confirm completion,Success,Low
ORA-EPM-00019,OracleApps,epm,Escalate OracleApps epm,OracleApps test data ready,Open module > perform action > validate result,Success,Low
ORA-EPM-00020,OracleApps,epm,Restore OracleApps epm,OracleApps test data ready,Create record > route approval > verify status,Success,Low
ORA-EPM-00021,OracleApps,epm,Escalate OracleApps epm,OracleApps test data ready,Initiate integration > check queue > confirm completion,Success,Low
ORA-EPM-00022,OracleApps,epm,Approve OracleApps epm,OracleApps test data ready,Submit transaction > sync system > reconcile report,Success,High
ORA-EPM-00023,OracleApps,epm,Search OracleApps epm,OracleApps test data ready,Create record > route approval > verify status,Success,Medium
ORA-EPM-00024,OracleApps,epm,Search OracleApps epm,OracleApps test data ready,Submit transaction > sync system > reconcile report,Success,High
ORA-EPM-00025,OracleApps,epm,Clone OracleApps epm,OracleApps test data ready,Open module > perform action > validate result,Success,High
ORA-EPM-00026,OracleApps,epm,Escalate OracleApps epm,OracleApps test data ready,Open module > perform action > validate result,Success,Low
ORA-EPM-00027,OracleApps,epm,Submit OracleApps epm,OracleApps test data ready,Submit transaction > sync system > reconcile report,Success,High
ORA-EPM-00028,OracleApps,epm,Create OracleApps epm,OracleApps test data ready,Submit transaction > sync system > reconcile report,Success,Medium
ORA-EPM-00029,OracleApps,epm,Route OracleApps epm,OracleApps test data ready,Initiate integration > check queue > confirm completion,Success,High
ORA-EPM-00030,OracleApps,epm,Archive OracleApps epm,OracleApps test data ready,Open module > perform action > validate result,Success,Low
ORA-EPM-00031,OracleApps,epm,Archive OracleApps epm,OracleApps test data ready,Initiate integration > check queue > confirm completion,Success,Low
ORA-EPM-00032,OracleApps,epm,Escalate OracleApps epm,OracleApps test data ready,Create record > route approval > verify status,Success,Low
ORA-EPM-00033,OracleApps,epm,Search OracleApps epm,OracleApps test data ready,Initiate integration > check queue > confirm completion,Success,Medium
ORA-EPM-00034,OracleApps,epm,Edit OracleApps epm,OracleApps test data ready,Open module > perform action > validate result,Success,Medium
ORA-EPM-00035,OracleApps,epm,Create OracleApps epm,OracleApps test data ready,Open module > perform action > validate result,Success,Medium
ORA-EPM-00036,OracleApps,epm,Search OracleApps epm,OracleApps test data ready,Open module > perform action > validate result,Success,Medium
ORA-EPM-00037,OracleApps,epm,Delete OracleApps epm,OracleApps test data ready,Create record > route approval > verify status,Success,Low
ORA-EPM-00038,OracleApps,epm,Delete OracleApps epm,OracleApps test data ready,Create record > route approval > verify status,Success,High
ORA-EPM-00039,OracleApps,epm,Update OracleApps epm,OracleApps test data ready,Initiate integration > check queue > confirm completion,Success,High
ORA-EPM-00040,OracleApps,epm,Delete OracleApps epm,OracleApps test data ready,Open module > perform action > validate result,Success,High
ORA-EPM-00041,OracleApps,epm,Edit OracleApps epm,OracleApps test data ready,Initiate integration > check queue > confirm completion,Success,High
ORA-EPM-00042,OracleApps,epm,Restore OracleApps epm,OracleApps test data ready,Submit transaction > sync system > reconcile report,Success,Medium
ORA-EPM-00043,OracleApps,epm,Route OracleApps epm,OracleApps test data ready,Initiate integration > check queue > confirm completion,Success,Medium
ORA-EPM-00044,OracleApps,epm,Reject OracleApps epm,OracleApps test data ready,Initiate integration > check queue > confirm completion,Success,Low
ORA-EPM-00045,OracleApps,epm,Search OracleApps epm,OracleApps test data ready,Open module > perform action > validate result,Success,Medium
ORA-EPM-00046,OracleApps,epm,Approve OracleApps epm,OracleApps test data ready,Initiate integration > check queue > confirm completion,Success,High
ORA-EPM-00047,OracleApps,epm,Clone OracleApps epm,OracleApps test data ready,Initiate integration > check queue > confirm completion,Success,High
ORA-EPM-00048,OracleApps,epm,Update OracleApps epm,OracleApps test data ready,Create record > route approval > verify status,Success,High
ORA-EPM-00049,OracleApps,epm,Clone OracleApps epm,OracleApps test data ready,Open module > perform action > validate result,Success,Medium
ORA-EPM-00050,OracleApps,epm,Escalate OracleApps epm,OracleApps test data ready,Submit transaction > sync system > reconcile report,Success,High
