Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
ORA-HCM-00001,OracleApps,hcm,Search OracleApps hcm,OracleApps test data ready,Initiate integration > check queue > confirm completion,Success,High
ORA-HCM-00002,OracleApps,hcm,Approve OracleApps hcm,OracleApps test data ready,Initiate integration > check queue > confirm completion,Success,Medium
ORA-HCM-00003,OracleApps,hcm,Archive OracleApps hcm,OracleApps test data ready,Initiate integration > check queue > confirm completion,Success,High
ORA-HCM-00004,OracleApps,hcm,Restore OracleApps hcm,OracleApps test data ready,Create record > route approval > verify status,Success,Medium
ORA-HCM-00005,OracleApps,hcm,Reject OracleApps hcm,OracleApps test data ready,Initiate integration > check queue > confirm completion,Success,Medium
ORA-HCM-00006,OracleApps,hcm,Approve OracleApps hcm,OracleApps test data ready,Submit transaction > sync system > reconcile report,Success,High
ORA-HCM-00007,OracleApps,hcm,Search OracleApps hcm,OracleApps test data ready,Create record > route approval > verify status,Success,Low
ORA-HCM-00008,OracleApps,hcm,Reject OracleApps hcm,OracleApps test data ready,Open module > perform action > validate result,Success,Low
ORA-HCM-00009,OracleApps,hcm,Create OracleApps hcm,OracleApps test data ready,Open module > perform action > validate result,Success,Low
ORA-HCM-00010,OracleApps,hcm,Reject OracleApps hcm,OracleApps test data ready,Initiate integration > check queue > confirm completion,Success,Medium
ORA-HCM-00011,OracleApps,hcm,Update OracleApps hcm,OracleApps test data ready,Initiate integration > check queue > confirm completion,Success,High
ORA-HCM-00012,OracleApps,hcm,Clone OracleApps hcm,OracleApps test data ready,Initiate integration > check queue > confirm completion,Success,Low
ORA-HCM-00013,OracleApps,hcm,Submit OracleApps hcm,OracleApps test data ready,Initiate integration > check queue > confirm completion,Success,Low
ORA-HCM-00014,OracleApps,hcm,Submit OracleApps hcm,OracleApps test data ready,Open module > perform action > validate result,Success,Low
ORA-HCM-00015,OracleApps,hcm,Escalate OracleApps hcm,OracleApps test data ready,Initiate integration > check queue > confirm completion,Success,Medium
ORA-HCM-00016,OracleApps,hcm,Restore OracleApps hcm,OracleApps test data ready,Initiate integration > check queue > confirm completion,Success,High
ORA-HCM-00017,OracleApps,hcm,Reject OracleApps hcm,OracleApps test data ready,Initiate integration > check queue > confirm completion,Success,Medium
ORA-HCM-00018,OracleApps,hcm,Update OracleApps hcm,OracleApps test data ready,Submit transaction > sync system > reconcile report,Success,Medium
ORA-HCM-00019,OracleApps,hcm,Reject OracleApps hcm,OracleApps test data ready,Open module > perform action > validate result,Success,High
ORA-HCM-00020,OracleApps,hcm,Route OracleApps hcm,OracleApps test data ready,Submit transaction > sync system > reconcile report,Success,Low
ORA-HCM-00021,OracleApps,hcm,Escalate OracleApps hcm,OracleApps test data ready,Submit transaction > sync system > reconcile report,Success,Medium
ORA-HCM-00022,OracleApps,hcm,Validate OracleApps hcm,OracleApps test data ready,Submit transaction > sync system > reconcile report,Success,Medium
ORA-HCM-00023,OracleApps,hcm,Validate OracleApps hcm,OracleApps test data ready,Create record > route approval > verify status,Success,Medium
ORA-HCM-00024,OracleApps,hcm,Validate OracleApps hcm,OracleApps test data ready,Initiate integration > check queue > confirm completion,Success,Medium
ORA-HCM-00025,OracleApps,hcm,Validate OracleApps hcm,OracleApps test data ready,Initiate integration > check queue > confirm completion,Success,High
ORA-HCM-00026,OracleApps,hcm,Restore OracleApps hcm,OracleApps test data ready,Initiate integration > check queue > confirm completion,Success,Low
ORA-HCM-00027,OracleApps,hcm,Create OracleApps hcm,OracleApps test data ready,Initiate integration > check queue > confirm completion,Success,Low
ORA-HCM-00028,OracleApps,hcm,Validate OracleApps hcm,OracleApps test data ready,Open module > perform action > validate result,Success,Low
ORA-HCM-00029,OracleApps,hcm,Approve OracleApps hcm,OracleApps test data ready,Open module > perform action > validate result,Success,High
ORA-HCM-00030,OracleApps,hcm,Approve OracleApps hcm,OracleApps test data ready,Initiate integration > check queue > confirm completion,Success,Low
ORA-HCM-00031,OracleApps,hcm,Restore OracleApps hcm,OracleApps test data ready,Initiate integration > check queue > confirm completion,Success,Medium
ORA-HCM-00032,OracleApps,hcm,Validate OracleApps hcm,OracleApps test data ready,Submit transaction > sync system > reconcile report,Success,Medium
