Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
ORA-PRO-00001,OracleApps,procurement,Archive OracleApps procurement,OracleApps test data ready,Open module > perform action > validate result,Success,Low
ORA-PRO-00002,OracleApps,procurement,Update OracleApps procurement,OracleApps test data ready,Initiate integration > check queue > confirm completion,Success,Medium
ORA-PRO-00003,OracleApps,procurement,Restore OracleApps procurement,OracleApps test data ready,Initiate integration > check queue > confirm completion,Success,Low
ORA-PRO-00004,OracleApps,procurement,Archive OracleApps procurement,OracleApps test data ready,Submit transaction > sync system > reconcile report,Success,Medium
ORA-PRO-00005,OracleApps,procurement,Clone OracleApps procurement,OracleApps test data ready,Create record > route approval > verify status,Success,High
ORA-PRO-00006,OracleApps,procurement,Escalate OracleApps procurement,OracleApps test data ready,Open module > perform action > validate result,Success,Low
ORA-PRO-00007,OracleApps,procurement,Clone OracleApps procurement,OracleApps test data ready,Initiate integration > check queue > confirm completion,Success,High
ORA-PRO-00008,OracleApps,procurement,Delete OracleApps procurement,OracleApps test data ready,Open module > perform action > validate result,Success,High
ORA-PRO-00009,OracleApps,procurement,Search OracleApps procurement,OracleApps test data ready,Submit transaction > sync system > reconcile report,Success,High
ORA-PRO-00010,OracleApps,procurement,Route OracleApps procurement,OracleApps test data ready,Submit transaction > sync system > reconcile report,Success,Low
ORA-PRO-00011,OracleApps,procurement,Route OracleApps procurement,OracleApps test data ready,Open module > perform action > validate result,Success,Low
ORA-PRO-00012,OracleApps,procurement,Archive OracleApps procurement,OracleApps test data ready,Create record > route approval > verify status,Success,High
ORA-PRO-00013,OracleApps,procurement,Delete OracleApps procurement,OracleApps test data ready,Submit transaction > sync system > reconcile report,Success,Low
ORA-PRO-00014,OracleApps,procurement,Create OracleApps procurement,OracleApps test data ready,Open module > perform action > validate result,Success,Medium
ORA-PRO-00015,OracleApps,procurement,Archive OracleApps procurement,OracleApps test data ready,Open module > perform action > validate result,Success,Low
ORA-PRO-00016,OracleApps,procurement,Approve OracleApps procurement,OracleApps test data ready,Initiate integration > check queue > confirm completion,Success,Low
ORA-PRO-00017,OracleApps,procurement,Validate OracleApps procurement,OracleApps test data ready,Open module > perform action > validate result,Success,Low
ORA-PRO-00018,OracleApps,procurement,Submit OracleApps procurement,OracleApps test data ready,Create record > route approval > verify status,Success,Low
ORA-PRO-00019,OracleApps,procurement,Reject OracleApps procurement,OracleApps test data ready,Open module > perform action > validate result,Success,Medium
ORA-PRO-00020,OracleApps,procurement,Submit OracleApps procurement,OracleApps test data ready,Initiate integration > check queue > confirm completion,Success,High
ORA-PRO-00021,OracleApps,procurement,Validate OracleApps procurement,OracleApps test data ready,Submit transaction > sync system > reconcile report,Success,High
ORA-PRO-00022,OracleApps,procurement,Validate OracleApps procurement,OracleApps test data ready,Open module > perform action > validate result,Success,High
ORA-PRO-00023,OracleApps,procurement,Escalate OracleApps procurement,OracleApps test data ready,Initiate integration > check queue > confirm completion,Success,High
ORA-PRO-00024,OracleApps,procurement,Reject OracleApps procurement,OracleApps test data ready,Create record > route approval > verify status,Success,Medium
ORA-PRO-00025,OracleApps,procurement,Route OracleApps procurement,OracleApps test data ready,Create record > route approval > verify status,Success,High
ORA-PRO-00026,OracleApps,procurement,Search OracleApps procurement,OracleApps test data ready,Create record > route approval > verify status,Success,Low
ORA-PRO-00027,OracleApps,procurement,Edit OracleApps procurement,OracleApps test data ready,Initiate integration > check queue > confirm completion,Success,Low
ORA-PRO-00028,OracleApps,procurement,Reject OracleApps procurement,OracleApps test data ready,Initiate integration > check queue > confirm completion,Success,High
ORA-PRO-00029,OracleApps,procurement,Escalate OracleApps procurement,OracleApps test data ready,Initiate integration > check queue > confirm completion,Success,Medium
ORA-PRO-00030,OracleApps,procurement,Create OracleApps procurement,OracleApps test data ready,Open module > perform action > validate result,Success,Medium
ORA-PRO-00031,OracleApps,procurement,Reject OracleApps procurement,OracleApps test data ready,Create record > route approval > verify status,Success,High
ORA-PRO-00032,OracleApps,procurement,Reject OracleApps procurement,OracleApps test data ready,Open module > perform action > validate result,Success,Low
ORA-PRO-00033,OracleApps,procurement,Search OracleApps procurement,OracleApps test data ready,Initiate integration > check queue > confirm completion,Success,Low
ORA-PRO-00034,OracleApps,procurement,Archive OracleApps procurement,OracleApps test data ready,Create record > route approval > verify status,Success,Low
ORA-PRO-00035,OracleApps,procurement,Archive OracleApps procurement,OracleApps test data ready,Initiate integration > check queue > confirm completion,Success,High
ORA-PRO-00036,OracleApps,procurement,Update OracleApps procurement,OracleApps test data ready,Create record > route approval > verify status,Success,High
ORA-PRO-00037,OracleApps,procurement,Delete OracleApps procurement,OracleApps test data ready,Open module > perform action > validate result,Success,High
ORA-PRO-00038,OracleApps,procurement,Validate OracleApps procurement,OracleApps test data ready,Open module > perform action > validate result,Success,Low
ORA-PRO-00039,OracleApps,procurement,Delete OracleApps procurement,OracleApps test data ready,Initiate integration > check queue > confirm completion,Success,Medium
ORA-PRO-00040,OracleApps,procurement,Search OracleApps procurement,OracleApps test data ready,Create record > route approval > verify status,Success,High
ORA-PRO-00041,OracleApps,procurement,Clone OracleApps procurement,OracleApps test data ready,Create record > route approval > verify status,Success,Low
ORA-PRO-00042,OracleApps,procurement,Delete OracleApps procurement,OracleApps test data ready,Create record > route approval > verify status,Success,High
ORA-PRO-00043,OracleApps,procurement,Edit OracleApps procurement,OracleApps test data ready,Create record > route approval > verify status,Success,Low
ORA-PRO-00044,OracleApps,procurement,Search OracleApps procurement,OracleApps test data ready,Open module > perform action > validate result,Success,Low
ORA-PRO-00045,OracleApps,procurement,Archive OracleApps procurement,OracleApps test data ready,Submit transaction > sync system > reconcile report,Success,Low
ORA-PRO-00046,OracleApps,procurement,Validate OracleApps procurement,OracleApps test data ready,Initiate integration > check queue > confirm completion,Success,Medium
ORA-PRO-00047,OracleApps,procurement,Submit OracleApps procurement,OracleApps test data ready,Submit transaction > sync system > reconcile report,Success,Low
ORA-PRO-00048,OracleApps,procurement,Validate OracleApps procurement,OracleApps test data ready,Create record > route approval > verify status,Success,Low
ORA-PRO-00049,OracleApps,procurement,Validate OracleApps procurement,OracleApps test data ready,Initiate integration > check queue > confirm completion,Success,High
ORA-PRO-00050,OracleApps,procurement,Archive OracleApps procurement,OracleApps test data ready,Submit transaction > sync system > reconcile report,Success,High
ORA-PRO-00051,OracleApps,procurement,Clone OracleApps procurement,OracleApps test data ready,Submit transaction > sync system > reconcile report,Success,Medium
ORA-PRO-00052,OracleApps,procurement,Archive OracleApps procurement,OracleApps test data ready,Create record > route approval > verify status,Success,High
ORA-PRO-00053,OracleApps,procurement,Route OracleApps procurement,OracleApps test data ready,Create record > route approval > verify status,Success,Medium
ORA-PRO-00054,OracleApps,procurement,Archive OracleApps procurement,OracleApps test data ready,Initiate integration > check queue > confirm completion,Success,Low
ORA-PRO-00055,OracleApps,procurement,Archive OracleApps procurement,OracleApps test data ready,Submit transaction > sync system > reconcile report,Success,High
