Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
ORA-PRO-00001,OracleApps,projects,Escalate OracleApps projects,OracleApps test data ready,Submit transaction > sync system > reconcile report,Success,Medium
ORA-PRO-00002,OracleApps,projects,Restore OracleApps projects,OracleApps test data ready,Initiate integration > check queue > confirm completion,Success,Medium
ORA-PRO-00003,OracleApps,projects,Update OracleApps projects,OracleApps test data ready,Initiate integration > check queue > confirm completion,Success,Medium
ORA-PRO-00004,OracleApps,projects,Delete OracleApps projects,OracleApps test data ready,Initiate integration > check queue > confirm completion,Success,Low
ORA-PRO-00005,OracleApps,projects,Create OracleApps projects,OracleApps test data ready,Open module > perform action > validate result,Success,Low
ORA-PRO-00006,OracleApps,projects,Submit OracleApps projects,OracleApps test data ready,Create record > route approval > verify status,Success,Low
ORA-PRO-00007,OracleApps,projects,Search OracleApps projects,OracleApps test data ready,Submit transaction > sync system > reconcile report,Success,Low
ORA-PRO-00008,OracleApps,projects,Approve OracleApps projects,OracleApps test data ready,Submit transaction > sync system > reconcile report,Success,High
ORA-PRO-00009,OracleApps,projects,Validate OracleApps projects,OracleApps test data ready,Submit transaction > sync system > reconcile report,Success,Medium
ORA-PRO-00010,OracleApps,projects,Delete OracleApps projects,OracleApps test data ready,Create record > route approval > verify status,Success,High
ORA-PRO-00011,OracleApps,projects,Submit OracleApps projects,OracleApps test data ready,Initiate integration > check queue > confirm completion,Success,Low
ORA-PRO-00012,OracleApps,projects,Clone OracleApps projects,OracleApps test data ready,Create record > route approval > verify status,Success,High
ORA-PRO-00013,OracleApps,projects,Search OracleApps projects,OracleApps test data ready,Submit transaction > sync system > reconcile report,Success,Medium
ORA-PRO-00014,OracleApps,projects,Reject OracleApps projects,OracleApps test data ready,Open module > perform action > validate result,Success,Medium
ORA-PRO-00015,OracleApps,projects,Search OracleApps projects,OracleApps test data ready,Create record > route approval > verify status,Success,Medium
ORA-PRO-00016,OracleApps,projects,Submit OracleApps projects,OracleApps test data ready,Open module > perform action > validate result,Success,Medium
ORA-PRO-00017,OracleApps,projects,Submit OracleApps projects,OracleApps test data ready,Submit transaction > sync system > reconcile report,Success,High
ORA-PRO-00018,OracleApps,projects,Approve OracleApps projects,OracleApps test data ready,Create record > route approval > verify status,Success,Medium
ORA-PRO-00019,OracleApps,projects,Restore OracleApps projects,OracleApps test data ready,Submit transaction > sync system > reconcile report,Success,High
ORA-PRO-00020,OracleApps,projects,Delete OracleApps projects,OracleApps test data ready,Create record > route approval > verify status,Success,Low
ORA-PRO-00021,OracleApps,projects,Update OracleApps projects,OracleApps test data ready,Initiate integration > check queue > confirm completion,Success,High
ORA-PRO-00022,OracleApps,projects,Escalate OracleApps projects,OracleApps test data ready,Submit transaction > sync system > reconcile report,Success,Low
ORA-PRO-00023,OracleApps,projects,Submit OracleApps projects,OracleApps test data ready,Open module > perform action > validate result,Success,Low
ORA-PRO-00024,OracleApps,projects,Create OracleApps projects,OracleApps test data ready,Create record > route approval > verify status,Success,High
ORA-PRO-00025,OracleApps,projects,Route OracleApps projects,OracleApps test data ready,Open module > perform action > validate result,Success,High
ORA-PRO-00026,OracleApps,projects,Update OracleApps projects,OracleApps test data ready,Open module > perform action > validate result,Success,Medium
ORA-PRO-00027,OracleApps,projects,Search OracleApps projects,OracleApps test data ready,Create record > route approval > verify status,Success,Low
ORA-PRO-00028,OracleApps,projects,Restore OracleApps projects,OracleApps test data ready,Open module > perform action > validate result,Success,High
ORA-PRO-00029,OracleApps,projects,Delete OracleApps projects,OracleApps test data ready,Initiate integration > check queue > confirm completion,Success,High
ORA-PRO-00030,OracleApps,projects,Submit OracleApps projects,OracleApps test data ready,Open module > perform action > validate result,Success,High
ORA-PRO-00031,OracleApps,projects,Escalate OracleApps projects,OracleApps test data ready,Open module > perform action > validate result,Success,High
ORA-PRO-00032,OracleApps,projects,Edit OracleApps projects,OracleApps test data ready,Create record > route approval > verify status,Success,High
ORA-PRO-00033,OracleApps,projects,Reject OracleApps projects,OracleApps test data ready,Initiate integration > check queue > confirm completion,Success,Low
ORA-PRO-00034,OracleApps,projects,Escalate OracleApps projects,OracleApps test data ready,Create record > route approval > verify status,Success,Medium
ORA-PRO-00035,OracleApps,projects,Reject OracleApps projects,OracleApps test data ready,Initiate integration > check queue > confirm completion,Success,Medium
ORA-PRO-00036,OracleApps,projects,Clone OracleApps projects,OracleApps test data ready,Create record > route approval > verify status,Success,Low
ORA-PRO-00037,OracleApps,projects,Delete OracleApps projects,OracleApps test data ready,Initiate integration > check queue > confirm completion,Success,Low
ORA-PRO-00038,OracleApps,projects,Reject OracleApps projects,OracleApps test data ready,Open module > perform action > validate result,Success,Medium
ORA-PRO-00039,OracleApps,projects,Clone OracleApps projects,OracleApps test data ready,Submit transaction > sync system > reconcile report,Success,Medium
ORA-PRO-00040,OracleApps,projects,Submit OracleApps projects,OracleApps test data ready,Create record > route approval > verify status,Success,Low
ORA-PRO-00041,OracleApps,projects,Reject OracleApps projects,OracleApps test data ready,Open module > perform action > validate result,Success,High
ORA-PRO-00042,OracleApps,projects,Archive OracleApps projects,OracleApps test data ready,Initiate integration > check queue > confirm completion,Success,Low
ORA-PRO-00043,OracleApps,projects,Route OracleApps projects,OracleApps test data ready,Submit transaction > sync system > reconcile report,Success,Low
ORA-PRO-00044,OracleApps,projects,Create OracleApps projects,OracleApps test data ready,Open module > perform action > validate result,Success,High
ORA-PRO-00045,OracleApps,projects,Route OracleApps projects,OracleApps test data ready,Open module > perform action > validate result,Success,Low
ORA-PRO-00046,OracleApps,projects,Clone OracleApps projects,OracleApps test data ready,Initiate integration > check queue > confirm completion,Success,Medium
ORA-PRO-00047,OracleApps,projects,Delete OracleApps projects,OracleApps test data ready,Open module > perform action > validate result,Success,High
ORA-PRO-00048,OracleApps,projects,Approve OracleApps projects,OracleApps test data ready,Create record > route approval > verify status,Success,High
ORA-PRO-00049,OracleApps,projects,Submit OracleApps projects,OracleApps test data ready,Open module > perform action > validate result,Success,Low
ORA-PRO-00050,OracleApps,projects,Delete OracleApps projects,OracleApps test data ready,Open module > perform action > validate result,Success,Medium
ORA-PRO-00051,OracleApps,projects,Validate OracleApps projects,OracleApps test data ready,Submit transaction > sync system > reconcile report,Success,High
ORA-PRO-00052,OracleApps,projects,Submit OracleApps projects,OracleApps test data ready,Create record > route approval > verify status,Success,Medium
ORA-PRO-00053,OracleApps,projects,Restore OracleApps projects,OracleApps test data ready,Submit transaction > sync system > reconcile report,Success,Medium
ORA-PRO-00054,OracleApps,projects,Update OracleApps projects,OracleApps test data ready,Open module > perform action > validate result,Success,Medium
ORA-PRO-00055,OracleApps,projects,Create OracleApps projects,OracleApps test data ready,Initiate integration > check queue > confirm completion,Success,Medium
ORA-PRO-00056,OracleApps,projects,Delete OracleApps projects,OracleApps test data ready,Initiate integration > check queue > confirm completion,Success,Medium
ORA-PRO-00057,OracleApps,projects,Edit OracleApps projects,OracleApps test data ready,Create record > route approval > verify status,Success,High
ORA-PRO-00058,OracleApps,projects,Submit OracleApps projects,OracleApps test data ready,Create record > route approval > verify status,Success,Medium
ORA-PRO-00059,OracleApps,projects,Edit OracleApps projects,OracleApps test data ready,Create record > route approval > verify status,Success,Medium
