Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
ORA-SCM-00001,OracleApps,scm,Route OracleApps scm,OracleApps test data ready,Initiate integration > check queue > confirm completion,Success,Low
ORA-SCM-00002,OracleApps,scm,Escalate OracleApps scm,OracleApps test data ready,Initiate integration > check queue > confirm completion,Success,Medium
ORA-SCM-00003,OracleApps,scm,Restore OracleApps scm,OracleApps test data ready,Create record > route approval > verify status,Success,Low
ORA-SCM-00004,OracleApps,scm,Escalate OracleApps scm,OracleApps test data ready,Create record > route approval > verify status,Success,High
ORA-SCM-00005,OracleApps,scm,Clone OracleApps scm,OracleApps test data ready,Open module > perform action > validate result,Success,High
ORA-SCM-00006,OracleApps,scm,Escalate OracleApps scm,OracleApps test data ready,Initiate integration > check queue > confirm completion,Success,High
ORA-SCM-00007,OracleApps,scm,Route OracleApps scm,OracleApps test data ready,Create record > route approval > verify status,Success,Medium
ORA-SCM-00008,OracleApps,scm,Create OracleApps scm,OracleApps test data ready,Open module > perform action > validate result,Success,Low
ORA-SCM-00009,OracleApps,scm,Approve OracleApps scm,OracleApps test data ready,Submit transaction > sync system > reconcile report,Success,High
ORA-SCM-00010,OracleApps,scm,Restore OracleApps scm,OracleApps test data ready,Open module > perform action > validate result,Success,Medium
ORA-SCM-00011,OracleApps,scm,Submit OracleApps scm,OracleApps test data ready,Create record > route approval > verify status,Success,Low
ORA-SCM-00012,OracleApps,scm,Update OracleApps scm,OracleApps test data ready,Open module > perform action > validate result,Success,Low
ORA-SCM-00013,OracleApps,scm,Delete OracleApps scm,OracleApps test data ready,Open module > perform action > validate result,Success,High
ORA-SCM-00014,OracleApps,scm,Search OracleApps scm,OracleApps test data ready,Open module > perform action > validate result,Success,Low
ORA-SCM-00015,OracleApps,scm,Escalate OracleApps scm,OracleApps test data ready,Initiate integration > check queue > confirm completion,Success,High
ORA-SCM-00016,OracleApps,scm,Edit OracleApps scm,OracleApps test data ready,Initiate integration > check queue > confirm completion,Success,High
ORA-SCM-00017,OracleApps,scm,Restore OracleApps scm,OracleApps test data ready,Create record > route approval > verify status,Success,Low
ORA-SCM-00018,OracleApps,scm,Archive OracleApps scm,OracleApps test data ready,Initiate integration > check queue > confirm completion,Success,Medium
ORA-SCM-00019,OracleApps,scm,Edit OracleApps scm,OracleApps test data ready,Submit transaction > sync system > reconcile report,Success,Low
ORA-SCM-00020,OracleApps,scm,Edit OracleApps scm,OracleApps test data ready,Open module > perform action > validate result,Success,Low
ORA-SCM-00021,OracleApps,scm,Edit OracleApps scm,OracleApps test data ready,Submit transaction > sync system > reconcile report,Success,High
ORA-SCM-00022,OracleApps,scm,Reject OracleApps scm,OracleApps test data ready,Open module > perform action > validate result,Success,Low
ORA-SCM-00023,OracleApps,scm,Escalate OracleApps scm,OracleApps test data ready,Submit transaction > sync system > reconcile report,Success,Medium
ORA-SCM-00024,OracleApps,scm,Restore OracleApps scm,OracleApps test data ready,Submit transaction > sync system > reconcile report,Success,High
ORA-SCM-00025,OracleApps,scm,Escalate OracleApps scm,OracleApps test data ready,Open module > perform action > validate result,Success,Medium
ORA-SCM-00026,OracleApps,scm,Route OracleApps scm,OracleApps test data ready,Submit transaction > sync system > reconcile report,Success,High
ORA-SCM-00027,OracleApps,scm,Create OracleApps scm,OracleApps test data ready,Open module > perform action > validate result,Success,Medium
ORA-SCM-00028,OracleApps,scm,Restore OracleApps scm,OracleApps test data ready,Initiate integration > check queue > confirm completion,Success,Medium
ORA-SCM-00029,OracleApps,scm,Update OracleApps scm,OracleApps test data ready,Initiate integration > check queue > confirm completion,Success,High
ORA-SCM-00030,OracleApps,scm,Restore OracleApps scm,OracleApps test data ready,Submit transaction > sync system > reconcile report,Success,High
ORA-SCM-00031,OracleApps,scm,Update OracleApps scm,OracleApps test data ready,Create record > route approval > verify status,Success,High
ORA-SCM-00032,OracleApps,scm,Create OracleApps scm,OracleApps test data ready,Open module > perform action > validate result,Success,Medium
ORA-SCM-00033,OracleApps,scm,Reject OracleApps scm,OracleApps test data ready,Submit transaction > sync system > reconcile report,Success,High
ORA-SCM-00034,OracleApps,scm,Route OracleApps scm,OracleApps test data ready,Open module > perform action > validate result,Success,High
ORA-SCM-00035,OracleApps,scm,Restore OracleApps scm,OracleApps test data ready,Initiate integration > check queue > confirm completion,Success,High
ORA-SCM-00036,OracleApps,scm,Clone OracleApps scm,OracleApps test data ready,Initiate integration > check queue > confirm completion,Success,Low
ORA-SCM-00037,OracleApps,scm,Clone OracleApps scm,OracleApps test data ready,Submit transaction > sync system > reconcile report,Success,High
ORA-SCM-00038,OracleApps,scm,Submit OracleApps scm,OracleApps test data ready,Open module > perform action > validate result,Success,Low
ORA-SCM-00039,OracleApps,scm,Approve OracleApps scm,OracleApps test data ready,Initiate integration > check queue > confirm completion,Success,Medium
ORA-SCM-00040,OracleApps,scm,Validate OracleApps scm,OracleApps test data ready,Create record > route approval > verify status,Success,Medium
ORA-SCM-00041,OracleApps,scm,Approve OracleApps scm,OracleApps test data ready,Open module > perform action > validate result,Success,High
ORA-SCM-00042,OracleApps,scm,Submit OracleApps scm,OracleApps test data ready,Initiate integration > check queue > confirm completion,Success,Low
ORA-SCM-00043,OracleApps,scm,Search OracleApps scm,OracleApps test data ready,Open module > perform action > validate result,Success,Low
ORA-SCM-00044,OracleApps,scm,Submit OracleApps scm,OracleApps test data ready,Initiate integration > check queue > confirm completion,Success,High
ORA-SCM-00045,OracleApps,scm,Approve OracleApps scm,OracleApps test data ready,Open module > perform action > validate result,Success,Low
ORA-SCM-00046,OracleApps,scm,Clone OracleApps scm,OracleApps test data ready,Initiate integration > check queue > confirm completion,Success,Medium
ORA-SCM-00047,OracleApps,scm,Clone OracleApps scm,OracleApps test data ready,Submit transaction > sync system > reconcile report,Success,High
ORA-SCM-00048,OracleApps,scm,Search OracleApps scm,OracleApps test data ready,Initiate integration > check queue > confirm completion,Success,Low
ORA-SCM-00049,OracleApps,scm,Delete OracleApps scm,OracleApps test data ready,Initiate integration > check queue > confirm completion,Success,High
ORA-SCM-00050,OracleApps,scm,Search OracleApps scm,OracleApps test data ready,Open module > perform action > validate result,Success,Low
ORA-SCM-00051,OracleApps,scm,Clone OracleApps scm,OracleApps test data ready,Initiate integration > check queue > confirm completion,Success,Low
ORA-SCM-00052,OracleApps,scm,Archive OracleApps scm,OracleApps test data ready,Initiate integration > check queue > confirm completion,Success,Low
ORA-SCM-00053,OracleApps,scm,Create OracleApps scm,OracleApps test data ready,Submit transaction > sync system > reconcile report,Success,Medium
ORA-SCM-00054,OracleApps,scm,Restore OracleApps scm,OracleApps test data ready,Initiate integration > check queue > confirm completion,Success,High
ORA-SCM-00055,OracleApps,scm,Reject OracleApps scm,OracleApps test data ready,Open module > perform action > validate result,Success,High
ORA-SCM-00056,OracleApps,scm,Approve OracleApps scm,OracleApps test data ready,Initiate integration > check queue > confirm completion,Success,Medium
ORA-SCM-00057,OracleApps,scm,Restore OracleApps scm,OracleApps test data ready,Submit transaction > sync system > reconcile report,Success,Low
ORA-SCM-00058,OracleApps,scm,Restore OracleApps scm,OracleApps test data ready,Initiate integration > check queue > confirm completion,Success,Low
ORA-SCM-00059,OracleApps,scm,Edit OracleApps scm,OracleApps test data ready,Open module > perform action > validate result,Success,Medium
ORA-SCM-00060,OracleApps,scm,Delete OracleApps scm,OracleApps test data ready,Open module > perform action > validate result,Success,Medium
ORA-SCM-00061,OracleApps,scm,Update OracleApps scm,OracleApps test data ready,Initiate integration > check queue > confirm completion,Success,High
ORA-SCM-00062,OracleApps,scm,Delete OracleApps scm,OracleApps test data ready,Open module > perform action > validate result,Success,High
ORA-SCM-00063,OracleApps,scm,Search OracleApps scm,OracleApps test data ready,Initiate integration > check queue > confirm completion,Success,High
ORA-SCM-00064,OracleApps,scm,Archive OracleApps scm,OracleApps test data ready,Open module > perform action > validate result,Success,Medium
ORA-SCM-00065,OracleApps,scm,Edit OracleApps scm,OracleApps test data ready,Open module > perform action > validate result,Success,High
ORA-SCM-00066,OracleApps,scm,Clone OracleApps scm,OracleApps test data ready,Initiate integration > check queue > confirm completion,Success,Medium
ORA-SCM-00067,OracleApps,scm,Delete OracleApps scm,OracleApps test data ready,Create record > route approval > verify status,Success,Low
ORA-SCM-00068,OracleApps,scm,Archive OracleApps scm,OracleApps test data ready,Submit transaction > sync system > reconcile report,Success,Low
ORA-SCM-00069,OracleApps,scm,Route OracleApps scm,OracleApps test data ready,Open module > perform action > validate result,Success,Medium
ORA-SCM-00070,OracleApps,scm,Update OracleApps scm,OracleApps test data ready,Submit transaction > sync system > reconcile report,Success,Low
ORA-SCM-00071,OracleApps,scm,Submit OracleApps scm,OracleApps test data ready,Create record > route approval > verify status,Success,Low
ORA-SCM-00072,OracleApps,scm,Update OracleApps scm,OracleApps test data ready,Initiate integration > check queue > confirm completion,Success,Medium
ORA-SCM-00073,OracleApps,scm,Create OracleApps scm,OracleApps test data ready,Submit transaction > sync system > reconcile report,Success,Medium
ORA-SCM-00074,OracleApps,scm,Reject OracleApps scm,OracleApps test data ready,Submit transaction > sync system > reconcile report,Success,High
ORA-SCM-00075,OracleApps,scm,Reject OracleApps scm,OracleApps test data ready,Initiate integration > check queue > confirm completion,Success,High
ORA-SCM-00076,OracleApps,scm,Approve OracleApps scm,OracleApps test data ready,Initiate integration > check queue > confirm completion,Success,High
ORA-SCM-00077,OracleApps,scm,Clone OracleApps scm,OracleApps test data ready,Open module > perform action > validate result,Success,High
ORA-SCM-00078,OracleApps,scm,Escalate OracleApps scm,OracleApps test data ready,Submit transaction > sync system > reconcile report,Success,High
ORA-SCM-00079,OracleApps,scm,Validate OracleApps scm,OracleApps test data ready,Submit transaction > sync system > reconcile report,Success,Medium
ORA-SCM-00080,OracleApps,scm,Update OracleApps scm,OracleApps test data ready,Open module > perform action > validate result,Success,High
