Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
PTC-BOM-00001,PTCWindchill,bom,Update PTCWindchill bom,PTCWindchill test data ready,Submit transaction > sync system > reconcile report,Success,Medium
PTC-BOM-00002,PTCWindchill,bom,Update PTCWindchill bom,PTCWindchill test data ready,Initiate integration > check queue > confirm completion,Success,High
PTC-BOM-00003,PTCWindchill,bom,Escalate PTCWindchill bom,PTCWindchill test data ready,Create record > route approval > verify status,Success,High
PTC-BOM-00004,PTCWindchill,bom,Submit PTCWindchill bom,PTCWindchill test data ready,Submit transaction > sync system > reconcile report,Success,Low
PTC-BOM-00005,PTCWindchill,bom,Clone PTCWindchill bom,PTCWindchill test data ready,Create record > route approval > verify status,Success,Medium
PTC-BOM-00006,PTCWindchill,bom,Search PTCWindchill bom,PTCWindchill test data ready,Initiate integration > check queue > confirm completion,Success,High
PTC-BOM-00007,PTCWindchill,bom,Delete PTCWindchill bom,PTCWindchill test data ready,Initiate integration > check queue > confirm completion,Success,High
PTC-BOM-00008,PTCWindchill,bom,Validate PTCWindchill bom,PTCWindchill test data ready,Open module > perform action > validate result,Success,High
PTC-BOM-00009,PTCWindchill,bom,Edit PTCWindchill bom,PTCWindchill test data ready,Initiate integration > check queue > confirm completion,Success,Low
PTC-BOM-00010,PTCWindchill,bom,Escalate PTCWindchill bom,PTCWindchill test data ready,Initiate integration > check queue > confirm completion,Success,High
PTC-BOM-00011,PTCWindchill,bom,Submit PTCWindchill bom,PTCWindchill test data ready,Open module > perform action > validate result,Success,High
PTC-BOM-00012,PTCWindchill,bom,Reject PTCWindchill bom,PTCWindchill test data ready,Create record > route approval > verify status,Success,High
PTC-BOM-00013,PTCWindchill,bom,Archive PTCWindchill bom,PTCWindchill test data ready,Open module > perform action > validate result,Success,High
PTC-BOM-00014,PTCWindchill,bom,Submit PTCWindchill bom,PTCWindchill test data ready,Initiate integration > check queue > confirm completion,Success,Low
PTC-BOM-00015,PTCWindchill,bom,Search PTCWindchill bom,PTCWindchill test data ready,Submit transaction > sync system > reconcile report,Success,Medium
PTC-BOM-00016,PTCWindchill,bom,Create PTCWindchill bom,PTCWindchill test data ready,Initiate integration > check queue > confirm completion,Success,Low
PTC-BOM-00017,PTCWindchill,bom,Archive PTCWindchill bom,PTCWindchill test data ready,Create record > route approval > verify status,Success,Medium
PTC-BOM-00018,PTCWindchill,bom,Reject PTCWindchill bom,PTCWindchill test data ready,Initiate integration > check queue > confirm completion,Success,Low
PTC-BOM-00019,PTCWindchill,bom,Approve PTCWindchill bom,PTCWindchill test data ready,Submit transaction > sync system > reconcile report,Success,High
PTC-BOM-00020,PTCWindchill,bom,Route PTCWindchill bom,PTCWindchill test data ready,Submit transaction > sync system > reconcile report,Success,Low
PTC-BOM-00021,PTCWindchill,bom,Edit PTCWindchill bom,PTCWindchill test data ready,Open module > perform action > validate result,Success,Medium
PTC-BOM-00022,PTCWindchill,bom,Submit PTCWindchill bom,PTCWindchill test data ready,Open module > perform action > validate result,Success,Medium
PTC-BOM-00023,PTCWindchill,bom,Edit PTCWindchill bom,PTCWindchill test data ready,Initiate integration > check queue > confirm completion,Success,Medium
PTC-BOM-00024,PTCWindchill,bom,Create PTCWindchill bom,PTCWindchill test data ready,Submit transaction > sync system > reconcile report,Success,Medium
PTC-BOM-00025,PTCWindchill,bom,Search PTCWindchill bom,PTCWindchill test data ready,Submit transaction > sync system > reconcile report,Success,Low
PTC-BOM-00026,PTCWindchill,bom,Create PTCWindchill bom,PTCWindchill test data ready,Create record > route approval > verify status,Success,Low
PTC-BOM-00027,PTCWindchill,bom,Clone PTCWindchill bom,PTCWindchill test data ready,Create record > route approval > verify status,Success,High
PTC-BOM-00028,PTCWindchill,bom,Create PTCWindchill bom,PTCWindchill test data ready,Initiate integration > check queue > confirm completion,Success,Low
PTC-BOM-00029,PTCWindchill,bom,Approve PTCWindchill bom,PTCWindchill test data ready,Submit transaction > sync system > reconcile report,Success,Medium
PTC-BOM-00030,PTCWindchill,bom,Escalate PTCWindchill bom,PTCWindchill test data ready,Create record > route approval > verify status,Success,High
PTC-BOM-00031,PTCWindchill,bom,Delete PTCWindchill bom,PTCWindchill test data ready,Create record > route approval > verify status,Success,Low
PTC-BOM-00032,PTCWindchill,bom,Search PTCWindchill bom,PTCWindchill test data ready,Initiate integration > check queue > confirm completion,Success,High
PTC-BOM-00033,PTCWindchill,bom,Delete PTCWindchill bom,PTCWindchill test data ready,Initiate integration > check queue > confirm completion,Success,High
PTC-BOM-00034,PTCWindchill,bom,Approve PTCWindchill bom,PTCWindchill test data ready,Submit transaction > sync system > reconcile report,Success,High
PTC-BOM-00035,PTCWindchill,bom,Delete PTCWindchill bom,PTCWindchill test data ready,Create record > route approval > verify status,Success,Medium
PTC-BOM-00036,PTCWindchill,bom,Route PTCWindchill bom,PTCWindchill test data ready,Create record > route approval > verify status,Success,Medium
