Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
PTC-CAD-00001,PTCWindchill,cad,Escalate PTCWindchill cad,PTCWindchill test data ready,Initiate integration > check queue > confirm completion,Success,High
PTC-CAD-00002,PTCWindchill,cad,Update PTCWindchill cad,PTCWindchill test data ready,Create record > route approval > verify status,Success,Low
PTC-CAD-00003,PTCWindchill,cad,Reject PTCWindchill cad,PTCWindchill test data ready,Create record > route approval > verify status,Success,High
PTC-CAD-00004,PTCWindchill,cad,Clone PTCWindchill cad,PTCWindchill test data ready,Initiate integration > check queue > confirm completion,Success,High
PTC-CAD-00005,PTCWindchill,cad,Submit PTCWindchill cad,PTCWindchill test data ready,Open module > perform action > validate result,Success,Medium
PTC-CAD-00006,PTCWindchill,cad,Approve PTCWindchill cad,PTCWindchill test data ready,Create record > route approval > verify status,Success,Medium
PTC-CAD-00007,PTCWindchill,cad,Archive PTCWindchill cad,PTCWindchill test data ready,Submit transaction > sync system > reconcile report,Success,Low
PTC-CAD-00008,PTCWindchill,cad,Delete PTCWindchill cad,PTCWindchill test data ready,Open module > perform action > validate result,Success,High
PTC-CAD-00009,PTCWindchill,cad,Search PTCWindchill cad,PTCWindchill test data ready,Create record > route approval > verify status,Success,Medium
PTC-CAD-00010,PTCWindchill,cad,Route PTCWindchill cad,PTCWindchill test data ready,Initiate integration > check queue > confirm completion,Success,High
PTC-CAD-00011,PTCWindchill,cad,Submit PTCWindchill cad,PTCWindchill test data ready,Submit transaction > sync system > reconcile report,Success,High
PTC-CAD-00012,PTCWindchill,cad,Delete PTCWindchill cad,PTCWindchill test data ready,Initiate integration > check queue > confirm completion,Success,Medium
PTC-CAD-00013,PTCWindchill,cad,Reject PTCWindchill cad,PTCWindchill test data ready,Initiate integration > check queue > confirm completion,Success,Low
PTC-CAD-00014,PTCWindchill,cad,Restore PTCWindchill cad,PTCWindchill test data ready,Submit transaction > sync system > reconcile report,Success,Low
PTC-CAD-00015,PTCWindchill,cad,Archive PTCWindchill cad,PTCWindchill test data ready,Submit transaction > sync system > reconcile report,Success,Medium
PTC-CAD-00016,PTCWindchill,cad,Route PTCWindchill cad,PTCWindchill test data ready,Open module > perform action > validate result,Success,High
PTC-CAD-00017,PTCWindchill,cad,Submit PTCWindchill cad,PTCWindchill test data ready,Open module > perform action > validate result,Success,Low
PTC-CAD-00018,PTCWindchill,cad,Archive PTCWindchill cad,PTCWindchill test data ready,Create record > route approval > verify status,Success,Low
PTC-CAD-00019,PTCWindchill,cad,Submit PTCWindchill cad,PTCWindchill test data ready,Open module > perform action > validate result,Success,High
PTC-CAD-00020,PTCWindchill,cad,Submit PTCWindchill cad,PTCWindchill test data ready,Submit transaction > sync system > reconcile report,Success,Medium
PTC-CAD-00021,PTCWindchill,cad,Delete PTCWindchill cad,PTCWindchill test data ready,Initiate integration > check queue > confirm completion,Success,Medium
PTC-CAD-00022,PTCWindchill,cad,Route PTCWindchill cad,PTCWindchill test data ready,Open module > perform action > validate result,Success,Low
PTC-CAD-00023,PTCWindchill,cad,Archive PTCWindchill cad,PTCWindchill test data ready,Initiate integration > check queue > confirm completion,Success,High
PTC-CAD-00024,PTCWindchill,cad,Approve PTCWindchill cad,PTCWindchill test data ready,Initiate integration > check queue > confirm completion,Success,Low
PTC-CAD-00025,PTCWindchill,cad,Reject PTCWindchill cad,PTCWindchill test data ready,Open module > perform action > validate result,Success,High
PTC-CAD-00026,PTCWindchill,cad,Submit PTCWindchill cad,PTCWindchill test data ready,Open module > perform action > validate result,Success,Low
PTC-CAD-00027,PTCWindchill,cad,Update PTCWindchill cad,PTCWindchill test data ready,Create record > route approval > verify status,Success,Medium
PTC-CAD-00028,PTCWindchill,cad,Edit PTCWindchill cad,PTCWindchill test data ready,Create record > route approval > verify status,Success,Low
PTC-CAD-00029,PTCWindchill,cad,Route PTCWindchill cad,PTCWindchill test data ready,Create record > route approval > verify status,Success,High
PTC-CAD-00030,PTCWindchill,cad,Escalate PTCWindchill cad,PTCWindchill test data ready,Submit transaction > sync system > reconcile report,Success,Low
PTC-CAD-00031,PTCWindchill,cad,Validate PTCWindchill cad,PTCWindchill test data ready,Open module > perform action > validate result,Success,High
PTC-CAD-00032,PTCWindchill,cad,Search PTCWindchill cad,PTCWindchill test data ready,Initiate integration > check queue > confirm completion,Success,Medium
PTC-CAD-00033,PTCWindchill,cad,Route PTCWindchill cad,PTCWindchill test data ready,Initiate integration > check queue > confirm completion,Success,Low
PTC-CAD-00034,PTCWindchill,cad,Edit PTCWindchill cad,PTCWindchill test data ready,Open module > perform action > validate result,Success,Low
PTC-CAD-00035,PTCWindchill,cad,Restore PTCWindchill cad,PTCWindchill test data ready,Submit transaction > sync system > reconcile report,Success,High
PTC-CAD-00036,PTCWindchill,cad,Delete PTCWindchill cad,PTCWindchill test data ready,Initiate integration > check queue > confirm completion,Success,Low
PTC-CAD-00037,PTCWindchill,cad,Escalate PTCWindchill cad,PTCWindchill test data ready,Initiate integration > check queue > confirm completion,Success,Medium
PTC-CAD-00038,PTCWindchill,cad,Reject PTCWindchill cad,PTCWindchill test data ready,Open module > perform action > validate result,Success,High
PTC-CAD-00039,PTCWindchill,cad,Restore PTCWindchill cad,PTCWindchill test data ready,Submit transaction > sync system > reconcile report,Success,Medium
PTC-CAD-00040,PTCWindchill,cad,Delete PTCWindchill cad,PTCWindchill test data ready,Open module > perform action > validate result,Success,Medium
PTC-CAD-00041,PTCWindchill,cad,Reject PTCWindchill cad,PTCWindchill test data ready,Create record > route approval > verify status,Success,Low
PTC-CAD-00042,PTCWindchill,cad,Delete PTCWindchill cad,PTCWindchill test data ready,Submit transaction > sync system > reconcile report,Success,High
PTC-CAD-00043,PTCWindchill,cad,Submit PTCWindchill cad,PTCWindchill test data ready,Submit transaction > sync system > reconcile report,Success,Low
PTC-CAD-00044,PTCWindchill,cad,Search PTCWindchill cad,PTCWindchill test data ready,Initiate integration > check queue > confirm completion,Success,High
