Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
PTC-DOC-00001,PTCWindchill,documents,Archive PTCWindchill documents,PTCWindchill test data ready,Initiate integration > check queue > confirm completion,Success,Low
PTC-DOC-00002,PTCWindchill,documents,Escalate PTCWindchill documents,PTCWindchill test data ready,Initiate integration > check queue > confirm completion,Success,High
PTC-DOC-00003,PTCWindchill,documents,Restore PTCWindchill documents,PTCWindchill test data ready,Initiate integration > check queue > confirm completion,Success,Medium
PTC-DOC-00004,PTCWindchill,documents,Approve PTCWindchill documents,PTCWindchill test data ready,Submit transaction > sync system > reconcile report,Success,Low
PTC-DOC-00005,PTCWindchill,documents,Approve PTCWindchill documents,PTCWindchill test data ready,Submit transaction > sync system > reconcile report,Success,Low
PTC-DOC-00006,PTCWindchill,documents,Create PTCWindchill documents,PTCWindchill test data ready,Open module > perform action > validate result,Success,Medium
PTC-DOC-00007,PTCWindchill,documents,Search PTCWindchill documents,PTCWindchill test data ready,Create record > route approval > verify status,Success,Low
PTC-DOC-00008,PTCWindchill,documents,Validate PTCWindchill documents,PTCWindchill test data ready,Create record > route approval > verify status,Success,Low
PTC-DOC-00009,PTCWindchill,documents,Validate PTCWindchill documents,PTCWindchill test data ready,Initiate integration > check queue > confirm completion,Success,Medium
PTC-DOC-00010,PTCWindchill,documents,Reject PTCWindchill documents,PTCWindchill test data ready,Open module > perform action > validate result,Success,Low
PTC-DOC-00011,PTCWindchill,documents,Delete PTCWindchill documents,PTCWindchill test data ready,Create record > route approval > verify status,Success,Medium
PTC-DOC-00012,PTCWindchill,documents,Validate PTCWindchill documents,PTCWindchill test data ready,Create record > route approval > verify status,Success,Medium
PTC-DOC-00013,PTCWindchill,documents,Validate PTCWindchill documents,PTCWindchill test data ready,Create record > route approval > verify status,Success,Low
PTC-DOC-00014,PTCWindchill,documents,Edit PTCWindchill documents,PTCWindchill test data ready,Submit transaction > sync system > reconcile report,Success,Medium
PTC-DOC-00015,PTCWindchill,documents,Clone PTCWindchill documents,PTCWindchill test data ready,Create record > route approval > verify status,Success,Medium
PTC-DOC-00016,PTCWindchill,documents,Validate PTCWindchill documents,PTCWindchill test data ready,Submit transaction > sync system > reconcile report,Success,High
PTC-DOC-00017,PTCWindchill,documents,Route PTCWindchill documents,PTCWindchill test data ready,Initiate integration > check queue > confirm completion,Success,Medium
PTC-DOC-00018,PTCWindchill,documents,Search PTCWindchill documents,PTCWindchill test data ready,Initiate integration > check queue > confirm completion,Success,Low
PTC-DOC-00019,PTCWindchill,documents,Route PTCWindchill documents,PTCWindchill test data ready,Open module > perform action > validate result,Success,Low
