Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
PTC-PLM-00001,PTCWindchill,plm,Clone PTCWindchill plm,PTCWindchill test data ready,Submit transaction > sync system > reconcile report,Success,Medium
PTC-PLM-00002,PTCWindchill,plm,Update PTCWindchill plm,PTCWindchill test data ready,Open module > perform action > validate result,Success,High
PTC-PLM-00003,PTCWindchill,plm,Search PTCWindchill plm,PTCWindchill test data ready,Create record > route approval > verify status,Success,High
PTC-PLM-00004,PTCWindchill,plm,Validate PTCWindchill plm,PTCWindchill test data ready,Create record > route approval > verify status,Success,High
PTC-PLM-00005,PTCWindchill,plm,Approve PTCWindchill plm,PTCWindchill test data ready,Open module > perform action > validate result,Success,Medium
PTC-PLM-00006,PTCWindchill,plm,Clone PTCWindchill plm,PTCWindchill test data ready,Initiate integration > check queue > confirm completion,Success,Low
PTC-PLM-00007,PTCWindchill,plm,Create PTCWindchill plm,PTCWindchill test data ready,Submit transaction > sync system > reconcile report,Success,High
PTC-PLM-00008,PTCWindchill,plm,Reject PTCWindchill plm,PTCWindchill test data ready,Open module > perform action > validate result,Success,Low
PTC-PLM-00009,PTCWindchill,plm,Clone PTCWindchill plm,PTCWindchill test data ready,Open module > perform action > validate result,Success,Medium
PTC-PLM-00010,PTCWindchill,plm,Approve PTCWindchill plm,PTCWindchill test data ready,Submit transaction > sync system > reconcile report,Success,Low
PTC-PLM-00011,PTCWindchill,plm,Reject PTCWindchill plm,PTCWindchill test data ready,Open module > perform action > validate result,Success,Low
PTC-PLM-00012,PTCWindchill,plm,Route PTCWindchill plm,PTCWindchill test data ready,Create record > route approval > verify status,Success,Low
PTC-PLM-00013,PTCWindchill,plm,Search PTCWindchill plm,PTCWindchill test data ready,Open module > perform action > validate result,Success,Medium
PTC-PLM-00014,PTCWindchill,plm,Escalate PTCWindchill plm,PTCWindchill test data ready,Create record > route approval > verify status,Success,Medium
PTC-PLM-00015,PTCWindchill,plm,Create PTCWindchill plm,PTCWindchill test data ready,Create record > route approval > verify status,Success,High
PTC-PLM-00016,PTCWindchill,plm,Reject PTCWindchill plm,PTCWindchill test data ready,Open module > perform action > validate result,Success,Medium
PTC-PLM-00017,PTCWindchill,plm,Reject PTCWindchill plm,PTCWindchill test data ready,Initiate integration > check queue > confirm completion,Success,Medium
PTC-PLM-00018,PTCWindchill,plm,Search PTCWindchill plm,PTCWindchill test data ready,Create record > route approval > verify status,Success,High
PTC-PLM-00019,PTCWindchill,plm,Delete PTCWindchill plm,PTCWindchill test data ready,Initiate integration > check queue > confirm completion,Success,Low
