Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
PTC-WOR-00001,PTCWindchill,workflow,Edit PTCWindchill workflow,PTCWindchill test data ready,Open module > perform action > validate result,Success,High
PTC-WOR-00002,PTCWindchill,workflow,Archive PTCWindchill workflow,PTCWindchill test data ready,Create record > route approval > verify status,Success,High
PTC-WOR-00003,PTCWindchill,workflow,Reject PTCWindchill workflow,PTCWindchill test data ready,Open module > perform action > validate result,Success,Medium
PTC-WOR-00004,PTCWindchill,workflow,Create PTCWindchill workflow,PTCWindchill test data ready,Initiate integration > check queue > confirm completion,Success,High
PTC-WOR-00005,PTCWindchill,workflow,Approve PTCWindchill workflow,PTCWindchill test data ready,Create record > route approval > verify status,Success,Low
PTC-WOR-00006,PTCWindchill,workflow,Submit PTCWindchill workflow,PTCWindchill test data ready,Initiate integration > check queue > confirm completion,Success,Medium
PTC-WOR-00007,PTCWindchill,workflow,Escalate PTCWindchill workflow,PTCWindchill test data ready,Create record > route approval > verify status,Success,Low
PTC-WOR-00008,PTCWindchill,workflow,Create PTCWindchill workflow,PTCWindchill test data ready,Open module > perform action > validate result,Success,High
PTC-WOR-00009,PTCWindchill,workflow,Search PTCWindchill workflow,PTCWindchill test data ready,Submit transaction > sync system > reconcile report,Success,Low
PTC-WOR-00010,PTCWindchill,workflow,Escalate PTCWindchill workflow,PTCWindchill test data ready,Initiate integration > check queue > confirm completion,Success,High
PTC-WOR-00011,PTCWindchill,workflow,Create PTCWindchill workflow,PTCWindchill test data ready,Create record > route approval > verify status,Success,High
PTC-WOR-00012,PTCWindchill,workflow,Archive PTCWindchill workflow,PTCWindchill test data ready,Open module > perform action > validate result,Success,High
PTC-WOR-00013,PTCWindchill,workflow,Delete PTCWindchill workflow,PTCWindchill test data ready,Create record > route approval > verify status,Success,Low
PTC-WOR-00014,PTCWindchill,workflow,Validate PTCWindchill workflow,PTCWindchill test data ready,Open module > perform action > validate result,Success,Medium
PTC-WOR-00015,PTCWindchill,workflow,Approve PTCWindchill workflow,PTCWindchill test data ready,Initiate integration > check queue > confirm completion,Success,High
PTC-WOR-00016,PTCWindchill,workflow,Search PTCWindchill workflow,PTCWindchill test data ready,Initiate integration > check queue > confirm completion,Success,Medium
PTC-WOR-00017,PTCWindchill,workflow,Restore PTCWindchill workflow,PTCWindchill test data ready,Create record > route approval > verify status,Success,Medium
PTC-WOR-00018,PTCWindchill,workflow,Restore PTCWindchill workflow,PTCWindchill test data ready,Create record > route approval > verify status,Success,High
PTC-WOR-00019,PTCWindchill,workflow,Route PTCWindchill workflow,PTCWindchill test data ready,Initiate integration > check queue > confirm completion,Success,Medium
PTC-WOR-00020,PTCWindchill,workflow,Update PTCWindchill workflow,PTCWindchill test data ready,Initiate integration > check queue > confirm completion,Success,High
PTC-WOR-00021,PTCWindchill,workflow,Edit PTCWindchill workflow,PTCWindchill test data ready,Submit transaction > sync system > reconcile report,Success,Low
PTC-WOR-00022,PTCWindchill,workflow,Escalate PTCWindchill workflow,PTCWindchill test data ready,Submit transaction > sync system > reconcile report,Success,Low
PTC-WOR-00023,PTCWindchill,workflow,Submit PTCWindchill workflow,PTCWindchill test data ready,Open module > perform action > validate result,Success,Medium
PTC-WOR-00024,PTCWindchill,workflow,Edit PTCWindchill workflow,PTCWindchill test data ready,Submit transaction > sync system > reconcile report,Success,Medium
PTC-WOR-00025,PTCWindchill,workflow,Route PTCWindchill workflow,PTCWindchill test data ready,Initiate integration > check queue > confirm completion,Success,Low
PTC-WOR-00026,PTCWindchill,workflow,Validate PTCWindchill workflow,PTCWindchill test data ready,Create record > route approval > verify status,Success,Low
PTC-WOR-00027,PTCWindchill,workflow,Delete PTCWindchill workflow,PTCWindchill test data ready,Submit transaction > sync system > reconcile report,Success,Low
PTC-WOR-00028,PTCWindchill,workflow,Route PTCWindchill workflow,PTCWindchill test data ready,Open module > perform action > validate result,Success,High
PTC-WOR-00029,PTCWindchill,workflow,Search PTCWindchill workflow,PTCWindchill test data ready,Submit transaction > sync system > reconcile report,Success,Low
PTC-WOR-00030,PTCWindchill,workflow,Escalate PTCWindchill workflow,PTCWindchill test data ready,Open module > perform action > validate result,Success,Medium
PTC-WOR-00031,PTCWindchill,workflow,Delete PTCWindchill workflow,PTCWindchill test data ready,Open module > perform action > validate result,Success,Low
PTC-WOR-00032,PTCWindchill,workflow,Route PTCWindchill workflow,PTCWindchill test data ready,Initiate integration > check queue > confirm completion,Success,Low
PTC-WOR-00033,PTCWindchill,workflow,Edit PTCWindchill workflow,PTCWindchill test data ready,Initiate integration > check queue > confirm completion,Success,High
PTC-WOR-00034,PTCWindchill,workflow,Create PTCWindchill workflow,PTCWindchill test data ready,Submit transaction > sync system > reconcile report,Success,High
PTC-WOR-00035,PTCWindchill,workflow,Delete PTCWindchill workflow,PTCWindchill test data ready,Submit transaction > sync system > reconcile report,Success,Medium
PTC-WOR-00036,PTCWindchill,workflow,Create PTCWindchill workflow,PTCWindchill test data ready,Submit transaction > sync system > reconcile report,Success,Medium
PTC-WOR-00037,PTCWindchill,workflow,Escalate PTCWindchill workflow,PTCWindchill test data ready,Initiate integration > check queue > confirm completion,Success,Medium
PTC-WOR-00038,PTCWindchill,workflow,Archive PTCWindchill workflow,PTCWindchill test data ready,Open module > perform action > validate result,Success,Medium
PTC-WOR-00039,PTCWindchill,workflow,Archive PTCWindchill workflow,PTCWindchill test data ready,Create record > route approval > verify status,Success,Medium
PTC-WOR-00040,PTCWindchill,workflow,Escalate PTCWindchill workflow,PTCWindchill test data ready,Create record > route approval > verify status,Success,Low
PTC-WOR-00041,PTCWindchill,workflow,Delete PTCWindchill workflow,PTCWindchill test data ready,Create record > route approval > verify status,Success,Medium
PTC-WOR-00042,PTCWindchill,workflow,Delete PTCWindchill workflow,PTCWindchill test data ready,Initiate integration > check queue > confirm completion,Success,Low
PTC-WOR-00043,PTCWindchill,workflow,Clone PTCWindchill workflow,PTCWindchill test data ready,Open module > perform action > validate result,Success,Low
PTC-WOR-00044,PTCWindchill,workflow,Validate PTCWindchill workflow,PTCWindchill test data ready,Open module > perform action > validate result,Success,High
PTC-WOR-00045,PTCWindchill,workflow,Escalate PTCWindchill workflow,PTCWindchill test data ready,Submit transaction > sync system > reconcile report,Success,High
PTC-WOR-00046,PTCWindchill,workflow,Escalate PTCWindchill workflow,PTCWindchill test data ready,Submit transaction > sync system > reconcile report,Success,High
PTC-WOR-00047,PTCWindchill,workflow,Restore PTCWindchill workflow,PTCWindchill test data ready,Open module > perform action > validate result,Success,High
PTC-WOR-00048,PTCWindchill,workflow,Archive PTCWindchill workflow,PTCWindchill test data ready,Submit transaction > sync system > reconcile report,Success,High
PTC-WOR-00049,PTCWindchill,workflow,Search PTCWindchill workflow,PTCWindchill test data ready,Submit transaction > sync system > reconcile report,Success,Medium
PTC-WOR-00050,PTCWindchill,workflow,Validate PTCWindchill workflow,PTCWindchill test data ready,Initiate integration > check queue > confirm completion,Success,High
PTC-WOR-00051,PTCWindchill,workflow,Submit PTCWindchill workflow,PTCWindchill test data ready,Submit transaction > sync system > reconcile report,Success,Low
PTC-WOR-00052,PTCWindchill,workflow,Reject PTCWindchill workflow,PTCWindchill test data ready,Submit transaction > sync system > reconcile report,Success,Medium
PTC-WOR-00053,PTCWindchill,workflow,Reject PTCWindchill workflow,PTCWindchill test data ready,Initiate integration > check queue > confirm completion,Success,Medium
PTC-WOR-00054,PTCWindchill,workflow,Approve PTCWindchill workflow,PTCWindchill test data ready,Open module > perform action > validate result,Success,Medium
PTC-WOR-00055,PTCWindchill,workflow,Route PTCWindchill workflow,PTCWindchill test data ready,Open module > perform action > validate result,Success,Medium
PTC-WOR-00056,PTCWindchill,workflow,Approve PTCWindchill workflow,PTCWindchill test data ready,Open module > perform action > validate result,Success,High
PTC-WOR-00057,PTCWindchill,workflow,Escalate PTCWindchill workflow,PTCWindchill test data ready,Open module > perform action > validate result,Success,Low
PTC-WOR-00058,PTCWindchill,workflow,Submit PTCWindchill workflow,PTCWindchill test data ready,Open module > perform action > validate result,Success,Medium
PTC-WOR-00059,PTCWindchill,workflow,Archive PTCWindchill workflow,PTCWindchill test data ready,Initiate integration > check queue > confirm completion,Success,Low
PTC-WOR-00060,PTCWindchill,workflow,Approve PTCWindchill workflow,PTCWindchill test data ready,Initiate integration > check queue > confirm completion,Success,Low
PTC-WOR-00061,PTCWindchill,workflow,Search PTCWindchill workflow,PTCWindchill test data ready,Submit transaction > sync system > reconcile report,Success,High
PTC-WOR-00062,PTCWindchill,workflow,Clone PTCWindchill workflow,PTCWindchill test data ready,Create record > route approval > verify status,Success,Medium
PTC-WOR-00063,PTCWindchill,workflow,Edit PTCWindchill workflow,PTCWindchill test data ready,Open module > perform action > validate result,Success,High
PTC-WOR-00064,PTCWindchill,workflow,Restore PTCWindchill workflow,PTCWindchill test data ready,Create record > route approval > verify status,Success,High
PTC-WOR-00065,PTCWindchill,workflow,Submit PTCWindchill workflow,PTCWindchill test data ready,Submit transaction > sync system > reconcile report,Success,High
PTC-WOR-00066,PTCWindchill,workflow,Edit PTCWindchill workflow,PTCWindchill test data ready,Create record > route approval > verify status,Success,Low
PTC-WOR-00067,PTCWindchill,workflow,Archive PTCWindchill workflow,PTCWindchill test data ready,Open module > perform action > validate result,Success,Low
PTC-WOR-00068,PTCWindchill,workflow,Update PTCWindchill workflow,PTCWindchill test data ready,Open module > perform action > validate result,Success,Medium
PTC-WOR-00069,PTCWindchill,workflow,Search PTCWindchill workflow,PTCWindchill test data ready,Submit transaction > sync system > reconcile report,Success,High
PTC-WOR-00070,PTCWindchill,workflow,Escalate PTCWindchill workflow,PTCWindchill test data ready,Submit transaction > sync system > reconcile report,Success,Medium
PTC-WOR-00071,PTCWindchill,workflow,Escalate PTCWindchill workflow,PTCWindchill test data ready,Create record > route approval > verify status,Success,Low
PTC-WOR-00072,PTCWindchill,workflow,Clone PTCWindchill workflow,PTCWindchill test data ready,Submit transaction > sync system > reconcile report,Success,Low
PTC-WOR-00073,PTCWindchill,workflow,Validate PTCWindchill workflow,PTCWindchill test data ready,Submit transaction > sync system > reconcile report,Success,High
PTC-WOR-00074,PTCWindchill,workflow,Edit PTCWindchill workflow,PTCWindchill test data ready,Open module > perform action > validate result,Success,High
PTC-WOR-00075,PTCWindchill,workflow,Submit PTCWindchill workflow,PTCWindchill test data ready,Submit transaction > sync system > reconcile report,Success,Low
PTC-WOR-00076,PTCWindchill,workflow,Restore PTCWindchill workflow,PTCWindchill test data ready,Open module > perform action > validate result,Success,Low
PTC-WOR-00077,PTCWindchill,workflow,Validate PTCWindchill workflow,PTCWindchill test data ready,Open module > perform action > validate result,Success,High
PTC-WOR-00078,PTCWindchill,workflow,Validate PTCWindchill workflow,PTCWindchill test data ready,Create record > route approval > verify status,Success,High
PTC-WOR-00079,PTCWindchill,workflow,Submit PTCWindchill workflow,PTCWindchill test data ready,Create record > route approval > verify status,Success,Medium
PTC-WOR-00080,PTCWindchill,workflow,Submit PTCWindchill workflow,PTCWindchill test data ready,Open module > perform action > validate result,Success,High
PTC-WOR-00081,PTCWindchill,workflow,Submit PTCWindchill workflow,PTCWindchill test data ready,Create record > route approval > verify status,Success,Low
PTC-WOR-00082,PTCWindchill,workflow,Create PTCWindchill workflow,PTCWindchill test data ready,Initiate integration > check queue > confirm completion,Success,High
PTC-WOR-00083,PTCWindchill,workflow,Archive PTCWindchill workflow,PTCWindchill test data ready,Open module > perform action > validate result,Success,Low
