Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
PAL-DAT-00001,PalantirFoundry,data_integration,Delete PalantirFoundry data_integration,PalantirFoundry test data ready,Open module > perform action > validate result,Success,Low
PAL-DAT-00002,PalantirFoundry,data_integration,Restore PalantirFoundry data_integration,PalantirFoundry test data ready,Open module > perform action > validate result,Success,High
PAL-DAT-00003,PalantirFoundry,data_integration,Restore PalantirFoundry data_integration,PalantirFoundry test data ready,Create record > route approval > verify status,Success,Low
PAL-DAT-00004,PalantirFoundry,data_integration,Restore PalantirFoundry data_integration,PalantirFoundry test data ready,Open module > perform action > validate result,Success,Medium
PAL-DAT-00005,PalantirFoundry,data_integration,Edit PalantirFoundry data_integration,PalantirFoundry test data ready,Open module > perform action > validate result,Success,Medium
PAL-DAT-00006,PalantirFoundry,data_integration,Update PalantirFoundry data_integration,PalantirFoundry test data ready,Initiate integration > check queue > confirm completion,Success,Low
PAL-DAT-00007,PalantirFoundry,data_integration,Update PalantirFoundry data_integration,PalantirFoundry test data ready,Create record > route approval > verify status,Success,High
PAL-DAT-00008,PalantirFoundry,data_integration,Archive PalantirFoundry data_integration,PalantirFoundry test data ready,Submit transaction > sync system > reconcile report,Success,Medium
PAL-DAT-00009,PalantirFoundry,data_integration,Validate PalantirFoundry data_integration,PalantirFoundry test data ready,Create record > route approval > verify status,Success,Low
PAL-DAT-00010,PalantirFoundry,data_integration,Reject PalantirFoundry data_integration,PalantirFoundry test data ready,Submit transaction > sync system > reconcile report,Success,Low
PAL-DAT-00011,PalantirFoundry,data_integration,Clone PalantirFoundry data_integration,PalantirFoundry test data ready,Open module > perform action > validate result,Success,Medium
PAL-DAT-00012,PalantirFoundry,data_integration,Edit PalantirFoundry data_integration,PalantirFoundry test data ready,Open module > perform action > validate result,Success,Medium
PAL-DAT-00013,PalantirFoundry,data_integration,Archive PalantirFoundry data_integration,PalantirFoundry test data ready,Create record > route approval > verify status,Success,High
