Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
PAL-ONT-00001,PalantirFoundry,ontology,Approve PalantirFoundry ontology,PalantirFoundry test data ready,Open module > perform action > validate result,Success,High
PAL-ONT-00002,PalantirFoundry,ontology,Delete PalantirFoundry ontology,PalantirFoundry test data ready,Initiate integration > check queue > confirm completion,Success,Low
PAL-ONT-00003,PalantirFoundry,ontology,Create PalantirFoundry ontology,PalantirFoundry test data ready,Create record > route approval > verify status,Success,Low
PAL-ONT-00004,PalantirFoundry,ontology,Validate PalantirFoundry ontology,PalantirFoundry test data ready,Open module > perform action > validate result,Success,High
PAL-ONT-00005,PalantirFoundry,ontology,Reject PalantirFoundry ontology,PalantirFoundry test data ready,Open module > perform action > validate result,Success,Low
PAL-ONT-00006,PalantirFoundry,ontology,Validate PalantirFoundry ontology,PalantirFoundry test data ready,Submit transaction > sync system > reconcile report,Success,High
PAL-ONT-00007,PalantirFoundry,ontology,Validate PalantirFoundry ontology,PalantirFoundry test data ready,Create record > route approval > verify status,Success,Low
PAL-ONT-00008,PalantirFoundry,ontology,Clone PalantirFoundry ontology,PalantirFoundry test data ready,Open module > perform action > validate result,Success,Low
PAL-ONT-00009,PalantirFoundry,ontology,Delete PalantirFoundry ontology,PalantirFoundry test data ready,Create record > route approval > verify status,Success,Medium
PAL-ONT-00010,PalantirFoundry,ontology,Delete PalantirFoundry ontology,PalantirFoundry test data ready,Submit transaction > sync system > reconcile report,Success,Medium
PAL-ONT-00011,PalantirFoundry,ontology,Validate PalantirFoundry ontology,PalantirFoundry test data ready,Submit transaction > sync system > reconcile report,Success,Medium
PAL-ONT-00012,PalantirFoundry,ontology,Update PalantirFoundry ontology,PalantirFoundry test data ready,Open module > perform action > validate result,Success,High
PAL-ONT-00013,PalantirFoundry,ontology,Submit PalantirFoundry ontology,PalantirFoundry test data ready,Open module > perform action > validate result,Success,High
PAL-ONT-00014,PalantirFoundry,ontology,Approve PalantirFoundry ontology,PalantirFoundry test data ready,Create record > route approval > verify status,Success,High
PAL-ONT-00015,PalantirFoundry,ontology,Edit PalantirFoundry ontology,PalantirFoundry test data ready,Submit transaction > sync system > reconcile report,Success,Low
PAL-ONT-00016,PalantirFoundry,ontology,Route PalantirFoundry ontology,PalantirFoundry test data ready,Open module > perform action > validate result,Success,High
PAL-ONT-00017,PalantirFoundry,ontology,Validate PalantirFoundry ontology,PalantirFoundry test data ready,Open module > perform action > validate result,Success,High
PAL-ONT-00018,PalantirFoundry,ontology,Delete PalantirFoundry ontology,PalantirFoundry test data ready,Open module > perform action > validate result,Success,Medium
PAL-ONT-00019,PalantirFoundry,ontology,Update PalantirFoundry ontology,PalantirFoundry test data ready,Submit transaction > sync system > reconcile report,Success,High
PAL-ONT-00020,PalantirFoundry,ontology,Create PalantirFoundry ontology,PalantirFoundry test data ready,Create record > route approval > verify status,Success,Medium
PAL-ONT-00021,PalantirFoundry,ontology,Clone PalantirFoundry ontology,PalantirFoundry test data ready,Submit transaction > sync system > reconcile report,Success,Low
PAL-ONT-00022,PalantirFoundry,ontology,Reject PalantirFoundry ontology,PalantirFoundry test data ready,Submit transaction > sync system > reconcile report,Success,Medium
PAL-ONT-00023,PalantirFoundry,ontology,Route PalantirFoundry ontology,PalantirFoundry test data ready,Create record > route approval > verify status,Success,Medium
PAL-ONT-00024,PalantirFoundry,ontology,Search PalantirFoundry ontology,PalantirFoundry test data ready,Create record > route approval > verify status,Success,High
PAL-ONT-00025,PalantirFoundry,ontology,Submit PalantirFoundry ontology,PalantirFoundry test data ready,Submit transaction > sync system > reconcile report,Success,Low
PAL-ONT-00026,PalantirFoundry,ontology,Submit PalantirFoundry ontology,PalantirFoundry test data ready,Open module > perform action > validate result,Success,High
PAL-ONT-00027,PalantirFoundry,ontology,Update PalantirFoundry ontology,PalantirFoundry test data ready,Initiate integration > check queue > confirm completion,Success,Low
PAL-ONT-00028,PalantirFoundry,ontology,Restore PalantirFoundry ontology,PalantirFoundry test data ready,Open module > perform action > validate result,Success,Low
PAL-ONT-00029,PalantirFoundry,ontology,Clone PalantirFoundry ontology,PalantirFoundry test data ready,Open module > perform action > validate result,Success,High
PAL-ONT-00030,PalantirFoundry,ontology,Submit PalantirFoundry ontology,PalantirFoundry test data ready,Initiate integration > check queue > confirm completion,Success,Low
PAL-ONT-00031,PalantirFoundry,ontology,Submit PalantirFoundry ontology,PalantirFoundry test data ready,Create record > route approval > verify status,Success,High
PAL-ONT-00032,PalantirFoundry,ontology,Reject PalantirFoundry ontology,PalantirFoundry test data ready,Open module > perform action > validate result,Success,Low
PAL-ONT-00033,PalantirFoundry,ontology,Search PalantirFoundry ontology,PalantirFoundry test data ready,Submit transaction > sync system > reconcile report,Success,Medium
PAL-ONT-00034,PalantirFoundry,ontology,Delete PalantirFoundry ontology,PalantirFoundry test data ready,Submit transaction > sync system > reconcile report,Success,Low
PAL-ONT-00035,PalantirFoundry,ontology,Clone PalantirFoundry ontology,PalantirFoundry test data ready,Create record > route approval > verify status,Success,Low
PAL-ONT-00036,PalantirFoundry,ontology,Escalate PalantirFoundry ontology,PalantirFoundry test data ready,Initiate integration > check queue > confirm completion,Success,Low
PAL-ONT-00037,PalantirFoundry,ontology,Update PalantirFoundry ontology,PalantirFoundry test data ready,Create record > route approval > verify status,Success,Medium
PAL-ONT-00038,PalantirFoundry,ontology,Route PalantirFoundry ontology,PalantirFoundry test data ready,Open module > perform action > validate result,Success,Medium
PAL-ONT-00039,PalantirFoundry,ontology,Approve PalantirFoundry ontology,PalantirFoundry test data ready,Create record > route approval > verify status,Success,Medium
PAL-ONT-00040,PalantirFoundry,ontology,Restore PalantirFoundry ontology,PalantirFoundry test data ready,Initiate integration > check queue > confirm completion,Success,High
PAL-ONT-00041,PalantirFoundry,ontology,Archive PalantirFoundry ontology,PalantirFoundry test data ready,Initiate integration > check queue > confirm completion,Success,Low
PAL-ONT-00042,PalantirFoundry,ontology,Clone PalantirFoundry ontology,PalantirFoundry test data ready,Submit transaction > sync system > reconcile report,Success,High
PAL-ONT-00043,PalantirFoundry,ontology,Validate PalantirFoundry ontology,PalantirFoundry test data ready,Open module > perform action > validate result,Success,Medium
PAL-ONT-00044,PalantirFoundry,ontology,Update PalantirFoundry ontology,PalantirFoundry test data ready,Initiate integration > check queue > confirm completion,Success,Medium
PAL-ONT-00045,PalantirFoundry,ontology,Search PalantirFoundry ontology,PalantirFoundry test data ready,Open module > perform action > validate result,Success,High
PAL-ONT-00046,PalantirFoundry,ontology,Search PalantirFoundry ontology,PalantirFoundry test data ready,Initiate integration > check queue > confirm completion,Success,High
PAL-ONT-00047,PalantirFoundry,ontology,Edit PalantirFoundry ontology,PalantirFoundry test data ready,Submit transaction > sync system > reconcile report,Success,High
PAL-ONT-00048,PalantirFoundry,ontology,Submit PalantirFoundry ontology,PalantirFoundry test data ready,Initiate integration > check queue > confirm completion,Success,Medium
PAL-ONT-00049,PalantirFoundry,ontology,Delete PalantirFoundry ontology,PalantirFoundry test data ready,Create record > route approval > verify status,Success,Low
PAL-ONT-00050,PalantirFoundry,ontology,Validate PalantirFoundry ontology,PalantirFoundry test data ready,Create record > route approval > verify status,Success,Low
PAL-ONT-00051,PalantirFoundry,ontology,Route PalantirFoundry ontology,PalantirFoundry test data ready,Open module > perform action > validate result,Success,Medium
PAL-ONT-00052,PalantirFoundry,ontology,Restore PalantirFoundry ontology,PalantirFoundry test data ready,Initiate integration > check queue > confirm completion,Success,Medium
PAL-ONT-00053,PalantirFoundry,ontology,Reject PalantirFoundry ontology,PalantirFoundry test data ready,Create record > route approval > verify status,Success,Medium
PAL-ONT-00054,PalantirFoundry,ontology,Delete PalantirFoundry ontology,PalantirFoundry test data ready,Open module > perform action > validate result,Success,High
PAL-ONT-00055,PalantirFoundry,ontology,Clone PalantirFoundry ontology,PalantirFoundry test data ready,Submit transaction > sync system > reconcile report,Success,High
PAL-ONT-00056,PalantirFoundry,ontology,Update PalantirFoundry ontology,PalantirFoundry test data ready,Initiate integration > check queue > confirm completion,Success,Low
PAL-ONT-00057,PalantirFoundry,ontology,Route PalantirFoundry ontology,PalantirFoundry test data ready,Open module > perform action > validate result,Success,Medium
PAL-ONT-00058,PalantirFoundry,ontology,Archive PalantirFoundry ontology,PalantirFoundry test data ready,Open module > perform action > validate result,Success,Low
PAL-ONT-00059,PalantirFoundry,ontology,Approve PalantirFoundry ontology,PalantirFoundry test data ready,Submit transaction > sync system > reconcile report,Success,High
