Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
PAL-SEC-00001,PalantirFoundry,security,Submit PalantirFoundry security,PalantirFoundry test data ready,Submit transaction > sync system > reconcile report,Success,Medium
PAL-SEC-00002,PalantirFoundry,security,Archive PalantirFoundry security,PalantirFoundry test data ready,Initiate integration > check queue > confirm completion,Success,Medium
PAL-SEC-00003,PalantirFoundry,security,Search PalantirFoundry security,PalantirFoundry test data ready,Submit transaction > sync system > reconcile report,Success,Low
PAL-SEC-00004,PalantirFoundry,security,Route PalantirFoundry security,PalantirFoundry test data ready,Initiate integration > check queue > confirm completion,Success,High
PAL-SEC-00005,PalantirFoundry,security,Create PalantirFoundry security,PalantirFoundry test data ready,Submit transaction > sync system > reconcile report,Success,Medium
PAL-SEC-00006,PalantirFoundry,security,Reject PalantirFoundry security,PalantirFoundry test data ready,Initiate integration > check queue > confirm completion,Success,Medium
PAL-SEC-00007,PalantirFoundry,security,Archive PalantirFoundry security,PalantirFoundry test data ready,Open module > perform action > validate result,Success,High
PAL-SEC-00008,PalantirFoundry,security,Submit PalantirFoundry security,PalantirFoundry test data ready,Initiate integration > check queue > confirm completion,Success,Medium
PAL-SEC-00009,PalantirFoundry,security,Validate PalantirFoundry security,PalantirFoundry test data ready,Initiate integration > check queue > confirm completion,Success,Low
PAL-SEC-00010,PalantirFoundry,security,Delete PalantirFoundry security,PalantirFoundry test data ready,Submit transaction > sync system > reconcile report,Success,High
PAL-SEC-00011,PalantirFoundry,security,Route PalantirFoundry security,PalantirFoundry test data ready,Open module > perform action > validate result,Success,Low
PAL-SEC-00012,PalantirFoundry,security,Edit PalantirFoundry security,PalantirFoundry test data ready,Initiate integration > check queue > confirm completion,Success,Low
PAL-SEC-00013,PalantirFoundry,security,Clone PalantirFoundry security,PalantirFoundry test data ready,Initiate integration > check queue > confirm completion,Success,Medium
PAL-SEC-00014,PalantirFoundry,security,Validate PalantirFoundry security,PalantirFoundry test data ready,Submit transaction > sync system > reconcile report,Success,Low
PAL-SEC-00015,PalantirFoundry,security,Delete PalantirFoundry security,PalantirFoundry test data ready,Submit transaction > sync system > reconcile report,Success,High
PAL-SEC-00016,PalantirFoundry,security,Search PalantirFoundry security,PalantirFoundry test data ready,Initiate integration > check queue > confirm completion,Success,Medium
PAL-SEC-00017,PalantirFoundry,security,Submit PalantirFoundry security,PalantirFoundry test data ready,Initiate integration > check queue > confirm completion,Success,High
PAL-SEC-00018,PalantirFoundry,security,Archive PalantirFoundry security,PalantirFoundry test data ready,Create record > route approval > verify status,Success,Medium
PAL-SEC-00019,PalantirFoundry,security,Approve PalantirFoundry security,PalantirFoundry test data ready,Initiate integration > check queue > confirm completion,Success,Low
PAL-SEC-00020,PalantirFoundry,security,Clone PalantirFoundry security,PalantirFoundry test data ready,Initiate integration > check queue > confirm completion,Success,High
PAL-SEC-00021,PalantirFoundry,security,Reject PalantirFoundry security,PalantirFoundry test data ready,Create record > route approval > verify status,Success,High
PAL-SEC-00022,PalantirFoundry,security,Archive PalantirFoundry security,PalantirFoundry test data ready,Submit transaction > sync system > reconcile report,Success,Medium
PAL-SEC-00023,PalantirFoundry,security,Validate PalantirFoundry security,PalantirFoundry test data ready,Open module > perform action > validate result,Success,Low
PAL-SEC-00024,PalantirFoundry,security,Reject PalantirFoundry security,PalantirFoundry test data ready,Initiate integration > check queue > confirm completion,Success,Medium
PAL-SEC-00025,PalantirFoundry,security,Validate PalantirFoundry security,PalantirFoundry test data ready,Initiate integration > check queue > confirm completion,Success,Medium
PAL-SEC-00026,PalantirFoundry,security,Clone PalantirFoundry security,PalantirFoundry test data ready,Open module > perform action > validate result,Success,Medium
PAL-SEC-00027,PalantirFoundry,security,Search PalantirFoundry security,PalantirFoundry test data ready,Create record > route approval > verify status,Success,High
PAL-SEC-00028,PalantirFoundry,security,Restore PalantirFoundry security,PalantirFoundry test data ready,Open module > perform action > validate result,Success,Low
PAL-SEC-00029,PalantirFoundry,security,Clone PalantirFoundry security,PalantirFoundry test data ready,Initiate integration > check queue > confirm completion,Success,High
PAL-SEC-00030,PalantirFoundry,security,Route PalantirFoundry security,PalantirFoundry test data ready,Initiate integration > check queue > confirm completion,Success,Medium
