Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
PRO-FIN-00001,Procore,financials,Submit Procore financials,Procore test data ready,Open module > perform action > validate result,Success,Low
PRO-FIN-00002,Procore,financials,Clone Procore financials,Procore test data ready,Open module > perform action > validate result,Success,Medium
PRO-FIN-00003,Procore,financials,Approve Procore financials,Procore test data ready,Initiate integration > check queue > confirm completion,Success,Low
PRO-FIN-00004,Procore,financials,Approve Procore financials,Procore test data ready,Open module > perform action > validate result,Success,Medium
PRO-FIN-00005,Procore,financials,Edit Procore financials,Procore test data ready,Initiate integration > check queue > confirm completion,Success,Low
PRO-FIN-00006,Procore,financials,Archive Procore financials,Procore test data ready,Open module > perform action > validate result,Success,Medium
PRO-FIN-00007,Procore,financials,Clone Procore financials,Procore test data ready,Open module > perform action > validate result,Success,Low
PRO-FIN-00008,Procore,financials,Delete Procore financials,Procore test data ready,Initiate integration > check queue > confirm completion,Success,Low
PRO-FIN-00009,Procore,financials,Create Procore financials,Procore test data ready,Initiate integration > check queue > confirm completion,Success,Medium
PRO-FIN-00010,Procore,financials,Restore Procore financials,Procore test data ready,Submit transaction > sync system > reconcile report,Success,Low
PRO-FIN-00011,Procore,financials,Edit Procore financials,Procore test data ready,Submit transaction > sync system > reconcile report,Success,Low
PRO-FIN-00012,Procore,financials,Update Procore financials,Procore test data ready,Create record > route approval > verify status,Success,Medium
PRO-FIN-00013,Procore,financials,Escalate Procore financials,Procore test data ready,Initiate integration > check queue > confirm completion,Success,High
PRO-FIN-00014,Procore,financials,Delete Procore financials,Procore test data ready,Open module > perform action > validate result,Success,Low
PRO-FIN-00015,Procore,financials,Create Procore financials,Procore test data ready,Open module > perform action > validate result,Success,Medium
PRO-FIN-00016,Procore,financials,Restore Procore financials,Procore test data ready,Submit transaction > sync system > reconcile report,Success,Medium
PRO-FIN-00017,Procore,financials,Archive Procore financials,Procore test data ready,Initiate integration > check queue > confirm completion,Success,Medium
PRO-FIN-00018,Procore,financials,Clone Procore financials,Procore test data ready,Submit transaction > sync system > reconcile report,Success,High
PRO-FIN-00019,Procore,financials,Edit Procore financials,Procore test data ready,Initiate integration > check queue > confirm completion,Success,Medium
PRO-FIN-00020,Procore,financials,Escalate Procore financials,Procore test data ready,Open module > perform action > validate result,Success,Low
PRO-FIN-00021,Procore,financials,Update Procore financials,Procore test data ready,Initiate integration > check queue > confirm completion,Success,Medium
PRO-FIN-00022,Procore,financials,Search Procore financials,Procore test data ready,Open module > perform action > validate result,Success,Low
PRO-FIN-00023,Procore,financials,Route Procore financials,Procore test data ready,Create record > route approval > verify status,Success,Medium
PRO-FIN-00024,Procore,financials,Submit Procore financials,Procore test data ready,Create record > route approval > verify status,Success,High
PRO-FIN-00025,Procore,financials,Clone Procore financials,Procore test data ready,Open module > perform action > validate result,Success,High
PRO-FIN-00026,Procore,financials,Submit Procore financials,Procore test data ready,Create record > route approval > verify status,Success,Low
PRO-FIN-00027,Procore,financials,Restore Procore financials,Procore test data ready,Initiate integration > check queue > confirm completion,Success,Medium
