Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
PRO-QUA-00001,Procore,quality,Submit Procore quality,Procore test data ready,Open module > perform action > validate result,Success,Medium
PRO-QUA-00002,Procore,quality,Search Procore quality,Procore test data ready,Open module > perform action > validate result,Success,Medium
PRO-QUA-00003,Procore,quality,Escalate Procore quality,Procore test data ready,Open module > perform action > validate result,Success,Medium
PRO-QUA-00004,Procore,quality,Validate Procore quality,Procore test data ready,Open module > perform action > validate result,Success,Medium
PRO-QUA-00005,Procore,quality,Archive Procore quality,Procore test data ready,Initiate integration > check queue > confirm completion,Success,Low
PRO-QUA-00006,Procore,quality,Route Procore quality,Procore test data ready,Open module > perform action > validate result,Success,Low
PRO-QUA-00007,Procore,quality,Escalate Procore quality,Procore test data ready,Initiate integration > check queue > confirm completion,Success,Medium
PRO-QUA-00008,Procore,quality,Escalate Procore quality,Procore test data ready,Submit transaction > sync system > reconcile report,Success,High
PRO-QUA-00009,Procore,quality,Archive Procore quality,Procore test data ready,Submit transaction > sync system > reconcile report,Success,Low
PRO-QUA-00010,Procore,quality,Archive Procore quality,Procore test data ready,Submit transaction > sync system > reconcile report,Success,Low
PRO-QUA-00011,Procore,quality,Route Procore quality,Procore test data ready,Create record > route approval > verify status,Success,High
PRO-QUA-00012,Procore,quality,Submit Procore quality,Procore test data ready,Submit transaction > sync system > reconcile report,Success,High
PRO-QUA-00013,Procore,quality,Restore Procore quality,Procore test data ready,Create record > route approval > verify status,Success,High
PRO-QUA-00014,Procore,quality,Escalate Procore quality,Procore test data ready,Initiate integration > check queue > confirm completion,Success,High
PRO-QUA-00015,Procore,quality,Archive Procore quality,Procore test data ready,Submit transaction > sync system > reconcile report,Success,Low
PRO-QUA-00016,Procore,quality,Create Procore quality,Procore test data ready,Open module > perform action > validate result,Success,High
PRO-QUA-00017,Procore,quality,Delete Procore quality,Procore test data ready,Submit transaction > sync system > reconcile report,Success,Low
PRO-QUA-00018,Procore,quality,Submit Procore quality,Procore test data ready,Open module > perform action > validate result,Success,High
PRO-QUA-00019,Procore,quality,Escalate Procore quality,Procore test data ready,Initiate integration > check queue > confirm completion,Success,High
PRO-QUA-00020,Procore,quality,Search Procore quality,Procore test data ready,Initiate integration > check queue > confirm completion,Success,Low
PRO-QUA-00021,Procore,quality,Update Procore quality,Procore test data ready,Initiate integration > check queue > confirm completion,Success,Low
PRO-QUA-00022,Procore,quality,Clone Procore quality,Procore test data ready,Open module > perform action > validate result,Success,Low
PRO-QUA-00023,Procore,quality,Escalate Procore quality,Procore test data ready,Open module > perform action > validate result,Success,Low
PRO-QUA-00024,Procore,quality,Delete Procore quality,Procore test data ready,Open module > perform action > validate result,Success,Low
PRO-QUA-00025,Procore,quality,Validate Procore quality,Procore test data ready,Create record > route approval > verify status,Success,High
PRO-QUA-00026,Procore,quality,Clone Procore quality,Procore test data ready,Submit transaction > sync system > reconcile report,Success,Medium
PRO-QUA-00027,Procore,quality,Edit Procore quality,Procore test data ready,Create record > route approval > verify status,Success,Medium
PRO-QUA-00028,Procore,quality,Edit Procore quality,Procore test data ready,Create record > route approval > verify status,Success,High
PRO-QUA-00029,Procore,quality,Reject Procore quality,Procore test data ready,Open module > perform action > validate result,Success,Medium
PRO-QUA-00030,Procore,quality,Clone Procore quality,Procore test data ready,Open module > perform action > validate result,Success,Medium
PRO-QUA-00031,Procore,quality,Reject Procore quality,Procore test data ready,Initiate integration > check queue > confirm completion,Success,Medium
PRO-QUA-00032,Procore,quality,Delete Procore quality,Procore test data ready,Initiate integration > check queue > confirm completion,Success,Low
PRO-QUA-00033,Procore,quality,Edit Procore quality,Procore test data ready,Create record > route approval > verify status,Success,Medium
PRO-QUA-00034,Procore,quality,Search Procore quality,Procore test data ready,Open module > perform action > validate result,Success,Medium
PRO-QUA-00035,Procore,quality,Reject Procore quality,Procore test data ready,Initiate integration > check queue > confirm completion,Success,Medium
PRO-QUA-00036,Procore,quality,Route Procore quality,Procore test data ready,Create record > route approval > verify status,Success,Low
PRO-QUA-00037,Procore,quality,Escalate Procore quality,Procore test data ready,Initiate integration > check queue > confirm completion,Success,High
PRO-QUA-00038,Procore,quality,Escalate Procore quality,Procore test data ready,Initiate integration > check queue > confirm completion,Success,Medium
PRO-QUA-00039,Procore,quality,Submit Procore quality,Procore test data ready,Initiate integration > check queue > confirm completion,Success,High
PRO-QUA-00040,Procore,quality,Archive Procore quality,Procore test data ready,Create record > route approval > verify status,Success,High
PRO-QUA-00041,Procore,quality,Restore Procore quality,Procore test data ready,Submit transaction > sync system > reconcile report,Success,Medium
PRO-QUA-00042,Procore,quality,Reject Procore quality,Procore test data ready,Open module > perform action > validate result,Success,Low
PRO-QUA-00043,Procore,quality,Update Procore quality,Procore test data ready,Create record > route approval > verify status,Success,Low
PRO-QUA-00044,Procore,quality,Create Procore quality,Procore test data ready,Open module > perform action > validate result,Success,Medium
PRO-QUA-00045,Procore,quality,Submit Procore quality,Procore test data ready,Open module > perform action > validate result,Success,Medium
PRO-QUA-00046,Procore,quality,Validate Procore quality,Procore test data ready,Initiate integration > check queue > confirm completion,Success,Low
PRO-QUA-00047,Procore,quality,Submit Procore quality,Procore test data ready,Submit transaction > sync system > reconcile report,Success,Medium
PRO-QUA-00048,Procore,quality,Edit Procore quality,Procore test data ready,Initiate integration > check queue > confirm completion,Success,Low
PRO-QUA-00049,Procore,quality,Create Procore quality,Procore test data ready,Open module > perform action > validate result,Success,High
PRO-QUA-00050,Procore,quality,Create Procore quality,Procore test data ready,Open module > perform action > validate result,Success,High
PRO-QUA-00051,Procore,quality,Submit Procore quality,Procore test data ready,Create record > route approval > verify status,Success,Low
PRO-QUA-00052,Procore,quality,Restore Procore quality,Procore test data ready,Initiate integration > check queue > confirm completion,Success,Medium
PRO-QUA-00053,Procore,quality,Create Procore quality,Procore test data ready,Submit transaction > sync system > reconcile report,Success,Medium
PRO-QUA-00054,Procore,quality,Search Procore quality,Procore test data ready,Submit transaction > sync system > reconcile report,Success,High
PRO-QUA-00055,Procore,quality,Create Procore quality,Procore test data ready,Create record > route approval > verify status,Success,Medium
PRO-QUA-00056,Procore,quality,Update Procore quality,Procore test data ready,Create record > route approval > verify status,Success,High
PRO-QUA-00057,Procore,quality,Archive Procore quality,Procore test data ready,Initiate integration > check queue > confirm completion,Success,Medium
PRO-QUA-00058,Procore,quality,Create Procore quality,Procore test data ready,Initiate integration > check queue > confirm completion,Success,Medium
PRO-QUA-00059,Procore,quality,Approve Procore quality,Procore test data ready,Open module > perform action > validate result,Success,Medium
PRO-QUA-00060,Procore,quality,Edit Procore quality,Procore test data ready,Open module > perform action > validate result,Success,High
