Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
PRO-RFI-00001,Procore,rfis,Route Procore rfis,Procore test data ready,Initiate integration > check queue > confirm completion,Success,Medium
PRO-RFI-00002,Procore,rfis,Create Procore rfis,Procore test data ready,Initiate integration > check queue > confirm completion,Success,Medium
PRO-RFI-00003,Procore,rfis,Restore Procore rfis,Procore test data ready,Initiate integration > check queue > confirm completion,Success,High
PRO-RFI-00004,Procore,rfis,Restore Procore rfis,Procore test data ready,Submit transaction > sync system > reconcile report,Success,Low
PRO-RFI-00005,Procore,rfis,Clone Procore rfis,Procore test data ready,Submit transaction > sync system > reconcile report,Success,Low
PRO-RFI-00006,Procore,rfis,Delete Procore rfis,Procore test data ready,Open module > perform action > validate result,Success,Low
PRO-RFI-00007,Procore,rfis,Escalate Procore rfis,Procore test data ready,Submit transaction > sync system > reconcile report,Success,Medium
PRO-RFI-00008,Procore,rfis,Restore Procore rfis,Procore test data ready,Create record > route approval > verify status,Success,Low
PRO-RFI-00009,Procore,rfis,Delete Procore rfis,Procore test data ready,Create record > route approval > verify status,Success,High
PRO-RFI-00010,Procore,rfis,Update Procore rfis,Procore test data ready,Initiate integration > check queue > confirm completion,Success,High
PRO-RFI-00011,Procore,rfis,Reject Procore rfis,Procore test data ready,Create record > route approval > verify status,Success,Low
PRO-RFI-00012,Procore,rfis,Reject Procore rfis,Procore test data ready,Submit transaction > sync system > reconcile report,Success,Low
PRO-RFI-00013,Procore,rfis,Archive Procore rfis,Procore test data ready,Create record > route approval > verify status,Success,Low
PRO-RFI-00014,Procore,rfis,Restore Procore rfis,Procore test data ready,Create record > route approval > verify status,Success,Medium
PRO-RFI-00015,Procore,rfis,Restore Procore rfis,Procore test data ready,Initiate integration > check queue > confirm completion,Success,Low
PRO-RFI-00016,Procore,rfis,Update Procore rfis,Procore test data ready,Initiate integration > check queue > confirm completion,Success,Low
PRO-RFI-00017,Procore,rfis,Search Procore rfis,Procore test data ready,Initiate integration > check queue > confirm completion,Success,Medium
PRO-RFI-00018,Procore,rfis,Approve Procore rfis,Procore test data ready,Submit transaction > sync system > reconcile report,Success,High
PRO-RFI-00019,Procore,rfis,Route Procore rfis,Procore test data ready,Submit transaction > sync system > reconcile report,Success,Low
PRO-RFI-00020,Procore,rfis,Validate Procore rfis,Procore test data ready,Initiate integration > check queue > confirm completion,Success,Low
PRO-RFI-00021,Procore,rfis,Restore Procore rfis,Procore test data ready,Initiate integration > check queue > confirm completion,Success,High
PRO-RFI-00022,Procore,rfis,Restore Procore rfis,Procore test data ready,Initiate integration > check queue > confirm completion,Success,Low
PRO-RFI-00023,Procore,rfis,Route Procore rfis,Procore test data ready,Create record > route approval > verify status,Success,High
PRO-RFI-00024,Procore,rfis,Create Procore rfis,Procore test data ready,Submit transaction > sync system > reconcile report,Success,Medium
PRO-RFI-00025,Procore,rfis,Approve Procore rfis,Procore test data ready,Create record > route approval > verify status,Success,Medium
PRO-RFI-00026,Procore,rfis,Restore Procore rfis,Procore test data ready,Open module > perform action > validate result,Success,High
PRO-RFI-00027,Procore,rfis,Route Procore rfis,Procore test data ready,Submit transaction > sync system > reconcile report,Success,Medium
PRO-RFI-00028,Procore,rfis,Restore Procore rfis,Procore test data ready,Initiate integration > check queue > confirm completion,Success,Low
PRO-RFI-00029,Procore,rfis,Delete Procore rfis,Procore test data ready,Create record > route approval > verify status,Success,Medium
PRO-RFI-00030,Procore,rfis,Search Procore rfis,Procore test data ready,Create record > route approval > verify status,Success,Low
PRO-RFI-00031,Procore,rfis,Search Procore rfis,Procore test data ready,Submit transaction > sync system > reconcile report,Success,Medium
PRO-RFI-00032,Procore,rfis,Archive Procore rfis,Procore test data ready,Open module > perform action > validate result,Success,Low
PRO-RFI-00033,Procore,rfis,Search Procore rfis,Procore test data ready,Open module > perform action > validate result,Success,Medium
PRO-RFI-00034,Procore,rfis,Approve Procore rfis,Procore test data ready,Initiate integration > check queue > confirm completion,Success,High
PRO-RFI-00035,Procore,rfis,Submit Procore rfis,Procore test data ready,Initiate integration > check queue > confirm completion,Success,Low
PRO-RFI-00036,Procore,rfis,Delete Procore rfis,Procore test data ready,Create record > route approval > verify status,Success,Medium
PRO-RFI-00037,Procore,rfis,Validate Procore rfis,Procore test data ready,Create record > route approval > verify status,Success,Low
PRO-RFI-00038,Procore,rfis,Route Procore rfis,Procore test data ready,Initiate integration > check queue > confirm completion,Success,Low
PRO-RFI-00039,Procore,rfis,Delete Procore rfis,Procore test data ready,Initiate integration > check queue > confirm completion,Success,Medium
PRO-RFI-00040,Procore,rfis,Reject Procore rfis,Procore test data ready,Initiate integration > check queue > confirm completion,Success,Medium
PRO-RFI-00041,Procore,rfis,Search Procore rfis,Procore test data ready,Open module > perform action > validate result,Success,Low
PRO-RFI-00042,Procore,rfis,Restore Procore rfis,Procore test data ready,Open module > perform action > validate result,Success,Medium
PRO-RFI-00043,Procore,rfis,Edit Procore rfis,Procore test data ready,Submit transaction > sync system > reconcile report,Success,Low
PRO-RFI-00044,Procore,rfis,Reject Procore rfis,Procore test data ready,Initiate integration > check queue > confirm completion,Success,High
PRO-RFI-00045,Procore,rfis,Reject Procore rfis,Procore test data ready,Create record > route approval > verify status,Success,High
PRO-RFI-00046,Procore,rfis,Update Procore rfis,Procore test data ready,Initiate integration > check queue > confirm completion,Success,High
PRO-RFI-00047,Procore,rfis,Search Procore rfis,Procore test data ready,Create record > route approval > verify status,Success,Low
PRO-RFI-00048,Procore,rfis,Create Procore rfis,Procore test data ready,Create record > route approval > verify status,Success,Low
PRO-RFI-00049,Procore,rfis,Submit Procore rfis,Procore test data ready,Create record > route approval > verify status,Success,High
PRO-RFI-00050,Procore,rfis,Validate Procore rfis,Procore test data ready,Create record > route approval > verify status,Success,Low
PRO-RFI-00051,Procore,rfis,Clone Procore rfis,Procore test data ready,Create record > route approval > verify status,Success,Medium
PRO-RFI-00052,Procore,rfis,Search Procore rfis,Procore test data ready,Open module > perform action > validate result,Success,Medium
PRO-RFI-00053,Procore,rfis,Validate Procore rfis,Procore test data ready,Open module > perform action > validate result,Success,Low
PRO-RFI-00054,Procore,rfis,Update Procore rfis,Procore test data ready,Create record > route approval > verify status,Success,Low
PRO-RFI-00055,Procore,rfis,Restore Procore rfis,Procore test data ready,Initiate integration > check queue > confirm completion,Success,Low
PRO-RFI-00056,Procore,rfis,Validate Procore rfis,Procore test data ready,Initiate integration > check queue > confirm completion,Success,High
PRO-RFI-00057,Procore,rfis,Edit Procore rfis,Procore test data ready,Submit transaction > sync system > reconcile report,Success,High
PRO-RFI-00058,Procore,rfis,Create Procore rfis,Procore test data ready,Submit transaction > sync system > reconcile report,Success,High
PRO-RFI-00059,Procore,rfis,Route Procore rfis,Procore test data ready,Initiate integration > check queue > confirm completion,Success,Medium
PRO-RFI-00060,Procore,rfis,Validate Procore rfis,Procore test data ready,Open module > perform action > validate result,Success,Low
PRO-RFI-00061,Procore,rfis,Escalate Procore rfis,Procore test data ready,Submit transaction > sync system > reconcile report,Success,Low
PRO-RFI-00062,Procore,rfis,Submit Procore rfis,Procore test data ready,Submit transaction > sync system > reconcile report,Success,Low
PRO-RFI-00063,Procore,rfis,Escalate Procore rfis,Procore test data ready,Submit transaction > sync system > reconcile report,Success,Low
PRO-RFI-00064,Procore,rfis,Update Procore rfis,Procore test data ready,Initiate integration > check queue > confirm completion,Success,Medium
PRO-RFI-00065,Procore,rfis,Delete Procore rfis,Procore test data ready,Open module > perform action > validate result,Success,Medium
PRO-RFI-00066,Procore,rfis,Restore Procore rfis,Procore test data ready,Open module > perform action > validate result,Success,High
PRO-RFI-00067,Procore,rfis,Approve Procore rfis,Procore test data ready,Open module > perform action > validate result,Success,Medium
PRO-RFI-00068,Procore,rfis,Submit Procore rfis,Procore test data ready,Submit transaction > sync system > reconcile report,Success,Medium
PRO-RFI-00069,Procore,rfis,Validate Procore rfis,Procore test data ready,Create record > route approval > verify status,Success,Low
PRO-RFI-00070,Procore,rfis,Archive Procore rfis,Procore test data ready,Open module > perform action > validate result,Success,Medium
PRO-RFI-00071,Procore,rfis,Archive Procore rfis,Procore test data ready,Initiate integration > check queue > confirm completion,Success,High
PRO-RFI-00072,Procore,rfis,Escalate Procore rfis,Procore test data ready,Submit transaction > sync system > reconcile report,Success,Medium
PRO-RFI-00073,Procore,rfis,Reject Procore rfis,Procore test data ready,Open module > perform action > validate result,Success,Medium
PRO-RFI-00074,Procore,rfis,Archive Procore rfis,Procore test data ready,Submit transaction > sync system > reconcile report,Success,Medium
PRO-RFI-00075,Procore,rfis,Clone Procore rfis,Procore test data ready,Initiate integration > check queue > confirm completion,Success,High
PRO-RFI-00076,Procore,rfis,Search Procore rfis,Procore test data ready,Open module > perform action > validate result,Success,Low
PRO-RFI-00077,Procore,rfis,Clone Procore rfis,Procore test data ready,Open module > perform action > validate result,Success,Low
PRO-RFI-00078,Procore,rfis,Restore Procore rfis,Procore test data ready,Submit transaction > sync system > reconcile report,Success,Medium
PRO-RFI-00079,Procore,rfis,Search Procore rfis,Procore test data ready,Submit transaction > sync system > reconcile report,Success,Medium
PRO-RFI-00080,Procore,rfis,Route Procore rfis,Procore test data ready,Submit transaction > sync system > reconcile report,Success,Low
PRO-RFI-00081,Procore,rfis,Reject Procore rfis,Procore test data ready,Create record > route approval > verify status,Success,High
PRO-RFI-00082,Procore,rfis,Update Procore rfis,Procore test data ready,Create record > route approval > verify status,Success,High
PRO-RFI-00083,Procore,rfis,Search Procore rfis,Procore test data ready,Submit transaction > sync system > reconcile report,Success,Low
PRO-RFI-00084,Procore,rfis,Validate Procore rfis,Procore test data ready,Submit transaction > sync system > reconcile report,Success,Low
PRO-RFI-00085,Procore,rfis,Clone Procore rfis,Procore test data ready,Open module > perform action > validate result,Success,Medium
PRO-RFI-00086,Procore,rfis,Delete Procore rfis,Procore test data ready,Submit transaction > sync system > reconcile report,Success,Medium
PRO-RFI-00087,Procore,rfis,Create Procore rfis,Procore test data ready,Open module > perform action > validate result,Success,High
PRO-RFI-00088,Procore,rfis,Delete Procore rfis,Procore test data ready,Open module > perform action > validate result,Success,High
PRO-RFI-00089,Procore,rfis,Delete Procore rfis,Procore test data ready,Create record > route approval > verify status,Success,High
PRO-RFI-00090,Procore,rfis,Clone Procore rfis,Procore test data ready,Create record > route approval > verify status,Success,High
PRO-RFI-00091,Procore,rfis,Submit Procore rfis,Procore test data ready,Submit transaction > sync system > reconcile report,Success,High
PRO-RFI-00092,Procore,rfis,Search Procore rfis,Procore test data ready,Open module > perform action > validate result,Success,Medium
PRO-RFI-00093,Procore,rfis,Route Procore rfis,Procore test data ready,Create record > route approval > verify status,Success,High
PRO-RFI-00094,Procore,rfis,Submit Procore rfis,Procore test data ready,Submit transaction > sync system > reconcile report,Success,Low
PRO-RFI-00095,Procore,rfis,Restore Procore rfis,Procore test data ready,Create record > route approval > verify status,Success,High
PRO-RFI-00096,Procore,rfis,Archive Procore rfis,Procore test data ready,Submit transaction > sync system > reconcile report,Success,Low
PRO-RFI-00097,Procore,rfis,Update Procore rfis,Procore test data ready,Submit transaction > sync system > reconcile report,Success,High
PRO-RFI-00098,Procore,rfis,Clone Procore rfis,Procore test data ready,Create record > route approval > verify status,Success,High
PRO-RFI-00099,Procore,rfis,Clone Procore rfis,Procore test data ready,Open module > perform action > validate result,Success,Low
PRO-RFI-00100,Procore,rfis,Update Procore rfis,Procore test data ready,Open module > perform action > validate result,Success,Medium
PRO-RFI-00101,Procore,rfis,Search Procore rfis,Procore test data ready,Open module > perform action > validate result,Success,Low
PRO-RFI-00102,Procore,rfis,Validate Procore rfis,Procore test data ready,Submit transaction > sync system > reconcile report,Success,Low
PRO-RFI-00103,Procore,rfis,Validate Procore rfis,Procore test data ready,Create record > route approval > verify status,Success,High
PRO-RFI-00104,Procore,rfis,Validate Procore rfis,Procore test data ready,Open module > perform action > validate result,Success,Medium
PRO-RFI-00105,Procore,rfis,Submit Procore rfis,Procore test data ready,Submit transaction > sync system > reconcile report,Success,Low
PRO-RFI-00106,Procore,rfis,Restore Procore rfis,Procore test data ready,Open module > perform action > validate result,Success,Medium
PRO-RFI-00107,Procore,rfis,Create Procore rfis,Procore test data ready,Submit transaction > sync system > reconcile report,Success,High
PRO-RFI-00108,Procore,rfis,Submit Procore rfis,Procore test data ready,Open module > perform action > validate result,Success,High
PRO-RFI-00109,Procore,rfis,Create Procore rfis,Procore test data ready,Open module > perform action > validate result,Success,High
PRO-RFI-00110,Procore,rfis,Clone Procore rfis,Procore test data ready,Initiate integration > check queue > confirm completion,Success,Low
PRO-RFI-00111,Procore,rfis,Validate Procore rfis,Procore test data ready,Submit transaction > sync system > reconcile report,Success,Medium
