Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
PRO-SAF-00001,Procore,safety,Restore Procore safety,Procore test data ready,Initiate integration > check queue > confirm completion,Success,High
PRO-SAF-00002,Procore,safety,Search Procore safety,Procore test data ready,Initiate integration > check queue > confirm completion,Success,High
PRO-SAF-00003,Procore,safety,Reject Procore safety,Procore test data ready,Open module > perform action > validate result,Success,Low
PRO-SAF-00004,Procore,safety,Route Procore safety,Procore test data ready,Initiate integration > check queue > confirm completion,Success,Low
PRO-SAF-00005,Procore,safety,Clone Procore safety,Procore test data ready,Open module > perform action > validate result,Success,Medium
PRO-SAF-00006,Procore,safety,Delete Procore safety,Procore test data ready,Initiate integration > check queue > confirm completion,Success,Medium
PRO-SAF-00007,Procore,safety,Search Procore safety,Procore test data ready,Initiate integration > check queue > confirm completion,Success,Medium
PRO-SAF-00008,Procore,safety,Approve Procore safety,Procore test data ready,Create record > route approval > verify status,Success,Medium
PRO-SAF-00009,Procore,safety,Restore Procore safety,Procore test data ready,Submit transaction > sync system > reconcile report,Success,Low
PRO-SAF-00010,Procore,safety,Route Procore safety,Procore test data ready,Initiate integration > check queue > confirm completion,Success,Medium
PRO-SAF-00011,Procore,safety,Search Procore safety,Procore test data ready,Create record > route approval > verify status,Success,High
PRO-SAF-00012,Procore,safety,Approve Procore safety,Procore test data ready,Create record > route approval > verify status,Success,Low
PRO-SAF-00013,Procore,safety,Search Procore safety,Procore test data ready,Open module > perform action > validate result,Success,High
PRO-SAF-00014,Procore,safety,Restore Procore safety,Procore test data ready,Submit transaction > sync system > reconcile report,Success,High
PRO-SAF-00015,Procore,safety,Create Procore safety,Procore test data ready,Submit transaction > sync system > reconcile report,Success,Low
PRO-SAF-00016,Procore,safety,Approve Procore safety,Procore test data ready,Submit transaction > sync system > reconcile report,Success,Medium
PRO-SAF-00017,Procore,safety,Escalate Procore safety,Procore test data ready,Submit transaction > sync system > reconcile report,Success,Low
PRO-SAF-00018,Procore,safety,Create Procore safety,Procore test data ready,Open module > perform action > validate result,Success,Medium
PRO-SAF-00019,Procore,safety,Update Procore safety,Procore test data ready,Submit transaction > sync system > reconcile report,Success,Low
PRO-SAF-00020,Procore,safety,Restore Procore safety,Procore test data ready,Open module > perform action > validate result,Success,Low
PRO-SAF-00021,Procore,safety,Submit Procore safety,Procore test data ready,Submit transaction > sync system > reconcile report,Success,Low
PRO-SAF-00022,Procore,safety,Escalate Procore safety,Procore test data ready,Submit transaction > sync system > reconcile report,Success,Low
PRO-SAF-00023,Procore,safety,Clone Procore safety,Procore test data ready,Open module > perform action > validate result,Success,Low
PRO-SAF-00024,Procore,safety,Update Procore safety,Procore test data ready,Open module > perform action > validate result,Success,Medium
PRO-SAF-00025,Procore,safety,Submit Procore safety,Procore test data ready,Submit transaction > sync system > reconcile report,Success,Low
PRO-SAF-00026,Procore,safety,Validate Procore safety,Procore test data ready,Initiate integration > check queue > confirm completion,Success,Low
PRO-SAF-00027,Procore,safety,Search Procore safety,Procore test data ready,Open module > perform action > validate result,Success,Low
PRO-SAF-00028,Procore,safety,Edit Procore safety,Procore test data ready,Open module > perform action > validate result,Success,Medium
PRO-SAF-00029,Procore,safety,Route Procore safety,Procore test data ready,Create record > route approval > verify status,Success,Low
PRO-SAF-00030,Procore,safety,Update Procore safety,Procore test data ready,Initiate integration > check queue > confirm completion,Success,High
PRO-SAF-00031,Procore,safety,Submit Procore safety,Procore test data ready,Open module > perform action > validate result,Success,High
PRO-SAF-00032,Procore,safety,Escalate Procore safety,Procore test data ready,Open module > perform action > validate result,Success,Low
PRO-SAF-00033,Procore,safety,Search Procore safety,Procore test data ready,Initiate integration > check queue > confirm completion,Success,High
