Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
QAD-FIN-00001,QAD,finance,Validate QAD finance,QAD test data ready,Initiate integration > check queue > confirm completion,Success,Medium
QAD-FIN-00002,QAD,finance,Archive QAD finance,QAD test data ready,Create record > route approval > verify status,Success,High
QAD-FIN-00003,QAD,finance,Reject QAD finance,QAD test data ready,Create record > route approval > verify status,Success,High
QAD-FIN-00004,QAD,finance,Escalate QAD finance,QAD test data ready,Create record > route approval > verify status,Success,Medium
QAD-FIN-00005,QAD,finance,Delete QAD finance,QAD test data ready,Initiate integration > check queue > confirm completion,Success,High
QAD-FIN-00006,QAD,finance,Restore QAD finance,QAD test data ready,Create record > route approval > verify status,Success,High
QAD-FIN-00007,QAD,finance,Clone QAD finance,QAD test data ready,Create record > route approval > verify status,Success,Medium
QAD-FIN-00008,QAD,finance,Archive QAD finance,QAD test data ready,Submit transaction > sync system > reconcile report,Success,High
QAD-FIN-00009,QAD,finance,Submit QAD finance,QAD test data ready,Submit transaction > sync system > reconcile report,Success,Low
QAD-FIN-00010,QAD,finance,Reject QAD finance,QAD test data ready,Initiate integration > check queue > confirm completion,Success,High
QAD-FIN-00011,QAD,finance,Approve QAD finance,QAD test data ready,Open module > perform action > validate result,Success,Low
QAD-FIN-00012,QAD,finance,Escalate QAD finance,QAD test data ready,Initiate integration > check queue > confirm completion,Success,Medium
QAD-FIN-00013,QAD,finance,Delete QAD finance,QAD test data ready,Submit transaction > sync system > reconcile report,Success,Medium
QAD-FIN-00014,QAD,finance,Route QAD finance,QAD test data ready,Create record > route approval > verify status,Success,Medium
QAD-FIN-00015,QAD,finance,Delete QAD finance,QAD test data ready,Open module > perform action > validate result,Success,Low
QAD-FIN-00016,QAD,finance,Archive QAD finance,QAD test data ready,Submit transaction > sync system > reconcile report,Success,Medium
QAD-FIN-00017,QAD,finance,Reject QAD finance,QAD test data ready,Open module > perform action > validate result,Success,Medium
QAD-FIN-00018,QAD,finance,Escalate QAD finance,QAD test data ready,Submit transaction > sync system > reconcile report,Success,Low
QAD-FIN-00019,QAD,finance,Approve QAD finance,QAD test data ready,Create record > route approval > verify status,Success,High
QAD-FIN-00020,QAD,finance,Archive QAD finance,QAD test data ready,Initiate integration > check queue > confirm completion,Success,Medium
QAD-FIN-00021,QAD,finance,Escalate QAD finance,QAD test data ready,Submit transaction > sync system > reconcile report,Success,Medium
QAD-FIN-00022,QAD,finance,Escalate QAD finance,QAD test data ready,Open module > perform action > validate result,Success,Medium
QAD-FIN-00023,QAD,finance,Route QAD finance,QAD test data ready,Initiate integration > check queue > confirm completion,Success,Low
QAD-FIN-00024,QAD,finance,Update QAD finance,QAD test data ready,Create record > route approval > verify status,Success,Medium
QAD-FIN-00025,QAD,finance,Approve QAD finance,QAD test data ready,Submit transaction > sync system > reconcile report,Success,High
QAD-FIN-00026,QAD,finance,Route QAD finance,QAD test data ready,Initiate integration > check queue > confirm completion,Success,Medium
QAD-FIN-00027,QAD,finance,Update QAD finance,QAD test data ready,Initiate integration > check queue > confirm completion,Success,Low
QAD-FIN-00028,QAD,finance,Edit QAD finance,QAD test data ready,Create record > route approval > verify status,Success,Low
QAD-FIN-00029,QAD,finance,Update QAD finance,QAD test data ready,Create record > route approval > verify status,Success,Low
QAD-FIN-00030,QAD,finance,Create QAD finance,QAD test data ready,Submit transaction > sync system > reconcile report,Success,Low
QAD-FIN-00031,QAD,finance,Update QAD finance,QAD test data ready,Initiate integration > check queue > confirm completion,Success,Medium
QAD-FIN-00032,QAD,finance,Archive QAD finance,QAD test data ready,Submit transaction > sync system > reconcile report,Success,Low
QAD-FIN-00033,QAD,finance,Restore QAD finance,QAD test data ready,Submit transaction > sync system > reconcile report,Success,High
QAD-FIN-00034,QAD,finance,Reject QAD finance,QAD test data ready,Submit transaction > sync system > reconcile report,Success,Medium
QAD-FIN-00035,QAD,finance,Restore QAD finance,QAD test data ready,Submit transaction > sync system > reconcile report,Success,Medium
QAD-FIN-00036,QAD,finance,Edit QAD finance,QAD test data ready,Open module > perform action > validate result,Success,Medium
QAD-FIN-00037,QAD,finance,Archive QAD finance,QAD test data ready,Create record > route approval > verify status,Success,Low
QAD-FIN-00038,QAD,finance,Create QAD finance,QAD test data ready,Submit transaction > sync system > reconcile report,Success,Low
QAD-FIN-00039,QAD,finance,Escalate QAD finance,QAD test data ready,Initiate integration > check queue > confirm completion,Success,Medium
QAD-FIN-00040,QAD,finance,Restore QAD finance,QAD test data ready,Submit transaction > sync system > reconcile report,Success,Medium
QAD-FIN-00041,QAD,finance,Approve QAD finance,QAD test data ready,Open module > perform action > validate result,Success,Low
QAD-FIN-00042,QAD,finance,Create QAD finance,QAD test data ready,Create record > route approval > verify status,Success,High
QAD-FIN-00043,QAD,finance,Search QAD finance,QAD test data ready,Initiate integration > check queue > confirm completion,Success,High
