Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
QAD-MAN-00001,QAD,manufacturing,Escalate QAD manufacturing,QAD test data ready,Submit transaction > sync system > reconcile report,Success,Medium
QAD-MAN-00002,QAD,manufacturing,Route QAD manufacturing,QAD test data ready,Create record > route approval > verify status,Success,High
QAD-MAN-00003,QAD,manufacturing,Delete QAD manufacturing,QAD test data ready,Initiate integration > check queue > confirm completion,Success,Low
QAD-MAN-00004,QAD,manufacturing,Restore QAD manufacturing,QAD test data ready,Submit transaction > sync system > reconcile report,Success,High
QAD-MAN-00005,QAD,manufacturing,Approve QAD manufacturing,QAD test data ready,Initiate integration > check queue > confirm completion,Success,High
QAD-MAN-00006,QAD,manufacturing,Approve QAD manufacturing,QAD test data ready,Open module > perform action > validate result,Success,Medium
QAD-MAN-00007,QAD,manufacturing,Archive QAD manufacturing,QAD test data ready,Create record > route approval > verify status,Success,Low
QAD-MAN-00008,QAD,manufacturing,Archive QAD manufacturing,QAD test data ready,Submit transaction > sync system > reconcile report,Success,Low
QAD-MAN-00009,QAD,manufacturing,Submit QAD manufacturing,QAD test data ready,Submit transaction > sync system > reconcile report,Success,Medium
QAD-MAN-00010,QAD,manufacturing,Archive QAD manufacturing,QAD test data ready,Submit transaction > sync system > reconcile report,Success,Medium
QAD-MAN-00011,QAD,manufacturing,Archive QAD manufacturing,QAD test data ready,Initiate integration > check queue > confirm completion,Success,Medium
QAD-MAN-00012,QAD,manufacturing,Edit QAD manufacturing,QAD test data ready,Open module > perform action > validate result,Success,Medium
QAD-MAN-00013,QAD,manufacturing,Edit QAD manufacturing,QAD test data ready,Create record > route approval > verify status,Success,Low
QAD-MAN-00014,QAD,manufacturing,Reject QAD manufacturing,QAD test data ready,Submit transaction > sync system > reconcile report,Success,Low
QAD-MAN-00015,QAD,manufacturing,Escalate QAD manufacturing,QAD test data ready,Submit transaction > sync system > reconcile report,Success,Low
QAD-MAN-00016,QAD,manufacturing,Route QAD manufacturing,QAD test data ready,Initiate integration > check queue > confirm completion,Success,High
QAD-MAN-00017,QAD,manufacturing,Create QAD manufacturing,QAD test data ready,Open module > perform action > validate result,Success,High
QAD-MAN-00018,QAD,manufacturing,Approve QAD manufacturing,QAD test data ready,Initiate integration > check queue > confirm completion,Success,Medium
QAD-MAN-00019,QAD,manufacturing,Restore QAD manufacturing,QAD test data ready,Create record > route approval > verify status,Success,High
QAD-MAN-00020,QAD,manufacturing,Update QAD manufacturing,QAD test data ready,Create record > route approval > verify status,Success,Low
QAD-MAN-00021,QAD,manufacturing,Escalate QAD manufacturing,QAD test data ready,Create record > route approval > verify status,Success,Medium
QAD-MAN-00022,QAD,manufacturing,Approve QAD manufacturing,QAD test data ready,Submit transaction > sync system > reconcile report,Success,Medium
QAD-MAN-00023,QAD,manufacturing,Update QAD manufacturing,QAD test data ready,Create record > route approval > verify status,Success,Medium
QAD-MAN-00024,QAD,manufacturing,Clone QAD manufacturing,QAD test data ready,Initiate integration > check queue > confirm completion,Success,Low
QAD-MAN-00025,QAD,manufacturing,Approve QAD manufacturing,QAD test data ready,Initiate integration > check queue > confirm completion,Success,High
QAD-MAN-00026,QAD,manufacturing,Edit QAD manufacturing,QAD test data ready,Open module > perform action > validate result,Success,Medium
QAD-MAN-00027,QAD,manufacturing,Restore QAD manufacturing,QAD test data ready,Submit transaction > sync system > reconcile report,Success,Low
QAD-MAN-00028,QAD,manufacturing,Update QAD manufacturing,QAD test data ready,Submit transaction > sync system > reconcile report,Success,Medium
QAD-MAN-00029,QAD,manufacturing,Reject QAD manufacturing,QAD test data ready,Submit transaction > sync system > reconcile report,Success,High
QAD-MAN-00030,QAD,manufacturing,Approve QAD manufacturing,QAD test data ready,Create record > route approval > verify status,Success,Medium
QAD-MAN-00031,QAD,manufacturing,Submit QAD manufacturing,QAD test data ready,Initiate integration > check queue > confirm completion,Success,High
QAD-MAN-00032,QAD,manufacturing,Edit QAD manufacturing,QAD test data ready,Submit transaction > sync system > reconcile report,Success,Low
QAD-MAN-00033,QAD,manufacturing,Reject QAD manufacturing,QAD test data ready,Initiate integration > check queue > confirm completion,Success,High
QAD-MAN-00034,QAD,manufacturing,Clone QAD manufacturing,QAD test data ready,Submit transaction > sync system > reconcile report,Success,Medium
QAD-MAN-00035,QAD,manufacturing,Approve QAD manufacturing,QAD test data ready,Open module > perform action > validate result,Success,High
QAD-MAN-00036,QAD,manufacturing,Archive QAD manufacturing,QAD test data ready,Create record > route approval > verify status,Success,Low
QAD-MAN-00037,QAD,manufacturing,Restore QAD manufacturing,QAD test data ready,Submit transaction > sync system > reconcile report,Success,Medium
QAD-MAN-00038,QAD,manufacturing,Clone QAD manufacturing,QAD test data ready,Create record > route approval > verify status,Success,High
QAD-MAN-00039,QAD,manufacturing,Edit QAD manufacturing,QAD test data ready,Create record > route approval > verify status,Success,High
QAD-MAN-00040,QAD,manufacturing,Escalate QAD manufacturing,QAD test data ready,Create record > route approval > verify status,Success,Medium
QAD-MAN-00041,QAD,manufacturing,Restore QAD manufacturing,QAD test data ready,Submit transaction > sync system > reconcile report,Success,High
QAD-MAN-00042,QAD,manufacturing,Archive QAD manufacturing,QAD test data ready,Create record > route approval > verify status,Success,High
QAD-MAN-00043,QAD,manufacturing,Create QAD manufacturing,QAD test data ready,Create record > route approval > verify status,Success,Low
QAD-MAN-00044,QAD,manufacturing,Route QAD manufacturing,QAD test data ready,Create record > route approval > verify status,Success,Medium
QAD-MAN-00045,QAD,manufacturing,Restore QAD manufacturing,QAD test data ready,Initiate integration > check queue > confirm completion,Success,Medium
QAD-MAN-00046,QAD,manufacturing,Escalate QAD manufacturing,QAD test data ready,Initiate integration > check queue > confirm completion,Success,Medium
QAD-MAN-00047,QAD,manufacturing,Validate QAD manufacturing,QAD test data ready,Create record > route approval > verify status,Success,Medium
