Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
QAD-QUA-00001,QAD,quality,Submit QAD quality,QAD test data ready,Create record > route approval > verify status,Success,Medium
QAD-QUA-00002,QAD,quality,Submit QAD quality,QAD test data ready,Create record > route approval > verify status,Success,Medium
QAD-QUA-00003,QAD,quality,Delete QAD quality,QAD test data ready,Create record > route approval > verify status,Success,Medium
QAD-QUA-00004,QAD,quality,Delete QAD quality,QAD test data ready,Submit transaction > sync system > reconcile report,Success,High
QAD-QUA-00005,QAD,quality,Reject QAD quality,QAD test data ready,Initiate integration > check queue > confirm completion,Success,Medium
QAD-QUA-00006,QAD,quality,Clone QAD quality,QAD test data ready,Initiate integration > check queue > confirm completion,Success,High
QAD-QUA-00007,QAD,quality,Restore QAD quality,QAD test data ready,Create record > route approval > verify status,Success,Low
QAD-QUA-00008,QAD,quality,Create QAD quality,QAD test data ready,Submit transaction > sync system > reconcile report,Success,Medium
QAD-QUA-00009,QAD,quality,Update QAD quality,QAD test data ready,Create record > route approval > verify status,Success,High
QAD-QUA-00010,QAD,quality,Clone QAD quality,QAD test data ready,Open module > perform action > validate result,Success,High
QAD-QUA-00011,QAD,quality,Delete QAD quality,QAD test data ready,Create record > route approval > verify status,Success,Low
QAD-QUA-00012,QAD,quality,Create QAD quality,QAD test data ready,Create record > route approval > verify status,Success,Low
QAD-QUA-00013,QAD,quality,Approve QAD quality,QAD test data ready,Create record > route approval > verify status,Success,High
QAD-QUA-00014,QAD,quality,Create QAD quality,QAD test data ready,Create record > route approval > verify status,Success,Low
QAD-QUA-00015,QAD,quality,Approve QAD quality,QAD test data ready,Open module > perform action > validate result,Success,Medium
QAD-QUA-00016,QAD,quality,Validate QAD quality,QAD test data ready,Open module > perform action > validate result,Success,Low
QAD-QUA-00017,QAD,quality,Clone QAD quality,QAD test data ready,Create record > route approval > verify status,Success,Medium
QAD-QUA-00018,QAD,quality,Delete QAD quality,QAD test data ready,Submit transaction > sync system > reconcile report,Success,Low
QAD-QUA-00019,QAD,quality,Create QAD quality,QAD test data ready,Submit transaction > sync system > reconcile report,Success,Medium
QAD-QUA-00020,QAD,quality,Restore QAD quality,QAD test data ready,Submit transaction > sync system > reconcile report,Success,Medium
QAD-QUA-00021,QAD,quality,Restore QAD quality,QAD test data ready,Initiate integration > check queue > confirm completion,Success,Low
QAD-QUA-00022,QAD,quality,Validate QAD quality,QAD test data ready,Open module > perform action > validate result,Success,High
QAD-QUA-00023,QAD,quality,Search QAD quality,QAD test data ready,Open module > perform action > validate result,Success,Medium
QAD-QUA-00024,QAD,quality,Approve QAD quality,QAD test data ready,Create record > route approval > verify status,Success,Low
QAD-QUA-00025,QAD,quality,Delete QAD quality,QAD test data ready,Open module > perform action > validate result,Success,Low
QAD-QUA-00026,QAD,quality,Validate QAD quality,QAD test data ready,Initiate integration > check queue > confirm completion,Success,Medium
QAD-QUA-00027,QAD,quality,Escalate QAD quality,QAD test data ready,Submit transaction > sync system > reconcile report,Success,Low
QAD-QUA-00028,QAD,quality,Escalate QAD quality,QAD test data ready,Submit transaction > sync system > reconcile report,Success,Low
QAD-QUA-00029,QAD,quality,Escalate QAD quality,QAD test data ready,Submit transaction > sync system > reconcile report,Success,Medium
QAD-QUA-00030,QAD,quality,Search QAD quality,QAD test data ready,Submit transaction > sync system > reconcile report,Success,High
QAD-QUA-00031,QAD,quality,Escalate QAD quality,QAD test data ready,Initiate integration > check queue > confirm completion,Success,Medium
QAD-QUA-00032,QAD,quality,Route QAD quality,QAD test data ready,Create record > route approval > verify status,Success,High
QAD-QUA-00033,QAD,quality,Route QAD quality,QAD test data ready,Open module > perform action > validate result,Success,Medium
QAD-QUA-00034,QAD,quality,Delete QAD quality,QAD test data ready,Initiate integration > check queue > confirm completion,Success,Low
QAD-QUA-00035,QAD,quality,Restore QAD quality,QAD test data ready,Open module > perform action > validate result,Success,Medium
QAD-QUA-00036,QAD,quality,Submit QAD quality,QAD test data ready,Create record > route approval > verify status,Success,Low
QAD-QUA-00037,QAD,quality,Submit QAD quality,QAD test data ready,Create record > route approval > verify status,Success,Low
QAD-QUA-00038,QAD,quality,Reject QAD quality,QAD test data ready,Submit transaction > sync system > reconcile report,Success,Medium
QAD-QUA-00039,QAD,quality,Edit QAD quality,QAD test data ready,Open module > perform action > validate result,Success,Medium
QAD-QUA-00040,QAD,quality,Approve QAD quality,QAD test data ready,Initiate integration > check queue > confirm completion,Success,Low
QAD-QUA-00041,QAD,quality,Update QAD quality,QAD test data ready,Open module > perform action > validate result,Success,Low
QAD-QUA-00042,QAD,quality,Reject QAD quality,QAD test data ready,Create record > route approval > verify status,Success,Low
QAD-QUA-00043,QAD,quality,Search QAD quality,QAD test data ready,Create record > route approval > verify status,Success,Low
QAD-QUA-00044,QAD,quality,Submit QAD quality,QAD test data ready,Initiate integration > check queue > confirm completion,Success,High
QAD-QUA-00045,QAD,quality,Restore QAD quality,QAD test data ready,Open module > perform action > validate result,Success,Low
QAD-QUA-00046,QAD,quality,Approve QAD quality,QAD test data ready,Initiate integration > check queue > confirm completion,Success,Medium
QAD-QUA-00047,QAD,quality,Update QAD quality,QAD test data ready,Create record > route approval > verify status,Success,Low
QAD-QUA-00048,QAD,quality,Restore QAD quality,QAD test data ready,Initiate integration > check queue > confirm completion,Success,Low
QAD-QUA-00049,QAD,quality,Reject QAD quality,QAD test data ready,Initiate integration > check queue > confirm completion,Success,Medium
QAD-QUA-00050,QAD,quality,Create QAD quality,QAD test data ready,Submit transaction > sync system > reconcile report,Success,Low
QAD-QUA-00051,QAD,quality,Reject QAD quality,QAD test data ready,Create record > route approval > verify status,Success,High
QAD-QUA-00052,QAD,quality,Edit QAD quality,QAD test data ready,Create record > route approval > verify status,Success,Low
QAD-QUA-00053,QAD,quality,Route QAD quality,QAD test data ready,Initiate integration > check queue > confirm completion,Success,Medium
QAD-QUA-00054,QAD,quality,Route QAD quality,QAD test data ready,Create record > route approval > verify status,Success,High
QAD-QUA-00055,QAD,quality,Reject QAD quality,QAD test data ready,Create record > route approval > verify status,Success,Low
QAD-QUA-00056,QAD,quality,Update QAD quality,QAD test data ready,Create record > route approval > verify status,Success,Low
QAD-QUA-00057,QAD,quality,Restore QAD quality,QAD test data ready,Submit transaction > sync system > reconcile report,Success,High
QAD-QUA-00058,QAD,quality,Clone QAD quality,QAD test data ready,Open module > perform action > validate result,Success,High
QAD-QUA-00059,QAD,quality,Reject QAD quality,QAD test data ready,Create record > route approval > verify status,Success,Medium
QAD-QUA-00060,QAD,quality,Delete QAD quality,QAD test data ready,Create record > route approval > verify status,Success,Medium
QAD-QUA-00061,QAD,quality,Reject QAD quality,QAD test data ready,Open module > perform action > validate result,Success,High
QAD-QUA-00062,QAD,quality,Reject QAD quality,QAD test data ready,Submit transaction > sync system > reconcile report,Success,Low
