Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
QLI-DAT-00001,QlikSense,data_load,Edit QlikSense data_load,QlikSense test data ready,Open module > perform action > validate result,Success,High
QLI-DAT-00002,QlikSense,data_load,Update QlikSense data_load,QlikSense test data ready,Create record > route approval > verify status,Success,Low
QLI-DAT-00003,QlikSense,data_load,Restore QlikSense data_load,QlikSense test data ready,Submit transaction > sync system > reconcile report,Success,Medium
QLI-DAT-00004,QlikSense,data_load,Edit QlikSense data_load,QlikSense test data ready,Submit transaction > sync system > reconcile report,Success,Low
QLI-DAT-00005,QlikSense,data_load,Validate QlikSense data_load,QlikSense test data ready,Submit transaction > sync system > reconcile report,Success,High
QLI-DAT-00006,QlikSense,data_load,Validate QlikSense data_load,QlikSense test data ready,Open module > perform action > validate result,Success,Medium
QLI-DAT-00007,QlikSense,data_load,Edit QlikSense data_load,QlikSense test data ready,Submit transaction > sync system > reconcile report,Success,Low
QLI-DAT-00008,QlikSense,data_load,Restore QlikSense data_load,QlikSense test data ready,Create record > route approval > verify status,Success,Low
QLI-DAT-00009,QlikSense,data_load,Validate QlikSense data_load,QlikSense test data ready,Open module > perform action > validate result,Success,Low
QLI-DAT-00010,QlikSense,data_load,Update QlikSense data_load,QlikSense test data ready,Create record > route approval > verify status,Success,Medium
QLI-DAT-00011,QlikSense,data_load,Reject QlikSense data_load,QlikSense test data ready,Submit transaction > sync system > reconcile report,Success,Medium
QLI-DAT-00012,QlikSense,data_load,Restore QlikSense data_load,QlikSense test data ready,Initiate integration > check queue > confirm completion,Success,High
QLI-DAT-00013,QlikSense,data_load,Approve QlikSense data_load,QlikSense test data ready,Create record > route approval > verify status,Success,High
QLI-DAT-00014,QlikSense,data_load,Validate QlikSense data_load,QlikSense test data ready,Create record > route approval > verify status,Success,Low
QLI-DAT-00015,QlikSense,data_load,Validate QlikSense data_load,QlikSense test data ready,Submit transaction > sync system > reconcile report,Success,High
QLI-DAT-00016,QlikSense,data_load,Edit QlikSense data_load,QlikSense test data ready,Create record > route approval > verify status,Success,Medium
QLI-DAT-00017,QlikSense,data_load,Approve QlikSense data_load,QlikSense test data ready,Create record > route approval > verify status,Success,Low
QLI-DAT-00018,QlikSense,data_load,Search QlikSense data_load,QlikSense test data ready,Open module > perform action > validate result,Success,High
QLI-DAT-00019,QlikSense,data_load,Delete QlikSense data_load,QlikSense test data ready,Create record > route approval > verify status,Success,High
QLI-DAT-00020,QlikSense,data_load,Route QlikSense data_load,QlikSense test data ready,Create record > route approval > verify status,Success,High
QLI-DAT-00021,QlikSense,data_load,Delete QlikSense data_load,QlikSense test data ready,Open module > perform action > validate result,Success,High
QLI-DAT-00022,QlikSense,data_load,Submit QlikSense data_load,QlikSense test data ready,Open module > perform action > validate result,Success,High
QLI-DAT-00023,QlikSense,data_load,Validate QlikSense data_load,QlikSense test data ready,Create record > route approval > verify status,Success,Medium
QLI-DAT-00024,QlikSense,data_load,Create QlikSense data_load,QlikSense test data ready,Create record > route approval > verify status,Success,Low
QLI-DAT-00025,QlikSense,data_load,Approve QlikSense data_load,QlikSense test data ready,Open module > perform action > validate result,Success,Medium
QLI-DAT-00026,QlikSense,data_load,Validate QlikSense data_load,QlikSense test data ready,Initiate integration > check queue > confirm completion,Success,Medium
QLI-DAT-00027,QlikSense,data_load,Create QlikSense data_load,QlikSense test data ready,Submit transaction > sync system > reconcile report,Success,Medium
QLI-DAT-00028,QlikSense,data_load,Update QlikSense data_load,QlikSense test data ready,Initiate integration > check queue > confirm completion,Success,Medium
QLI-DAT-00029,QlikSense,data_load,Delete QlikSense data_load,QlikSense test data ready,Open module > perform action > validate result,Success,High
QLI-DAT-00030,QlikSense,data_load,Restore QlikSense data_load,QlikSense test data ready,Submit transaction > sync system > reconcile report,Success,Medium
QLI-DAT-00031,QlikSense,data_load,Escalate QlikSense data_load,QlikSense test data ready,Open module > perform action > validate result,Success,High
QLI-DAT-00032,QlikSense,data_load,Restore QlikSense data_load,QlikSense test data ready,Open module > perform action > validate result,Success,High
QLI-DAT-00033,QlikSense,data_load,Archive QlikSense data_load,QlikSense test data ready,Open module > perform action > validate result,Success,High
QLI-DAT-00034,QlikSense,data_load,Escalate QlikSense data_load,QlikSense test data ready,Submit transaction > sync system > reconcile report,Success,Medium
QLI-DAT-00035,QlikSense,data_load,Update QlikSense data_load,QlikSense test data ready,Submit transaction > sync system > reconcile report,Success,Medium
QLI-DAT-00036,QlikSense,data_load,Delete QlikSense data_load,QlikSense test data ready,Initiate integration > check queue > confirm completion,Success,Medium
QLI-DAT-00037,QlikSense,data_load,Reject QlikSense data_load,QlikSense test data ready,Open module > perform action > validate result,Success,Medium
QLI-DAT-00038,QlikSense,data_load,Route QlikSense data_load,QlikSense test data ready,Create record > route approval > verify status,Success,High
QLI-DAT-00039,QlikSense,data_load,Restore QlikSense data_load,QlikSense test data ready,Submit transaction > sync system > reconcile report,Success,Medium
QLI-DAT-00040,QlikSense,data_load,Delete QlikSense data_load,QlikSense test data ready,Open module > perform action > validate result,Success,High
QLI-DAT-00041,QlikSense,data_load,Approve QlikSense data_load,QlikSense test data ready,Open module > perform action > validate result,Success,High
QLI-DAT-00042,QlikSense,data_load,Archive QlikSense data_load,QlikSense test data ready,Create record > route approval > verify status,Success,High
QLI-DAT-00043,QlikSense,data_load,Escalate QlikSense data_load,QlikSense test data ready,Create record > route approval > verify status,Success,High
QLI-DAT-00044,QlikSense,data_load,Delete QlikSense data_load,QlikSense test data ready,Create record > route approval > verify status,Success,Low
QLI-DAT-00045,QlikSense,data_load,Escalate QlikSense data_load,QlikSense test data ready,Open module > perform action > validate result,Success,Medium
QLI-DAT-00046,QlikSense,data_load,Validate QlikSense data_load,QlikSense test data ready,Create record > route approval > verify status,Success,Medium
QLI-DAT-00047,QlikSense,data_load,Escalate QlikSense data_load,QlikSense test data ready,Create record > route approval > verify status,Success,Medium
QLI-DAT-00048,QlikSense,data_load,Clone QlikSense data_load,QlikSense test data ready,Submit transaction > sync system > reconcile report,Success,High
QLI-DAT-00049,QlikSense,data_load,Clone QlikSense data_load,QlikSense test data ready,Create record > route approval > verify status,Success,High
QLI-DAT-00050,QlikSense,data_load,Escalate QlikSense data_load,QlikSense test data ready,Open module > perform action > validate result,Success,Medium
QLI-DAT-00051,QlikSense,data_load,Archive QlikSense data_load,QlikSense test data ready,Open module > perform action > validate result,Success,Low
QLI-DAT-00052,QlikSense,data_load,Delete QlikSense data_load,QlikSense test data ready,Open module > perform action > validate result,Success,High
QLI-DAT-00053,QlikSense,data_load,Validate QlikSense data_load,QlikSense test data ready,Submit transaction > sync system > reconcile report,Success,High
QLI-DAT-00054,QlikSense,data_load,Validate QlikSense data_load,QlikSense test data ready,Initiate integration > check queue > confirm completion,Success,Medium
QLI-DAT-00055,QlikSense,data_load,Route QlikSense data_load,QlikSense test data ready,Initiate integration > check queue > confirm completion,Success,Medium
QLI-DAT-00056,QlikSense,data_load,Route QlikSense data_load,QlikSense test data ready,Create record > route approval > verify status,Success,Low
QLI-DAT-00057,QlikSense,data_load,Edit QlikSense data_load,QlikSense test data ready,Initiate integration > check queue > confirm completion,Success,Low
QLI-DAT-00058,QlikSense,data_load,Update QlikSense data_load,QlikSense test data ready,Submit transaction > sync system > reconcile report,Success,Medium
QLI-DAT-00059,QlikSense,data_load,Update QlikSense data_load,QlikSense test data ready,Open module > perform action > validate result,Success,Medium
QLI-DAT-00060,QlikSense,data_load,Delete QlikSense data_load,QlikSense test data ready,Create record > route approval > verify status,Success,Low
