Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
QLI-GOV-00001,QlikSense,governance,Submit QlikSense governance,QlikSense test data ready,Submit transaction > sync system > reconcile report,Success,Medium
QLI-GOV-00002,QlikSense,governance,Archive QlikSense governance,QlikSense test data ready,Submit transaction > sync system > reconcile report,Success,Medium
QLI-GOV-00003,QlikSense,governance,Edit QlikSense governance,QlikSense test data ready,Submit transaction > sync system > reconcile report,Success,Medium
QLI-GOV-00004,QlikSense,governance,Update QlikSense governance,QlikSense test data ready,Submit transaction > sync system > reconcile report,Success,Medium
QLI-GOV-00005,QlikSense,governance,Create QlikSense governance,QlikSense test data ready,Submit transaction > sync system > reconcile report,Success,High
QLI-GOV-00006,QlikSense,governance,Submit QlikSense governance,QlikSense test data ready,Submit transaction > sync system > reconcile report,Success,Medium
QLI-GOV-00007,QlikSense,governance,Reject QlikSense governance,QlikSense test data ready,Submit transaction > sync system > reconcile report,Success,Medium
QLI-GOV-00008,QlikSense,governance,Route QlikSense governance,QlikSense test data ready,Initiate integration > check queue > confirm completion,Success,Medium
QLI-GOV-00009,QlikSense,governance,Clone QlikSense governance,QlikSense test data ready,Open module > perform action > validate result,Success,High
QLI-GOV-00010,QlikSense,governance,Create QlikSense governance,QlikSense test data ready,Submit transaction > sync system > reconcile report,Success,High
QLI-GOV-00011,QlikSense,governance,Create QlikSense governance,QlikSense test data ready,Create record > route approval > verify status,Success,High
QLI-GOV-00012,QlikSense,governance,Escalate QlikSense governance,QlikSense test data ready,Submit transaction > sync system > reconcile report,Success,Low
QLI-GOV-00013,QlikSense,governance,Escalate QlikSense governance,QlikSense test data ready,Create record > route approval > verify status,Success,Low
QLI-GOV-00014,QlikSense,governance,Clone QlikSense governance,QlikSense test data ready,Open module > perform action > validate result,Success,Medium
QLI-GOV-00015,QlikSense,governance,Archive QlikSense governance,QlikSense test data ready,Create record > route approval > verify status,Success,Low
QLI-GOV-00016,QlikSense,governance,Clone QlikSense governance,QlikSense test data ready,Initiate integration > check queue > confirm completion,Success,Low
QLI-GOV-00017,QlikSense,governance,Route QlikSense governance,QlikSense test data ready,Initiate integration > check queue > confirm completion,Success,High
QLI-GOV-00018,QlikSense,governance,Delete QlikSense governance,QlikSense test data ready,Initiate integration > check queue > confirm completion,Success,Low
QLI-GOV-00019,QlikSense,governance,Update QlikSense governance,QlikSense test data ready,Create record > route approval > verify status,Success,Low
QLI-GOV-00020,QlikSense,governance,Clone QlikSense governance,QlikSense test data ready,Initiate integration > check queue > confirm completion,Success,Low
QLI-GOV-00021,QlikSense,governance,Approve QlikSense governance,QlikSense test data ready,Open module > perform action > validate result,Success,Low
QLI-GOV-00022,QlikSense,governance,Approve QlikSense governance,QlikSense test data ready,Create record > route approval > verify status,Success,Low
QLI-GOV-00023,QlikSense,governance,Submit QlikSense governance,QlikSense test data ready,Open module > perform action > validate result,Success,Medium
QLI-GOV-00024,QlikSense,governance,Route QlikSense governance,QlikSense test data ready,Create record > route approval > verify status,Success,High
QLI-GOV-00025,QlikSense,governance,Reject QlikSense governance,QlikSense test data ready,Initiate integration > check queue > confirm completion,Success,High
QLI-GOV-00026,QlikSense,governance,Approve QlikSense governance,QlikSense test data ready,Initiate integration > check queue > confirm completion,Success,High
QLI-GOV-00027,QlikSense,governance,Archive QlikSense governance,QlikSense test data ready,Open module > perform action > validate result,Success,High
QLI-GOV-00028,QlikSense,governance,Restore QlikSense governance,QlikSense test data ready,Create record > route approval > verify status,Success,High
