Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
QLI-SEC-00001,QlikSense,security,Submit QlikSense security,QlikSense test data ready,Initiate integration > check queue > confirm completion,Success,High
QLI-SEC-00002,QlikSense,security,Submit QlikSense security,QlikSense test data ready,Submit transaction > sync system > reconcile report,Success,Low
QLI-SEC-00003,QlikSense,security,Clone QlikSense security,QlikSense test data ready,Open module > perform action > validate result,Success,Medium
QLI-SEC-00004,QlikSense,security,Route QlikSense security,QlikSense test data ready,Submit transaction > sync system > reconcile report,Success,Medium
QLI-SEC-00005,QlikSense,security,Reject QlikSense security,QlikSense test data ready,Submit transaction > sync system > reconcile report,Success,Low
QLI-SEC-00006,QlikSense,security,Restore QlikSense security,QlikSense test data ready,Open module > perform action > validate result,Success,Medium
QLI-SEC-00007,QlikSense,security,Approve QlikSense security,QlikSense test data ready,Initiate integration > check queue > confirm completion,Success,Medium
QLI-SEC-00008,QlikSense,security,Update QlikSense security,QlikSense test data ready,Open module > perform action > validate result,Success,Medium
QLI-SEC-00009,QlikSense,security,Escalate QlikSense security,QlikSense test data ready,Open module > perform action > validate result,Success,Low
QLI-SEC-00010,QlikSense,security,Search QlikSense security,QlikSense test data ready,Initiate integration > check queue > confirm completion,Success,High
QLI-SEC-00011,QlikSense,security,Search QlikSense security,QlikSense test data ready,Submit transaction > sync system > reconcile report,Success,High
QLI-SEC-00012,QlikSense,security,Update QlikSense security,QlikSense test data ready,Create record > route approval > verify status,Success,Low
QLI-SEC-00013,QlikSense,security,Clone QlikSense security,QlikSense test data ready,Create record > route approval > verify status,Success,Medium
QLI-SEC-00014,QlikSense,security,Validate QlikSense security,QlikSense test data ready,Submit transaction > sync system > reconcile report,Success,High
QLI-SEC-00015,QlikSense,security,Clone QlikSense security,QlikSense test data ready,Create record > route approval > verify status,Success,High
QLI-SEC-00016,QlikSense,security,Submit QlikSense security,QlikSense test data ready,Submit transaction > sync system > reconcile report,Success,Medium
QLI-SEC-00017,QlikSense,security,Update QlikSense security,QlikSense test data ready,Create record > route approval > verify status,Success,High
QLI-SEC-00018,QlikSense,security,Route QlikSense security,QlikSense test data ready,Create record > route approval > verify status,Success,Low
QLI-SEC-00019,QlikSense,security,Validate QlikSense security,QlikSense test data ready,Open module > perform action > validate result,Success,High
QLI-SEC-00020,QlikSense,security,Validate QlikSense security,QlikSense test data ready,Initiate integration > check queue > confirm completion,Success,Low
QLI-SEC-00021,QlikSense,security,Clone QlikSense security,QlikSense test data ready,Submit transaction > sync system > reconcile report,Success,Low
QLI-SEC-00022,QlikSense,security,Reject QlikSense security,QlikSense test data ready,Create record > route approval > verify status,Success,Medium
QLI-SEC-00023,QlikSense,security,Update QlikSense security,QlikSense test data ready,Initiate integration > check queue > confirm completion,Success,High
QLI-SEC-00024,QlikSense,security,Validate QlikSense security,QlikSense test data ready,Submit transaction > sync system > reconcile report,Success,Low
QLI-SEC-00025,QlikSense,security,Delete QlikSense security,QlikSense test data ready,Submit transaction > sync system > reconcile report,Success,High
QLI-SEC-00026,QlikSense,security,Clone QlikSense security,QlikSense test data ready,Submit transaction > sync system > reconcile report,Success,Low
QLI-SEC-00027,QlikSense,security,Restore QlikSense security,QlikSense test data ready,Initiate integration > check queue > confirm completion,Success,Low
QLI-SEC-00028,QlikSense,security,Approve QlikSense security,QlikSense test data ready,Initiate integration > check queue > confirm completion,Success,Low
QLI-SEC-00029,QlikSense,security,Validate QlikSense security,QlikSense test data ready,Submit transaction > sync system > reconcile report,Success,Low
QLI-SEC-00030,QlikSense,security,Create QlikSense security,QlikSense test data ready,Open module > perform action > validate result,Success,Low
QLI-SEC-00031,QlikSense,security,Clone QlikSense security,QlikSense test data ready,Initiate integration > check queue > confirm completion,Success,High
QLI-SEC-00032,QlikSense,security,Reject QlikSense security,QlikSense test data ready,Submit transaction > sync system > reconcile report,Success,Medium
QLI-SEC-00033,QlikSense,security,Submit QlikSense security,QlikSense test data ready,Open module > perform action > validate result,Success,Medium
QLI-SEC-00034,QlikSense,security,Clone QlikSense security,QlikSense test data ready,Create record > route approval > verify status,Success,High
QLI-SEC-00035,QlikSense,security,Archive QlikSense security,QlikSense test data ready,Create record > route approval > verify status,Success,Low
QLI-SEC-00036,QlikSense,security,Archive QlikSense security,QlikSense test data ready,Create record > route approval > verify status,Success,Low
QLI-SEC-00037,QlikSense,security,Route QlikSense security,QlikSense test data ready,Submit transaction > sync system > reconcile report,Success,Low
QLI-SEC-00038,QlikSense,security,Restore QlikSense security,QlikSense test data ready,Initiate integration > check queue > confirm completion,Success,Medium
QLI-SEC-00039,QlikSense,security,Update QlikSense security,QlikSense test data ready,Initiate integration > check queue > confirm completion,Success,High
QLI-SEC-00040,QlikSense,security,Update QlikSense security,QlikSense test data ready,Create record > route approval > verify status,Success,High
QLI-SEC-00041,QlikSense,security,Submit QlikSense security,QlikSense test data ready,Initiate integration > check queue > confirm completion,Success,Low
QLI-SEC-00042,QlikSense,security,Update QlikSense security,QlikSense test data ready,Create record > route approval > verify status,Success,High
QLI-SEC-00043,QlikSense,security,Clone QlikSense security,QlikSense test data ready,Initiate integration > check queue > confirm completion,Success,Low
QLI-SEC-00044,QlikSense,security,Approve QlikSense security,QlikSense test data ready,Open module > perform action > validate result,Success,High
QLI-SEC-00045,QlikSense,security,Validate QlikSense security,QlikSense test data ready,Initiate integration > check queue > confirm completion,Success,Low
QLI-SEC-00046,QlikSense,security,Escalate QlikSense security,QlikSense test data ready,Initiate integration > check queue > confirm completion,Success,High
QLI-SEC-00047,QlikSense,security,Archive QlikSense security,QlikSense test data ready,Create record > route approval > verify status,Success,Low
QLI-SEC-00048,QlikSense,security,Approve QlikSense security,QlikSense test data ready,Open module > perform action > validate result,Success,High
QLI-SEC-00049,QlikSense,security,Restore QlikSense security,QlikSense test data ready,Create record > route approval > verify status,Success,Medium
QLI-SEC-00050,QlikSense,security,Update QlikSense security,QlikSense test data ready,Open module > perform action > validate result,Success,Low
QLI-SEC-00051,QlikSense,security,Restore QlikSense security,QlikSense test data ready,Create record > route approval > verify status,Success,High
QLI-SEC-00052,QlikSense,security,Restore QlikSense security,QlikSense test data ready,Initiate integration > check queue > confirm completion,Success,Medium
QLI-SEC-00053,QlikSense,security,Route QlikSense security,QlikSense test data ready,Submit transaction > sync system > reconcile report,Success,High
QLI-SEC-00054,QlikSense,security,Delete QlikSense security,QlikSense test data ready,Open module > perform action > validate result,Success,High
QLI-SEC-00055,QlikSense,security,Delete QlikSense security,QlikSense test data ready,Submit transaction > sync system > reconcile report,Success,Medium
QLI-SEC-00056,QlikSense,security,Reject QlikSense security,QlikSense test data ready,Submit transaction > sync system > reconcile report,Success,Medium
QLI-SEC-00057,QlikSense,security,Create QlikSense security,QlikSense test data ready,Submit transaction > sync system > reconcile report,Success,Medium
QLI-SEC-00058,QlikSense,security,Clone QlikSense security,QlikSense test data ready,Initiate integration > check queue > confirm completion,Success,Low
QLI-SEC-00059,QlikSense,security,Restore QlikSense security,QlikSense test data ready,Create record > route approval > verify status,Success,Medium
QLI-SEC-00060,QlikSense,security,Clone QlikSense security,QlikSense test data ready,Initiate integration > check queue > confirm completion,Success,Low
QLI-SEC-00061,QlikSense,security,Search QlikSense security,QlikSense test data ready,Create record > route approval > verify status,Success,Low
QLI-SEC-00062,QlikSense,security,Delete QlikSense security,QlikSense test data ready,Initiate integration > check queue > confirm completion,Success,Low
QLI-SEC-00063,QlikSense,security,Reject QlikSense security,QlikSense test data ready,Initiate integration > check queue > confirm completion,Success,Low
QLI-SEC-00064,QlikSense,security,Clone QlikSense security,QlikSense test data ready,Submit transaction > sync system > reconcile report,Success,High
QLI-SEC-00065,QlikSense,security,Approve QlikSense security,QlikSense test data ready,Submit transaction > sync system > reconcile report,Success,High
QLI-SEC-00066,QlikSense,security,Create QlikSense security,QlikSense test data ready,Open module > perform action > validate result,Success,High
QLI-SEC-00067,QlikSense,security,Route QlikSense security,QlikSense test data ready,Create record > route approval > verify status,Success,Medium
QLI-SEC-00068,QlikSense,security,Validate QlikSense security,QlikSense test data ready,Submit transaction > sync system > reconcile report,Success,Medium
QLI-SEC-00069,QlikSense,security,Archive QlikSense security,QlikSense test data ready,Open module > perform action > validate result,Success,Low
QLI-SEC-00070,QlikSense,security,Reject QlikSense security,QlikSense test data ready,Open module > perform action > validate result,Success,High
QLI-SEC-00071,QlikSense,security,Archive QlikSense security,QlikSense test data ready,Submit transaction > sync system > reconcile report,Success,High
QLI-SEC-00072,QlikSense,security,Search QlikSense security,QlikSense test data ready,Submit transaction > sync system > reconcile report,Success,Medium
QLI-SEC-00073,QlikSense,security,Validate QlikSense security,QlikSense test data ready,Open module > perform action > validate result,Success,High
