Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
QLI-VIS-00001,QlikSense,visualizations,Approve QlikSense visualizations,QlikSense test data ready,Initiate integration > check queue > confirm completion,Success,Medium
QLI-VIS-00002,QlikSense,visualizations,Update QlikSense visualizations,QlikSense test data ready,Open module > perform action > validate result,Success,Medium
QLI-VIS-00003,QlikSense,visualizations,Submit QlikSense visualizations,QlikSense test data ready,Initiate integration > check queue > confirm completion,Success,Medium
QLI-VIS-00004,QlikSense,visualizations,Route QlikSense visualizations,QlikSense test data ready,Initiate integration > check queue > confirm completion,Success,Low
QLI-VIS-00005,QlikSense,visualizations,Approve QlikSense visualizations,QlikSense test data ready,Initiate integration > check queue > confirm completion,Success,Low
QLI-VIS-00006,QlikSense,visualizations,Validate QlikSense visualizations,QlikSense test data ready,Submit transaction > sync system > reconcile report,Success,Medium
QLI-VIS-00007,QlikSense,visualizations,Search QlikSense visualizations,QlikSense test data ready,Submit transaction > sync system > reconcile report,Success,Low
QLI-VIS-00008,QlikSense,visualizations,Submit QlikSense visualizations,QlikSense test data ready,Create record > route approval > verify status,Success,Medium
QLI-VIS-00009,QlikSense,visualizations,Escalate QlikSense visualizations,QlikSense test data ready,Initiate integration > check queue > confirm completion,Success,Medium
QLI-VIS-00010,QlikSense,visualizations,Escalate QlikSense visualizations,QlikSense test data ready,Open module > perform action > validate result,Success,Medium
QLI-VIS-00011,QlikSense,visualizations,Approve QlikSense visualizations,QlikSense test data ready,Initiate integration > check queue > confirm completion,Success,Medium
QLI-VIS-00012,QlikSense,visualizations,Edit QlikSense visualizations,QlikSense test data ready,Create record > route approval > verify status,Success,Low
QLI-VIS-00013,QlikSense,visualizations,Route QlikSense visualizations,QlikSense test data ready,Initiate integration > check queue > confirm completion,Success,Medium
QLI-VIS-00014,QlikSense,visualizations,Search QlikSense visualizations,QlikSense test data ready,Submit transaction > sync system > reconcile report,Success,Medium
QLI-VIS-00015,QlikSense,visualizations,Reject QlikSense visualizations,QlikSense test data ready,Submit transaction > sync system > reconcile report,Success,Low
QLI-VIS-00016,QlikSense,visualizations,Delete QlikSense visualizations,QlikSense test data ready,Submit transaction > sync system > reconcile report,Success,Low
QLI-VIS-00017,QlikSense,visualizations,Delete QlikSense visualizations,QlikSense test data ready,Submit transaction > sync system > reconcile report,Success,High
QLI-VIS-00018,QlikSense,visualizations,Escalate QlikSense visualizations,QlikSense test data ready,Open module > perform action > validate result,Success,Low
QLI-VIS-00019,QlikSense,visualizations,Update QlikSense visualizations,QlikSense test data ready,Create record > route approval > verify status,Success,Low
QLI-VIS-00020,QlikSense,visualizations,Delete QlikSense visualizations,QlikSense test data ready,Open module > perform action > validate result,Success,High
QLI-VIS-00021,QlikSense,visualizations,Validate QlikSense visualizations,QlikSense test data ready,Open module > perform action > validate result,Success,Low
QLI-VIS-00022,QlikSense,visualizations,Archive QlikSense visualizations,QlikSense test data ready,Create record > route approval > verify status,Success,High
QLI-VIS-00023,QlikSense,visualizations,Approve QlikSense visualizations,QlikSense test data ready,Initiate integration > check queue > confirm completion,Success,Medium
QLI-VIS-00024,QlikSense,visualizations,Escalate QlikSense visualizations,QlikSense test data ready,Create record > route approval > verify status,Success,Low
QLI-VIS-00025,QlikSense,visualizations,Create QlikSense visualizations,QlikSense test data ready,Initiate integration > check queue > confirm completion,Success,Medium
QLI-VIS-00026,QlikSense,visualizations,Create QlikSense visualizations,QlikSense test data ready,Submit transaction > sync system > reconcile report,Success,High
QLI-VIS-00027,QlikSense,visualizations,Approve QlikSense visualizations,QlikSense test data ready,Create record > route approval > verify status,Success,High
QLI-VIS-00028,QlikSense,visualizations,Delete QlikSense visualizations,QlikSense test data ready,Initiate integration > check queue > confirm completion,Success,High
QLI-VIS-00029,QlikSense,visualizations,Reject QlikSense visualizations,QlikSense test data ready,Open module > perform action > validate result,Success,Low
QLI-VIS-00030,QlikSense,visualizations,Clone QlikSense visualizations,QlikSense test data ready,Initiate integration > check queue > confirm completion,Success,Medium
QLI-VIS-00031,QlikSense,visualizations,Restore QlikSense visualizations,QlikSense test data ready,Initiate integration > check queue > confirm completion,Success,Medium
QLI-VIS-00032,QlikSense,visualizations,Archive QlikSense visualizations,QlikSense test data ready,Initiate integration > check queue > confirm completion,Success,High
QLI-VIS-00033,QlikSense,visualizations,Delete QlikSense visualizations,QlikSense test data ready,Create record > route approval > verify status,Success,Low
QLI-VIS-00034,QlikSense,visualizations,Search QlikSense visualizations,QlikSense test data ready,Create record > route approval > verify status,Success,Low
QLI-VIS-00035,QlikSense,visualizations,Delete QlikSense visualizations,QlikSense test data ready,Open module > perform action > validate result,Success,Medium
QLI-VIS-00036,QlikSense,visualizations,Restore QlikSense visualizations,QlikSense test data ready,Submit transaction > sync system > reconcile report,Success,High
QLI-VIS-00037,QlikSense,visualizations,Edit QlikSense visualizations,QlikSense test data ready,Initiate integration > check queue > confirm completion,Success,High
QLI-VIS-00038,QlikSense,visualizations,Escalate QlikSense visualizations,QlikSense test data ready,Create record > route approval > verify status,Success,Medium
QLI-VIS-00039,QlikSense,visualizations,Reject QlikSense visualizations,QlikSense test data ready,Create record > route approval > verify status,Success,Low
QLI-VIS-00040,QlikSense,visualizations,Approve QlikSense visualizations,QlikSense test data ready,Initiate integration > check queue > confirm completion,Success,Medium
QLI-VIS-00041,QlikSense,visualizations,Approve QlikSense visualizations,QlikSense test data ready,Create record > route approval > verify status,Success,High
QLI-VIS-00042,QlikSense,visualizations,Escalate QlikSense visualizations,QlikSense test data ready,Create record > route approval > verify status,Success,Low
QLI-VIS-00043,QlikSense,visualizations,Edit QlikSense visualizations,QlikSense test data ready,Create record > route approval > verify status,Success,Medium
QLI-VIS-00044,QlikSense,visualizations,Create QlikSense visualizations,QlikSense test data ready,Open module > perform action > validate result,Success,High
QLI-VIS-00045,QlikSense,visualizations,Edit QlikSense visualizations,QlikSense test data ready,Submit transaction > sync system > reconcile report,Success,High
QLI-VIS-00046,QlikSense,visualizations,Create QlikSense visualizations,QlikSense test data ready,Create record > route approval > verify status,Success,High
QLI-VIS-00047,QlikSense,visualizations,Archive QlikSense visualizations,QlikSense test data ready,Initiate integration > check queue > confirm completion,Success,High
QLI-VIS-00048,QlikSense,visualizations,Validate QlikSense visualizations,QlikSense test data ready,Submit transaction > sync system > reconcile report,Success,High
QLI-VIS-00049,QlikSense,visualizations,Create QlikSense visualizations,QlikSense test data ready,Open module > perform action > validate result,Success,Low
