Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
QUA-ACT-00001,Qualtrics,actions,Delete Qualtrics actions,Qualtrics test data ready,Initiate integration > check queue > confirm completion,Success,Low
QUA-ACT-00002,Qualtrics,actions,Delete Qualtrics actions,Qualtrics test data ready,Submit transaction > sync system > reconcile report,Success,Low
QUA-ACT-00003,Qualtrics,actions,Escalate Qualtrics actions,Qualtrics test data ready,Create record > route approval > verify status,Success,Medium
QUA-ACT-00004,Qualtrics,actions,Submit Qualtrics actions,Qualtrics test data ready,Create record > route approval > verify status,Success,Low
QUA-ACT-00005,Qualtrics,actions,Create Qualtrics actions,Qualtrics test data ready,Initiate integration > check queue > confirm completion,Success,High
QUA-ACT-00006,Qualtrics,actions,Validate Qualtrics actions,Qualtrics test data ready,Open module > perform action > validate result,Success,Medium
QUA-ACT-00007,Qualtrics,actions,Edit Qualtrics actions,Qualtrics test data ready,Create record > route approval > verify status,Success,Medium
QUA-ACT-00008,Qualtrics,actions,Clone Qualtrics actions,Qualtrics test data ready,Open module > perform action > validate result,Success,High
QUA-ACT-00009,Qualtrics,actions,Create Qualtrics actions,Qualtrics test data ready,Submit transaction > sync system > reconcile report,Success,Medium
QUA-ACT-00010,Qualtrics,actions,Search Qualtrics actions,Qualtrics test data ready,Initiate integration > check queue > confirm completion,Success,High
QUA-ACT-00011,Qualtrics,actions,Update Qualtrics actions,Qualtrics test data ready,Initiate integration > check queue > confirm completion,Success,High
QUA-ACT-00012,Qualtrics,actions,Create Qualtrics actions,Qualtrics test data ready,Submit transaction > sync system > reconcile report,Success,Medium
QUA-ACT-00013,Qualtrics,actions,Create Qualtrics actions,Qualtrics test data ready,Create record > route approval > verify status,Success,Medium
QUA-ACT-00014,Qualtrics,actions,Create Qualtrics actions,Qualtrics test data ready,Open module > perform action > validate result,Success,High
QUA-ACT-00015,Qualtrics,actions,Reject Qualtrics actions,Qualtrics test data ready,Create record > route approval > verify status,Success,Medium
QUA-ACT-00016,Qualtrics,actions,Submit Qualtrics actions,Qualtrics test data ready,Create record > route approval > verify status,Success,Medium
QUA-ACT-00017,Qualtrics,actions,Approve Qualtrics actions,Qualtrics test data ready,Submit transaction > sync system > reconcile report,Success,Medium
QUA-ACT-00018,Qualtrics,actions,Create Qualtrics actions,Qualtrics test data ready,Open module > perform action > validate result,Success,High
QUA-ACT-00019,Qualtrics,actions,Validate Qualtrics actions,Qualtrics test data ready,Initiate integration > check queue > confirm completion,Success,Medium
QUA-ACT-00020,Qualtrics,actions,Edit Qualtrics actions,Qualtrics test data ready,Initiate integration > check queue > confirm completion,Success,Medium
QUA-ACT-00021,Qualtrics,actions,Restore Qualtrics actions,Qualtrics test data ready,Open module > perform action > validate result,Success,High
QUA-ACT-00022,Qualtrics,actions,Route Qualtrics actions,Qualtrics test data ready,Initiate integration > check queue > confirm completion,Success,High
QUA-ACT-00023,Qualtrics,actions,Reject Qualtrics actions,Qualtrics test data ready,Create record > route approval > verify status,Success,High
QUA-ACT-00024,Qualtrics,actions,Edit Qualtrics actions,Qualtrics test data ready,Submit transaction > sync system > reconcile report,Success,Low
QUA-ACT-00025,Qualtrics,actions,Edit Qualtrics actions,Qualtrics test data ready,Open module > perform action > validate result,Success,Low
QUA-ACT-00026,Qualtrics,actions,Delete Qualtrics actions,Qualtrics test data ready,Submit transaction > sync system > reconcile report,Success,Medium
QUA-ACT-00027,Qualtrics,actions,Clone Qualtrics actions,Qualtrics test data ready,Submit transaction > sync system > reconcile report,Success,High
QUA-ACT-00028,Qualtrics,actions,Update Qualtrics actions,Qualtrics test data ready,Open module > perform action > validate result,Success,High
QUA-ACT-00029,Qualtrics,actions,Approve Qualtrics actions,Qualtrics test data ready,Create record > route approval > verify status,Success,Low
QUA-ACT-00030,Qualtrics,actions,Route Qualtrics actions,Qualtrics test data ready,Open module > perform action > validate result,Success,Low
QUA-ACT-00031,Qualtrics,actions,Edit Qualtrics actions,Qualtrics test data ready,Open module > perform action > validate result,Success,High
QUA-ACT-00032,Qualtrics,actions,Approve Qualtrics actions,Qualtrics test data ready,Create record > route approval > verify status,Success,Low
QUA-ACT-00033,Qualtrics,actions,Reject Qualtrics actions,Qualtrics test data ready,Open module > perform action > validate result,Success,Medium
QUA-ACT-00034,Qualtrics,actions,Submit Qualtrics actions,Qualtrics test data ready,Create record > route approval > verify status,Success,High
QUA-ACT-00035,Qualtrics,actions,Submit Qualtrics actions,Qualtrics test data ready,Submit transaction > sync system > reconcile report,Success,High
QUA-ACT-00036,Qualtrics,actions,Delete Qualtrics actions,Qualtrics test data ready,Create record > route approval > verify status,Success,Low
QUA-ACT-00037,Qualtrics,actions,Route Qualtrics actions,Qualtrics test data ready,Initiate integration > check queue > confirm completion,Success,Low
QUA-ACT-00038,Qualtrics,actions,Escalate Qualtrics actions,Qualtrics test data ready,Create record > route approval > verify status,Success,High
QUA-ACT-00039,Qualtrics,actions,Search Qualtrics actions,Qualtrics test data ready,Open module > perform action > validate result,Success,Low
QUA-ACT-00040,Qualtrics,actions,Escalate Qualtrics actions,Qualtrics test data ready,Open module > perform action > validate result,Success,Low
QUA-ACT-00041,Qualtrics,actions,Delete Qualtrics actions,Qualtrics test data ready,Open module > perform action > validate result,Success,Low
QUA-ACT-00042,Qualtrics,actions,Search Qualtrics actions,Qualtrics test data ready,Submit transaction > sync system > reconcile report,Success,Low
QUA-ACT-00043,Qualtrics,actions,Escalate Qualtrics actions,Qualtrics test data ready,Create record > route approval > verify status,Success,High
QUA-ACT-00044,Qualtrics,actions,Submit Qualtrics actions,Qualtrics test data ready,Submit transaction > sync system > reconcile report,Success,Medium
QUA-ACT-00045,Qualtrics,actions,Delete Qualtrics actions,Qualtrics test data ready,Create record > route approval > verify status,Success,Medium
QUA-ACT-00046,Qualtrics,actions,Reject Qualtrics actions,Qualtrics test data ready,Submit transaction > sync system > reconcile report,Success,High
QUA-ACT-00047,Qualtrics,actions,Escalate Qualtrics actions,Qualtrics test data ready,Submit transaction > sync system > reconcile report,Success,Medium
QUA-ACT-00048,Qualtrics,actions,Edit Qualtrics actions,Qualtrics test data ready,Create record > route approval > verify status,Success,Low
QUA-ACT-00049,Qualtrics,actions,Reject Qualtrics actions,Qualtrics test data ready,Submit transaction > sync system > reconcile report,Success,High
QUA-ACT-00050,Qualtrics,actions,Restore Qualtrics actions,Qualtrics test data ready,Initiate integration > check queue > confirm completion,Success,High
QUA-ACT-00051,Qualtrics,actions,Validate Qualtrics actions,Qualtrics test data ready,Open module > perform action > validate result,Success,Low
QUA-ACT-00052,Qualtrics,actions,Reject Qualtrics actions,Qualtrics test data ready,Initiate integration > check queue > confirm completion,Success,High
QUA-ACT-00053,Qualtrics,actions,Approve Qualtrics actions,Qualtrics test data ready,Create record > route approval > verify status,Success,High
QUA-ACT-00054,Qualtrics,actions,Update Qualtrics actions,Qualtrics test data ready,Initiate integration > check queue > confirm completion,Success,Low
QUA-ACT-00055,Qualtrics,actions,Search Qualtrics actions,Qualtrics test data ready,Open module > perform action > validate result,Success,High
QUA-ACT-00056,Qualtrics,actions,Edit Qualtrics actions,Qualtrics test data ready,Create record > route approval > verify status,Success,High
QUA-ACT-00057,Qualtrics,actions,Route Qualtrics actions,Qualtrics test data ready,Open module > perform action > validate result,Success,Low
QUA-ACT-00058,Qualtrics,actions,Submit Qualtrics actions,Qualtrics test data ready,Initiate integration > check queue > confirm completion,Success,Medium
QUA-ACT-00059,Qualtrics,actions,Submit Qualtrics actions,Qualtrics test data ready,Initiate integration > check queue > confirm completion,Success,High
QUA-ACT-00060,Qualtrics,actions,Archive Qualtrics actions,Qualtrics test data ready,Initiate integration > check queue > confirm completion,Success,Low
QUA-ACT-00061,Qualtrics,actions,Clone Qualtrics actions,Qualtrics test data ready,Create record > route approval > verify status,Success,Medium
QUA-ACT-00062,Qualtrics,actions,Reject Qualtrics actions,Qualtrics test data ready,Submit transaction > sync system > reconcile report,Success,Low
QUA-ACT-00063,Qualtrics,actions,Archive Qualtrics actions,Qualtrics test data ready,Submit transaction > sync system > reconcile report,Success,High
QUA-ACT-00064,Qualtrics,actions,Submit Qualtrics actions,Qualtrics test data ready,Create record > route approval > verify status,Success,Medium
QUA-ACT-00065,Qualtrics,actions,Clone Qualtrics actions,Qualtrics test data ready,Initiate integration > check queue > confirm completion,Success,Low
QUA-ACT-00066,Qualtrics,actions,Validate Qualtrics actions,Qualtrics test data ready,Open module > perform action > validate result,Success,High
QUA-ACT-00067,Qualtrics,actions,Escalate Qualtrics actions,Qualtrics test data ready,Create record > route approval > verify status,Success,High
QUA-ACT-00068,Qualtrics,actions,Validate Qualtrics actions,Qualtrics test data ready,Submit transaction > sync system > reconcile report,Success,Low
QUA-ACT-00069,Qualtrics,actions,Create Qualtrics actions,Qualtrics test data ready,Submit transaction > sync system > reconcile report,Success,Low
QUA-ACT-00070,Qualtrics,actions,Create Qualtrics actions,Qualtrics test data ready,Open module > perform action > validate result,Success,Low
QUA-ACT-00071,Qualtrics,actions,Route Qualtrics actions,Qualtrics test data ready,Open module > perform action > validate result,Success,Medium
QUA-ACT-00072,Qualtrics,actions,Delete Qualtrics actions,Qualtrics test data ready,Submit transaction > sync system > reconcile report,Success,Medium
QUA-ACT-00073,Qualtrics,actions,Archive Qualtrics actions,Qualtrics test data ready,Create record > route approval > verify status,Success,High
QUA-ACT-00074,Qualtrics,actions,Reject Qualtrics actions,Qualtrics test data ready,Create record > route approval > verify status,Success,Low
QUA-ACT-00075,Qualtrics,actions,Update Qualtrics actions,Qualtrics test data ready,Initiate integration > check queue > confirm completion,Success,High
QUA-ACT-00076,Qualtrics,actions,Clone Qualtrics actions,Qualtrics test data ready,Create record > route approval > verify status,Success,Low
