Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
QUA-ANA-00001,Qualtrics,analytics,Route Qualtrics analytics,Qualtrics test data ready,Initiate integration > check queue > confirm completion,Success,Low
QUA-ANA-00002,Qualtrics,analytics,Archive Qualtrics analytics,Qualtrics test data ready,Create record > route approval > verify status,Success,High
QUA-ANA-00003,Qualtrics,analytics,Clone Qualtrics analytics,Qualtrics test data ready,Submit transaction > sync system > reconcile report,Success,High
QUA-ANA-00004,Qualtrics,analytics,Route Qualtrics analytics,Qualtrics test data ready,Submit transaction > sync system > reconcile report,Success,Low
QUA-ANA-00005,Qualtrics,analytics,Clone Qualtrics analytics,Qualtrics test data ready,Open module > perform action > validate result,Success,Low
QUA-ANA-00006,Qualtrics,analytics,Reject Qualtrics analytics,Qualtrics test data ready,Open module > perform action > validate result,Success,Low
QUA-ANA-00007,Qualtrics,analytics,Submit Qualtrics analytics,Qualtrics test data ready,Create record > route approval > verify status,Success,Medium
QUA-ANA-00008,Qualtrics,analytics,Escalate Qualtrics analytics,Qualtrics test data ready,Submit transaction > sync system > reconcile report,Success,Low
QUA-ANA-00009,Qualtrics,analytics,Route Qualtrics analytics,Qualtrics test data ready,Initiate integration > check queue > confirm completion,Success,Low
QUA-ANA-00010,Qualtrics,analytics,Search Qualtrics analytics,Qualtrics test data ready,Create record > route approval > verify status,Success,Medium
QUA-ANA-00011,Qualtrics,analytics,Edit Qualtrics analytics,Qualtrics test data ready,Create record > route approval > verify status,Success,Medium
QUA-ANA-00012,Qualtrics,analytics,Route Qualtrics analytics,Qualtrics test data ready,Create record > route approval > verify status,Success,High
QUA-ANA-00013,Qualtrics,analytics,Edit Qualtrics analytics,Qualtrics test data ready,Open module > perform action > validate result,Success,Medium
QUA-ANA-00014,Qualtrics,analytics,Delete Qualtrics analytics,Qualtrics test data ready,Initiate integration > check queue > confirm completion,Success,Low
QUA-ANA-00015,Qualtrics,analytics,Search Qualtrics analytics,Qualtrics test data ready,Submit transaction > sync system > reconcile report,Success,Medium
