Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
QUA-SUR-00001,Qualtrics,surveys,Clone Qualtrics surveys,Qualtrics test data ready,Initiate integration > check queue > confirm completion,Success,Low
QUA-SUR-00002,Qualtrics,surveys,Approve Qualtrics surveys,Qualtrics test data ready,Open module > perform action > validate result,Success,Medium
QUA-SUR-00003,Qualtrics,surveys,Reject Qualtrics surveys,Qualtrics test data ready,Initiate integration > check queue > confirm completion,Success,Low
QUA-SUR-00004,Qualtrics,surveys,Validate Qualtrics surveys,Qualtrics test data ready,Open module > perform action > validate result,Success,High
QUA-SUR-00005,Qualtrics,surveys,Route Qualtrics surveys,Qualtrics test data ready,Create record > route approval > verify status,Success,Medium
QUA-SUR-00006,Qualtrics,surveys,Edit Qualtrics surveys,Qualtrics test data ready,Initiate integration > check queue > confirm completion,Success,Low
QUA-SUR-00007,Qualtrics,surveys,Route Qualtrics surveys,Qualtrics test data ready,Create record > route approval > verify status,Success,High
QUA-SUR-00008,Qualtrics,surveys,Update Qualtrics surveys,Qualtrics test data ready,Initiate integration > check queue > confirm completion,Success,High
QUA-SUR-00009,Qualtrics,surveys,Submit Qualtrics surveys,Qualtrics test data ready,Create record > route approval > verify status,Success,High
QUA-SUR-00010,Qualtrics,surveys,Update Qualtrics surveys,Qualtrics test data ready,Submit transaction > sync system > reconcile report,Success,Low
QUA-SUR-00011,Qualtrics,surveys,Approve Qualtrics surveys,Qualtrics test data ready,Open module > perform action > validate result,Success,High
QUA-SUR-00012,Qualtrics,surveys,Search Qualtrics surveys,Qualtrics test data ready,Create record > route approval > verify status,Success,Low
QUA-SUR-00013,Qualtrics,surveys,Restore Qualtrics surveys,Qualtrics test data ready,Initiate integration > check queue > confirm completion,Success,Medium
QUA-SUR-00014,Qualtrics,surveys,Submit Qualtrics surveys,Qualtrics test data ready,Create record > route approval > verify status,Success,Low
QUA-SUR-00015,Qualtrics,surveys,Archive Qualtrics surveys,Qualtrics test data ready,Submit transaction > sync system > reconcile report,Success,Medium
QUA-SUR-00016,Qualtrics,surveys,Route Qualtrics surveys,Qualtrics test data ready,Create record > route approval > verify status,Success,Low
QUA-SUR-00017,Qualtrics,surveys,Search Qualtrics surveys,Qualtrics test data ready,Submit transaction > sync system > reconcile report,Success,Low
QUA-SUR-00018,Qualtrics,surveys,Reject Qualtrics surveys,Qualtrics test data ready,Initiate integration > check queue > confirm completion,Success,Low
QUA-SUR-00019,Qualtrics,surveys,Delete Qualtrics surveys,Qualtrics test data ready,Create record > route approval > verify status,Success,Medium
QUA-SUR-00020,Qualtrics,surveys,Edit Qualtrics surveys,Qualtrics test data ready,Submit transaction > sync system > reconcile report,Success,High
QUA-SUR-00021,Qualtrics,surveys,Edit Qualtrics surveys,Qualtrics test data ready,Create record > route approval > verify status,Success,Low
QUA-SUR-00022,Qualtrics,surveys,Reject Qualtrics surveys,Qualtrics test data ready,Initiate integration > check queue > confirm completion,Success,Medium
QUA-SUR-00023,Qualtrics,surveys,Search Qualtrics surveys,Qualtrics test data ready,Create record > route approval > verify status,Success,Low
QUA-SUR-00024,Qualtrics,surveys,Approve Qualtrics surveys,Qualtrics test data ready,Initiate integration > check queue > confirm completion,Success,High
QUA-SUR-00025,Qualtrics,surveys,Clone Qualtrics surveys,Qualtrics test data ready,Initiate integration > check queue > confirm completion,Success,High
QUA-SUR-00026,Qualtrics,surveys,Clone Qualtrics surveys,Qualtrics test data ready,Create record > route approval > verify status,Success,Low
