Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
RHE-PAC-00001,RHEL,package_mgmt,Create RHEL package_mgmt,RHEL test data ready,Open module > perform action > validate result,Success,Medium
RHE-PAC-00002,RHEL,package_mgmt,Reject RHEL package_mgmt,RHEL test data ready,Submit transaction > sync system > reconcile report,Success,Medium
RHE-PAC-00003,RHEL,package_mgmt,Delete RHEL package_mgmt,RHEL test data ready,Open module > perform action > validate result,Success,High
RHE-PAC-00004,RHEL,package_mgmt,Route RHEL package_mgmt,RHEL test data ready,Submit transaction > sync system > reconcile report,Success,Low
RHE-PAC-00005,RHEL,package_mgmt,Clone RHEL package_mgmt,RHEL test data ready,Create record > route approval > verify status,Success,High
RHE-PAC-00006,RHEL,package_mgmt,Archive RHEL package_mgmt,RHEL test data ready,Create record > route approval > verify status,Success,Low
RHE-PAC-00007,RHEL,package_mgmt,Edit RHEL package_mgmt,RHEL test data ready,Initiate integration > check queue > confirm completion,Success,Medium
RHE-PAC-00008,RHEL,package_mgmt,Create RHEL package_mgmt,RHEL test data ready,Open module > perform action > validate result,Success,Medium
RHE-PAC-00009,RHEL,package_mgmt,Clone RHEL package_mgmt,RHEL test data ready,Submit transaction > sync system > reconcile report,Success,Low
RHE-PAC-00010,RHEL,package_mgmt,Clone RHEL package_mgmt,RHEL test data ready,Initiate integration > check queue > confirm completion,Success,Medium
RHE-PAC-00011,RHEL,package_mgmt,Delete RHEL package_mgmt,RHEL test data ready,Initiate integration > check queue > confirm completion,Success,High
RHE-PAC-00012,RHEL,package_mgmt,Search RHEL package_mgmt,RHEL test data ready,Initiate integration > check queue > confirm completion,Success,High
RHE-PAC-00013,RHEL,package_mgmt,Validate RHEL package_mgmt,RHEL test data ready,Open module > perform action > validate result,Success,High
RHE-PAC-00014,RHEL,package_mgmt,Submit RHEL package_mgmt,RHEL test data ready,Submit transaction > sync system > reconcile report,Success,Medium
RHE-PAC-00015,RHEL,package_mgmt,Search RHEL package_mgmt,RHEL test data ready,Open module > perform action > validate result,Success,High
RHE-PAC-00016,RHEL,package_mgmt,Reject RHEL package_mgmt,RHEL test data ready,Create record > route approval > verify status,Success,High
RHE-PAC-00017,RHEL,package_mgmt,Submit RHEL package_mgmt,RHEL test data ready,Open module > perform action > validate result,Success,High
RHE-PAC-00018,RHEL,package_mgmt,Create RHEL package_mgmt,RHEL test data ready,Create record > route approval > verify status,Success,Low
RHE-PAC-00019,RHEL,package_mgmt,Validate RHEL package_mgmt,RHEL test data ready,Open module > perform action > validate result,Success,High
RHE-PAC-00020,RHEL,package_mgmt,Update RHEL package_mgmt,RHEL test data ready,Open module > perform action > validate result,Success,High
RHE-PAC-00021,RHEL,package_mgmt,Reject RHEL package_mgmt,RHEL test data ready,Create record > route approval > verify status,Success,Low
RHE-PAC-00022,RHEL,package_mgmt,Route RHEL package_mgmt,RHEL test data ready,Open module > perform action > validate result,Success,Low
RHE-PAC-00023,RHEL,package_mgmt,Validate RHEL package_mgmt,RHEL test data ready,Submit transaction > sync system > reconcile report,Success,Low
