Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
RHE-SUB-00001,RHEL,subscription,Clone RHEL subscription,RHEL test data ready,Create record > route approval > verify status,Success,Medium
RHE-SUB-00002,RHEL,subscription,Clone RHEL subscription,RHEL test data ready,Initiate integration > check queue > confirm completion,Success,High
RHE-SUB-00003,RHEL,subscription,Restore RHEL subscription,RHEL test data ready,Submit transaction > sync system > reconcile report,Success,Low
RHE-SUB-00004,RHEL,subscription,Restore RHEL subscription,RHEL test data ready,Open module > perform action > validate result,Success,High
RHE-SUB-00005,RHEL,subscription,Edit RHEL subscription,RHEL test data ready,Initiate integration > check queue > confirm completion,Success,Low
RHE-SUB-00006,RHEL,subscription,Reject RHEL subscription,RHEL test data ready,Submit transaction > sync system > reconcile report,Success,Medium
RHE-SUB-00007,RHEL,subscription,Restore RHEL subscription,RHEL test data ready,Create record > route approval > verify status,Success,High
RHE-SUB-00008,RHEL,subscription,Submit RHEL subscription,RHEL test data ready,Open module > perform action > validate result,Success,High
RHE-SUB-00009,RHEL,subscription,Archive RHEL subscription,RHEL test data ready,Open module > perform action > validate result,Success,Medium
RHE-SUB-00010,RHEL,subscription,Delete RHEL subscription,RHEL test data ready,Submit transaction > sync system > reconcile report,Success,High
RHE-SUB-00011,RHEL,subscription,Create RHEL subscription,RHEL test data ready,Submit transaction > sync system > reconcile report,Success,Medium
RHE-SUB-00012,RHEL,subscription,Clone RHEL subscription,RHEL test data ready,Create record > route approval > verify status,Success,Low
RHE-SUB-00013,RHEL,subscription,Create RHEL subscription,RHEL test data ready,Initiate integration > check queue > confirm completion,Success,Low
RHE-SUB-00014,RHEL,subscription,Approve RHEL subscription,RHEL test data ready,Submit transaction > sync system > reconcile report,Success,High
RHE-SUB-00015,RHEL,subscription,Restore RHEL subscription,RHEL test data ready,Initiate integration > check queue > confirm completion,Success,High
RHE-SUB-00016,RHEL,subscription,Edit RHEL subscription,RHEL test data ready,Submit transaction > sync system > reconcile report,Success,Medium
RHE-SUB-00017,RHEL,subscription,Update RHEL subscription,RHEL test data ready,Submit transaction > sync system > reconcile report,Success,Medium
RHE-SUB-00018,RHEL,subscription,Clone RHEL subscription,RHEL test data ready,Open module > perform action > validate result,Success,Medium
RHE-SUB-00019,RHEL,subscription,Edit RHEL subscription,RHEL test data ready,Initiate integration > check queue > confirm completion,Success,Medium
RHE-SUB-00020,RHEL,subscription,Edit RHEL subscription,RHEL test data ready,Create record > route approval > verify status,Success,Medium
RHE-SUB-00021,RHEL,subscription,Search RHEL subscription,RHEL test data ready,Submit transaction > sync system > reconcile report,Success,Low
RHE-SUB-00022,RHEL,subscription,Clone RHEL subscription,RHEL test data ready,Initiate integration > check queue > confirm completion,Success,Low
RHE-SUB-00023,RHEL,subscription,Route RHEL subscription,RHEL test data ready,Initiate integration > check queue > confirm completion,Success,Medium
RHE-SUB-00024,RHEL,subscription,Create RHEL subscription,RHEL test data ready,Open module > perform action > validate result,Success,Low
RHE-SUB-00025,RHEL,subscription,Route RHEL subscription,RHEL test data ready,Submit transaction > sync system > reconcile report,Success,Medium
RHE-SUB-00026,RHEL,subscription,Edit RHEL subscription,RHEL test data ready,Submit transaction > sync system > reconcile report,Success,Low
RHE-SUB-00027,RHEL,subscription,Submit RHEL subscription,RHEL test data ready,Submit transaction > sync system > reconcile report,Success,Medium
RHE-SUB-00028,RHEL,subscription,Submit RHEL subscription,RHEL test data ready,Open module > perform action > validate result,Success,High
RHE-SUB-00029,RHEL,subscription,Reject RHEL subscription,RHEL test data ready,Initiate integration > check queue > confirm completion,Success,High
RHE-SUB-00030,RHEL,subscription,Archive RHEL subscription,RHEL test data ready,Create record > route approval > verify status,Success,High
RHE-SUB-00031,RHEL,subscription,Route RHEL subscription,RHEL test data ready,Submit transaction > sync system > reconcile report,Success,Medium
