Test Case ID,Cloud,Module Group,Module,Domain,E2E Flow,Test Type,Test Scenario,Preconditions,Steps,Expected Result,Priority,Type
SAP-00001,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00002,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00003,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00004,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00005,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00006,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00007,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00008,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00009,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00010,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00011,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00012,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
SAP-00013,SAP,Ph-II Function,Core,Corporate,Flow,UI,Review SAP Ph-II Function,Access is provisioned,"1. Open App
2. Execute Flow
3. Confirm",Completes successfully,Low,Functional
