Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
SAG-AR-00001,SageIntacct,ar,Submit SageIntacct ar,SageIntacct test data ready,Open module > perform action > validate result,Success,Medium
SAG-AR-00002,SageIntacct,ar,Clone SageIntacct ar,SageIntacct test data ready,Initiate integration > check queue > confirm completion,Success,High
SAG-AR-00003,SageIntacct,ar,Submit SageIntacct ar,SageIntacct test data ready,Open module > perform action > validate result,Success,Low
SAG-AR-00004,SageIntacct,ar,Reject SageIntacct ar,SageIntacct test data ready,Open module > perform action > validate result,Success,Medium
SAG-AR-00005,SageIntacct,ar,Approve SageIntacct ar,SageIntacct test data ready,Submit transaction > sync system > reconcile report,Success,Medium
SAG-AR-00006,SageIntacct,ar,Approve SageIntacct ar,SageIntacct test data ready,Submit transaction > sync system > reconcile report,Success,High
SAG-AR-00007,SageIntacct,ar,Escalate SageIntacct ar,SageIntacct test data ready,Submit transaction > sync system > reconcile report,Success,Low
SAG-AR-00008,SageIntacct,ar,Submit SageIntacct ar,SageIntacct test data ready,Initiate integration > check queue > confirm completion,Success,Medium
SAG-AR-00009,SageIntacct,ar,Edit SageIntacct ar,SageIntacct test data ready,Initiate integration > check queue > confirm completion,Success,Medium
SAG-AR-00010,SageIntacct,ar,Edit SageIntacct ar,SageIntacct test data ready,Initiate integration > check queue > confirm completion,Success,High
SAG-AR-00011,SageIntacct,ar,Reject SageIntacct ar,SageIntacct test data ready,Initiate integration > check queue > confirm completion,Success,Low
SAG-AR-00012,SageIntacct,ar,Delete SageIntacct ar,SageIntacct test data ready,Initiate integration > check queue > confirm completion,Success,Low
SAG-AR-00013,SageIntacct,ar,Reject SageIntacct ar,SageIntacct test data ready,Initiate integration > check queue > confirm completion,Success,Medium
SAG-AR-00014,SageIntacct,ar,Restore SageIntacct ar,SageIntacct test data ready,Initiate integration > check queue > confirm completion,Success,High
SAG-AR-00015,SageIntacct,ar,Create SageIntacct ar,SageIntacct test data ready,Open module > perform action > validate result,Success,Low
SAG-AR-00016,SageIntacct,ar,Clone SageIntacct ar,SageIntacct test data ready,Submit transaction > sync system > reconcile report,Success,Low
SAG-AR-00017,SageIntacct,ar,Submit SageIntacct ar,SageIntacct test data ready,Initiate integration > check queue > confirm completion,Success,Medium
SAG-AR-00018,SageIntacct,ar,Validate SageIntacct ar,SageIntacct test data ready,Initiate integration > check queue > confirm completion,Success,Low
SAG-AR-00019,SageIntacct,ar,Archive SageIntacct ar,SageIntacct test data ready,Open module > perform action > validate result,Success,Medium
SAG-AR-00020,SageIntacct,ar,Restore SageIntacct ar,SageIntacct test data ready,Submit transaction > sync system > reconcile report,Success,Low
SAG-AR-00021,SageIntacct,ar,Archive SageIntacct ar,SageIntacct test data ready,Create record > route approval > verify status,Success,High
SAG-AR-00022,SageIntacct,ar,Search SageIntacct ar,SageIntacct test data ready,Initiate integration > check queue > confirm completion,Success,High
SAG-AR-00023,SageIntacct,ar,Edit SageIntacct ar,SageIntacct test data ready,Submit transaction > sync system > reconcile report,Success,High
SAG-AR-00024,SageIntacct,ar,Delete SageIntacct ar,SageIntacct test data ready,Open module > perform action > validate result,Success,Medium
SAG-AR-00025,SageIntacct,ar,Validate SageIntacct ar,SageIntacct test data ready,Submit transaction > sync system > reconcile report,Success,Medium
SAG-AR-00026,SageIntacct,ar,Escalate SageIntacct ar,SageIntacct test data ready,Open module > perform action > validate result,Success,Low
SAG-AR-00027,SageIntacct,ar,Submit SageIntacct ar,SageIntacct test data ready,Initiate integration > check queue > confirm completion,Success,Medium
SAG-AR-00028,SageIntacct,ar,Delete SageIntacct ar,SageIntacct test data ready,Initiate integration > check queue > confirm completion,Success,Low
SAG-AR-00029,SageIntacct,ar,Route SageIntacct ar,SageIntacct test data ready,Create record > route approval > verify status,Success,Low
SAG-AR-00030,SageIntacct,ar,Reject SageIntacct ar,SageIntacct test data ready,Create record > route approval > verify status,Success,Low
SAG-AR-00031,SageIntacct,ar,Submit SageIntacct ar,SageIntacct test data ready,Open module > perform action > validate result,Success,High
SAG-AR-00032,SageIntacct,ar,Create SageIntacct ar,SageIntacct test data ready,Create record > route approval > verify status,Success,Medium
SAG-AR-00033,SageIntacct,ar,Restore SageIntacct ar,SageIntacct test data ready,Initiate integration > check queue > confirm completion,Success,High
SAG-AR-00034,SageIntacct,ar,Route SageIntacct ar,SageIntacct test data ready,Create record > route approval > verify status,Success,Low
SAG-AR-00035,SageIntacct,ar,Validate SageIntacct ar,SageIntacct test data ready,Initiate integration > check queue > confirm completion,Success,Medium
SAG-AR-00036,SageIntacct,ar,Restore SageIntacct ar,SageIntacct test data ready,Initiate integration > check queue > confirm completion,Success,Low
SAG-AR-00037,SageIntacct,ar,Escalate SageIntacct ar,SageIntacct test data ready,Submit transaction > sync system > reconcile report,Success,High
SAG-AR-00038,SageIntacct,ar,Clone SageIntacct ar,SageIntacct test data ready,Create record > route approval > verify status,Success,High
SAG-AR-00039,SageIntacct,ar,Edit SageIntacct ar,SageIntacct test data ready,Create record > route approval > verify status,Success,Low
SAG-AR-00040,SageIntacct,ar,Clone SageIntacct ar,SageIntacct test data ready,Open module > perform action > validate result,Success,Low
