Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
SAG-CAS-00001,SageIntacct,cash,Clone SageIntacct cash,SageIntacct test data ready,Open module > perform action > validate result,Success,Medium
SAG-CAS-00002,SageIntacct,cash,Edit SageIntacct cash,SageIntacct test data ready,Create record > route approval > verify status,Success,High
SAG-CAS-00003,SageIntacct,cash,Restore SageIntacct cash,SageIntacct test data ready,Open module > perform action > validate result,Success,Medium
SAG-CAS-00004,SageIntacct,cash,Escalate SageIntacct cash,SageIntacct test data ready,Submit transaction > sync system > reconcile report,Success,High
SAG-CAS-00005,SageIntacct,cash,Submit SageIntacct cash,SageIntacct test data ready,Submit transaction > sync system > reconcile report,Success,High
SAG-CAS-00006,SageIntacct,cash,Edit SageIntacct cash,SageIntacct test data ready,Open module > perform action > validate result,Success,Medium
SAG-CAS-00007,SageIntacct,cash,Create SageIntacct cash,SageIntacct test data ready,Create record > route approval > verify status,Success,Medium
SAG-CAS-00008,SageIntacct,cash,Escalate SageIntacct cash,SageIntacct test data ready,Open module > perform action > validate result,Success,Low
SAG-CAS-00009,SageIntacct,cash,Archive SageIntacct cash,SageIntacct test data ready,Open module > perform action > validate result,Success,Low
SAG-CAS-00010,SageIntacct,cash,Archive SageIntacct cash,SageIntacct test data ready,Initiate integration > check queue > confirm completion,Success,Medium
SAG-CAS-00011,SageIntacct,cash,Delete SageIntacct cash,SageIntacct test data ready,Submit transaction > sync system > reconcile report,Success,High
SAG-CAS-00012,SageIntacct,cash,Create SageIntacct cash,SageIntacct test data ready,Create record > route approval > verify status,Success,Medium
SAG-CAS-00013,SageIntacct,cash,Submit SageIntacct cash,SageIntacct test data ready,Submit transaction > sync system > reconcile report,Success,Low
SAG-CAS-00014,SageIntacct,cash,Clone SageIntacct cash,SageIntacct test data ready,Initiate integration > check queue > confirm completion,Success,Low
SAG-CAS-00015,SageIntacct,cash,Escalate SageIntacct cash,SageIntacct test data ready,Create record > route approval > verify status,Success,High
SAG-CAS-00016,SageIntacct,cash,Route SageIntacct cash,SageIntacct test data ready,Submit transaction > sync system > reconcile report,Success,Low
SAG-CAS-00017,SageIntacct,cash,Update SageIntacct cash,SageIntacct test data ready,Open module > perform action > validate result,Success,Medium
SAG-CAS-00018,SageIntacct,cash,Route SageIntacct cash,SageIntacct test data ready,Submit transaction > sync system > reconcile report,Success,Low
SAG-CAS-00019,SageIntacct,cash,Update SageIntacct cash,SageIntacct test data ready,Initiate integration > check queue > confirm completion,Success,Low
SAG-CAS-00020,SageIntacct,cash,Search SageIntacct cash,SageIntacct test data ready,Create record > route approval > verify status,Success,Medium
SAG-CAS-00021,SageIntacct,cash,Archive SageIntacct cash,SageIntacct test data ready,Create record > route approval > verify status,Success,Medium
SAG-CAS-00022,SageIntacct,cash,Create SageIntacct cash,SageIntacct test data ready,Initiate integration > check queue > confirm completion,Success,High
SAG-CAS-00023,SageIntacct,cash,Clone SageIntacct cash,SageIntacct test data ready,Submit transaction > sync system > reconcile report,Success,Low
SAG-CAS-00024,SageIntacct,cash,Delete SageIntacct cash,SageIntacct test data ready,Initiate integration > check queue > confirm completion,Success,Low
SAG-CAS-00025,SageIntacct,cash,Route SageIntacct cash,SageIntacct test data ready,Create record > route approval > verify status,Success,Low
SAG-CAS-00026,SageIntacct,cash,Clone SageIntacct cash,SageIntacct test data ready,Create record > route approval > verify status,Success,Low
SAG-CAS-00027,SageIntacct,cash,Validate SageIntacct cash,SageIntacct test data ready,Initiate integration > check queue > confirm completion,Success,Low
SAG-CAS-00028,SageIntacct,cash,Search SageIntacct cash,SageIntacct test data ready,Initiate integration > check queue > confirm completion,Success,Low
SAG-CAS-00029,SageIntacct,cash,Reject SageIntacct cash,SageIntacct test data ready,Initiate integration > check queue > confirm completion,Success,Low
SAG-CAS-00030,SageIntacct,cash,Escalate SageIntacct cash,SageIntacct test data ready,Create record > route approval > verify status,Success,High
SAG-CAS-00031,SageIntacct,cash,Validate SageIntacct cash,SageIntacct test data ready,Create record > route approval > verify status,Success,High
SAG-CAS-00032,SageIntacct,cash,Clone SageIntacct cash,SageIntacct test data ready,Submit transaction > sync system > reconcile report,Success,Medium
SAG-CAS-00033,SageIntacct,cash,Search SageIntacct cash,SageIntacct test data ready,Submit transaction > sync system > reconcile report,Success,Medium
SAG-CAS-00034,SageIntacct,cash,Escalate SageIntacct cash,SageIntacct test data ready,Create record > route approval > verify status,Success,High
SAG-CAS-00035,SageIntacct,cash,Search SageIntacct cash,SageIntacct test data ready,Create record > route approval > verify status,Success,Medium
SAG-CAS-00036,SageIntacct,cash,Validate SageIntacct cash,SageIntacct test data ready,Open module > perform action > validate result,Success,Low
SAG-CAS-00037,SageIntacct,cash,Delete SageIntacct cash,SageIntacct test data ready,Create record > route approval > verify status,Success,Medium
SAG-CAS-00038,SageIntacct,cash,Submit SageIntacct cash,SageIntacct test data ready,Initiate integration > check queue > confirm completion,Success,Medium
SAG-CAS-00039,SageIntacct,cash,Restore SageIntacct cash,SageIntacct test data ready,Submit transaction > sync system > reconcile report,Success,Medium
SAG-CAS-00040,SageIntacct,cash,Validate SageIntacct cash,SageIntacct test data ready,Open module > perform action > validate result,Success,Medium
