Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
SAG-GEN-00001,SageIntacct,general_ledger,Delete SageIntacct general_ledger,SageIntacct test data ready,Create record > route approval > verify status,Success,Low
SAG-GEN-00002,SageIntacct,general_ledger,Update SageIntacct general_ledger,SageIntacct test data ready,Submit transaction > sync system > reconcile report,Success,Low
SAG-GEN-00003,SageIntacct,general_ledger,Delete SageIntacct general_ledger,SageIntacct test data ready,Create record > route approval > verify status,Success,High
SAG-GEN-00004,SageIntacct,general_ledger,Delete SageIntacct general_ledger,SageIntacct test data ready,Initiate integration > check queue > confirm completion,Success,Low
SAG-GEN-00005,SageIntacct,general_ledger,Approve SageIntacct general_ledger,SageIntacct test data ready,Open module > perform action > validate result,Success,High
SAG-GEN-00006,SageIntacct,general_ledger,Create SageIntacct general_ledger,SageIntacct test data ready,Submit transaction > sync system > reconcile report,Success,Medium
SAG-GEN-00007,SageIntacct,general_ledger,Edit SageIntacct general_ledger,SageIntacct test data ready,Initiate integration > check queue > confirm completion,Success,High
SAG-GEN-00008,SageIntacct,general_ledger,Archive SageIntacct general_ledger,SageIntacct test data ready,Open module > perform action > validate result,Success,High
SAG-GEN-00009,SageIntacct,general_ledger,Submit SageIntacct general_ledger,SageIntacct test data ready,Open module > perform action > validate result,Success,High
SAG-GEN-00010,SageIntacct,general_ledger,Reject SageIntacct general_ledger,SageIntacct test data ready,Open module > perform action > validate result,Success,Medium
SAG-GEN-00011,SageIntacct,general_ledger,Search SageIntacct general_ledger,SageIntacct test data ready,Submit transaction > sync system > reconcile report,Success,Medium
SAG-GEN-00012,SageIntacct,general_ledger,Validate SageIntacct general_ledger,SageIntacct test data ready,Submit transaction > sync system > reconcile report,Success,Medium
SAG-GEN-00013,SageIntacct,general_ledger,Submit SageIntacct general_ledger,SageIntacct test data ready,Open module > perform action > validate result,Success,High
SAG-GEN-00014,SageIntacct,general_ledger,Delete SageIntacct general_ledger,SageIntacct test data ready,Initiate integration > check queue > confirm completion,Success,Low
SAG-GEN-00015,SageIntacct,general_ledger,Archive SageIntacct general_ledger,SageIntacct test data ready,Submit transaction > sync system > reconcile report,Success,Low
SAG-GEN-00016,SageIntacct,general_ledger,Validate SageIntacct general_ledger,SageIntacct test data ready,Create record > route approval > verify status,Success,Low
SAG-GEN-00017,SageIntacct,general_ledger,Edit SageIntacct general_ledger,SageIntacct test data ready,Open module > perform action > validate result,Success,Low
SAG-GEN-00018,SageIntacct,general_ledger,Reject SageIntacct general_ledger,SageIntacct test data ready,Open module > perform action > validate result,Success,Medium
SAG-GEN-00019,SageIntacct,general_ledger,Delete SageIntacct general_ledger,SageIntacct test data ready,Create record > route approval > verify status,Success,Low
SAG-GEN-00020,SageIntacct,general_ledger,Search SageIntacct general_ledger,SageIntacct test data ready,Open module > perform action > validate result,Success,Medium
SAG-GEN-00021,SageIntacct,general_ledger,Edit SageIntacct general_ledger,SageIntacct test data ready,Initiate integration > check queue > confirm completion,Success,Medium
SAG-GEN-00022,SageIntacct,general_ledger,Delete SageIntacct general_ledger,SageIntacct test data ready,Submit transaction > sync system > reconcile report,Success,High
SAG-GEN-00023,SageIntacct,general_ledger,Edit SageIntacct general_ledger,SageIntacct test data ready,Submit transaction > sync system > reconcile report,Success,Medium
SAG-GEN-00024,SageIntacct,general_ledger,Approve SageIntacct general_ledger,SageIntacct test data ready,Submit transaction > sync system > reconcile report,Success,Low
SAG-GEN-00025,SageIntacct,general_ledger,Restore SageIntacct general_ledger,SageIntacct test data ready,Create record > route approval > verify status,Success,Medium
SAG-GEN-00026,SageIntacct,general_ledger,Create SageIntacct general_ledger,SageIntacct test data ready,Open module > perform action > validate result,Success,Medium
SAG-GEN-00027,SageIntacct,general_ledger,Route SageIntacct general_ledger,SageIntacct test data ready,Initiate integration > check queue > confirm completion,Success,Medium
SAG-GEN-00028,SageIntacct,general_ledger,Approve SageIntacct general_ledger,SageIntacct test data ready,Initiate integration > check queue > confirm completion,Success,High
SAG-GEN-00029,SageIntacct,general_ledger,Edit SageIntacct general_ledger,SageIntacct test data ready,Open module > perform action > validate result,Success,Medium
SAG-GEN-00030,SageIntacct,general_ledger,Search SageIntacct general_ledger,SageIntacct test data ready,Create record > route approval > verify status,Success,Medium
SAG-GEN-00031,SageIntacct,general_ledger,Submit SageIntacct general_ledger,SageIntacct test data ready,Submit transaction > sync system > reconcile report,Success,Low
SAG-GEN-00032,SageIntacct,general_ledger,Clone SageIntacct general_ledger,SageIntacct test data ready,Submit transaction > sync system > reconcile report,Success,High
SAG-GEN-00033,SageIntacct,general_ledger,Update SageIntacct general_ledger,SageIntacct test data ready,Open module > perform action > validate result,Success,Low
SAG-GEN-00034,SageIntacct,general_ledger,Validate SageIntacct general_ledger,SageIntacct test data ready,Open module > perform action > validate result,Success,High
SAG-GEN-00035,SageIntacct,general_ledger,Create SageIntacct general_ledger,SageIntacct test data ready,Initiate integration > check queue > confirm completion,Success,High
SAG-GEN-00036,SageIntacct,general_ledger,Archive SageIntacct general_ledger,SageIntacct test data ready,Initiate integration > check queue > confirm completion,Success,High
SAG-GEN-00037,SageIntacct,general_ledger,Archive SageIntacct general_ledger,SageIntacct test data ready,Initiate integration > check queue > confirm completion,Success,Low
SAG-GEN-00038,SageIntacct,general_ledger,Update SageIntacct general_ledger,SageIntacct test data ready,Open module > perform action > validate result,Success,High
SAG-GEN-00039,SageIntacct,general_ledger,Restore SageIntacct general_ledger,SageIntacct test data ready,Initiate integration > check queue > confirm completion,Success,High
SAG-GEN-00040,SageIntacct,general_ledger,Submit SageIntacct general_ledger,SageIntacct test data ready,Open module > perform action > validate result,Success,Low
SAG-GEN-00041,SageIntacct,general_ledger,Archive SageIntacct general_ledger,SageIntacct test data ready,Create record > route approval > verify status,Success,High
SAG-GEN-00042,SageIntacct,general_ledger,Submit SageIntacct general_ledger,SageIntacct test data ready,Submit transaction > sync system > reconcile report,Success,High
SAG-GEN-00043,SageIntacct,general_ledger,Submit SageIntacct general_ledger,SageIntacct test data ready,Open module > perform action > validate result,Success,High
SAG-GEN-00044,SageIntacct,general_ledger,Edit SageIntacct general_ledger,SageIntacct test data ready,Initiate integration > check queue > confirm completion,Success,Medium
SAG-GEN-00045,SageIntacct,general_ledger,Restore SageIntacct general_ledger,SageIntacct test data ready,Create record > route approval > verify status,Success,High
SAG-GEN-00046,SageIntacct,general_ledger,Validate SageIntacct general_ledger,SageIntacct test data ready,Initiate integration > check queue > confirm completion,Success,High
SAG-GEN-00047,SageIntacct,general_ledger,Archive SageIntacct general_ledger,SageIntacct test data ready,Open module > perform action > validate result,Success,Low
SAG-GEN-00048,SageIntacct,general_ledger,Validate SageIntacct general_ledger,SageIntacct test data ready,Initiate integration > check queue > confirm completion,Success,Low
SAG-GEN-00049,SageIntacct,general_ledger,Delete SageIntacct general_ledger,SageIntacct test data ready,Submit transaction > sync system > reconcile report,Success,High
SAG-GEN-00050,SageIntacct,general_ledger,Clone SageIntacct general_ledger,SageIntacct test data ready,Create record > route approval > verify status,Success,Low
SAG-GEN-00051,SageIntacct,general_ledger,Approve SageIntacct general_ledger,SageIntacct test data ready,Submit transaction > sync system > reconcile report,Success,Medium
SAG-GEN-00052,SageIntacct,general_ledger,Update SageIntacct general_ledger,SageIntacct test data ready,Initiate integration > check queue > confirm completion,Success,High
SAG-GEN-00053,SageIntacct,general_ledger,Approve SageIntacct general_ledger,SageIntacct test data ready,Initiate integration > check queue > confirm completion,Success,Low
SAG-GEN-00054,SageIntacct,general_ledger,Reject SageIntacct general_ledger,SageIntacct test data ready,Initiate integration > check queue > confirm completion,Success,Medium
SAG-GEN-00055,SageIntacct,general_ledger,Search SageIntacct general_ledger,SageIntacct test data ready,Open module > perform action > validate result,Success,High
SAG-GEN-00056,SageIntacct,general_ledger,Escalate SageIntacct general_ledger,SageIntacct test data ready,Open module > perform action > validate result,Success,High
SAG-GEN-00057,SageIntacct,general_ledger,Route SageIntacct general_ledger,SageIntacct test data ready,Initiate integration > check queue > confirm completion,Success,Low
SAG-GEN-00058,SageIntacct,general_ledger,Update SageIntacct general_ledger,SageIntacct test data ready,Create record > route approval > verify status,Success,Low
SAG-GEN-00059,SageIntacct,general_ledger,Restore SageIntacct general_ledger,SageIntacct test data ready,Submit transaction > sync system > reconcile report,Success,Medium
SAG-GEN-00060,SageIntacct,general_ledger,Restore SageIntacct general_ledger,SageIntacct test data ready,Open module > perform action > validate result,Success,High
SAG-GEN-00061,SageIntacct,general_ledger,Restore SageIntacct general_ledger,SageIntacct test data ready,Create record > route approval > verify status,Success,Low
SAG-GEN-00062,SageIntacct,general_ledger,Restore SageIntacct general_ledger,SageIntacct test data ready,Initiate integration > check queue > confirm completion,Success,Low
SAG-GEN-00063,SageIntacct,general_ledger,Edit SageIntacct general_ledger,SageIntacct test data ready,Submit transaction > sync system > reconcile report,Success,Low
SAG-GEN-00064,SageIntacct,general_ledger,Reject SageIntacct general_ledger,SageIntacct test data ready,Submit transaction > sync system > reconcile report,Success,Low
SAG-GEN-00065,SageIntacct,general_ledger,Route SageIntacct general_ledger,SageIntacct test data ready,Submit transaction > sync system > reconcile report,Success,High
SAG-GEN-00066,SageIntacct,general_ledger,Clone SageIntacct general_ledger,SageIntacct test data ready,Initiate integration > check queue > confirm completion,Success,Low
SAG-GEN-00067,SageIntacct,general_ledger,Reject SageIntacct general_ledger,SageIntacct test data ready,Initiate integration > check queue > confirm completion,Success,Low
SAG-GEN-00068,SageIntacct,general_ledger,Restore SageIntacct general_ledger,SageIntacct test data ready,Initiate integration > check queue > confirm completion,Success,High
SAG-GEN-00069,SageIntacct,general_ledger,Restore SageIntacct general_ledger,SageIntacct test data ready,Initiate integration > check queue > confirm completion,Success,Low
SAG-GEN-00070,SageIntacct,general_ledger,Update SageIntacct general_ledger,SageIntacct test data ready,Create record > route approval > verify status,Success,High
SAG-GEN-00071,SageIntacct,general_ledger,Delete SageIntacct general_ledger,SageIntacct test data ready,Create record > route approval > verify status,Success,Low
SAG-GEN-00072,SageIntacct,general_ledger,Submit SageIntacct general_ledger,SageIntacct test data ready,Create record > route approval > verify status,Success,High
SAG-GEN-00073,SageIntacct,general_ledger,Archive SageIntacct general_ledger,SageIntacct test data ready,Submit transaction > sync system > reconcile report,Success,High
SAG-GEN-00074,SageIntacct,general_ledger,Archive SageIntacct general_ledger,SageIntacct test data ready,Create record > route approval > verify status,Success,High
SAG-GEN-00075,SageIntacct,general_ledger,Archive SageIntacct general_ledger,SageIntacct test data ready,Submit transaction > sync system > reconcile report,Success,High
SAG-GEN-00076,SageIntacct,general_ledger,Route SageIntacct general_ledger,SageIntacct test data ready,Open module > perform action > validate result,Success,Low
SAG-GEN-00077,SageIntacct,general_ledger,Clone SageIntacct general_ledger,SageIntacct test data ready,Open module > perform action > validate result,Success,High
SAG-GEN-00078,SageIntacct,general_ledger,Delete SageIntacct general_ledger,SageIntacct test data ready,Initiate integration > check queue > confirm completion,Success,High
SAG-GEN-00079,SageIntacct,general_ledger,Validate SageIntacct general_ledger,SageIntacct test data ready,Submit transaction > sync system > reconcile report,Success,Low
SAG-GEN-00080,SageIntacct,general_ledger,Archive SageIntacct general_ledger,SageIntacct test data ready,Open module > perform action > validate result,Success,Medium
SAG-GEN-00081,SageIntacct,general_ledger,Submit SageIntacct general_ledger,SageIntacct test data ready,Create record > route approval > verify status,Success,Medium
SAG-GEN-00082,SageIntacct,general_ledger,Approve SageIntacct general_ledger,SageIntacct test data ready,Initiate integration > check queue > confirm completion,Success,Low
SAG-GEN-00083,SageIntacct,general_ledger,Validate SageIntacct general_ledger,SageIntacct test data ready,Create record > route approval > verify status,Success,High
SAG-GEN-00084,SageIntacct,general_ledger,Create SageIntacct general_ledger,SageIntacct test data ready,Open module > perform action > validate result,Success,Low
SAG-GEN-00085,SageIntacct,general_ledger,Edit SageIntacct general_ledger,SageIntacct test data ready,Submit transaction > sync system > reconcile report,Success,Low
SAG-GEN-00086,SageIntacct,general_ledger,Update SageIntacct general_ledger,SageIntacct test data ready,Submit transaction > sync system > reconcile report,Success,Medium
SAG-GEN-00087,SageIntacct,general_ledger,Approve SageIntacct general_ledger,SageIntacct test data ready,Initiate integration > check queue > confirm completion,Success,Low
SAG-GEN-00088,SageIntacct,general_ledger,Submit SageIntacct general_ledger,SageIntacct test data ready,Create record > route approval > verify status,Success,Medium
SAG-GEN-00089,SageIntacct,general_ledger,Submit SageIntacct general_ledger,SageIntacct test data ready,Open module > perform action > validate result,Success,High
SAG-GEN-00090,SageIntacct,general_ledger,Approve SageIntacct general_ledger,SageIntacct test data ready,Initiate integration > check queue > confirm completion,Success,High
SAG-GEN-00091,SageIntacct,general_ledger,Update SageIntacct general_ledger,SageIntacct test data ready,Open module > perform action > validate result,Success,Medium
SAG-GEN-00092,SageIntacct,general_ledger,Edit SageIntacct general_ledger,SageIntacct test data ready,Initiate integration > check queue > confirm completion,Success,High
SAG-GEN-00093,SageIntacct,general_ledger,Escalate SageIntacct general_ledger,SageIntacct test data ready,Submit transaction > sync system > reconcile report,Success,Medium
SAG-GEN-00094,SageIntacct,general_ledger,Submit SageIntacct general_ledger,SageIntacct test data ready,Create record > route approval > verify status,Success,High
SAG-GEN-00095,SageIntacct,general_ledger,Clone SageIntacct general_ledger,SageIntacct test data ready,Submit transaction > sync system > reconcile report,Success,Medium
SAG-GEN-00096,SageIntacct,general_ledger,Edit SageIntacct general_ledger,SageIntacct test data ready,Initiate integration > check queue > confirm completion,Success,Medium
SAG-GEN-00097,SageIntacct,general_ledger,Submit SageIntacct general_ledger,SageIntacct test data ready,Create record > route approval > verify status,Success,Low
SAG-GEN-00098,SageIntacct,general_ledger,Escalate SageIntacct general_ledger,SageIntacct test data ready,Create record > route approval > verify status,Success,Low
SAG-GEN-00099,SageIntacct,general_ledger,Route SageIntacct general_ledger,SageIntacct test data ready,Create record > route approval > verify status,Success,Medium
SAG-GEN-00100,SageIntacct,general_ledger,Validate SageIntacct general_ledger,SageIntacct test data ready,Open module > perform action > validate result,Success,Medium
SAG-GEN-00101,SageIntacct,general_ledger,Restore SageIntacct general_ledger,SageIntacct test data ready,Open module > perform action > validate result,Success,High
SAG-GEN-00102,SageIntacct,general_ledger,Create SageIntacct general_ledger,SageIntacct test data ready,Submit transaction > sync system > reconcile report,Success,Medium
SAG-GEN-00103,SageIntacct,general_ledger,Approve SageIntacct general_ledger,SageIntacct test data ready,Open module > perform action > validate result,Success,High
SAG-GEN-00104,SageIntacct,general_ledger,Approve SageIntacct general_ledger,SageIntacct test data ready,Submit transaction > sync system > reconcile report,Success,Low
SAG-GEN-00105,SageIntacct,general_ledger,Clone SageIntacct general_ledger,SageIntacct test data ready,Open module > perform action > validate result,Success,High
SAG-GEN-00106,SageIntacct,general_ledger,Search SageIntacct general_ledger,SageIntacct test data ready,Create record > route approval > verify status,Success,Medium
SAG-GEN-00107,SageIntacct,general_ledger,Validate SageIntacct general_ledger,SageIntacct test data ready,Open module > perform action > validate result,Success,High
SAG-GEN-00108,SageIntacct,general_ledger,Delete SageIntacct general_ledger,SageIntacct test data ready,Initiate integration > check queue > confirm completion,Success,Low
SAG-GEN-00109,SageIntacct,general_ledger,Edit SageIntacct general_ledger,SageIntacct test data ready,Open module > perform action > validate result,Success,High
SAG-GEN-00110,SageIntacct,general_ledger,Update SageIntacct general_ledger,SageIntacct test data ready,Create record > route approval > verify status,Success,Low
SAG-GEN-00111,SageIntacct,general_ledger,Archive SageIntacct general_ledger,SageIntacct test data ready,Open module > perform action > validate result,Success,High
SAG-GEN-00112,SageIntacct,general_ledger,Delete SageIntacct general_ledger,SageIntacct test data ready,Create record > route approval > verify status,Success,Low
SAG-GEN-00113,SageIntacct,general_ledger,Archive SageIntacct general_ledger,SageIntacct test data ready,Open module > perform action > validate result,Success,Low
SAG-GEN-00114,SageIntacct,general_ledger,Reject SageIntacct general_ledger,SageIntacct test data ready,Submit transaction > sync system > reconcile report,Success,Medium
SAG-GEN-00115,SageIntacct,general_ledger,Validate SageIntacct general_ledger,SageIntacct test data ready,Create record > route approval > verify status,Success,Medium
SAG-GEN-00116,SageIntacct,general_ledger,Reject SageIntacct general_ledger,SageIntacct test data ready,Create record > route approval > verify status,Success,High
SAG-GEN-00117,SageIntacct,general_ledger,Edit SageIntacct general_ledger,SageIntacct test data ready,Initiate integration > check queue > confirm completion,Success,High
SAG-GEN-00118,SageIntacct,general_ledger,Archive SageIntacct general_ledger,SageIntacct test data ready,Open module > perform action > validate result,Success,Medium
SAG-GEN-00119,SageIntacct,general_ledger,Validate SageIntacct general_ledger,SageIntacct test data ready,Submit transaction > sync system > reconcile report,Success,Medium
SAG-GEN-00120,SageIntacct,general_ledger,Update SageIntacct general_ledger,SageIntacct test data ready,Open module > perform action > validate result,Success,Medium
SAG-GEN-00121,SageIntacct,general_ledger,Submit SageIntacct general_ledger,SageIntacct test data ready,Create record > route approval > verify status,Success,High
SAG-GEN-00122,SageIntacct,general_ledger,Archive SageIntacct general_ledger,SageIntacct test data ready,Open module > perform action > validate result,Success,High
SAG-GEN-00123,SageIntacct,general_ledger,Create SageIntacct general_ledger,SageIntacct test data ready,Create record > route approval > verify status,Success,High
SAG-GEN-00124,SageIntacct,general_ledger,Update SageIntacct general_ledger,SageIntacct test data ready,Submit transaction > sync system > reconcile report,Success,High
SAG-GEN-00125,SageIntacct,general_ledger,Escalate SageIntacct general_ledger,SageIntacct test data ready,Submit transaction > sync system > reconcile report,Success,High
SAG-GEN-00126,SageIntacct,general_ledger,Validate SageIntacct general_ledger,SageIntacct test data ready,Initiate integration > check queue > confirm completion,Success,Medium
SAG-GEN-00127,SageIntacct,general_ledger,Validate SageIntacct general_ledger,SageIntacct test data ready,Create record > route approval > verify status,Success,High
SAG-GEN-00128,SageIntacct,general_ledger,Escalate SageIntacct general_ledger,SageIntacct test data ready,Create record > route approval > verify status,Success,High
SAG-GEN-00129,SageIntacct,general_ledger,Edit SageIntacct general_ledger,SageIntacct test data ready,Submit transaction > sync system > reconcile report,Success,Low
SAG-GEN-00130,SageIntacct,general_ledger,Submit SageIntacct general_ledger,SageIntacct test data ready,Submit transaction > sync system > reconcile report,Success,Low
SAG-GEN-00131,SageIntacct,general_ledger,Submit SageIntacct general_ledger,SageIntacct test data ready,Submit transaction > sync system > reconcile report,Success,High
SAG-GEN-00132,SageIntacct,general_ledger,Delete SageIntacct general_ledger,SageIntacct test data ready,Initiate integration > check queue > confirm completion,Success,High
SAG-GEN-00133,SageIntacct,general_ledger,Validate SageIntacct general_ledger,SageIntacct test data ready,Create record > route approval > verify status,Success,High
SAG-GEN-00134,SageIntacct,general_ledger,Edit SageIntacct general_ledger,SageIntacct test data ready,Create record > route approval > verify status,Success,High
SAG-GEN-00135,SageIntacct,general_ledger,Create SageIntacct general_ledger,SageIntacct test data ready,Create record > route approval > verify status,Success,High
SAG-GEN-00136,SageIntacct,general_ledger,Update SageIntacct general_ledger,SageIntacct test data ready,Create record > route approval > verify status,Success,Medium
SAG-GEN-00137,SageIntacct,general_ledger,Validate SageIntacct general_ledger,SageIntacct test data ready,Open module > perform action > validate result,Success,High
SAG-GEN-00138,SageIntacct,general_ledger,Update SageIntacct general_ledger,SageIntacct test data ready,Submit transaction > sync system > reconcile report,Success,Low
SAG-GEN-00139,SageIntacct,general_ledger,Archive SageIntacct general_ledger,SageIntacct test data ready,Submit transaction > sync system > reconcile report,Success,Medium
SAG-GEN-00140,SageIntacct,general_ledger,Route SageIntacct general_ledger,SageIntacct test data ready,Submit transaction > sync system > reconcile report,Success,Medium
SAG-GEN-00141,SageIntacct,general_ledger,Archive SageIntacct general_ledger,SageIntacct test data ready,Initiate integration > check queue > confirm completion,Success,Medium
SAG-GEN-00142,SageIntacct,general_ledger,Validate SageIntacct general_ledger,SageIntacct test data ready,Create record > route approval > verify status,Success,Low
SAG-GEN-00143,SageIntacct,general_ledger,Clone SageIntacct general_ledger,SageIntacct test data ready,Create record > route approval > verify status,Success,Medium
SAG-GEN-00144,SageIntacct,general_ledger,Escalate SageIntacct general_ledger,SageIntacct test data ready,Submit transaction > sync system > reconcile report,Success,Low
SAG-GEN-00145,SageIntacct,general_ledger,Reject SageIntacct general_ledger,SageIntacct test data ready,Submit transaction > sync system > reconcile report,Success,Medium
SAG-GEN-00146,SageIntacct,general_ledger,Approve SageIntacct general_ledger,SageIntacct test data ready,Submit transaction > sync system > reconcile report,Success,Low
SAG-GEN-00147,SageIntacct,general_ledger,Create SageIntacct general_ledger,SageIntacct test data ready,Open module > perform action > validate result,Success,Low
SAG-GEN-00148,SageIntacct,general_ledger,Validate SageIntacct general_ledger,SageIntacct test data ready,Initiate integration > check queue > confirm completion,Success,Low
SAG-GEN-00149,SageIntacct,general_ledger,Reject SageIntacct general_ledger,SageIntacct test data ready,Submit transaction > sync system > reconcile report,Success,Low
SAG-GEN-00150,SageIntacct,general_ledger,Edit SageIntacct general_ledger,SageIntacct test data ready,Open module > perform action > validate result,Success,Medium
SAG-GEN-00151,SageIntacct,general_ledger,Edit SageIntacct general_ledger,SageIntacct test data ready,Submit transaction > sync system > reconcile report,Success,High
SAG-GEN-00152,SageIntacct,general_ledger,Archive SageIntacct general_ledger,SageIntacct test data ready,Open module > perform action > validate result,Success,Medium
SAG-GEN-00153,SageIntacct,general_ledger,Submit SageIntacct general_ledger,SageIntacct test data ready,Submit transaction > sync system > reconcile report,Success,Medium
SAG-GEN-00154,SageIntacct,general_ledger,Escalate SageIntacct general_ledger,SageIntacct test data ready,Open module > perform action > validate result,Success,Medium
SAG-GEN-00155,SageIntacct,general_ledger,Submit SageIntacct general_ledger,SageIntacct test data ready,Submit transaction > sync system > reconcile report,Success,Medium
SAG-GEN-00156,SageIntacct,general_ledger,Restore SageIntacct general_ledger,SageIntacct test data ready,Open module > perform action > validate result,Success,Low
SAG-GEN-00157,SageIntacct,general_ledger,Edit SageIntacct general_ledger,SageIntacct test data ready,Submit transaction > sync system > reconcile report,Success,High
SAG-GEN-00158,SageIntacct,general_ledger,Archive SageIntacct general_ledger,SageIntacct test data ready,Create record > route approval > verify status,Success,Medium
SAG-GEN-00159,SageIntacct,general_ledger,Clone SageIntacct general_ledger,SageIntacct test data ready,Open module > perform action > validate result,Success,High
SAG-GEN-00160,SageIntacct,general_ledger,Create SageIntacct general_ledger,SageIntacct test data ready,Initiate integration > check queue > confirm completion,Success,Medium
SAG-GEN-00161,SageIntacct,general_ledger,Route SageIntacct general_ledger,SageIntacct test data ready,Submit transaction > sync system > reconcile report,Success,High
SAG-GEN-00162,SageIntacct,general_ledger,Edit SageIntacct general_ledger,SageIntacct test data ready,Create record > route approval > verify status,Success,High
SAG-GEN-00163,SageIntacct,general_ledger,Clone SageIntacct general_ledger,SageIntacct test data ready,Submit transaction > sync system > reconcile report,Success,High
SAG-GEN-00164,SageIntacct,general_ledger,Search SageIntacct general_ledger,SageIntacct test data ready,Initiate integration > check queue > confirm completion,Success,High
SAG-GEN-00165,SageIntacct,general_ledger,Validate SageIntacct general_ledger,SageIntacct test data ready,Open module > perform action > validate result,Success,High
SAG-GEN-00166,SageIntacct,general_ledger,Restore SageIntacct general_ledger,SageIntacct test data ready,Open module > perform action > validate result,Success,Medium
