Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
SAG-SUB-00001,SageIntacct,subscriptions,Route SageIntacct subscriptions,SageIntacct test data ready,Create record > route approval > verify status,Success,Low
SAG-SUB-00002,SageIntacct,subscriptions,Update SageIntacct subscriptions,SageIntacct test data ready,Open module > perform action > validate result,Success,Low
SAG-SUB-00003,SageIntacct,subscriptions,Create SageIntacct subscriptions,SageIntacct test data ready,Initiate integration > check queue > confirm completion,Success,High
SAG-SUB-00004,SageIntacct,subscriptions,Create SageIntacct subscriptions,SageIntacct test data ready,Initiate integration > check queue > confirm completion,Success,Low
SAG-SUB-00005,SageIntacct,subscriptions,Route SageIntacct subscriptions,SageIntacct test data ready,Create record > route approval > verify status,Success,Medium
SAG-SUB-00006,SageIntacct,subscriptions,Restore SageIntacct subscriptions,SageIntacct test data ready,Open module > perform action > validate result,Success,High
SAG-SUB-00007,SageIntacct,subscriptions,Archive SageIntacct subscriptions,SageIntacct test data ready,Open module > perform action > validate result,Success,Medium
SAG-SUB-00008,SageIntacct,subscriptions,Update SageIntacct subscriptions,SageIntacct test data ready,Initiate integration > check queue > confirm completion,Success,High
SAG-SUB-00009,SageIntacct,subscriptions,Submit SageIntacct subscriptions,SageIntacct test data ready,Initiate integration > check queue > confirm completion,Success,Low
SAG-SUB-00010,SageIntacct,subscriptions,Approve SageIntacct subscriptions,SageIntacct test data ready,Create record > route approval > verify status,Success,Low
SAG-SUB-00011,SageIntacct,subscriptions,Reject SageIntacct subscriptions,SageIntacct test data ready,Open module > perform action > validate result,Success,Medium
SAG-SUB-00012,SageIntacct,subscriptions,Escalate SageIntacct subscriptions,SageIntacct test data ready,Initiate integration > check queue > confirm completion,Success,Medium
SAG-SUB-00013,SageIntacct,subscriptions,Create SageIntacct subscriptions,SageIntacct test data ready,Submit transaction > sync system > reconcile report,Success,Medium
SAG-SUB-00014,SageIntacct,subscriptions,Escalate SageIntacct subscriptions,SageIntacct test data ready,Submit transaction > sync system > reconcile report,Success,Medium
SAG-SUB-00015,SageIntacct,subscriptions,Submit SageIntacct subscriptions,SageIntacct test data ready,Open module > perform action > validate result,Success,Low
SAG-SUB-00016,SageIntacct,subscriptions,Reject SageIntacct subscriptions,SageIntacct test data ready,Create record > route approval > verify status,Success,Medium
SAG-SUB-00017,SageIntacct,subscriptions,Escalate SageIntacct subscriptions,SageIntacct test data ready,Open module > perform action > validate result,Success,High
SAG-SUB-00018,SageIntacct,subscriptions,Delete SageIntacct subscriptions,SageIntacct test data ready,Open module > perform action > validate result,Success,Medium
SAG-SUB-00019,SageIntacct,subscriptions,Archive SageIntacct subscriptions,SageIntacct test data ready,Initiate integration > check queue > confirm completion,Success,Medium
SAG-SUB-00020,SageIntacct,subscriptions,Archive SageIntacct subscriptions,SageIntacct test data ready,Submit transaction > sync system > reconcile report,Success,Low
SAG-SUB-00021,SageIntacct,subscriptions,Approve SageIntacct subscriptions,SageIntacct test data ready,Submit transaction > sync system > reconcile report,Success,Low
SAG-SUB-00022,SageIntacct,subscriptions,Delete SageIntacct subscriptions,SageIntacct test data ready,Open module > perform action > validate result,Success,Low
SAG-SUB-00023,SageIntacct,subscriptions,Clone SageIntacct subscriptions,SageIntacct test data ready,Submit transaction > sync system > reconcile report,Success,Medium
SAG-SUB-00024,SageIntacct,subscriptions,Restore SageIntacct subscriptions,SageIntacct test data ready,Open module > perform action > validate result,Success,Medium
SAG-SUB-00025,SageIntacct,subscriptions,Approve SageIntacct subscriptions,SageIntacct test data ready,Open module > perform action > validate result,Success,Low
SAG-SUB-00026,SageIntacct,subscriptions,Escalate SageIntacct subscriptions,SageIntacct test data ready,Create record > route approval > verify status,Success,Low
SAG-SUB-00027,SageIntacct,subscriptions,Create SageIntacct subscriptions,SageIntacct test data ready,Submit transaction > sync system > reconcile report,Success,Low
SAG-SUB-00028,SageIntacct,subscriptions,Reject SageIntacct subscriptions,SageIntacct test data ready,Open module > perform action > validate result,Success,High
SAG-SUB-00029,SageIntacct,subscriptions,Escalate SageIntacct subscriptions,SageIntacct test data ready,Create record > route approval > verify status,Success,High
SAG-SUB-00030,SageIntacct,subscriptions,Route SageIntacct subscriptions,SageIntacct test data ready,Initiate integration > check queue > confirm completion,Success,Medium
SAG-SUB-00031,SageIntacct,subscriptions,Update SageIntacct subscriptions,SageIntacct test data ready,Create record > route approval > verify status,Success,High
SAG-SUB-00032,SageIntacct,subscriptions,Create SageIntacct subscriptions,SageIntacct test data ready,Submit transaction > sync system > reconcile report,Success,Low
SAG-SUB-00033,SageIntacct,subscriptions,Escalate SageIntacct subscriptions,SageIntacct test data ready,Initiate integration > check queue > confirm completion,Success,High
