Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
SAL-EXP-00001,Salesforce,experience_cloud,Restore Salesforce experience_cloud,Salesforce test data ready,Initiate integration > check queue > confirm completion,Success,High
SAL-EXP-00002,Salesforce,experience_cloud,Approve Salesforce experience_cloud,Salesforce test data ready,Open module > perform action > validate result,Success,Low
SAL-EXP-00003,Salesforce,experience_cloud,Restore Salesforce experience_cloud,Salesforce test data ready,Open module > perform action > validate result,Success,Low
SAL-EXP-00004,Salesforce,experience_cloud,Delete Salesforce experience_cloud,Salesforce test data ready,Submit transaction > sync system > reconcile report,Success,High
SAL-EXP-00005,Salesforce,experience_cloud,Delete Salesforce experience_cloud,Salesforce test data ready,Submit transaction > sync system > reconcile report,Success,Low
SAL-EXP-00006,Salesforce,experience_cloud,Reject Salesforce experience_cloud,Salesforce test data ready,Submit transaction > sync system > reconcile report,Success,High
SAL-EXP-00007,Salesforce,experience_cloud,Create Salesforce experience_cloud,Salesforce test data ready,Initiate integration > check queue > confirm completion,Success,Low
SAL-EXP-00008,Salesforce,experience_cloud,Archive Salesforce experience_cloud,Salesforce test data ready,Initiate integration > check queue > confirm completion,Success,Medium
SAL-EXP-00009,Salesforce,experience_cloud,Update Salesforce experience_cloud,Salesforce test data ready,Submit transaction > sync system > reconcile report,Success,High
SAL-EXP-00010,Salesforce,experience_cloud,Reject Salesforce experience_cloud,Salesforce test data ready,Open module > perform action > validate result,Success,Low
SAL-EXP-00011,Salesforce,experience_cloud,Submit Salesforce experience_cloud,Salesforce test data ready,Initiate integration > check queue > confirm completion,Success,Medium
SAL-EXP-00012,Salesforce,experience_cloud,Update Salesforce experience_cloud,Salesforce test data ready,Submit transaction > sync system > reconcile report,Success,Medium
SAL-EXP-00013,Salesforce,experience_cloud,Reject Salesforce experience_cloud,Salesforce test data ready,Submit transaction > sync system > reconcile report,Success,High
SAL-EXP-00014,Salesforce,experience_cloud,Delete Salesforce experience_cloud,Salesforce test data ready,Initiate integration > check queue > confirm completion,Success,High
SAL-EXP-00015,Salesforce,experience_cloud,Route Salesforce experience_cloud,Salesforce test data ready,Initiate integration > check queue > confirm completion,Success,High
SAL-EXP-00016,Salesforce,experience_cloud,Archive Salesforce experience_cloud,Salesforce test data ready,Submit transaction > sync system > reconcile report,Success,High
SAL-EXP-00017,Salesforce,experience_cloud,Create Salesforce experience_cloud,Salesforce test data ready,Open module > perform action > validate result,Success,High
SAL-EXP-00018,Salesforce,experience_cloud,Edit Salesforce experience_cloud,Salesforce test data ready,Create record > route approval > verify status,Success,Low
SAL-EXP-00019,Salesforce,experience_cloud,Restore Salesforce experience_cloud,Salesforce test data ready,Create record > route approval > verify status,Success,High
SAL-EXP-00020,Salesforce,experience_cloud,Update Salesforce experience_cloud,Salesforce test data ready,Submit transaction > sync system > reconcile report,Success,Medium
SAL-EXP-00021,Salesforce,experience_cloud,Reject Salesforce experience_cloud,Salesforce test data ready,Submit transaction > sync system > reconcile report,Success,Low
SAL-EXP-00022,Salesforce,experience_cloud,Validate Salesforce experience_cloud,Salesforce test data ready,Initiate integration > check queue > confirm completion,Success,High
SAL-EXP-00023,Salesforce,experience_cloud,Clone Salesforce experience_cloud,Salesforce test data ready,Submit transaction > sync system > reconcile report,Success,Medium
SAL-EXP-00024,Salesforce,experience_cloud,Delete Salesforce experience_cloud,Salesforce test data ready,Open module > perform action > validate result,Success,Medium
SAL-EXP-00025,Salesforce,experience_cloud,Validate Salesforce experience_cloud,Salesforce test data ready,Submit transaction > sync system > reconcile report,Success,Medium
SAL-EXP-00026,Salesforce,experience_cloud,Update Salesforce experience_cloud,Salesforce test data ready,Create record > route approval > verify status,Success,Low
SAL-EXP-00027,Salesforce,experience_cloud,Clone Salesforce experience_cloud,Salesforce test data ready,Submit transaction > sync system > reconcile report,Success,High
SAL-EXP-00028,Salesforce,experience_cloud,Search Salesforce experience_cloud,Salesforce test data ready,Initiate integration > check queue > confirm completion,Success,Medium
SAL-EXP-00029,Salesforce,experience_cloud,Delete Salesforce experience_cloud,Salesforce test data ready,Open module > perform action > validate result,Success,High
SAL-EXP-00030,Salesforce,experience_cloud,Validate Salesforce experience_cloud,Salesforce test data ready,Create record > route approval > verify status,Success,Low
SAL-EXP-00031,Salesforce,experience_cloud,Clone Salesforce experience_cloud,Salesforce test data ready,Create record > route approval > verify status,Success,Medium
SAL-EXP-00032,Salesforce,experience_cloud,Archive Salesforce experience_cloud,Salesforce test data ready,Submit transaction > sync system > reconcile report,Success,Medium
SAL-EXP-00033,Salesforce,experience_cloud,Update Salesforce experience_cloud,Salesforce test data ready,Submit transaction > sync system > reconcile report,Success,Medium
SAL-EXP-00034,Salesforce,experience_cloud,Restore Salesforce experience_cloud,Salesforce test data ready,Submit transaction > sync system > reconcile report,Success,Low
SAL-EXP-00035,Salesforce,experience_cloud,Search Salesforce experience_cloud,Salesforce test data ready,Submit transaction > sync system > reconcile report,Success,High
SAL-EXP-00036,Salesforce,experience_cloud,Clone Salesforce experience_cloud,Salesforce test data ready,Initiate integration > check queue > confirm completion,Success,High
SAL-EXP-00037,Salesforce,experience_cloud,Edit Salesforce experience_cloud,Salesforce test data ready,Submit transaction > sync system > reconcile report,Success,Medium
SAL-EXP-00038,Salesforce,experience_cloud,Edit Salesforce experience_cloud,Salesforce test data ready,Create record > route approval > verify status,Success,Low
