Test Case ID,Product,Folder,Scenario,Preconditions,Steps,Expected Result,Priority
SAL-MAR-00001,Salesforce,marketing_cloud,Approve Salesforce marketing_cloud,Salesforce test data ready,Initiate integration > check queue > confirm completion,Success,Low
SAL-MAR-00002,Salesforce,marketing_cloud,Archive Salesforce marketing_cloud,Salesforce test data ready,Create record > route approval > verify status,Success,High
SAL-MAR-00003,Salesforce,marketing_cloud,Edit Salesforce marketing_cloud,Salesforce test data ready,Create record > route approval > verify status,Success,High
SAL-MAR-00004,Salesforce,marketing_cloud,Create Salesforce marketing_cloud,Salesforce test data ready,Open module > perform action > validate result,Success,Low
SAL-MAR-00005,Salesforce,marketing_cloud,Approve Salesforce marketing_cloud,Salesforce test data ready,Create record > route approval > verify status,Success,High
SAL-MAR-00006,Salesforce,marketing_cloud,Validate Salesforce marketing_cloud,Salesforce test data ready,Create record > route approval > verify status,Success,High
SAL-MAR-00007,Salesforce,marketing_cloud,Reject Salesforce marketing_cloud,Salesforce test data ready,Initiate integration > check queue > confirm completion,Success,Medium
SAL-MAR-00008,Salesforce,marketing_cloud,Submit Salesforce marketing_cloud,Salesforce test data ready,Submit transaction > sync system > reconcile report,Success,High
SAL-MAR-00009,Salesforce,marketing_cloud,Reject Salesforce marketing_cloud,Salesforce test data ready,Submit transaction > sync system > reconcile report,Success,Medium
SAL-MAR-00010,Salesforce,marketing_cloud,Create Salesforce marketing_cloud,Salesforce test data ready,Initiate integration > check queue > confirm completion,Success,Medium
SAL-MAR-00011,Salesforce,marketing_cloud,Delete Salesforce marketing_cloud,Salesforce test data ready,Initiate integration > check queue > confirm completion,Success,Low
SAL-MAR-00012,Salesforce,marketing_cloud,Restore Salesforce marketing_cloud,Salesforce test data ready,Submit transaction > sync system > reconcile report,Success,Low
SAL-MAR-00013,Salesforce,marketing_cloud,Edit Salesforce marketing_cloud,Salesforce test data ready,Initiate integration > check queue > confirm completion,Success,High
SAL-MAR-00014,Salesforce,marketing_cloud,Delete Salesforce marketing_cloud,Salesforce test data ready,Initiate integration > check queue > confirm completion,Success,Medium
SAL-MAR-00015,Salesforce,marketing_cloud,Delete Salesforce marketing_cloud,Salesforce test data ready,Open module > perform action > validate result,Success,Low
SAL-MAR-00016,Salesforce,marketing_cloud,Delete Salesforce marketing_cloud,Salesforce test data ready,Create record > route approval > verify status,Success,High
SAL-MAR-00017,Salesforce,marketing_cloud,Submit Salesforce marketing_cloud,Salesforce test data ready,Open module > perform action > validate result,Success,High
SAL-MAR-00018,Salesforce,marketing_cloud,Route Salesforce marketing_cloud,Salesforce test data ready,Open module > perform action > validate result,Success,Medium
SAL-MAR-00019,Salesforce,marketing_cloud,Archive Salesforce marketing_cloud,Salesforce test data ready,Open module > perform action > validate result,Success,Low
SAL-MAR-00020,Salesforce,marketing_cloud,Escalate Salesforce marketing_cloud,Salesforce test data ready,Open module > perform action > validate result,Success,High
SAL-MAR-00021,Salesforce,marketing_cloud,Submit Salesforce marketing_cloud,Salesforce test data ready,Create record > route approval > verify status,Success,Medium
SAL-MAR-00022,Salesforce,marketing_cloud,Restore Salesforce marketing_cloud,Salesforce test data ready,Open module > perform action > validate result,Success,Low
SAL-MAR-00023,Salesforce,marketing_cloud,Search Salesforce marketing_cloud,Salesforce test data ready,Initiate integration > check queue > confirm completion,Success,Medium
SAL-MAR-00024,Salesforce,marketing_cloud,Edit Salesforce marketing_cloud,Salesforce test data ready,Submit transaction > sync system > reconcile report,Success,High
SAL-MAR-00025,Salesforce,marketing_cloud,Update Salesforce marketing_cloud,Salesforce test data ready,Submit transaction > sync system > reconcile report,Success,Low
SAL-MAR-00026,Salesforce,marketing_cloud,Create Salesforce marketing_cloud,Salesforce test data ready,Submit transaction > sync system > reconcile report,Success,Medium
SAL-MAR-00027,Salesforce,marketing_cloud,Submit Salesforce marketing_cloud,Salesforce test data ready,Initiate integration > check queue > confirm completion,Success,Medium
SAL-MAR-00028,Salesforce,marketing_cloud,Update Salesforce marketing_cloud,Salesforce test data ready,Create record > route approval > verify status,Success,Medium
SAL-MAR-00029,Salesforce,marketing_cloud,Clone Salesforce marketing_cloud,Salesforce test data ready,Submit transaction > sync system > reconcile report,Success,Medium
SAL-MAR-00030,Salesforce,marketing_cloud,Archive Salesforce marketing_cloud,Salesforce test data ready,Open module > perform action > validate result,Success,High
SAL-MAR-00031,Salesforce,marketing_cloud,Delete Salesforce marketing_cloud,Salesforce test data ready,Create record > route approval > verify status,Success,Low
SAL-MAR-00032,Salesforce,marketing_cloud,Clone Salesforce marketing_cloud,Salesforce test data ready,Open module > perform action > validate result,Success,Low
SAL-MAR-00033,Salesforce,marketing_cloud,Restore Salesforce marketing_cloud,Salesforce test data ready,Open module > perform action > validate result,Success,Low
SAL-MAR-00034,Salesforce,marketing_cloud,Delete Salesforce marketing_cloud,Salesforce test data ready,Submit transaction > sync system > reconcile report,Success,Low
SAL-MAR-00035,Salesforce,marketing_cloud,Validate Salesforce marketing_cloud,Salesforce test data ready,Create record > route approval > verify status,Success,Medium
SAL-MAR-00036,Salesforce,marketing_cloud,Edit Salesforce marketing_cloud,Salesforce test data ready,Create record > route approval > verify status,Success,Medium
SAL-MAR-00037,Salesforce,marketing_cloud,Submit Salesforce marketing_cloud,Salesforce test data ready,Submit transaction > sync system > reconcile report,Success,High
SAL-MAR-00038,Salesforce,marketing_cloud,Archive Salesforce marketing_cloud,Salesforce test data ready,Submit transaction > sync system > reconcile report,Success,Low
SAL-MAR-00039,Salesforce,marketing_cloud,Route Salesforce marketing_cloud,Salesforce test data ready,Initiate integration > check queue > confirm completion,Success,Low
SAL-MAR-00040,Salesforce,marketing_cloud,Search Salesforce marketing_cloud,Salesforce test data ready,Create record > route approval > verify status,Success,Medium
SAL-MAR-00041,Salesforce,marketing_cloud,Validate Salesforce marketing_cloud,Salesforce test data ready,Open module > perform action > validate result,Success,Medium
SAL-MAR-00042,Salesforce,marketing_cloud,Escalate Salesforce marketing_cloud,Salesforce test data ready,Initiate integration > check queue > confirm completion,Success,Medium
SAL-MAR-00043,Salesforce,marketing_cloud,Validate Salesforce marketing_cloud,Salesforce test data ready,Open module > perform action > validate result,Success,Medium
SAL-MAR-00044,Salesforce,marketing_cloud,Search Salesforce marketing_cloud,Salesforce test data ready,Submit transaction > sync system > reconcile report,Success,Low
SAL-MAR-00045,Salesforce,marketing_cloud,Validate Salesforce marketing_cloud,Salesforce test data ready,Submit transaction > sync system > reconcile report,Success,Low
SAL-MAR-00046,Salesforce,marketing_cloud,Update Salesforce marketing_cloud,Salesforce test data ready,Create record > route approval > verify status,Success,Low
SAL-MAR-00047,Salesforce,marketing_cloud,Restore Salesforce marketing_cloud,Salesforce test data ready,Create record > route approval > verify status,Success,Medium
SAL-MAR-00048,Salesforce,marketing_cloud,Reject Salesforce marketing_cloud,Salesforce test data ready,Submit transaction > sync system > reconcile report,Success,Low
SAL-MAR-00049,Salesforce,marketing_cloud,Restore Salesforce marketing_cloud,Salesforce test data ready,Initiate integration > check queue > confirm completion,Success,Medium
SAL-MAR-00050,Salesforce,marketing_cloud,Create Salesforce marketing_cloud,Salesforce test data ready,Create record > route approval > verify status,Success,Low
SAL-MAR-00051,Salesforce,marketing_cloud,Escalate Salesforce marketing_cloud,Salesforce test data ready,Initiate integration > check queue > confirm completion,Success,Medium
SAL-MAR-00052,Salesforce,marketing_cloud,Reject Salesforce marketing_cloud,Salesforce test data ready,Open module > perform action > validate result,Success,Medium
SAL-MAR-00053,Salesforce,marketing_cloud,Clone Salesforce marketing_cloud,Salesforce test data ready,Submit transaction > sync system > reconcile report,Success,High
SAL-MAR-00054,Salesforce,marketing_cloud,Escalate Salesforce marketing_cloud,Salesforce test data ready,Open module > perform action > validate result,Success,Low
SAL-MAR-00055,Salesforce,marketing_cloud,Validate Salesforce marketing_cloud,Salesforce test data ready,Submit transaction > sync system > reconcile report,Success,High
SAL-MAR-00056,Salesforce,marketing_cloud,Escalate Salesforce marketing_cloud,Salesforce test data ready,Create record > route approval > verify status,Success,High
SAL-MAR-00057,Salesforce,marketing_cloud,Create Salesforce marketing_cloud,Salesforce test data ready,Submit transaction > sync system > reconcile report,Success,Low
SAL-MAR-00058,Salesforce,marketing_cloud,Search Salesforce marketing_cloud,Salesforce test data ready,Open module > perform action > validate result,Success,High
SAL-MAR-00059,Salesforce,marketing_cloud,Search Salesforce marketing_cloud,Salesforce test data ready,Open module > perform action > validate result,Success,Medium
SAL-MAR-00060,Salesforce,marketing_cloud,Restore Salesforce marketing_cloud,Salesforce test data ready,Submit transaction > sync system > reconcile report,Success,Low
SAL-MAR-00061,Salesforce,marketing_cloud,Validate Salesforce marketing_cloud,Salesforce test data ready,Open module > perform action > validate result,Success,Low
SAL-MAR-00062,Salesforce,marketing_cloud,Create Salesforce marketing_cloud,Salesforce test data ready,Submit transaction > sync system > reconcile report,Success,Medium
